Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,9,17,1,1,1,4,3,15,5,17,6,3,18,22,26,14,18,16,12
2,9,0,8,8,8,8,9,10,6,13,9,4,6,10,14,18,6,10,8,20
3,17,8,0,16,16,17,16,18,5,21,4,11,14,6,5,10,5,2,3,30
4,1,8,16,0,1,1,3,4,15,5,17,5,3,18,21,26,14,18,16,13
5,1,8,16,1,0,1,4,3,15,5,18,5,3,18,22,25,14,18,15,12
6,1,8,17,1,1,0,4,3,14,5,18,5,3,18,21,25,14,18,15,13
7,4,9,16,3,4,4,0,6,16,8,18,5,3,19,21,27,14,18,16,12
8,3,10,18,4,3,3,6,0,16,3,20,7,6,20,22,27,15,20,18,11
9,15,6,5,15,15,14,16,16,0,20,3,10,12,4,7,12,1,7,2,26
10,5,13,21,5,5,5,8,3,20,0,22,10,8,22,27,30,19,21,21,8
11,17,9,4,17,18,18,18,20,3,22,0,13,15,2,4,9,4,6,2,28
12,6,4,11,5,5,5,5,7,10,10,13,0,3,13,16,22,9,13,10,17
13,3,6,14,3,3,3,3,6,12,8,15,3,0,16,18,24,11,16,13,15
14,18,10,6,18,18,18,19,20,4,22,2,13,16,0,4,8,5,8,3,32
15,22,14,5,21,22,21,21,22,7,27,4,16,18,4,0,5,8,4,6,33
16,26,18,10,26,25,25,27,27,12,30,9,22,24,8,5,0,12,8,11,37
17,14,6,5,14,14,14,14,15,1,19,4,9,11,5,8,12,0,7,2,24
18,18,10,2,18,18,18,18,20,7,21,6,13,16,8,4,8,7,0,5,30
19,16,8,3,16,15,15,16,18,2,21,2,10,13,3,6,11,2,5,0,28
20,12,20,30,13,12,13,12,11,26,8,28,17,15,32,33,37,24,30,28,0
