ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
77,23,77,10,35962,78
78,13,79,9,2358,80
79,6,81,5,1845,82
80,6,83,7,59497,84
81,9,85,13,28089,86
82,29,87,8,56284,88
83,23,89,12,12145,90
84,7,91,9,57576,92
85,12,87,7,56284,93
86,8,94,7,62764,95
87,7,96,7,59521,97
88,13,87,8,56284,98
89,7,99,7,48840,100
90,7,101,11,50270,102
91,20,103,6,12279,104
92,4,83,6,59497,105
93,20,81,6,1845,106
94,5,85,12,28089,107
95,15,108,5,5230,109
96,8,110,10,59969,111
97,30,112,9,751,113
98,9,114,9,61525,115
99,7,116,8,1716,117
100,31,118,7,285,119
101,5,103,5,12279,120
102,15,121,8,59515,122
103,24,85,19,28089,123
104,13,94,8,62764,124
105,23,77,10,35962,125
106,9,85,12,28089,126
107,5,127,9,62628,128
108,5,101,11,50270,129
109,3,96,6,59521,130
110,3,85,12,28089,131
111,32,132,12,41418,133
112,20,114,11,61525,134
113,18,135,9,55572,136
114,4,137,6,12876,138
115,17,85,14,28089,139
116,25,140,7,295,141
117,10,96,8,59521,142
118,7,143,5,13938,144
119,16,145,5,2462,146
120,3,135,6,55572,147
121,5,101,12,50270,148
122,7,149,8,59524,150
123,6,151,7,1717,152
124,18,149,12,59524,153
125,19,89,12,12145,154
126,19,135,11,55572,155
127,12,87,8,56284,156
128,24,85,18,28089,157
129,16,158,5,283,159
130,3,160,8,4630,161
131,6,158,5,283,162
132,10,163,5,13055,164
133,12,165,9,63369,166
134,5,101,11,50270,167
135,16,83,12,59497,168
136,3,169,6,61849,170
137,14,114,9,61525,171
138,4,99,6,48840,172
139,21,149,12,59524,173
140,14,91,11,57576,174
141,46,140,9,295,175
142,10,96,7,59521,176
143,10,121,7,59515,177
144,5,132,7,41418,178
145,15,85,15,28089,107
146,9,179,31,6718,180
147,12,85,16,28089,181
148,9,85,18,28089,182
149,12,116,11,1716,183
150,25,85,22,28089,184
151,4,151,7,1717,185
152,28,103,7,12279,186
153,15,132,10,41418,187
154,16,188,11,55532,189
155,23,77,10,35962,190
156,28,101,21,50270,191
157,15,192,9,35128,193
158,9,85,15,28089,194
159,25,77,11,35962,195
160,10,85,15,28089,196
