Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
1,0,22,22,5,2,37,11,14,18,16,8,17,2,33,24,9,7,18,8,16,17,22,11,26,24,13,23,21,16,12,22,17,19,8,7,30,16,42,12,7,35,14,19,18,2,18,18,14,9,19,24,6,35,16,20,16,7,14,11,20,10,18,3,14,22,11,14,10,14,15,25,9,32,19,2,34,20,21,16,19,14,17,18,8,14,12,31,37,10,29,23,18,40,18,12,14,12,39,6,21,7,18,18,30,13,18,20,20,22,16,28,18,16,15,9,8,18,7,17,15,20,40,26,17,10,12,20,12,8,13,15,16,3,32,10,12,9,19,17,15,9,13,14,18,16,23,8,7,18,20,2,3,39,22,24,12,11,17,14,7,8,31,10,8,23,28,14,18,3,22,20,19,17,28,7,10,42,24,4,19,10,12,20,11,4,15,12,16,9,1,11,16,6,24,8,26
2,22,0,32,28,20,33,11,24,13,7,16,21,24,31,28,16,15,14,14,6,16,1,28,5,22,14,28,1,22,11,18,6,7,16,15,27,24,36,11,16,30,8,39,26,21,5,15,24,26,15,22,20,12,6,3,15,15,12,12,20,13,30,20,13,23,34,12,12,8,16,22,32,30,4,20,30,3,24,26,16,9,5,15,16,13,13,24,34,13,27,20,4,39,26,9,14,14,37,16,16,15,34,5,25,16,13,18,2,3,15,7,17,16,7,14,15,21,16,6,8,20,39,14,6,18,11,15,10,15,16,7,6,24,11,16,19,13,6,10,24,28,10,8,7,12,36,15,16,22,20,21,20,35,9,8,13,12,14,11,28,29,25,12,32,28,43,8,5,26,29,1,4,40,25,28,32,40,4,19,21,12,12,19,12,19,17,11,6,14,22,12,24,16,18,14,22
3,22,32,0,17,23,16,21,8,23,27,25,39,22,14,5,18,25,20,26,26,17,34,31,38,18,21,5,33,13,22,19,27,30,18,23,17,36,21,22,19,14,26,4,7,21,29,24,8,12,26,12,27,43,28,32,19,25,21,27,38,26,4,20,21,10,28,20,21,25,18,10,30,14,30,24,19,30,11,8,18,25,29,24,18,20,21,17,16,21,7,17,30,22,7,24,20,18,21,27,26,19,4,30,19,18,23,22,33,33,19,38,17,17,26,23,25,36,22,26,27,13,21,36,29,31,23,27,24,19,18,26,26,21,45,18,14,19,31,27,8,13,25,26,30,20,2,18,18,12,12,22,20,20,32,34,20,22,22,24,16,18,17,24,29,6,9,25,28,21,5,32,28,6,17,21,28,20,34,25,37,21,22,36,21,23,35,24,28,23,21,24,9,20,19,25,13
4,5,28,17,0,6,32,16,10,16,20,11,21,6,31,18,11,12,12,13,20,12,25,16,32,22,13,19,26,12,17,17,21,24,12,12,25,19,36,16,12,29,18,15,14,6,23,18,10,4,18,20,10,38,22,25,12,11,14,15,25,14,15,8,14,16,11,14,14,19,10,20,14,28,23,7,30,25,16,10,14,19,21,19,12,14,15,26,31,15,23,19,22,36,13,17,14,12,36,11,20,12,13,21,26,12,17,16,26,26,12,33,12,12,21,13,11,22,11,22,19,15,39,29,21,14,17,21,17,12,12,20,20,6,36,12,7,14,23,20,10,4,18,19,23,14,19,12,12,15,16,6,7,37,27,29,14,15,16,16,3,3,24,15,14,18,24,20,24,5,18,26,22,12,23,4,11,37,28,9,23,15,14,24,16,9,21,16,20,13,5,15,12,10,19,12,21
5,2,20,23,6,0,38,10,17,19,15,6,15,4,38,24,10,6,18,7,15,18,20,10,25,26,15,24,21,18,11,23,16,18,6,6,31,14,44,10,6,36,13,21,18,2,16,19,16,10,20,25,4,33,15,19,18,6,16,9,18,8,20,4,15,23,12,14,8,12,16,26,10,35,18,1,36,18,21,16,21,12,16,20,10,15,13,32,39,9,28,24,17,44,19,12,15,14,45,6,22,6,19,16,31,14,19,23,19,22,18,28,18,18,15,7,6,16,6,15,13,21,42,24,15,8,13,21,12,6,15,14,15,4,30,11,14,7,18,16,16,10,12,12,18,17,26,10,8,22,23,0,4,43,20,22,14,9,19,16,9,9,32,8,10,25,29,13,16,5,25,21,18,18,29,8,11,44,24,3,17,12,13,18,12,3,14,11,16,8,2,9,18,4,24,7,28
6,37,33,16,32,38,0,38,22,20,33,41,56,36,3,14,28,38,20,41,29,21,32,49,37,11,23,13,32,20,36,15,30,27,33,40,7,51,6,34,34,2,33,17,20,37,30,20,23,29,18,12,42,35,32,33,20,39,23,40,50,40,18,33,23,16,43,24,30,32,21,12,42,4,28,39,9,32,16,20,18,35,29,19,28,24,26,7,2,32,10,14,34,6,20,30,24,26,5,41,16,33,19,28,10,24,20,16,33,36,22,28,20,20,35,39,40,55,36,32,35,17,6,28,30,48,26,18,32,33,23,28,28,36,36,27,24,36,26,22,23,28,31,33,27,21,14,29,30,17,16,39,34,4,24,26,25,31,19,23,32,33,6,40,46,14,20,31,27,38,15,32,28,20,9,36,43,13,29,42,54,27,24,52,26,39,49,33,29,39,36,38,19,34,15,42,11
7,11,11,21,16,10,38,0,16,18,5,4,16,13,34,23,9,4,18,6,8,18,11,16,16,26,14,24,11,17,2,23,6,12,5,4,31,15,43,5,5,36,4,25,18,9,8,19,15,16,18,24,9,23,6,9,17,4,14,5,16,5,20,8,14,21,22,14,7,4,15,24,18,32,8,9,33,9,20,16,20,3,7,19,9,14,12,30,36,7,28,23,8,41,18,6,13,12,41,5,21,5,23,8,29,13,18,22,10,12,16,17,18,17,6,2,4,16,4,6,4,20,42,19,7,9,12,20,5,4,14,9,8,14,22,10,12,3,10,14,15,15,7,4,11,16,24,9,6,20,22,9,8,42,13,13,12,6,18,15,18,18,32,2,20,24,30,5,9,13,24,12,9,26,29,18,21,41,13,7,18,11,12,15,12,8,13,4,8,2,11,2,18,6,24,5,26
8,14,24,8,10,17,22,16,0,14,20,17,31,16,20,8,10,17,12,21,19,9,26,26,30,12,12,9,24,4,16,10,19,22,11,18,15,30,26,16,11,22,18,13,4,15,20,16,1,6,16,10,20,38,19,24,11,18,13,19,29,21,5,13,13,7,21,13,13,18,10,11,22,18,22,16,19,23,6,1,10,17,20,17,10,14,13,15,24,12,13,9,22,27,4,16,13,11,27,20,18,11,10,22,15,10,16,14,24,25,10,30,8,9,19,16,18,31,15,20,19,5,28,28,20,25,15,19,16,12,10,19,19,15,38,10,6,13,22,20,1,6,16,17,22,14,9,11,10,5,6,16,12,25,25,26,12,14,14,15,8,11,16,17,23,9,18,17,22,14,9,25,21,13,14,13,22,27,28,20,33,14,14,30,14,17,29,15,20,17,14,16,3,13,11,20,11
9,18,13,23,16,19,20,18,14,0,16,20,33,18,17,18,8,19,3,24,10,5,12,26,17,9,4,17,13,10,18,5,11,8,13,20,13,31,24,14,13,18,14,26,15,17,11,2,14,16,3,9,24,23,12,13,4,20,4,21,32,22,20,16,4,12,23,4,12,15,5,12,26,16,9,19,17,13,12,15,5,16,11,3,9,4,6,12,21,11,17,7,14,26,14,12,4,6,24,22,5,13,25,10,14,4,2,5,12,16,4,17,6,5,15,18,21,34,18,12,16,10,27,14,12,27,6,5,13,14,5,9,10,18,22,8,9,16,8,6,14,15,12,14,8,2,22,9,12,10,10,18,16,22,11,13,5,12,0,4,18,17,14,19,24,17,32,13,9,17,18,13,10,28,11,18,23,26,13,22,34,7,6,30,6,20,30,14,10,20,18,19,13,15,6,21,10
10,16,7,27,20,15,33,5,20,16,0,9,19,18,31,22,10,10,16,9,5,15,6,21,11,22,11,22,6,15,4,19,4,9,9,9,28,18,38,5,9,33,2,32,19,14,5,17,18,20,16,22,14,19,4,4,14,9,12,8,18,8,24,13,12,21,26,11,6,2,12,23,25,30,6,14,33,4,18,20,17,2,4,16,9,12,10,26,35,6,25,20,3,41,19,4,11,10,38,10,19,9,28,5,28,11,15,20,5,8,14,12,16,14,0,8,9,19,10,4,2,18,39,15,4,12,9,18,4,8,11,6,5,18,17,9,13,7,8,13,18,21,4,2,8,14,27,9,9,18,18,14,14,40,10,11,10,6,15,12,23,23,28,6,24,21,37,2,6,19,23,6,6,33,25,22,26,41,9,12,19,8,10,16,9,12,16,4,5,8,16,5,18,11,21,8,24
