ID,Location,Capacity
1,1,100
2,2,100
3,3,100
4,4,100
5,5,100
6,6,100
7,7,100
8,8,100
9,9,100
10,10,100
11,11,100
12,12,100
13,13,100
14,14,100
15,15,100
16,16,100
17,17,100
18,18,100
19,19,100
20,20,100
21,21,100
22,22,100
23,23,100
24,24,100
25,25,100
26,26,100
27,27,100
28,28,100
29,29,100
30,30,100
31,31,100
32,32,100
33,33,100
34,34,100
35,35,100
36,36,100
37,37,100
38,38,100
39,39,100
40,40,100
41,41,100
42,42,100
43,43,100
44,44,100
45,45,100
46,46,100
47,47,100
48,48,100
49,49,100
50,50,100
51,51,100
52,52,100
53,53,100
54,54,100
