ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
55,8,55,16,91375,56
56,22,57,24,177088,58
57,5,59,4,157772,60
58,100,61,22,152878,62
59,4,63,5,41011,64
60,26,65,7,102066,66
61,5,55,14,91375,67
62,5,68,9,187294,69
63,100,61,22,152878,62
64,28,61,18,152878,70
65,4,71,10,42552,72
66,4,73,9,90656,74
67,2,75,6,112291,76
68,5,77,5,42416,78
69,5,79,12,170124,69
70,3,80,6,175551,81
71,6,82,12,150732,83
72,4,84,5,163958,85
73,28,57,24,177088,86
74,44,61,22,152878,87
75,19,88,9,122313,89
76,11,55,16,91375,90
77,8,71,12,42552,91
78,15,92,11,158792,93
79,9,59,4,157772,94
80,7,95,5,159647,96
81,6,97,5,176512,98
82,4,99,12,147510,100
83,5,55,15,91375,101
84,8,55,16,91375,102
85,19,65,6,102066,103
86,4,55,13,91375,104
87,9,105,10,35080,106
88,7,107,10,178393,108
89,10,55,17,91375,109
90,24,110,17,124274,111
91,1,112,13,156097,113
