ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
772,27,772,17,164713,773
773,20,774,21,213206,775
774,4,776,3,60013,777
775,4,778,16,214154,779
776,8,780,9,23945,781
777,12,782,6,203726,783
778,4,784,14,202313,785
779,7,786,15,8692,787
780,17,788,14,65659,789
781,14,790,8,205284,791
782,4,792,9,72439,793
783,6,794,16,139996,795
784,9,796,7,30643,797
785,10,776,3,60013,798
786,3,799,7,213569,800
787,9,774,35,200716,801
788,19,802,21,213489,803
789,7,804,5,151463,805
790,7,806,11,24362,807
791,4,808,4,63491,809
792,1,810,10,163204,811
793,12,812,20,20642,813
794,15,814,17,211801,815
795,4,816,17,12133,817
796,4,818,8,68992,819
797,11,820,25,201303,821
798,16,822,22,74218,823
799,6,824,7,67801,825
800,5,826,14,55959,827
801,100,828,14,164713,772
802,8,829,8,15312,830
803,3,831,10,213463,832
804,7,833,13,196066,834
805,15,774,22,197770,835
806,14,836,22,156336,837
807,12,838,9,18208,839
808,2,840,10,213698,841
809,5,842,33,150291,843
810,7,844,5,60011,845
811,11,774,22,197266,846
812,17,774,35,200716,847
813,28,848,11,212104,849
814,3,850,5,201712,851
815,9,852,7,15276,853
816,4,854,11,140952,855
817,19,814,20,211801,856
818,16,857,19,42375,858
819,17,859,11,208616,860
820,19,861,35,200828,862
821,10,863,17,185201,864
822,20,792,9,72439,865
823,11,866,11,172681,867
824,6,868,19,205994,869
825,8,870,19,209848,871
826,2,844,5,60011,872
827,5,873,7,205305,874
828,24,875,15,83786,876
829,8,877,5,81521,878
830,4,879,7,28670,880
831,3,881,7,175838,882
832,24,883,23,20373,884
833,5,885,6,158644,886
834,10,887,6,30275,888
835,4,889,14,61672,890
836,7,891,12,113471,892
837,12,893,10,172293,894
838,26,895,16,115229,896
839,7,897,20,209747,898
840,6,802,17,213489,899
841,5,861,34,200828,900
842,7,901,10,16145,902
843,13,808,3,63491,903
844,6,802,17,213489,904
845,4,774,11,194522,905
846,7,836,18,156336,906
847,4,907,13,139918,908
848,7,909,18,207775,910
849,12,911,23,195969,912
850,13,913,9,207180,914
851,5,915,15,151604,916
852,24,917,14,208617,918
853,5,919,8,6384,920
854,6,863,17,185201,921
855,9,922,20,13418,923
856,3,901,8,16145,924
857,7,925,11,58395,926
858,20,927,22,205727,928
859,10,893,9,172293,929
860,6,930,6,207697,931
861,21,836,20,156336,932
862,4,933,10,58377,934
863,9,935,11,15614,936
864,14,937,18,209944,938
865,14,939,14,62973,940
866,2,941,6,183465,942
867,4,943,10,23550,944
868,3,776,3,60013,945
869,4,946,17,189368,947
870,5,948,8,179746,949
871,15,950,11,195546,951
872,6,776,3,60013,952
873,7,808,4,63491,953
874,9,820,23,201303,954
875,2,810,10,163204,955
876,100,792,7,72439,956
877,4,957,12,152334,958
878,2,959,5,149543,960
879,2,961,6,46561,962
880,6,963,12,16560,964
881,7,820,23,201303,965
882,10,966,19,20235,967
883,21,968,13,65705,969
884,15,774,24,197266,970
885,5,915,14,151604,971
886,6,820,23,201303,972
887,18,973,18,15562,974
888,3,776,3,60013,975
889,12,976,19,208027,977
890,10,978,15,13794,979
891,13,943,16,23550,980
892,8,981,12,149937,982
893,5,983,6,15924,984
894,7,774,22,197266,985
895,5,986,9,15661,987
896,5,988,14,213913,989
897,8,852,7,15276,990
898,16,776,3,60013,991
899,9,992,9,65324,993
900,9,994,23,11224,995
901,30,996,34,75041,997
902,23,998,16,171481,999
903,9,808,4,63491,1000
904,3,1001,11,204570,1002
905,14,1003,10,19132,1004
906,73,792,11,72439,1005
907,9,861,35,200828,1006
908,13,776,3,60013,1007
909,8,808,4,63491,1008
910,9,1009,14,150814,1010
911,7,913,7,207180,1011
912,17,1012,8,31761,1013
913,3,1014,6,186382,1015
914,9,861,35,200828,1016
915,5,887,6,30275,1017
916,19,917,13,208617,1018
917,35,1019,20,162929,1020
918,5,774,34,200716,1021
919,2,1022,6,207425,1023
920,6,802,18,213489,1024
921,5,1025,12,152382,1026
922,2,1027,10,182494,1028
923,6,774,12,212978,1029
924,10,1030,18,194703,1031
925,2,1032,10,23946,1033
926,7,1034,8,29931,1035
927,12,808,4,63491,1036
928,13,1037,17,156734,1038
929,5,808,4,63491,1039
930,6,774,34,200716,1040
931,8,774,22,197266,1041
932,3,844,6,60011,1042
933,21,844,9,60011,1043
934,14,1044,18,76225,1045
935,4,959,5,149543,1046
936,9,844,7,60011,1047
937,5,1048,26,167342,1049
938,11,1050,6,208556,1051
939,10,1052,8,175535,1053
940,9,1054,36,61725,1055
941,5,1056,17,171069,1057
942,8,1058,9,212022,1059
943,12,1060,14,64969,1061
944,8,922,19,13418,1062
945,34,1063,28,140978,1064
946,10,1065,13,15760,1066
947,15,814,20,211801,1067
948,6,1068,16,64936,1069
949,12,1070,7,47782,1071
950,28,1072,25,206646,1073
951,2,1074,14,114570,1075
952,10,774,26,195629,1076
953,28,861,34,200828,1077
954,8,774,22,197266,1078
955,7,814,14,211801,1079
956,14,1080,11,78622,1081
957,10,792,6,72439,1082
958,25,1083,19,50902,1084
959,8,1085,21,13747,1086
960,15,794,20,139996,1087
961,8,897,21,209747,1088
962,5,1089,14,70715,1090
963,9,1091,21,83770,1092
964,3,772,12,164713,1093
965,22,836,22,156336,1094
966,7,1095,11,213071,1096
967,3,1097,11,157100,1098
968,14,1063,21,140978,1099
969,3,1100,8,19643,1101
970,9,1102,8,43224,1103
