Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,0,25,1,39,21,38,23,57,1,9,4,1,16,30,67,12,66,61,8,41,64,60,60,22,63,32,64,22,10,30,66,61,64,57,33,42,30,20,4,64
2,25,0,25,16,8,24,42,35,23,32,24,24,13,18,43,33,40,40,32,18,40,36,35,42,40,10,39,15,32,20,43,33,42,31,8,16,5,28,25,38
3,1,25,0,38,21,36,24,58,1,8,3,1,15,28,66,13,65,62,8,42,64,62,59,23,62,32,61,22,10,30,65,61,67,56,33,41,29,19,3,63
4,39,16,38,0,18,10,38,28,39,47,40,38,26,11,26,48,24,23,49,3,23,24,21,38,26,7,24,18,48,12,26,27,25,17,22,1,18,20,41,22
5,21,8,21,18,0,17,34,38,21,30,23,22,7,10,44,33,42,42,29,22,40,43,40,35,42,12,41,8,31,12,45,37,45,33,15,18,12,20,21,38
6,38,24,36,10,17,0,35,38,36,47,37,36,24,9,28,48,28,32,47,7,34,33,24,36,28,16,31,15,47,9,27,37,27,19,30,9,28,19,36,24
7,23,42,24,38,34,35,0,59,24,19,27,23,29,28,60,13,62,61,18,40,58,60,56,1,61,35,58,27,18,26,60,58,66,56,49,37,44,17,26,58
8,57,35,58,28,38,38,59,0,56,64,58,60,44,30,12,68,8,5,68,29,4,4,20,59,10,25,4,35,71,32,10,1,10,22,26,28,31,42,61,22
9,1,23,1,39,21,36,24,56,0,8,3,1,16,28,63,13,62,66,8,43,61,62,64,24,65,34,62,22,10,30,64,56,66,56,30,42,29,20,4,62
10,9,32,8,47,30,47,19,64,8,0,9,8,23,37,70,7,70,73,1,49,70,70,70,18,71,42,69,32,2,37,73,68,74,67,40,46,36,28,9,66
11,4,24,3,40,23,37,27,58,3,9,0,3,16,28,64,16,62,66,8,43,62,62,60,27,64,33,62,22,10,30,67,62,66,54,33,38,28,20,1,62
12,1,24,1,38,22,36,23,60,1,8,3,0,15,30,68,12,64,65,8,43,64,64,58,24,64,33,62,23,9,30,63,57,67,55,32,39,28,20,4,58
13,16,13,15,26,7,24,29,44,16,23,16,15,0,14,50,26,48,48,23,28,47,46,45,30,50,19,46,8,24,14,51,46,53,40,20,25,18,14,16,47
14,30,18,28,11,10,9,28,30,28,37,28,30,14,0,38,39,35,35,38,14,34,33,34,26,36,10,32,7,39,3,37,32,36,28,24,11,22,11,29,32
15,67,43,66,26,44,28,60,12,63,70,64,68,50,38,0,78,4,8,72,22,8,9,8,64,2,31,8,42,75,37,3,12,2,10,34,24,38,46,62,10
16,12,33,13,48,33,48,13,68,13,7,16,12,26,39,78,0,75,76,7,54,73,70,74,13,72,43,72,34,7,39,72,68,75,67,43,48,37,30,15,73
17,66,40,65,24,42,28,62,8,62,70,62,64,48,35,4,75,0,4,75,22,4,4,12,62,3,30,4,41,72,36,2,9,3,15,32,24,35,45,65,15
18,61,40,62,23,42,32,61,5,66,73,66,65,48,35,8,76,4,0,74,27,1,1,16,60,6,31,2,42,75,35,5,6,6,18,34,24,35,45,67,18
19,8,32,8,49,29,47,18,68,8,1,8,8,23,38,72,7,75,74,0,52,67,68,68,18,72,42,68,31,2,36,70,68,75,65,39,47,38,27,9,67
20,41,18,42,3,22,7,40,29,43,49,43,43,28,14,22,54,22,27,52,0,28,26,18,42,23,10,27,21,53,14,22,32,23,13,23,4,21,24,45,18
21,64,40,64,23,40,34,58,4,61,70,62,64,47,34,8,73,4,1,67,28,0,1,16,58,7,29,2,42,70,33,6,5,7,18,30,23,34,44,63,19
22,60,36,62,24,43,33,60,4,62,70,62,64,46,33,9,70,4,1,68,26,1,0,16,58,7,30,1,41,73,33,6,5,7,19,32,25,33,41,62,18
23,60,35,59,21,40,24,56,20,64,70,60,58,45,34,8,74,12,16,68,18,16,16,0,60,10,29,17,39,72,34,10,21,10,5,31,22,34,40,60,3
24,22,42,23,38,35,36,1,59,24,18,27,24,30,26,64,13,62,60,18,42,58,58,60,0,65,34,61,28,18,27,64,59,62,53,48,38,44,18,28,60
25,63,40,62,26,42,28,61,10,65,71,64,64,50,36,2,72,3,6,72,23,7,7,10,65,0,31,6,42,74,38,1,11,1,12,34,24,36,47,66,12
26,32,10,32,7,12,16,35,25,34,42,33,33,19,10,31,43,30,31,42,10,29,30,29,34,31,0,28,12,43,12,33,25,32,22,15,7,13,21,35,28
27,64,39,61,24,41,31,58,4,62,69,62,62,46,32,8,72,4,2,68,27,2,1,17,61,6,28,0,38,72,32,5,5,6,18,30,24,34,40,64,19
28,22,15,22,18,8,15,27,35,22,32,22,23,8,7,42,34,41,42,31,21,42,41,39,28,42,12,38,0,32,7,43,37,44,34,22,18,20,14,24,38
29,10,32,10,48,31,47,18,71,10,2,10,9,24,39,75,7,72,75,2,53,70,73,72,18,74,43,72,32,0,38,72,71,71,64,42,48,38,28,10,67
30,30,20,30,12,12,9,26,32,30,37,30,30,14,3,37,39,36,35,36,14,33,33,34,27,38,12,32,7,38,0,37,33,36,29,28,12,26,10,29,31
31,66,43,65,26,45,27,60,10,64,73,67,63,51,37,3,72,2,5,70,22,6,6,10,64,1,33,5,43,72,37,0,10,2,13,35,25,36,46,62,12
32,61,33,61,27,37,37,58,1,56,68,62,57,46,32,12,68,9,6,68,32,5,5,21,59,11,25,5,37,71,33,10,0,12,22,27,28,30,40,59,22
33,64,42,67,25,45,27,66,10,66,74,66,67,53,36,2,75,3,6,75,23,7,7,10,62,1,32,6,44,71,36,2,12,0,12,32,26,38,47,65,11
34,57,31,56,17,33,19,56,22,56,67,54,55,40,28,10,67,15,18,65,13,18,19,5,53,12,22,18,34,64,29,13,22,12,0,26,17,27,38,58,5
35,33,8,33,22,15,30,49,26,30,40,33,32,20,24,34,43,32,34,39,23,30,32,31,48,34,15,30,22,42,28,35,27,32,26,0,21,3,36,32,30
36,42,16,41,1,18,9,37,28,42,46,38,39,25,11,24,48,24,24,47,4,23,25,22,38,24,7,24,18,48,12,25,28,26,17,21,0,20,21,40,21
37,30,5,29,18,12,28,44,31,29,36,28,28,18,22,38,37,35,35,38,21,34,33,34,44,36,13,34,20,38,26,36,30,38,27,3,20,0,32,28,31
38,20,28,19,20,20,19,17,42,20,28,20,20,14,11,46,30,45,45,27,24,44,41,40,18,47,21,40,14,28,10,46,40,47,38,36,21,32,0,21,40
