ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
17,19,17,15,17111,18
18,23,19,20,31553,20
19,25,21,8,28100,22
20,7,23,7,29210,24
21,14,25,20,30468,26
22,5,27,12,32887,28
23,3,29,8,32269,30
24,36,31,7,30465,32
25,37,31,8,30465,33
26,10,19,12,31553,34
27,10,19,12,31553,35
28,7,36,12,28214,37
29,7,38,13,33412,39
30,7,40,13,32926,41
31,3,42,10,25109,43
32,4,44,5,29042,45
33,10,42,10,25109,46
34,30,47,10,28101,48
35,12,21,8,28100,49
36,36,47,10,28101,50
37,9,36,14,28214,51
38,9,52,18,29819,53
39,29,25,25,30468,54
40,5,55,19,27352,56
41,5,57,10,27522,58
42,6,59,21,33360,60
