Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
1,0,8,8,19,25,5,12,4,1,1,10,0,2,8,12,5,8,6,7,8,12,1,12,7,8,9,3,0,10,8,10,8,16,13,10,5,13,9,2,10,7,12,5,0,6,9,2,8,4,8,10,8,24,12,2,4,8,17,11,4,8,2,11,5,13,6,6,9,16,13,8,2,8,2,11,5
2,8,0,1,12,17,6,5,4,8,8,3,8,8,1,5,6,7,6,11,4,5,8,5,8,8,1,8,8,6,11,6,7,8,5,10,3,5,4,8,7,9,7,6,8,10,1,7,5,4,6,5,2,16,5,8,4,5,8,8,8,0,7,8,13,5,3,6,3,15,5,5,10,5,10,8,10
3,8,1,0,11,17,7,6,5,8,9,2,8,9,1,6,6,8,6,11,4,6,8,5,9,8,0,8,8,5,11,6,8,8,6,11,4,5,4,8,8,10,6,6,9,10,0,8,4,5,7,4,3,17,4,8,5,6,8,8,8,1,7,8,13,6,3,6,4,16,5,5,10,5,10,8,10
4,19,12,11,0,7,18,8,16,19,19,9,18,19,12,9,16,12,16,15,12,8,20,6,12,12,11,20,20,14,16,16,12,3,7,12,14,7,10,19,9,12,8,17,19,14,12,18,12,15,11,10,12,6,8,18,15,17,4,18,19,11,18,17,23,8,14,17,10,26,6,16,20,16,22,9,21
5,25,17,17,7,0,24,14,22,25,26,15,24,26,17,14,24,17,24,22,17,15,24,12,19,17,17,24,25,20,21,22,17,9,14,16,20,12,16,26,14,18,15,22,25,21,18,24,19,23,17,16,19,3,15,24,21,22,10,24,25,18,23,22,31,14,20,23,17,34,13,21,26,22,27,14,28
6,5,6,7,18,24,0,9,3,5,6,8,5,7,6,9,0,9,0,12,6,9,6,11,10,9,7,2,6,4,13,4,9,14,10,12,3,11,7,7,9,10,9,0,5,10,7,3,5,3,8,8,5,23,10,4,3,3,14,6,2,6,5,7,7,10,4,1,6,11,11,4,5,4,6,10,4
7,12,5,6,8,14,9,0,8,11,12,8,12,12,5,1,9,4,10,8,4,1,12,5,5,4,6,11,12,11,8,10,4,8,1,6,7,5,3,12,2,5,12,9,12,7,6,10,10,8,4,10,4,13,10,11,8,10,5,12,11,5,10,13,17,1,6,9,4,20,5,10,14,10,13,3,14
8,4,4,5,16,22,3,8,0,4,4,6,4,4,4,8,3,7,3,10,5,8,4,9,8,7,5,4,4,6,10,7,6,13,8,10,2,10,5,4,8,8,8,3,4,9,5,3,6,1,6,6,4,21,8,3,0,6,13,8,4,5,3,9,9,8,2,3,5,14,9,6,6,6,6,8,6
9,1,8,8,19,25,5,11,4,0,1,10,1,2,8,11,5,8,5,7,8,12,1,13,7,8,8,3,1,8,8,8,8,17,12,10,5,13,9,2,11,7,11,5,1,6,8,2,8,4,8,10,7,23,12,1,4,8,17,11,3,8,2,11,5,12,6,6,9,17,13,8,3,8,2,11,5
10,1,8,9,19,26,6,12,4,1,0,10,0,2,8,12,5,8,5,7,8,12,0,13,7,8,9,4,0,9,8,10,8,16,12,10,6,13,9,2,10,7,12,6,1,6,8,2,8,4,8,10,7,25,12,2,4,9,16,12,4,8,2,11,5,12,6,6,9,17,14,9,3,8,2,11,5
