Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0,1,1,48,5,21,32,1,51,5,22,1,1,8,5,1,5,23,13,1,13,21,24,2,13,78,5,51,24,24,23,5,8,11,54,0,34
2,1,0,0,49,6,21,32,1,47,6,22,1,1,8,6,1,6,23,14,1,14,21,24,0,14,74,6,48,25,23,22,6,7,12,56,2,34
3,1,0,0,50,6,22,30,1,50,6,22,1,1,7,6,1,6,23,14,1,15,21,24,0,15,75,6,50,26,23,23,6,7,12,53,2,35
4,48,49,50,0,52,30,81,51,96,51,29,52,48,49,51,51,49,76,62,48,46,29,76,52,42,29,51,103,68,74,75,50,58,46,6,48,84
5,5,6,6,52,0,21,32,5,50,0,22,5,5,14,1,5,0,24,12,6,9,20,23,6,9,77,0,50,20,23,24,0,8,6,53,5,36
6,21,21,22,30,21,0,52,20,69,22,0,21,21,27,22,22,20,42,32,20,20,0,44,22,12,58,21,72,38,42,43,22,29,19,34,20,56
7,32,32,30,81,32,52,0,30,19,31,49,32,30,34,31,31,32,8,19,29,33,51,11,29,41,109,32,18,32,8,8,32,24,32,81,30,5
8,1,1,1,51,5,20,30,0,49,5,20,1,1,9,5,1,5,23,14,1,14,22,23,1,14,74,5,47,24,23,23,5,7,12,56,1,34
9,51,47,50,96,50,69,19,49,0,51,70,48,48,53,48,51,48,27,40,48,52,71,26,50,58,131,47,4,40,27,26,51,44,49,99,50,15
10,5,6,6,51,0,22,31,5,51,0,21,5,6,14,1,5,0,24,12,6,8,22,24,6,9,75,0,50,20,23,22,0,7,7,54,5,36
11,22,22,22,29,22,0,49,20,70,21,0,22,22,26,22,21,22,42,34,22,19,0,46,22,13,58,20,67,39,42,42,22,29,19,34,22,53
12,1,1,1,52,5,21,32,1,48,5,22,0,1,8,6,0,5,24,14,1,13,21,24,1,14,76,5,49,26,23,22,5,7,12,56,1,33
13,1,1,1,48,5,21,30,1,48,6,22,1,0,8,6,1,6,22,13,0,14,21,23,1,14,74,5,47,24,22,23,5,8,11,52,1,33
14,8,8,7,49,14,27,34,9,53,14,26,8,8,0,14,8,12,26,21,8,22,26,27,7,21,74,13,49,33,26,25,13,12,19,51,9,38
15,5,6,6,51,1,22,31,5,48,1,22,6,6,14,0,6,1,22,12,6,8,22,22,6,9,78,1,46,21,23,23,0,8,7,53,5,36
16,1,1,1,51,5,22,31,1,51,5,21,0,1,8,6,0,5,23,13,0,13,21,23,1,14,79,6,48,26,24,23,6,7,12,54,1,34
17,5,6,6,49,0,20,32,5,48,0,22,5,6,12,1,5,0,22,12,6,9,20,24,6,9,80,0,50,20,22,23,0,8,6,55,5,34
18,23,23,23,76,24,42,8,23,27,24,42,24,22,26,22,23,22,0,17,23,24,42,8,24,33,98,22,26,28,1,1,24,15,24,77,24,12
19,13,14,14,62,12,32,19,14,40,12,34,14,13,21,12,13,12,17,0,14,14,33,11,14,20,93,13,37,11,15,16,12,10,14,67,14,22
20,1,1,1,48,6,20,29,1,48,6,22,1,0,8,6,0,6,23,14,0,14,21,23,1,15,76,5,51,25,23,23,6,8,12,56,1,33
21,13,14,15,46,9,20,33,14,52,8,19,13,14,22,8,13,9,24,14,14,0,20,26,15,7,73,8,48,20,24,25,9,10,2,55,13,37
22,21,21,21,29,20,0,51,22,71,22,0,21,21,26,22,21,20,42,33,21,20,0,43,21,13,56,21,69,40,44,43,22,28,18,33,20,58
23,24,24,24,76,23,44,11,23,26,24,46,24,23,27,22,23,24,8,11,23,26,43,0,22,33,104,23,26,21,8,8,23,16,26,78,23,14
24,2,0,0,52,6,22,29,1,50,6,22,1,1,7,6,1,6,24,14,1,15,21,22,0,14,78,6,50,25,22,24,6,7,12,56,2,34
25,13,14,15,42,9,12,41,14,58,9,13,14,14,21,9,14,9,33,20,15,7,13,33,14,0,69,10,54,26,30,31,9,16,7,48,14,45
26,78,74,75,29,77,58,109,74,131,75,58,76,74,74,78,79,80,98,93,76,73,56,104,78,69,0,76,125,91,104,96,78,88,76,23,74,115
27,5,6,6,51,0,21,32,5,47,0,20,5,5,13,1,6,0,22,13,5,8,21,23,6,10,76,0,49,20,24,22,0,7,7,53,5,34
28,51,48,50,103,50,72,18,47,4,50,67,49,47,49,46,48,50,26,37,51,48,69,26,50,54,125,49,0,44,26,26,50,41,53,105,48,14
29,24,25,26,68,20,38,32,24,40,20,39,26,24,33,21,26,20,28,11,25,20,40,21,25,26,91,20,44,0,26,28,20,21,20,70,25,32
30,24,23,23,74,23,42,8,23,27,23,42,23,22,26,23,24,22,1,15,23,24,44,8,22,30,104,24,26,26,0,1,23,16,26,80,22,13
31,23,22,23,75,24,43,8,23,26,22,42,22,23,25,23,23,23,1,16,23,25,43,8,24,31,96,22,26,28,1,0,24,15,24,79,23,12
32,5,6,6,50,0,22,32,5,51,0,22,5,5,13,0,6,0,24,12,6,9,22,23,6,9,78,0,50,20,23,24,0,7,7,53,5,36
33,8,7,7,58,8,29,24,7,44,7,29,7,8,12,8,7,8,15,10,8,10,28,16,7,16,88,7,41,21,16,15,7,0,10,59,8,28
34,11,12,12,46,6,19,32,12,49,7,19,12,11,19,7,12,6,24,14,12,2,18,26,12,7,76,7,53,20,26,24,7,10,0,54,11,37
35,54,56,53,6,53,34,81,56,99,54,34,56,52,51,53,54,55,77,67,56,55,33,78,56,48,23,53,105,70,80,79,53,59,54,0,54,89
36,0,2,2,48,5,20,30,1,50,5,22,1,1,9,5,1,5,24,14,1,13,20,23,2,14,74,5,48,25,22,23,5,8,11,54,0,36
37,34,34,35,84,36,56,5,34,15,36,53,33,33,38,36,34,34,12,22,33,37,58,14,34,45,115,34,14,32,13,12,36,28,37,89,36,0
