ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
768,5,768,12,2914,769
769,6,770,23,2838,771
770,6,772,11,3244,773
771,6,774,11,4160,775
772,4,776,10,72612,777
773,7,778,10,3553,779
774,10,780,18,48949,781
775,3,782,6,70464,783
776,4,784,10,77686,785
777,5,786,15,117322,787
778,7,788,13,4551,789
779,4,790,6,122242,791
780,4,792,9,82361,793
781,7,770,21,2838,794
782,3,795,8,65116,796
783,9,797,16,91546,798
784,3,799,12,22656,800
785,3,801,5,26145,802
786,3,803,7,2931,804
787,3,805,2,67988,806
788,13,807,17,111803,808
789,3,809,9,134223,810
790,2,770,19,2838,811
791,11,812,16,3293,813
792,14,814,19,73295,815
793,14,816,19,65110,817
794,4,818,12,94126,819
795,8,770,21,2838,820
796,2,821,7,64958,822
797,8,823,10,100192,824
798,3,825,9,5037,826
799,10,770,23,2838,827
800,9,828,7,26869,829
801,2,830,19,122586,831
802,6,832,11,134133,833
803,8,834,15,97008,835
804,8,836,9,83438,837
805,8,838,11,78646,839
806,3,840,14,79355,841
807,29,842,21,95481,843
808,7,844,4,94202,845
809,6,842,6,135276,846
810,7,834,15,97008,847
811,10,848,11,13634,849
812,8,770,21,2838,850
813,5,851,15,75002,852
814,8,853,9,100327,854
815,6,855,10,82182,856
816,3,857,5,37286,858
817,14,859,10,39783,860
818,7,770,23,2838,861
819,3,862,12,109336,863
820,3,864,9,44420,865
821,3,866,11,23689,867
822,5,868,7,73623,869
823,16,780,18,48949,870
824,3,780,15,48949,871
825,5,872,9,65119,873
826,5,874,13,77216,875
827,8,876,14,121391,877
828,9,878,10,95123,879
829,7,853,9,100327,880
830,14,770,24,2838,881
831,3,882,6,26421,883
832,12,884,16,21390,885
833,7,886,9,121115,887
834,3,770,20,2838,888
835,3,889,12,101894,890
836,4,776,11,72612,891
837,7,884,15,21390,892
838,10,893,15,71133,894
839,13,872,13,65119,895
840,3,896,7,71653,897
841,5,816,17,65110,898
842,18,899,15,115995,900
843,11,901,16,65885,902
844,4,903,8,100349,904
845,3,905,16,117513,906
846,18,907,12,2959,908
847,16,909,16,51771,910
848,9,911,13,99838,912
849,3,913,9,128247,914
850,3,915,12,71534,916
851,3,874,13,77216,917
852,9,918,9,3138,919
853,4,920,6,99604,921
854,4,922,9,114716,923
855,16,832,15,134133,924
856,5,925,14,3196,926
857,21,770,24,2838,927
858,6,928,6,117360,929
859,3,930,5,46853,931
860,7,770,21,2838,932
861,3,823,11,100192,933
862,4,788,14,4551,934
863,7,935,10,43833,936
864,7,937,14,95836,938
865,6,834,16,97008,939
866,11,940,6,114074,941
867,9,942,12,3053,943
868,7,915,14,71534,944
869,10,945,15,21348,946
870,7,947,11,131270,948
871,16,949,14,72525,950
872,9,951,15,67790,952
873,16,953,11,2906,954
874,6,955,14,49783,956
875,17,957,13,130583,958
876,18,905,21,117513,959
877,8,905,18,117513,960
878,12,961,7,3002,962
879,9,963,3,67997,964
880,8,965,6,51475,966
881,3,967,16,47860,968
882,7,905,18,117513,969
883,4,970,6,96313,971
884,9,972,16,100679,973
885,8,974,7,133187,975
886,3,884,13,21390,976
887,5,780,16,48949,977
888,3,978,12,92038,979
889,3,770,20,2838,980
890,3,780,15,48949,981
891,12,982,16,113751,983
892,5,922,10,114716,984
893,3,985,10,92681,986
894,3,987,16,100449,988
895,10,851,17,75002,989
896,6,990,5,99024,991
897,4,992,6,73914,993
898,4,818,14,94126,994
899,9,995,13,26968,996
900,9,997,30,133092,998
901,13,999,12,51278,1000
902,13,1001,21,5614,1002
903,4,780,15,48949,1003
904,10,1004,9,50300,1005
905,3,784,9,77686,1006
906,28,853,11,100327,1007
907,6,857,6,37286,1008
908,9,790,7,122242,1009
909,4,780,15,48949,1010
910,4,886,7,121115,1011
911,4,1012,9,47267,1013
912,7,1014,11,3644,1015
913,7,1014,11,3644,1016
914,7,1017,10,39735,1018
915,6,1019,10,14494,1020
916,1,1021,8,108133,1022
917,4,1023,13,71996,1024
918,8,1025,17,90417,1026
919,6,1027,6,7279,1028
920,17,884,17,21390,1029
921,8,922,9,114716,1030
922,9,770,21,2838,1031
923,18,770,24,2838,1032
924,3,770,20,2838,1033
925,3,1001,17,5614,1034
926,6,1035,8,40609,1036
927,4,770,20,2838,1037
928,5,834,15,97008,1038
929,4,886,9,121115,1039
930,8,1040,8,73381,1041
931,5,1042,8,64244,1043
932,3,862,12,109336,1044
933,7,1045,43,126508,1046
934,7,920,6,99604,1047
935,3,1048,5,48223,1049
936,3,1050,10,85883,1051
937,3,1052,15,86602,1053
938,5,1054,16,8075,1055
939,7,1056,17,121729,1057
940,8,816,18,65110,1058
941,12,1059,18,3251,1060
942,3,925,13,3196,1061
943,4,1062,12,40428,1063
944,19,780,20,48949,1064
945,1,1065,8,116159,1066
946,4,772,11,3244,1067
947,4,1001,17,5614,1068
948,14,907,11,2959,1069
949,5,1070,12,23541,1071
950,3,1072,43,121123,1073
951,7,1074,14,50720,1075
952,4,1059,14,3251,1076
953,16,963,4,67997,1077
954,6,1078,14,116405,1079
955,23,1080,9,103447,1081
956,4,874,13,77216,1082
957,20,1083,12,101122,1084
958,6,1085,11,3051,1086
959,18,947,16,131270,1087
960,5,1088,11,129912,1089
961,8,967,18,47860,1090
962,7,834,14,97008,1091
963,3,884,14,21390,1092
964,9,1093,6,43052,1094
