ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
110,25,110,5,3336,111
111,60,112,10,303,113
112,47,114,15,7473,115
113,38,110,5,3336,116
114,92,114,19,7473,117
115,100,118,18,300,119
116,36,120,6,9210,121
117,65,122,16,1852,123
118,23,124,11,6047,125
119,30,126,9,3252,127
120,17,128,6,3360,129
121,44,130,9,6152,131
122,23,132,7,4878,133
123,32,134,9,555,135
124,48,136,18,380,137
125,100,138,19,5962,139
126,69,140,10,6278,141
127,20,142,6,8115,143
128,16,144,9,1880,145
129,45,146,7,338,147
130,36,136,18,376,148
131,53,140,11,6278,149
132,20,150,6,7163,151
133,26,152,14,8194,153
134,66,120,8,9210,154
135,16,155,9,6345,156
136,25,126,8,3252,157
137,16,158,11,1853,159
138,45,160,11,7798,161
139,63,162,16,478,163
140,63,152,15,1866,164
141,25,165,11,7971,166
142,31,167,12,2009,168
143,39,140,10,6278,169
144,64,170,17,8203,171
145,30,172,8,5617,173
146,20,146,6,338,174
147,16,152,11,1866,175
148,30,142,6,8115,176
149,29,132,7,4878,177
150,20,146,6,338,178
151,33,140,9,6278,179
152,40,172,9,5617,180
153,39,140,9,6278,181
154,40,182,7,394,183
155,23,184,6,9047,185
156,24,186,6,5975,187
157,29,182,8,394,188
158,19,152,13,1866,189
159,36,144,10,1880,190
160,53,191,14,9107,192
161,20,138,9,5962,193
162,46,167,12,2009,194
163,14,182,6,394,195
164,15,140,9,6278,196
165,20,130,7,6152,197
166,28,198,9,397,199
167,44,134,9,555,200
168,63,201,15,1862,202
169,49,203,17,4742,204
170,20,198,10,397,205
171,61,206,18,305,207
172,65,114,17,7473,208
173,46,182,6,394,209
174,61,210,5,6789,211
175,20,146,6,338,212
176,30,150,6,7163,213
177,26,130,8,6152,214
178,100,144,13,1880,215
179,23,216,7,399,217
180,20,120,6,9210,218
181,34,170,14,7261,219
182,23,220,12,758,221
183,29,144,11,1880,222
184,39,167,13,2009,154
185,20,150,6,7163,223
186,43,152,13,1866,224
187,23,198,12,397,225
188,19,226,15,7734,227
189,12,228,9,3765,229
190,28,201,13,1862,230
191,37,112,10,303,231
192,30,198,10,397,232
193,100,114,23,7473,233
194,17,228,9,3765,234
195,23,144,11,1880,235
196,30,206,15,305,236
197,13,237,13,8349,238
198,21,110,5,3336,239
199,45,240,12,5984,241
200,76,242,17,8553,243
201,44,114,15,7473,244
202,100,144,13,1880,245
203,18,246,5,5974,247
204,31,242,14,8553,217
205,70,114,16,7473,248
206,29,136,18,380,249
207,16,250,10,6539,251
208,43,136,23,379,252
209,16,140,9,6278,253
210,58,122,16,1852,254
211,16,255,6,6325,256
212,26,198,10,397,257
213,27,114,16,7473,258
214,18,126,8,3252,259
215,30,122,14,1852,260
216,85,261,16,301,262
217,36,263,12,8776,264
218,20,146,6,338,265
219,32,120,6,9210,266
220,13,267,7,4681,268
221,32,136,18,376,269
222,20,134,8,555,270
223,13,134,8,555,271
224,79,272,10,7359,273
225,40,182,7,394,238
226,23,167,11,2009,274
227,29,275,13,2279,276
228,31,201,12,1862,277
229,31,201,12,1862,278
230,31,201,12,1862,279
231,57,228,13,3765,280
232,28,110,5,3336,281
233,22,144,11,1880,282
234,22,144,11,1880,283
235,35,182,6,394,284
236,100,201,18,1862,285
237,12,267,7,4681,286
238,34,287,20,9343,288
239,28,289,16,3171,290
240,26,158,13,1853,291
241,29,162,15,478,292
242,83,198,14,397,293
243,28,294,15,8452,295
244,16,122,13,1852,296
245,48,152,15,1866,297
246,26,122,15,1852,298
247,23,144,12,1880,232
248,33,158,13,1853,299
