Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,0,9,7,14,48,17,7,18,24,8,16,9,15,8,12,16,16,7,17,7,4,8,24,6,16,7,14,13,23,16,45,10,28,17,14,12,8,25,7,15,46,6,42
2,9,0,8,14,46,16,12,17,31,7,15,13,14,7,11,26,15,7,16,6,9,7,35,4,14,3,14,10,28,16,46,10,35,16,14,12,7,28,8,17,49,4,32
3,7,8,0,8,53,10,4,11,24,4,9,5,8,4,5,17,10,4,11,4,11,4,26,6,9,6,8,12,19,9,54,4,29,10,8,6,4,22,1,10,50,6,44
4,14,14,8,0,63,4,8,3,26,7,1,7,1,8,3,20,2,8,10,8,19,8,28,13,2,12,1,9,21,3,61,5,31,4,9,3,7,24,8,12,60,10,40
5,48,46,53,63,0,61,55,64,43,51,61,56,60,53,56,44,62,56,61,51,40,53,47,46,60,48,62,54,67,64,1,58,51,62,58,58,51,70,55,58,2,50,22
6,17,16,10,4,61,0,10,5,28,9,3,11,4,10,5,23,2,9,13,9,20,10,32,16,2,14,4,7,26,1,61,6,32,1,12,5,10,28,10,15,60,12,42
7,7,12,4,8,55,10,0,10,22,7,8,2,8,7,5,14,10,7,10,7,11,7,22,8,8,9,8,15,17,9,53,5,24,10,8,5,7,19,4,9,52,9,43
8,18,17,11,3,64,5,10,0,24,10,3,9,4,10,6,20,3,10,8,11,22,10,26,16,3,14,3,10,19,4,64,8,29,5,7,6,10,23,10,10,64,12,43
9,24,31,24,26,43,28,22,24,0,28,26,19,25,28,24,7,27,28,22,27,24,26,9,27,27,28,27,35,28,28,42,24,8,29,19,26,27,30,25,20,42,30,65
10,8,7,4,7,51,9,7,10,28,0,8,8,8,1,4,20,9,1,11,1,12,1,30,6,8,5,7,8,22,9,54,3,31,9,10,4,1,24,3,13,53,3,37
11,16,15,9,1,61,3,8,3,26,8,0,8,1,8,4,20,1,8,10,8,19,8,28,14,1,13,1,8,23,2,61,6,32,3,10,4,8,25,8,12,63,11,42
12,9,13,5,7,56,11,2,9,19,8,8,0,8,9,6,12,9,9,9,9,13,9,21,9,8,10,8,16,15,10,57,7,24,10,6,7,9,16,6,7,56,10,46
13,15,14,8,1,60,4,8,4,25,8,1,8,0,8,3,20,2,7,10,8,18,7,29,12,2,12,1,9,22,3,58,5,32,4,9,3,7,24,8,12,61,10,42
14,8,7,4,8,53,10,7,10,28,1,8,9,8,0,4,20,9,1,10,1,12,1,29,6,8,5,8,8,22,8,56,3,33,9,10,5,1,26,3,14,52,3,36
15,12,11,5,3,56,5,5,6,24,4,4,6,3,4,0,17,5,4,8,5,16,4,26,10,4,9,3,10,20,4,58,2,28,5,7,2,4,21,4,10,60,7,41
16,16,26,17,20,44,23,14,20,7,20,20,12,20,20,17,0,20,21,20,20,17,20,9,21,20,22,20,29,24,21,46,19,12,22,16,19,20,28,17,18,44,22,61
17,16,15,10,2,62,2,10,3,27,9,1,9,2,9,5,20,0,9,11,9,20,9,28,14,1,14,2,8,23,2,59,6,32,3,10,5,9,24,9,13,59,11,41
18,7,7,4,8,56,9,7,10,28,1,8,9,7,1,4,21,9,0,10,1,12,1,28,6,8,5,8,8,22,9,54,3,31,9,10,5,1,26,3,13,54,3,39
19,17,16,11,10,61,13,10,8,22,11,10,9,10,10,8,20,11,10,0,10,21,10,18,16,11,14,9,18,12,12,60,9,22,12,3,9,10,14,10,3,66,12,48
20,7,6,4,8,51,9,7,11,27,1,8,9,8,1,5,20,9,1,10,0,12,1,30,6,8,5,8,8,23,9,56,3,32,9,10,5,1,24,3,13,51,3,38
21,4,9,11,19,40,20,11,22,24,12,19,13,18,12,16,17,20,12,21,12,0,12,25,6,20,8,18,14,26,21,42,15,28,20,19,17,12,29,12,19,44,10,40
22,8,7,4,8,53,10,7,10,26,1,8,9,7,1,4,20,9,1,10,1,12,0,30,6,8,5,8,8,22,9,56,3,30,9,9,5,1,25,3,13,55,3,40
23,24,35,26,28,47,32,22,26,9,30,28,21,29,29,26,9,28,28,18,30,25,30,0,30,28,31,28,36,20,29,50,28,3,32,20,28,28,20,26,16,49,30,65
