Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0,18,7,10,19,9,12,60,18,14,2,2,9,5,3,12,10,11,2,10,5
2,18,0,11,13,1,10,6,71,1,9,16,19,9,17,15,11,13,8,16,14,19
3,7,11,0,3,12,2,6,70,12,6,8,8,2,7,8,5,3,4,8,3,8
4,10,13,3,0,12,4,8,72,13,4,10,8,4,6,10,2,1,5,11,1,7
5,19,1,12,12,0,10,6,65,1,9,17,20,10,18,15,11,12,8,16,13,20
6,9,10,2,4,10,0,5,70,10,7,8,10,1,8,8,5,4,3,8,3,10
7,12,6,6,8,6,5,0,72,6,5,11,14,4,12,10,6,7,3,11,8,14
8,60,71,70,72,65,70,72,0,65,76,58,65,72,67,59,76,75,69,64,72,68
9,18,1,12,13,1,10,6,65,0,9,17,19,9,19,16,12,13,8,16,14,19
10,14,9,6,4,9,7,5,76,9,0,14,12,6,9,14,2,4,6,14,4,11
11,2,16,8,10,17,8,11,58,17,14,0,3,8,6,1,12,10,9,1,11,6
12,2,19,8,8,20,10,14,65,19,12,3,0,10,4,4,10,8,11,3,9,4
13,9,9,2,4,10,1,4,72,9,6,8,10,0,9,7,6,4,2,8,4,10
14,5,17,7,6,18,8,12,67,19,9,6,4,9,0,6,7,6,11,6,5,2
15,3,15,8,10,15,8,10,59,16,14,1,4,7,6,0,12,10,8,1,10,6
16,12,11,5,2,11,5,6,76,12,2,12,10,6,7,12,0,2,5,12,2,8
17,10,13,3,1,12,4,7,75,13,4,10,8,4,6,10,2,0,5,11,1,7
18,11,8,4,5,8,3,3,69,8,6,9,11,2,11,8,5,5,0,9,6,12
19,2,16,8,11,16,8,11,64,16,14,1,3,8,6,1,12,11,9,0,11,6
20,10,14,3,1,13,3,8,72,14,4,11,9,4,5,10,2,1,6,11,0,6
21,5,19,8,7,20,10,14,68,19,11,6,4,10,2,6,8,7,12,6,6,0
