ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
38,10,38,4,198920,39
39,6,40,6,71178,41
40,13,42,7,183512,43
41,5,44,7,295181,45
42,8,46,5,58576,47
43,100,42,24,183512,48
44,12,49,20,196899,50
45,13,42,8,183512,51
46,6,52,6,59665,53
47,3,40,6,71178,54
48,23,40,9,71178,55
49,5,42,7,183512,56
50,5,57,8,300084,58
51,9,59,8,260535,60
52,10,42,9,183512,61
53,10,42,11,58226,62
54,7,63,12,287826,64
55,18,65,22,303875,66
56,14,67,16,272720,68
57,8,42,11,53836,69
58,5,70,5,58546,71
59,39,72,19,210792,73
60,9,74,7,59666,75
61,16,76,8,300085,77
62,8,44,9,295181,78
63,12,79,14,79404,80
64,27,52,11,59665,81
65,6,82,13,60436,83
66,10,57,9,300084,84
67,9,52,8,59665,85
68,13,74,7,59666,86
69,6,57,6,300084,87
70,7,88,11,63863,89
71,6,42,11,58226,56
72,16,90,17,196453,91
73,10,57,8,300084,92
74,18,82,17,60436,93
75,10,42,12,53836,94
76,7,44,10,295181,95
77,9,65,20,303875,96
78,38,59,15,260535,97
79,11,98,10,86785,99
80,8,40,7,71178,100
