Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0,10,2,10,2,2,2,8,11,10,20,3,9,2,2,2
2,10,0,8,1,8,8,8,2,1,1,12,8,1,8,8,8
3,2,8,0,8,1,1,1,7,9,8,19,1,7,1,1,1
4,10,1,8,0,8,8,8,2,1,1,12,7,1,8,8,8
5,2,8,1,8,0,1,1,6,9,8,18,1,7,1,1,1
6,2,8,1,8,1,0,1,8,10,9,18,2,8,1,1,1
7,2,8,1,8,1,1,0,7,9,8,18,1,8,1,1,1
8,8,2,7,2,6,8,7,0,3,2,13,6,2,7,7,6
9,11,1,9,1,9,10,9,3,0,1,12,8,2,9,9,9
10,10,1,8,1,8,9,8,2,1,0,12,8,1,8,8,8
11,20,12,19,12,18,18,18,13,12,12,0,18,12,18,18,19
12,3,8,1,7,1,2,1,6,8,8,18,0,7,1,1,1
13,9,1,7,1,7,8,8,2,2,1,12,7,0,7,8,7
14,2,8,1,8,1,1,1,7,9,8,18,1,7,0,1,1
15,2,8,1,8,1,1,1,7,9,8,18,1,8,1,0,1
16,2,8,1,8,1,1,1,6,9,8,19,1,7,1,1,0
