ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
131,1,131,21,112882,132
132,43,133,14,54858,134
133,19,135,5,93322,136
134,16,137,5,104991,138
135,8,135,4,93322,139
136,1,140,11,110035,141
137,4,142,8,113291,143
138,100,137,5,104991,144
139,26,145,5,110814,146
140,9,147,5,104101,148
141,14,142,10,113291,149
142,26,150,8,18822,151
143,35,152,23,27768,153
144,100,154,7,110210,155
145,1,156,23,3827,157
146,34,158,16,108523,159
147,100,137,5,104991,144
148,41,137,5,104991,144
149,9,160,2,87798,161
150,3,142,8,113291,162
151,43,163,17,110697,164
152,14,160,3,87798,165
153,8,166,9,28896,167
154,25,160,2,87798,168
155,18,160,3,87798,169
156,28,170,16,114680,171
157,23,160,2,87798,172
158,74,170,19,114680,173
159,10,174,8,91997,175
160,5,160,3,87798,176
161,15,156,24,3827,177
162,10,142,10,113291,178
163,26,179,14,10294,180
164,23,181,15,109538,182
165,34,160,3,87798,183
166,8,184,14,88426,185
167,16,186,9,106530,187
168,18,156,25,3827,188
169,14,189,6,114252,190
170,39,163,16,110697,191
171,10,166,10,28896,192
172,100,160,2,87798,193
173,5,194,4,103238,195
174,17,133,13,54858,196
175,13,152,21,27768,197
176,8,198,5,97868,199
177,24,200,17,29219,201
178,10,202,17,2788,203
179,23,154,7,110210,204
180,1,205,20,4675,206
181,19,160,3,87798,207
182,34,160,2,87798,208
183,26,160,2,87798,209
184,100,154,7,110210,155
185,13,184,14,88426,210
186,6,140,11,110035,211
187,9,160,2,87798,212
188,9,198,5,97868,213
189,1,140,10,110035,214
190,15,186,9,106530,215
191,52,216,16,93796,138
192,47,163,16,110697,217
193,39,218,18,29152,219
194,11,156,23,3827,220
195,25,221,16,95065,222
196,18,223,10,101644,224
197,14,142,10,113291,225
198,35,160,2,87798,226
199,33,150,8,18822,227
200,55,228,8,114460,229
201,14,160,2,87798,230
202,8,160,2,87798,231
203,15,160,2,87798,232
204,19,160,2,87798,233
205,13,150,6,18822,234
206,100,154,7,110210,155
207,7,166,9,28896,235
208,22,160,3,87798,236
209,17,160,2,87798,237
210,48,238,9,110212,239
211,14,135,5,93322,240
212,4,181,13,109538,241
213,41,160,3,87798,242
214,9,160,3,87798,243
215,10,186,10,106530,244
216,26,194,5,103238,245
217,6,150,5,18822,246
218,5,247,5,114253,248
219,100,154,7,110210,155
220,20,133,13,54858,249
221,13,137,5,104991,250
222,6,251,8,10449,252
223,36,160,2,87798,253
224,100,160,2,87798,193
225,3,251,7,10449,254
226,56,160,2,87798,255
227,1,140,10,110035,256
228,26,160,2,87798,257
229,8,258,30,112070,259
230,94,260,10,16473,261
231,1,152,19,27768,262
232,1,263,14,62517,264
233,13,265,30,112067,266
234,8,156,24,3827,267
235,17,258,30,112070,268
236,26,269,20,109536,270
237,5,166,8,28896,271
238,17,258,30,112070,272
239,55,158,19,108514,273
240,21,166,11,28896,274
241,83,163,19,110697,275
242,31,156,26,3827,276
243,53,277,19,113181,278
244,40,279,30,104160,280
245,41,181,18,109538,281
246,13,279,29,104160,282
247,29,181,16,109538,283
