Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283
1,0,22,25,18,16,11,11,9,6,15,12,13,12,12,14,15,8,12,11,8,10,16,24,16,31,7,5,22,20,12,12,12,8,14,20,12,12,12,15,12,12,6,11,19,13,12,13,6,12,10,30,20,23,5,12,14,22,13,12,12,14,12,22,12,18,12,12,23,15,8,17,12,11,14,6,11,16,15,21,15,14,11,16,11,18,18,16,8,8,12,9,8,13,9,18,15,23,13,10,11,6,12,14,12,6,13,13,10,12,18,11,10,16,17,12,12,16,24,8,13,14,18,14,18,22,11,13,24,14,16,16,15,14,20,16,20,15,18,17,8,18,12,20,14,19,25,34,14,21,11,4,13,10,14,22,11,19,24,16,11,20,12,22,23,14,22,18,11,21,24,10,13,17,6,10,13,15,14,14,13,12,24,14,11,11,14,20,12,13,11,20,16,14,18,15,15,1,22,21,11,6,9,21,13,22,19,12,16,12,8,15,15,13,13,12,18,20,24,15,14,14,10,12,3,10,9,21,18,9,19,9,26,18,12,22,17,13,14,12,13,12,6,17,17,12,18,22,21,16,10,12,7,20,12,10,8,16,17,18,8,7,13,14,15,11,14,15,16,10,11,11,17,19,21,23,12,19,12,36,16,12,21,12
2,22,0,6,8,9,17,16,15,16,9,12,19,13,16,11,14,18,12,16,24,17,12,6,8,22,20,19,3,4,12,12,12,18,9,4,12,13,12,9,13,11,19,13,6,12,12,11,19,12,13,23,4,1,21,12,10,1,10,11,14,12,12,1,13,6,11,13,2,9,15,7,14,16,14,18,19,10,9,3,9,11,13,15,12,6,6,9,19,25,12,24,18,11,25,5,13,1,12,14,13,24,12,11,12,20,12,11,14,22,6,13,16,10,9,14,13,10,1,24,11,10,14,13,8,2,13,10,1,10,9,10,12,10,5,8,8,9,5,8,24,10,12,12,9,5,6,21,9,3,13,20,12,14,12,6,12,12,2,12,13,6,19,1,2,10,1,6,13,8,2,14,20,12,20,27,10,9,10,10,15,13,1,11,12,17,9,8,12,10,16,3,8,9,12,12,11,24,1,7,16,24,14,8,11,2,5,12,9,12,28,8,15,10,14,14,7,4,2,15,10,9,14,12,20,23,20,3,14,18,4,15,4,14,12,5,14,16,11,12,14,16,27,18,14,18,14,1,8,12,13,16,21,6,14,13,26,13,10,17,16,16,11,10,11,15,9,13,9,13,13,13,10,5,4,1,14,12,10,23,7,16,8,14
3,25,6,0,9,10,20,16,18,19,12,16,14,15,18,13,12,19,15,15,26,17,10,3,11,18,22,22,6,7,15,16,15,18,12,6,14,15,15,12,15,14,22,16,6,13,16,14,23,15,16,17,6,5,24,15,14,5,14,14,16,13,16,5,16,8,15,15,5,12,18,10,17,18,12,20,24,10,10,5,11,13,15,11,16,8,9,11,22,28,15,28,18,14,27,8,16,5,14,17,15,28,13,14,15,22,15,14,16,25,8,16,18,12,11,16,15,10,6,28,13,13,10,15,8,4,15,13,6,13,12,10,16,13,6,11,6,11,9,11,28,10,14,8,12,8,1,26,11,5,15,24,14,16,14,3,16,8,6,10,15,11,21,6,6,13,5,9,16,12,6,17,22,10,23,30,14,12,12,13,19,16,5,14,16,20,12,6,14,13,15,6,11,12,8,11,11,25,5,12,19,28,18,6,13,5,7,14,11,16,30,12,11,12,16,17,10,7,6,17,14,13,16,15,24,17,18,5,9,18,7,18,2,10,15,5,10,18,12,15,17,19,32,12,8,20,10,6,6,10,16,19,22,11,16,16,26,11,10,13,19,20,14,13,11,18,12,12,10,16,16,16,8,7,6,6,16,14,14,26,10,17,13,17
4,18,8,9,0,2,11,9,9,11,6,6,12,7,11,5,6,10,7,7,18,10,4,6,4,15,14,13,6,6,6,7,7,10,3,6,6,7,7,6,7,6,14,7,3,4,7,6,14,7,7,15,7,8,14,6,5,8,5,5,7,5,7,8,7,9,6,8,7,6,10,4,8,10,7,13,15,2,2,6,3,6,7,8,7,4,5,5,13,20,7,18,11,5,18,5,8,8,5,8,7,19,6,5,7,13,7,6,8,16,4,8,10,3,2,7,7,2,8,18,6,4,7,8,1,8,7,4,8,4,3,3,9,5,4,2,3,3,4,8,19,3,6,5,6,8,8,28,4,6,7,14,6,8,8,6,7,4,8,4,7,14,13,8,8,5,7,5,7,16,8,8,13,4,16,22,5,6,4,4,10,7,8,5,7,11,4,2,6,5,8,5,5,6,4,5,4,19,8,14,11,18,9,3,5,7,5,6,2,6,24,3,7,4,8,9,4,9,8,9,5,4,8,6,14,15,12,6,6,10,7,10,8,7,6,4,7,10,4,6,8,10,21,10,6,11,8,8,4,4,8,11,14,14,8,8,20,5,2,10,10,11,6,5,4,9,5,5,2,7,7,7,3,7,5,8,8,13,5,29,9,9,16,9
5,16,9,10,2,0,9,8,8,10,6,5,10,7,9,3,5,9,6,7,16,8,3,8,4,14,12,11,7,6,5,6,5,9,4,7,4,6,7,6,6,6,12,6,4,3,6,5,12,6,6,16,8,8,13,7,5,8,3,5,7,4,7,8,6,10,7,6,8,6,8,4,7,9,6,11,13,1,1,6,1,6,6,7,5,5,6,6,12,18,6,17,11,3,17,6,9,8,4,7,6,18,7,4,6,12,8,5,7,15,5,6,8,2,1,6,6,2,9,16,7,3,6,9,3,8,6,3,9,4,4,2,9,4,5,1,4,2,5,8,18,2,7,4,7,8,11,30,5,6,5,13,5,6,9,8,6,4,9,4,7,14,11,9,9,6,8,6,5,17,9,7,12,4,13,20,6,7,5,4,8,7,9,3,6,10,4,4,5,6,8,6,5,7,3,4,2,17,8,16,8,16,8,4,5,8,5,5,1,7,22,1,6,3,8,7,5,9,10,10,3,4,6,5,14,13,11,6,5,10,7,8,10,6,5,6,6,9,3,5,8,9,20,9,5,10,6,9,5,4,6,10,12,15,7,6,18,5,2,10,8,9,8,6,2,8,6,4,1,6,6,6,2,8,6,10,6,13,4,30,10,7,16,7
6,11,17,20,11,9,0,14,4,14,8,9,17,4,2,7,10,15,4,12,8,14,10,18,9,24,5,13,14,13,6,4,4,16,8,14,5,4,4,8,4,6,6,4,14,9,4,6,6,4,4,25,13,15,7,5,7,15,6,6,4,10,4,15,4,11,6,4,15,8,10,10,3,1,12,6,4,10,10,15,8,7,4,12,4,12,11,8,4,9,4,8,17,6,8,12,4,16,10,2,7,8,6,6,4,6,4,6,5,6,11,6,2,8,10,4,4,10,17,8,6,7,11,4,11,16,4,7,17,7,8,9,5,6,14,10,14,8,11,9,9,10,6,14,8,12,18,25,8,14,8,13,6,6,5,16,4,12,18,10,4,12,2,16,16,7,16,11,8,14,18,2,3,10,6,12,7,8,7,8,2,4,16,6,4,1,8,12,5,7,14,14,8,8,11,10,8,11,16,14,1,8,6,14,6,15,12,5,9,5,12,9,12,7,4,3,10,13,18,4,7,7,10,5,10,20,18,14,11,15,12,10,18,12,5,15,12,2,8,8,3,2,12,16,12,2,13,16,14,10,6,1,5,13,3,6,8,10,10,16,6,15,7,7,8,2,8,10,10,4,4,4,11,13,14,16,3,7,6,25,10,2,14,3
7,11,16,16,9,8,14,0,10,5,14,5,3,14,16,8,4,4,14,2,12,2,6,13,12,20,9,6,14,14,13,14,11,3,11,14,10,14,15,15,14,14,9,14,12,5,15,12,9,14,13,21,16,16,8,15,13,16,10,13,14,4,15,16,15,17,14,15,16,14,4,12,15,14,4,8,13,8,8,14,8,14,14,4,12,13,14,14,10,13,14,11,3,10,12,14,17,16,5,12,8,13,15,12,14,9,16,13,10,15,13,8,13,6,8,15,15,7,16,12,15,8,7,18,10,17,11,8,17,11,12,7,18,11,12,9,10,8,13,16,12,7,15,9,14,17,15,39,12,14,6,7,12,8,18,13,14,8,18,6,14,22,14,17,18,14,16,14,6,23,18,13,15,5,8,17,13,15,13,11,16,15,16,8,11,14,11,9,13,14,1,14,13,14,7,5,6,12,16,23,15,12,8,9,14,16,14,12,8,15,17,9,4,8,15,16,12,17,18,17,8,12,4,12,8,6,4,14,8,3,15,4,15,7,13,12,6,16,6,6,16,15,15,6,7,16,8,16,10,5,9,14,10,22,14,8,12,5,7,7,9,5,15,14,6,13,13,4,8,14,12,11,8,17,14,18,14,20,9,39,18,14,25,14
8,9,15,18,9,8,4,10,0,10,7,5,13,5,5,5,8,11,4,8,9,10,8,16,7,22,4,10,13,11,4,5,3,11,6,12,4,4,5,6,4,5,5,4,12,6,5,4,4,5,3,24,12,14,6,5,5,14,5,4,5,6,5,14,5,10,4,5,14,6,6,8,5,4,8,3,5,8,8,13,7,5,4,9,3,11,9,7,4,10,4,9,13,5,9,11,7,15,6,2,3,10,5,5,5,4,6,4,1,7,10,2,2,7,8,4,5,8,15,9,4,5,10,7,10,14,3,5,16,6,7,8,7,5,13,8,12,6,10,8,11,8,5,12,7,10,17,29,6,14,4,9,4,2,7,16,4,10,16,8,5,13,5,15,15,6,14,9,4,14,16,2,6,8,6,14,6,7,6,6,6,5,15,5,3,4,6,12,4,6,10,12,7,7,11,7,7,9,14,13,4,10,2,12,4,13,10,4,8,4,14,7,8,6,6,5,8,12,16,8,5,6,6,4,7,16,13,12,10,11,11,6,17,10,4,14,9,6,6,5,6,6,13,11,10,6,10,14,12,8,2,4,5,12,5,2,10,8,9,12,2,10,5,6,8,4,6,7,8,4,3,3,10,11,12,15,4,11,5,27,8,4,14,4
9,6,16,19,11,10,14,5,10,0,14,6,7,14,15,8,9,2,14,6,10,3,10,18,12,23,9,2,14,14,13,14,12,2,11,14,11,14,14,15,14,14,8,13,14,8,15,12,8,14,12,26,15,16,8,14,13,16,11,13,14,8,15,16,14,18,14,14,16,14,4,12,14,14,9,8,12,10,10,15,9,14,15,9,12,12,14,14,11,10,13,12,3,10,12,14,17,17,8,12,8,8,14,12,14,9,15,13,10,14,12,8,12,9,10,14,14,11,18,10,14,8,12,17,12,16,11,8,18,12,11,10,16,10,16,10,14,9,13,16,10,11,14,14,15,16,19,39,13,16,6,3,12,8,17,17,13,12,18,10,14,22,14,17,16,14,16,14,6,25,18,12,15,10,8,12,13,15,13,11,16,15,17,8,11,14,11,14,12,13,5,14,13,14,12,10,9,7,16,23,14,8,8,13,12,15,14,13,10,14,12,9,9,8,15,14,12,17,18,17,8,11,4,10,4,6,4,16,12,2,15,4,20,12,12,16,12,16,8,6,16,16,11,11,12,15,13,17,15,10,9,14,9,22,15,8,10,9,11,12,8,1,15,13,10,13,14,9,10,13,12,11,12,16,14,16,15,20,9,37,18,14,24,14
10,15,9,12,6,6,8,14,7,14,0,9,17,4,8,7,11,15,4,12,15,15,10,9,2,20,11,13,6,6,3,4,4,15,3,6,4,4,4,1,4,3,10,4,6,9,4,2,11,4,4,20,6,9,12,4,2,8,4,2,4,10,4,8,4,4,3,4,7,1,10,2,5,7,12,9,12,7,6,7,6,2,4,13,4,4,3,1,10,17,4,15,17,4,15,4,4,9,10,6,7,16,2,3,4,10,4,2,6,14,4,6,7,8,7,4,4,7,10,15,2,7,12,4,5,8,4,6,9,3,3,8,4,4,7,6,6,7,4,2,17,8,3,10,1,5,12,23,2,7,8,12,3,6,3,10,4,10,11,10,4,8,10,10,8,1,8,3,8,10,10,6,10,10,12,19,2,1,2,3,7,4,8,7,4,9,3,6,3,1,14,6,1,1,10,10,9,15,8,9,8,16,6,6,2,7,4,3,6,3,20,6,12,7,5,5,3,6,10,6,6,3,11,4,12,20,16,7,11,16,5,10,12,12,3,7,12,7,8,9,5,8,20,15,11,9,12,8,7,10,6,8,11,9,6,6,16,11,8,15,7,15,2,1,9,6,1,10,7,4,4,4,8,5,6,8,5,7,6,25,4,6,10,6
