Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,4,5,4,4,2,10,7,6,4,4,3,5,15,4,5,6,4,2,3
2,4,0,5,7,4,5,10,10,9,1,1,6,5,15,7,2,2,7,4,2
3,5,5,0,8,1,7,15,10,6,5,4,4,1,20,3,5,6,3,4,6
4,4,7,8,0,8,3,7,3,7,8,8,5,8,12,5,9,9,7,4,6
5,4,4,1,8,0,7,14,10,6,4,4,3,1,20,4,5,6,4,3,6
6,2,5,7,3,7,0,8,6,6,5,4,4,8,13,4,6,6,6,4,3
7,10,10,15,7,14,8,0,4,14,10,11,12,15,6,12,12,13,14,11,9
8,7,10,10,3,10,6,4,0,10,11,10,8,11,10,8,12,12,10,7,9
9,6,9,6,7,6,6,14,10,0,10,9,3,6,20,3,11,11,3,6,8
10,4,1,5,8,4,5,10,11,10,0,2,7,5,16,7,1,2,7,4,2
11,4,1,4,8,4,4,11,10,9,2,0,6,4,17,7,2,3,7,4,3
12,3,6,4,5,3,4,12,8,3,7,6,0,4,17,1,8,8,2,3,5
13,5,5,1,8,1,8,15,11,6,5,4,4,0,20,4,5,6,3,4,6
14,15,15,20,12,20,13,6,10,20,16,17,17,20,0,16,16,17,18,17,15
15,4,7,3,5,4,4,12,8,3,7,7,1,4,16,0,8,9,2,3,6
16,5,2,5,9,5,6,12,12,11,1,2,8,5,16,8,0,1,8,6,3
17,6,2,6,9,6,6,13,12,11,2,3,8,6,17,9,1,0,9,6,4
18,4,7,3,7,4,6,14,10,3,7,7,2,3,18,2,8,9,0,3,6
19,2,4,4,4,3,4,11,7,6,4,4,3,4,17,3,6,6,3,0,3
20,3,2,6,6,6,3,9,9,8,2,3,5,6,15,6,3,4,6,3,0
