ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
105,41,105,6,81716,106
106,51,107,12,247758,108
107,38,109,12,358914,110
108,17,111,9,360758,112
109,17,113,7,29562,114
110,25,115,19,114317,116
111,45,117,4,77589,118
112,45,119,6,9177,120
113,18,121,5,363883,122
114,19,123,8,294249,124
115,41,125,13,38815,126
116,16,127,4,356953,128
117,18,129,10,66617,130
118,91,131,16,45038,132
119,25,133,21,14077,134
120,12,135,5,60249,136
121,27,137,5,75160,138
122,64,139,6,185249,140
123,33,141,9,110225,142
124,25,143,7,284025,144
125,17,145,5,337215,146
126,100,147,16,248058,148
127,21,149,5,440886,150
128,55,151,8,380690,152
129,28,153,5,363341,154
130,24,155,6,279979,156
131,18,157,6,394004,158
132,21,159,8,462741,160
133,47,161,7,16915,162
134,13,163,10,27352,164
135,22,165,6,45849,166
136,22,161,7,16915,167
137,13,168,8,43164,169
138,42,170,9,39674,171
139,28,172,9,8752,173
140,24,174,5,39482,175
141,45,151,8,380690,176
142,18,177,6,63958,178
143,16,174,5,39482,179
144,14,180,7,42218,181
145,20,182,5,123014,183
146,54,184,15,9678,185
147,31,105,6,81716,186
148,48,127,4,356953,187
149,21,188,15,41012,189
150,21,190,5,461152,191
151,33,192,7,360690,193
152,26,194,6,412237,195
153,50,157,6,394004,196
154,15,197,5,450849,198
155,22,199,10,80033,200
156,26,201,11,443686,202
157,22,203,6,398497,204
158,62,145,6,337215,205
159,48,131,13,45038,206
160,15,207,7,432460,208
161,8,209,5,13475,210
162,24,211,8,266067,212
163,34,163,12,27352,213
164,22,214,8,443099,215
165,22,216,5,61891,217
166,38,218,6,446496,219
167,20,192,7,360690,220
168,59,221,11,440298,222
169,30,223,5,432910,224
170,18,199,9,80033,225
171,19,113,7,29562,226
172,34,227,12,43116,228
173,30,229,7,41248,230
174,44,231,8,457966,232
175,52,233,7,426568,234
176,39,180,8,42218,235
177,26,199,9,80033,236
178,15,237,9,98234,238
179,21,192,7,360690,239
180,32,240,12,13944,241
181,12,242,5,273782,243
182,19,244,5,64223,245
183,30,246,7,37631,247
184,49,248,10,131029,249
185,28,165,6,45849,250
186,20,192,7,360690,251
187,36,252,22,99707,253
188,18,155,5,279979,254
189,27,255,7,470738,256
190,19,257,11,475864,195
191,15,197,5,450849,258
192,52,259,12,73256,260
193,82,105,8,81716,261
194,23,131,13,45038,262
195,15,263,5,107436,264
196,29,265,10,269378,266
197,28,267,9,203978,268
198,42,269,6,276748,270
199,28,271,9,278973,191
200,10,272,6,14142,273
201,28,274,10,479966,275
202,63,133,23,14077,276
203,17,277,5,426067,278
204,21,279,6,302076,280
205,25,281,7,375310,282
206,27,283,5,47883,284
207,61,149,6,440886,285
208,23,131,13,45038,286
209,28,287,7,475451,288
210,28,289,8,479217,290
211,9,291,7,469524,292
212,47,293,13,40425,294
213,26,295,6,332180,296
214,45,117,4,77589,297
215,23,240,12,13944,298
216,44,299,8,50035,300
217,49,301,7,373116,302
218,37,303,7,277507,304
219,40,123,10,294249,305
220,26,306,6,124500,307
221,16,248,6,131029,308
222,77,309,19,392022,310
223,52,311,6,426794,312
224,34,313,14,74738,314
225,46,315,13,99093,316
226,50,279,6,302076,317
227,9,272,5,14142,318
228,15,319,7,457207,320
229,33,321,10,476366,322
230,73,279,7,302076,323
231,18,324,5,453539,325
232,35,326,20,118593,327
233,19,168,9,43164,328
234,42,153,5,363341,325
235,31,329,7,38196,330
236,55,331,7,41989,332
237,54,333,10,205955,334
238,47,161,7,16915,335
239,43,336,7,101604,337
240,32,338,11,290097,339
241,35,338,11,290097,340
242,36,267,11,203978,341
243,39,342,9,124865,343
244,14,344,5,199902,345
245,19,346,7,42759,347
246,24,348,11,113528,349
247,40,306,7,124500,350
248,26,306,5,124500,351
249,36,352,7,261935,353
250,14,306,5,124500,354
