ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
252,23,252,8,10704,253
253,60,254,12,87399,255
254,16,256,13,21111,257
255,59,258,8,20530,259
256,10,260,16,14026,261
257,49,262,12,31747,263
258,33,264,6,35242,265
259,11,266,21,101637,267
260,9,268,8,100662,269
261,31,270,18,78486,271
262,30,272,6,12886,273
263,20,274,6,19800,275
264,41,276,10,100626,277
265,21,278,19,111588,279
266,20,280,6,106771,281
267,63,282,12,21635,283
268,23,284,9,87059,285
269,44,286,9,113528,287
270,31,288,20,29702,289
271,100,290,26,19606,291
272,28,292,11,30328,293
273,19,294,10,88324,295
274,12,296,18,78980,297
275,23,298,11,19834,299
276,48,300,26,33550,301
277,10,302,5,23414,303
278,20,304,6,39730,305
279,10,306,9,80982,307
280,47,308,12,93311,309
281,100,310,16,23409,311
282,29,312,10,80984,313
283,29,314,16,21993,315
284,32,316,15,16304,317
285,36,318,17,7176,319
286,100,320,43,108280,321
287,100,322,23,62340,323
288,20,324,17,110001,325
289,17,326,10,16994,327
290,23,328,7,95712,329
291,26,330,8,39729,331
292,36,332,20,107736,333
293,48,310,6,23409,334
294,75,335,3,34562,336
295,36,337,20,21044,338
296,54,339,19,114014,340
297,45,302,6,23414,341
298,51,278,23,111588,342
299,100,302,6,23414,343
300,27,344,16,76391,345
301,30,346,12,108553,347
302,42,348,17,113559,349
303,26,350,25,36373,351
304,33,278,19,111588,352
305,7,353,10,13960,354
306,37,310,6,23409,355
307,18,356,8,21884,357
308,31,358,6,75208,359
309,28,360,8,13290,361
310,57,362,22,20740,363
311,100,364,22,111280,365
312,40,366,15,91383,367
313,28,368,16,38414,369
314,43,370,12,77687,371
315,33,372,20,102792,373
316,100,310,16,23409,311
317,30,374,6,81825,375
318,26,376,7,22991,377
319,49,378,22,81538,379
320,26,350,25,36373,380
321,46,381,6,89891,382
322,34,356,8,21884,383
323,50,304,11,39730,384
324,26,385,10,38415,386
325,24,387,11,75926,388
326,37,389,9,10699,390
327,88,310,11,23409,391
328,25,392,6,14465,393
329,18,394,6,87482,395
330,100,310,16,23409,396
331,45,278,20,111588,397
332,16,398,8,39466,399
333,8,400,6,113026,401
334,10,302,6,23414,402
335,38,403,13,81100,404
336,22,405,13,4964,406
337,61,310,6,23409,407
338,100,408,43,112496,409
339,100,410,29,45219,411
340,26,412,6,100221,413
341,20,414,11,100215,415
342,11,350,23,36373,416
343,35,326,12,16994,417
344,12,418,9,114187,419
345,29,420,12,23766,421
