Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,0,8,9,8,6,9,7,3,8,6,2,8,8,8,8,5,5,9,0,8,9,8,6,9,8,7,9,6,5,0,9,2,0,14,8,8,6,10,8,9
2,8,0,2,1,3,1,1,6,0,3,10,1,0,1,0,4,4,3,8,1,12,1,3,3,0,3,3,3,3,8,4,9,8,9,0,8,2,4,1,2
3,9,2,0,2,5,3,3,7,2,4,10,2,3,2,3,5,5,1,9,2,14,2,5,5,2,6,5,5,5,9,1,10,9,11,2,10,4,7,2,2
4,8,1,2,0,3,1,1,6,1,2,9,0,1,0,1,3,3,2,8,0,11,1,3,3,1,4,3,3,3,7,3,9,8,9,1,8,2,4,1,2
5,6,3,5,3,0,4,3,3,3,1,6,3,4,3,3,1,1,5,5,3,9,4,1,5,3,2,4,1,0,5,6,6,6,9,3,6,1,5,4,5
6,9,1,3,1,4,0,2,6,1,3,10,1,0,1,1,4,4,3,9,1,12,1,3,3,1,4,3,3,4,9,3,10,8,8,1,8,3,4,1,2
7,7,1,3,1,3,2,0,5,1,2,8,1,2,1,1,3,3,3,7,1,11,1,3,3,1,3,3,2,3,8,4,8,7,9,1,8,2,4,1,3
8,3,6,7,6,3,6,5,0,6,4,4,5,6,6,6,2,3,7,3,5,7,6,4,7,6,4,7,4,3,3,8,4,3,11,6,6,4,8,6,7
9,8,0,2,1,3,1,1,6,0,2,10,1,1,1,0,4,4,2,8,1,12,1,3,3,0,4,3,3,3,8,3,9,8,9,0,8,2,4,1,2
10,6,3,4,2,1,3,2,4,2,0,7,2,3,3,2,2,2,4,6,2,10,3,1,4,3,2,4,1,1,6,5,7,6,8,2,6,0,4,3,4
11,2,10,10,9,6,10,8,4,10,7,0,9,9,9,10,6,6,10,2,9,10,10,7,11,10,8,10,7,6,2,11,1,2,14,9,9,8,11,9,10
12,8,1,2,0,3,1,1,5,1,2,9,0,1,0,1,3,3,3,8,0,12,1,3,3,1,4,3,3,3,8,3,9,7,9,1,8,2,4,1,2
13,8,0,3,1,4,0,2,6,1,3,9,1,0,1,1,4,4,3,9,1,11,1,3,3,1,4,3,3,4,9,4,10,8,8,1,8,3,4,1,2
14,8,1,2,0,3,1,1,6,1,3,9,0,1,0,1,3,3,2,8,0,12,1,3,3,1,4,3,3,3,8,3,8,8,9,1,8,2,4,1,2
15,8,0,3,1,3,1,1,6,0,2,10,1,1,1,0,4,4,3,8,1,12,1,3,3,0,4,3,2,3,8,4,9,8,8,1,8,2,4,1,2
16,5,4,5,3,1,4,3,2,4,2,6,3,4,3,4,0,0,5,5,3,9,4,2,5,4,2,4,2,1,5,6,6,5,10,4,6,2,5,4,5
17,5,4,5,3,1,4,3,3,4,2,6,3,4,3,4,0,0,5,5,3,9,4,2,4,4,2,4,2,1,5,6,6,5,10,4,6,2,5,4,5
18,9,3,1,2,5,3,3,7,2,4,10,3,3,2,3,5,5,0,8,2,14,2,5,5,2,6,5,5,5,9,1,10,9,11,2,10,4,6,2,2
19,0,8,9,8,5,9,7,3,8,6,2,8,9,8,8,5,5,8,0,8,9,8,6,10,8,6,10,6,5,0,9,2,0,14,8,8,6,10,8,10
20,8,1,2,0,3,1,1,5,1,2,9,0,1,0,1,3,3,2,8,0,12,1,3,3,1,4,3,3,3,8,3,9,8,8,1,8,2,5,1,2
21,9,12,14,11,9,12,11,7,12,10,10,12,11,12,12,9,9,14,9,12,0,12,9,9,11,8,9,10,9,8,14,9,9,6,12,4,10,8,13,12
22,8,1,2,1,4,1,1,6,1,3,10,1,1,1,1,4,4,2,8,1,12,0,3,3,0,4,3,3,4,8,3,9,8,9,0,8,2,5,1,2
23,6,3,5,3,1,3,3,4,3,1,7,3,3,3,3,2,2,5,6,3,9,3,0,4,3,1,3,0,1,6,6,7,6,8,3,6,1,4,3,4
24,9,3,5,3,5,3,3,7,3,4,11,3,3,3,3,5,4,5,10,3,9,3,4,0,3,3,1,4,4,9,6,10,9,6,3,6,4,2,4,4
25,8,0,2,1,3,1,1,6,0,3,10,1,1,1,0,4,4,2,8,1,11,0,3,3,0,4,3,3,3,8,3,9,8,9,0,8,2,4,1,2
26,7,3,6,4,2,4,3,4,4,2,8,4,4,4,4,2,2,6,6,4,8,4,1,3,4,0,3,1,2,6,6,8,6,8,4,5,2,4,4,4
27,9,3,5,3,4,3,3,7,3,4,10,3,3,3,3,4,4,5,10,3,9,3,3,1,3,3,0,3,4,10,6,10,9,6,3,6,3,2,4,3
28,6,3,5,3,1,3,2,4,3,1,7,3,3,3,2,2,2,5,6,3,10,3,0,4,3,1,3,0,1,6,5,7,6,8,3,6,1,4,3,4
29,5,3,5,3,0,4,3,3,3,1,6,3,4,3,3,1,1,5,5,3,9,4,1,4,3,2,4,1,0,5,6,6,5,9,3,6,1,5,4,5
30,0,8,9,7,5,9,8,3,8,6,2,8,9,8,8,5,5,9,0,8,8,8,6,9,8,6,10,6,5,0,9,2,0,14,8,8,6,10,8,10
31,9,4,1,3,6,3,4,8,3,5,11,3,4,3,4,6,6,1,9,3,14,3,6,6,3,6,6,5,6,9,0,11,9,11,3,11,5,8,3,3
32,2,9,10,9,6,10,8,4,9,7,1,9,10,8,9,6,6,10,2,9,9,9,7,10,9,8,10,7,6,2,11,0,2,14,9,9,7,11,9,10
33,0,8,9,8,6,8,7,3,8,6,2,7,8,8,8,5,5,9,0,8,9,8,6,9,8,6,9,6,5,0,9,2,0,14,9,8,6,10,8,9
34,14,9,11,9,9,8,9,11,9,8,14,9,8,9,8,10,10,11,14,8,6,9,8,6,9,8,6,8,9,14,11,14,14,0,8,6,8,4,9,9
35,8,0,2,1,3,1,1,6,0,2,9,1,1,1,1,4,4,2,8,1,12,0,3,3,0,4,3,3,3,8,3,9,9,8,0,9,2,4,1,2
36,8,8,10,8,6,8,8,6,8,6,9,8,8,8,8,6,6,10,8,8,4,8,6,6,8,5,6,6,6,8,11,9,8,6,9,0,6,4,8,9
