ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
53,2,53,8,63846,54
54,3,55,12,112433,56
55,6,57,12,18600,58
56,8,55,17,112433,59
57,3,55,14,112433,60
58,9,61,18,131652,62
59,9,63,13,21709,64
60,4,65,8,116323,66
61,16,67,16,48534,68
62,3,61,16,131652,69
63,5,61,16,131652,70
64,2,71,15,90288,72
65,2,61,15,131652,73
66,3,67,13,48534,74
67,15,67,16,48534,75
68,5,61,18,131652,76
69,2,77,6,31964,78
70,12,55,16,112433,79
71,9,80,11,77283,81
72,4,71,16,90288,82
73,11,55,16,112433,83
74,9,55,15,112433,84
75,3,85,8,107146,86
76,4,87,14,63989,88
77,1,89,5,111650,90
78,10,77,9,31964,91
79,5,92,8,69730,93
80,11,55,17,112433,94
81,14,95,15,128608,96
82,18,63,16,21709,97
83,6,77,8,31964,98
84,3,77,6,31964,99
85,16,67,15,48534,68
86,2,71,15,90288,100
87,4,67,13,48534,101
88,3,102,8,45631,103
89,6,77,8,31964,104
90,4,105,10,46749,106
91,5,61,17,131652,107
92,3,108,13,23208,109
93,4,80,8,77283,110
94,4,63,11,21709,111
95,6,89,6,111650,112
96,4,113,7,45261,114
97,3,113,7,45261,115
98,12,80,13,77283,116
99,6,71,19,90288,117
100,5,55,15,112433,118
101,16,55,17,112433,119
102,4,120,9,91905,121
103,6,71,18,90288,117
104,3,89,5,111650,122
105,4,80,10,77283,123
106,14,105,13,46749,124
