ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
392,3,392,9,76023,393
393,12,394,13,131663,395
394,4,396,9,21994,397
395,1,398,9,135115,399
396,2,400,8,129016,401
397,9,402,22,26577,403
398,5,404,6,13850,405
399,3,402,22,26577,406
400,10,407,24,27758,408
401,3,402,22,26577,409
402,4,410,4,44978,411
403,5,412,9,49117,413
404,4,414,11,77257,415
405,9,416,14,4134,417
406,3,418,19,26218,419
407,13,420,16,9082,421
408,8,422,10,135707,423
409,6,402,23,26577,424
410,7,425,21,26201,426
411,7,427,15,20458,428
412,3,410,4,44978,429
413,4,430,6,44977,431
414,13,432,16,7663,433
415,5,434,11,114911,435
416,24,430,9,44977,436
417,5,430,11,44977,437
418,5,402,24,26577,438
419,10,439,9,113130,440
420,5,441,12,118579,442
421,3,443,8,8107,444
422,14,445,15,4078,446
423,4,402,22,26577,447
424,10,448,6,121781,449
425,5,407,23,27758,450
426,3,402,21,26577,451
427,5,452,12,117620,453
428,12,430,15,44977,454
429,4,410,2,44978,455
430,9,456,12,24259,457
431,7,458,9,21265,459
432,4,402,22,26577,460
433,1,461,17,48945,462
434,5,463,6,129040,464
435,13,418,23,26218,465
436,9,418,24,26218,466
437,2,467,5,52857,468
438,9,430,11,44977,469
439,1,407,19,27758,470
440,8,402,25,26577,471
441,3,402,22,26577,472
442,4,407,23,27758,473
443,3,396,10,21994,474
444,6,400,9,129016,475
445,7,476,12,88445,477
446,3,478,5,87417,479
447,9,480,13,80353,481
448,3,422,10,135707,482
449,8,483,15,77389,484
450,5,425,21,26201,485
451,4,486,8,94505,487
452,4,488,12,99699,489
453,3,490,14,26254,491
454,3,492,6,96777,493
455,5,494,12,82375,495
456,3,490,15,26254,496
457,3,494,10,82375,497
458,18,402,25,26577,498
459,5,458,8,21265,499
460,4,402,22,26577,500
461,4,402,22,26577,501
462,3,502,18,92010,503
463,6,504,11,105793,505
464,8,425,24,26201,506
465,9,507,17,9190,508
466,3,509,9,27927,510
467,6,511,15,116973,512
468,4,425,21,26201,513
469,5,514,11,74137,515
470,5,402,22,26577,516
471,3,443,8,8107,517
472,10,402,25,26577,518
473,1,519,7,134222,520
474,6,432,14,7663,521
475,16,402,25,26577,522
476,7,523,7,98581,524
477,9,414,12,77257,525
478,7,526,14,128665,527
479,4,528,14,88290,529
480,2,402,21,26577,530
481,4,425,23,26201,531
482,6,532,11,77757,533
483,6,430,7,44977,534
484,2,535,12,126537,536
485,10,537,14,8604,538
486,3,537,11,8604,539
487,5,540,16,22465,541
488,6,418,21,26218,542
489,13,543,11,135700,544
490,1,490,13,26254,545
491,23,402,25,26577,546
492,3,430,8,44977,547
493,4,535,13,126537,548
494,12,549,11,22038,550
495,3,551,9,102816,552
496,5,490,15,26254,553
497,3,511,14,116973,554
498,5,430,7,44977,555
499,8,430,9,44977,555
500,5,430,11,44977,556
501,3,430,6,44977,557
502,5,480,11,80353,558
503,3,490,15,26254,559
504,3,402,21,26577,560
505,4,425,21,26201,561
506,3,562,14,95198,563
507,4,458,9,21265,564
508,6,402,25,26577,565
509,2,566,10,80693,567
510,10,402,25,26577,568
511,1,461,16,48945,569
512,4,490,14,26254,570
513,9,410,2,44978,571
514,3,418,22,26218,572
515,9,425,24,26201,573
516,4,574,13,47936,575
517,5,576,14,43828,577
518,7,430,7,44977,578
519,4,461,20,48945,579
520,5,402,25,26577,580
521,5,461,20,48945,581
522,4,402,22,26577,582
523,5,461,18,48945,583
524,1,584,9,38278,585
525,14,445,15,4078,586
526,7,587,12,38520,588
527,10,587,12,38520,589
528,9,590,20,5591,591
529,3,490,15,26254,592
530,3,490,14,26254,593
531,5,402,25,26577,594
532,20,427,19,20458,595
533,6,596,10,101869,597
534,7,402,23,26577,598
535,3,599,12,121145,600
536,4,601,9,127324,602
537,3,519,10,134222,603
538,3,490,13,26254,604
539,4,418,20,26218,419
540,7,605,8,96647,606
541,10,528,17,88290,607
542,4,587,10,38520,608
543,9,407,23,27758,609
544,8,610,14,120711,611
545,1,402,21,26577,612
546,3,613,13,106286,614
547,4,402,22,26577,615
548,3,616,6,101934,617
549,4,618,11,6462,619
550,7,430,9,44977,555
551,3,486,8,94505,620
552,4,492,7,96777,621
553,18,622,13,132204,623
554,10,624,13,96515,625
555,14,626,13,63331,627
556,3,628,11,134304,629
557,8,410,4,44978,630
558,4,631,11,119491,632
559,8,633,9,109712,634
560,6,427,15,20458,635
561,3,636,13,5123,637
562,11,430,9,44977,638
563,6,639,10,75509,640
564,3,402,21,26577,641
565,4,642,12,102791,643
566,4,644,15,88241,645
567,3,427,14,20458,646
568,4,647,6,65889,648
569,2,649,6,68894,650
570,4,402,22,26577,651
571,3,652,14,123550,653
572,3,523,5,98581,654
573,8,418,25,26218,655
574,5,656,14,8843,657
575,24,402,25,26577,658
576,4,519,10,134222,659
577,6,448,5,121781,660
578,8,410,4,44978,661
579,5,626,10,63331,662
580,5,407,21,27758,663
