ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
76,3,76,11,48264,77
77,3,78,8,86753,79
78,8,80,11,48050,81
79,2,82,6,100582,83
80,8,84,12,135686,85
81,3,86,8,48052,87
82,6,80,11,48050,88
83,3,76,6,99243,89
84,5,90,18,23260,91
85,1,80,8,48050,92
86,4,93,11,49120,94
87,3,95,10,31658,96
88,5,90,18,23260,97
89,4,98,7,136067,99
90,9,100,9,92285,101
91,3,95,10,31658,102
92,3,93,11,49120,103
93,9,104,16,87616,105
94,4,106,8,100056,107
95,6,84,12,135686,108
96,5,93,9,49120,109
97,5,90,18,23260,110
98,6,84,12,135686,111
99,8,112,13,104600,113
100,10,95,13,31658,114
101,6,93,10,49120,115
102,2,116,13,72269,117
103,4,118,10,129960,119
104,1,93,8,49120,120
105,4,121,6,21435,122
106,6,123,7,21153,124
107,3,125,11,20072,126
108,2,127,9,123594,128
109,1,123,6,21153,129
110,11,130,4,27625,131
