ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
67,13,67,8,194545,68
68,9,69,7,25390,70
69,5,71,8,42674,72
70,24,71,12,42674,73
71,6,74,16,51126,75
72,11,76,8,79741,77
73,30,78,19,39838,79
74,19,80,12,46227,81
75,6,82,9,89774,83
76,7,84,12,303284,85
77,5,86,7,29948,87
78,13,88,16,46268,89
79,4,80,8,46227,90
80,9,91,16,84105,92
81,20,93,22,86255,94
82,13,69,8,25390,95
83,4,86,7,29948,96
84,8,97,7,294322,98
85,9,99,6,234421,100
86,9,101,6,244349,102
87,26,88,20,46268,103
88,21,104,17,71037,105
89,25,106,20,296609,107
90,9,108,5,70105,109
91,3,110,6,301244,87
92,4,111,12,261337,112
93,19,82,13,89774,113
94,4,69,6,25390,114
95,15,115,14,196625,116
96,6,117,7,44352,118
97,43,117,14,44352,119
98,6,120,8,304637,121
99,14,104,12,71037,122
100,7,123,6,301588,124
101,11,125,7,192614,126
102,15,69,13,25390,127
103,8,69,7,25390,128
104,16,129,5,272400,130
105,6,71,10,42674,131
106,4,120,6,304637,132
107,18,88,15,46268,133
108,9,67,7,194545,134
109,8,135,15,41534,136
110,36,67,13,194545,137
111,5,138,10,43861,139
112,23,140,21,45942,141
113,67,74,24,51126,142
114,13,88,15,46268,143
115,9,144,13,304395,145
116,3,71,9,42674,146
117,10,147,9,29194,148
118,17,67,9,194545,149
119,24,91,20,84105,150
120,16,151,16,242019,152
121,14,153,18,281946,154
122,6,117,8,44352,155
123,13,156,16,43144,157
124,22,158,12,159830,159
125,4,69,7,25390,160
126,13,161,8,71140,162
127,6,74,17,51126,121
128,10,74,16,51126,163
129,9,164,9,61663,165
130,14,115,14,196625,166
131,8,88,16,46268,167
132,7,97,7,294322,168
133,18,74,18,51126,169
