Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,0,8,32,24,14,31,34,27,12,30,36,12,30,17,17,18,23,26,30,30,25,28,35,35,14,24,34,34,30,7,14,34,9,9,37,34,27,5,9,13
2,8,0,22,18,16,23,24,19,14,23,29,14,24,18,13,11,21,19,24,21,18,24,26,28,15,21,29,26,22,8,15,25,2,8,27,26,28,7,5,8
3,32,22,0,5,22,1,3,5,36,1,6,19,5,22,14,16,8,13,6,12,7,5,4,6,20,7,6,3,2,28,19,10,22,22,6,3,10,28,23,17
4,24,18,5,0,15,5,8,1,32,6,11,14,7,18,9,14,4,12,7,10,5,6,9,9,16,4,11,8,5,24,14,8,19,18,10,8,12,24,22,14
5,14,16,22,15,0,20,24,16,27,20,27,3,22,2,6,14,14,16,22,21,16,18,25,24,1,14,26,23,21,8,2,24,18,8,26,24,13,10,22,9
6,31,23,1,5,20,0,3,5,37,1,6,19,5,24,14,18,7,14,5,11,6,4,4,6,20,7,6,4,2,30,19,10,22,24,6,3,10,30,24,18
7,34,24,3,8,24,3,0,7,40,3,3,22,6,24,17,16,10,13,6,11,8,6,2,7,22,9,5,2,4,30,22,10,24,24,5,1,12,32,24,21
8,27,19,5,1,16,5,7,0,32,5,10,15,7,18,10,15,4,12,7,10,5,6,8,8,17,4,10,7,4,24,15,8,19,19,9,7,12,24,22,14
9,12,14,36,32,27,37,40,32,0,37,42,24,36,28,23,25,30,34,36,36,32,32,40,41,26,32,44,39,36,19,25,40,15,17,43,40,36,16,16,20
10,30,23,1,6,20,1,3,5,37,0,6,20,5,23,14,17,7,14,5,12,6,5,4,6,21,7,6,3,2,30,18,10,21,23,6,3,10,28,24,19
11,36,29,6,11,27,6,3,10,42,6,0,24,8,28,20,17,13,11,8,9,10,8,2,9,26,12,3,3,6,34,25,8,27,28,3,4,14,35,27,24
12,12,14,19,14,3,19,22,15,24,20,24,0,21,5,6,11,12,17,20,20,14,17,24,25,3,13,25,23,20,9,2,22,15,6,25,22,15,9,19,6
13,30,24,5,7,22,5,6,7,36,5,8,21,0,23,15,21,7,19,1,17,11,4,8,4,22,7,10,8,4,28,19,16,25,23,10,6,10,29,27,18
14,17,18,22,18,2,24,24,18,28,23,28,5,23,0,8,15,16,18,23,22,18,19,26,26,2,16,28,26,22,10,4,26,19,11,26,24,13,11,22,10
15,17,13,14,9,6,14,17,10,23,14,20,6,15,8,0,11,8,11,16,14,10,11,19,18,6,8,20,17,14,14,5,18,14,8,18,17,16,15,16,5
