ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
519,7,519,9,139513,520
520,3,521,10,111569,522
521,4,523,8,155370,524
522,1,525,6,56075,526
523,2,527,8,80088,528
524,1,529,6,87016,530
525,1,531,6,81991,532
526,5,533,9,112075,534
527,3,535,7,60446,536
528,3,537,7,138603,538
529,10,539,7,54920,540
530,3,541,9,56038,542
531,2,543,8,56373,544
532,3,545,7,155296,546
533,2,547,6,153370,548
534,7,549,14,54946,550
535,68,549,11,54946,551
536,1,552,4,89699,553
537,10,554,12,54979,555
538,12,556,5,150160,557
539,7,558,13,107126,559
540,2,560,7,125347,561
541,2,562,7,90565,563
542,7,564,8,121476,565
543,7,566,9,104621,567
544,5,539,7,54920,568
545,1,569,6,127674,570
546,100,571,7,136148,572
547,1,573,6,109425,574
548,1,575,8,116739,576
549,3,577,12,114430,578
550,6,539,7,54920,579
551,5,539,7,54920,580
552,1,581,5,99542,582
553,12,583,9,56102,584
554,13,585,12,140783,586
555,3,554,12,54979,587
556,4,588,9,57338,589
557,1,590,4,89212,591
558,1,592,5,63352,593
559,1,529,6,87016,594
560,27,595,7,54986,596
561,2,597,7,133916,598
562,1,599,6,56050,600
563,4,601,7,89243,602
564,9,583,8,56102,603
565,2,604,8,129425,605
566,3,577,12,114430,606
567,3,607,8,153115,608
568,1,609,6,116060,610
569,1,611,9,85960,612
570,2,613,6,64250,614
571,3,615,7,98253,616
572,6,617,10,154810,618
573,1,619,7,128227,620
574,4,621,6,94651,622
575,4,623,6,80903,624
576,5,625,10,157599,626
577,7,627,12,88360,628
578,4,629,12,102970,630
579,10,631,10,141998,632
580,2,633,7,105551,634
581,58,554,12,54979,635
582,50,636,9,55065,637
583,1,638,8,94065,639
584,5,640,6,100123,641
585,3,642,15,54922,643
586,4,644,6,60277,645
587,17,631,11,141998,646
588,2,647,11,54936,648
589,28,649,4,87352,650
590,1,552,6,89699,651
591,3,652,18,63011,653
592,5,654,5,155314,655
593,2,656,11,57688,657
594,7,658,6,112375,659
595,7,660,11,77256,661
596,18,595,9,54986,662
597,55,647,10,54936,663
598,2,664,9,102981,665
599,10,523,9,155370,666
600,4,667,8,135978,668
601,1,669,5,95276,670
602,6,654,6,155314,671
603,11,642,15,54922,672
604,20,595,9,54986,673
605,3,674,5,61409,675
606,4,539,7,54920,676
607,1,677,8,56807,678
608,52,642,15,54922,679
609,1,680,5,107957,681
610,33,539,7,54920,682
611,13,683,8,155978,684
612,4,685,7,156210,686
613,4,687,5,56602,688
614,4,545,7,155296,689
615,3,690,7,64114,691
616,1,692,8,80937,693
617,1,694,6,83269,695
618,8,696,13,71474,697
619,4,698,9,104853,699
620,1,529,6,87016,700
621,7,701,6,147655,702
622,9,703,12,64054,704
623,100,705,5,110013,706
624,3,707,9,87200,708
625,1,709,8,148357,710
626,6,685,8,156210,711
627,6,712,17,146459,713
628,2,633,7,105551,714
629,2,621,5,94651,715
630,48,716,6,109435,717
631,1,529,6,87016,718
632,1,719,4,99012,720
633,1,721,8,143273,722
634,5,554,12,54979,723
635,21,636,9,55065,724
636,3,531,8,81991,725
637,1,726,14,96802,727
638,2,728,17,70407,729
639,5,730,9,94762,731
640,9,539,7,54920,732
641,8,733,13,109967,734
642,3,541,9,56038,735
643,4,539,7,54920,736
644,4,737,9,56037,699
645,9,738,4,148098,739
646,1,740,5,62307,741
647,2,742,13,117085,743
648,3,744,8,122490,745
649,1,709,7,148357,746
650,4,733,11,109967,747
651,3,543,9,56373,748
652,6,749,7,156018,750
653,3,751,8,117469,752
654,6,753,8,56186,754
655,32,636,9,55065,755
656,5,756,14,129640,757
657,100,519,9,139513,758
658,1,759,6,57515,760
659,5,539,7,54920,761
660,2,604,7,129425,762
661,6,539,7,54920,763
662,3,764,5,64257,765
663,1,766,12,121240,767
664,4,768,7,76337,769
665,59,554,12,54979,770
666,1,771,5,85600,772
667,11,773,11,54974,774
668,2,775,8,139336,776
669,3,777,6,125624,778
670,1,694,6,83269,779
671,3,780,8,100028,781
672,2,619,7,128227,782
673,1,709,9,148357,783
674,7,631,9,141998,784
675,2,785,8,70918,786
676,4,787,6,108692,788
677,4,789,11,56303,790
678,1,791,7,124074,792
679,11,793,17,98485,794
680,2,547,7,153370,795
681,2,796,18,103965,797
682,1,533,6,112075,798
683,8,799,5,112410,800
684,5,801,9,106130,802
685,15,647,10,54936,803
686,4,621,6,94651,804
687,4,685,7,156210,805
688,1,806,12,124572,807
689,6,808,6,64356,809
690,29,554,12,54979,810
691,3,647,10,54936,811
692,2,812,5,80370,813
693,7,556,5,150160,814
694,8,647,10,54936,815
695,53,647,10,54936,816
696,31,737,18,56037,817
697,3,554,12,54979,818
698,18,595,9,54986,819
699,1,820,9,117659,821
700,100,822,21,145722,823
701,8,636,9,55065,824
702,7,825,9,84735,826
703,2,660,8,77242,827
704,2,828,7,117611,829
705,4,830,7,113595,831
706,7,636,9,55065,832
707,1,627,13,133081,833
708,3,834,4,112383,835
709,3,836,7,122228,837
710,5,647,10,54936,838
711,9,839,7,54932,840
712,13,683,8,155978,841
713,2,842,13,80107,843
714,2,844,12,140113,845
715,81,647,10,54936,846
716,6,847,7,141794,848
717,7,849,12,139446,850
718,4,839,7,54932,851
719,4,696,10,71474,852
720,1,853,6,88220,854
721,8,855,11,104854,856
722,5,857,8,107901,858
723,5,859,7,96986,860
724,5,861,8,107933,862
725,4,647,10,54936,863
726,4,864,8,122456,865
727,3,866,13,104503,867
728,2,868,7,153032,869
729,5,577,13,114430,870
730,3,871,9,156586,872
731,5,698,11,104853,873
732,9,683,8,155978,874
733,4,554,12,54979,875
734,5,533,9,112075,876
735,7,877,13,61674,878
736,11,879,7,146383,880
737,4,881,7,113593,882
738,8,554,12,54979,883
739,6,625,10,157599,884
740,4,885,13,111482,886
741,3,887,9,125516,888
742,3,889,4,100836,890
743,2,891,8,143446,892
744,6,893,9,54925,894
745,6,895,12,105317,896
746,6,897,6,62816,898
747,1,619,7,128227,899
748,7,900,7,56482,901
749,2,733,11,109967,902
750,2,903,7,120161,904
751,11,905,12,155288,906
752,1,907,6,107029,908
753,8,554,12,54979,909
754,4,910,8,117601,911
755,4,604,10,129425,912
756,2,913,9,126697,914
757,3,893,9,54925,915
758,1,916,7,122459,917
759,2,545,7,155296,918
760,9,919,8,150580,920
761,5,921,10,101774,922
762,9,923,8,94391,924
763,2,787,6,108692,925
764,4,910,7,117601,926
765,2,927,6,60700,928
766,3,929,13,111687,930
767,6,791,8,124074,931
768,2,932,8,106172,933
769,11,631,10,141998,934
770,4,744,8,122490,935
771,2,773,11,54974,936
772,3,636,9,55065,937
773,7,938,14,142862,939
774,3,940,12,114428,941
775,11,636,9,55065,942
776,4,744,9,122490,943
777,5,944,8,117621,945
778,7,946,13,129740,947
779,4,948,10,70725,949
780,2,950,7,59536,951
781,6,952,12,112468,953
782,10,631,10,141998,954
783,4,737,9,56037,955
784,2,956,11,132338,957
785,37,647,10,54936,958
786,2,959,7,69819,960
787,1,592,6,63352,961
788,1,692,9,80937,962
789,3,963,12,114433,964
790,5,965,7,106922,966
791,2,839,7,54932,967
792,4,968,12,140351,969
793,6,595,9,54986,970
794,6,595,9,54986,971
795,3,972,13,97888,973
796,1,907,6,107029,974
797,4,664,9,102981,975
798,2,842,13,80107,976
799,4,977,9,57388,978
800,2,979,6,106845,980
801,4,664,10,102981,981
802,17,982,10,147416,983
803,5,984,9,112057,985
804,5,986,8,121925,987
805,11,879,7,146383,988
806,1,989,7,131889,990
807,4,991,6,71468,992
808,4,993,12,85716,994
809,9,995,9,149581,996
810,5,640,7,100123,997
811,3,916,8,122459,998
812,6,897,6,62816,999
813,1,1000,13,148198,1001
814,4,654,5,155314,943
815,8,539,7,54920,1002
816,9,595,9,54986,1003
817,10,647,10,54936,1004
818,1,1005,4,79517,1006
819,1,1007,4,60498,1008
820,6,1009,14,103930,1010
821,13,595,9,54986,1011
822,1,554,12,54979,1012
823,3,1013,13,57558,1014
824,1,1015,11,156290,1016
825,1,1017,9,149834,1018
826,11,1019,13,145879,1020
827,50,647,10,54936,1021
828,2,923,6,94391,1022
829,12,1023,10,57483,1024
830,1,1025,5,58339,1026
831,3,549,14,54946,1027
832,9,893,10,54925,1028
833,25,539,7,54920,1029
834,1,1030,8,104994,1031
835,6,564,7,121476,1032
836,8,636,9,55065,1033
837,3,1034,13,110964,1035
838,4,1036,8,122447,1037
839,13,839,7,54932,1038
840,2,545,7,155296,1039
841,6,893,9,54925,1040
842,3,1041,7,102939,1042
843,5,595,9,54986,1043
844,5,952,12,112468,1044
845,5,749,7,156018,1045
