ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
31,5,31,7,259485,32
32,4,33,9,23767,34
33,10,33,9,23767,35
34,7,36,7,25427,37
35,5,38,11,26270,39
36,4,33,8,23767,40
37,7,41,8,23794,42
38,4,41,6,23794,43
39,13,33,12,23767,44
40,43,41,12,23794,45
41,6,46,6,49094,47
42,10,48,8,292555,49
43,14,50,14,14418,51
44,7,41,7,23794,52
45,13,53,8,25778,54
46,8,33,9,23767,55
47,8,50,11,14418,56
48,12,41,6,23794,57
49,22,48,11,292555,58
50,10,41,7,23794,59
51,12,33,10,23767,60
52,6,41,6,23794,61
53,16,41,8,23794,62
54,4,31,6,259485,63
55,6,41,7,23794,64
56,34,33,11,23767,65
57,16,31,8,259485,66
58,8,38,12,26270,67
59,12,33,8,23767,68
60,4,31,6,259485,69
61,8,33,9,23767,70
62,11,36,8,25427,71
63,7,33,9,23767,72
64,8,50,13,14418,73
