Locations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
1,0,30,42,31,29,35,0,31,41,30,40,30,30,31,30,30,0,29,24,3,30,8,27,28,22,31,32,66,35,31,0,12,32,34,29,23,30,28,29,21,31,29,38,38,34,26,16,30,26,31,27,35,40,34,32,32,34,30,39,36,38,40,22,43,4,30,34,15,12,24,22,15,14
2,30,0,10,1,1,5,30,8,18,6,10,1,1,1,0,2,32,4,8,28,1,38,4,4,9,1,1,48,4,1,32,32,1,7,3,8,5,4,2,17,0,20,8,12,7,6,20,1,12,1,8,20,10,5,5,11,4,2,26,11,21,22,50,12,27,1,7,16,36,8,8,16,18
3,42,10,0,10,10,6,40,12,23,10,0,11,10,9,9,12,41,13,16,37,10,49,13,13,18,9,10,45,7,10,40,42,10,9,12,18,11,13,12,22,10,23,2,15,6,16,28,9,16,10,12,22,0,6,10,14,6,10,29,14,24,25,55,11,36,10,11,24,45,18,17,25,25
4,31,1,10,0,0,5,32,8,19,6,10,0,0,1,1,1,31,3,8,27,0,36,4,3,9,1,1,47,4,0,31,32,0,6,2,8,5,3,3,16,1,18,8,11,7,5,20,1,12,1,8,19,11,5,5,10,5,1,25,10,20,22,48,12,26,1,7,16,36,8,8,15,17
5,29,1,10,0,0,5,32,8,18,6,10,1,0,1,1,2,30,3,8,28,0,38,4,3,9,1,0,48,4,1,31,33,0,6,3,8,5,3,3,16,1,19,8,11,8,6,20,1,12,0,8,19,10,5,5,10,5,1,26,10,22,20,45,12,28,1,7,15,37,8,8,16,16
6,35,5,6,5,5,0,36,13,22,10,6,5,5,4,5,6,34,7,12,31,5,43,8,7,13,5,5,45,4,5,36,36,5,11,7,12,9,7,6,22,4,22,4,15,3,10,23,4,16,5,7,23,6,0,10,14,0,6,29,15,25,26,50,13,32,5,12,20,40,12,12,20,21
7,0,30,40,32,32,36,0,31,39,30,40,30,31,33,31,29,0,28,24,3,32,8,27,28,22,32,31,64,35,31,0,12,32,34,29,24,29,29,30,22,32,30,38,35,36,27,17,32,26,30,27,38,42,36,32,31,35,31,40,36,40,40,23,41,4,30,32,15,12,24,23,15,15
8,31,8,12,8,8,13,31,0,11,2,11,8,8,8,8,7,32,6,9,29,8,40,5,6,11,8,8,58,10,8,32,32,8,3,6,9,4,6,11,15,8,11,9,5,16,7,22,8,6,8,16,12,11,13,3,3,12,7,18,3,14,14,49,10,28,8,1,17,38,10,10,18,19
9,41,18,23,19,18,22,39,11,0,14,22,19,18,20,20,18,41,17,16,39,18,46,16,18,20,18,20,65,19,19,38,43,20,12,17,16,14,16,22,22,19,12,19,8,25,16,30,19,13,19,26,4,22,23,14,8,24,19,6,9,2,3,54,12,37,19,12,25,42,17,18,24,26
10,30,6,10,6,6,10,30,2,14,0,10,6,6,6,6,5,31,4,8,28,6,39,3,4,8,6,6,54,8,6,30,31,6,5,4,8,2,4,9,13,6,12,8,7,13,5,19,7,6,6,14,14,11,11,1,5,10,6,18,5,16,15,48,13,25,6,3,15,37,8,8,15,17
