ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
46,23,46,9,198105,47
47,25,48,9,458839,49
48,18,50,5,104340,51
49,35,52,12,42073,53
50,34,54,7,122867,55
51,11,54,5,122867,56
52,18,57,8,37249,58
53,13,57,6,37249,59
54,80,60,9,360665,61
55,35,46,11,198105,62
56,39,63,9,473227,64
57,39,65,7,41443,66
58,12,67,5,279548,68
59,51,69,5,303710,70
60,26,57,9,37249,71
61,46,72,7,84449,73
62,20,74,17,278047,75
63,16,57,8,37249,76
64,19,77,8,322840,78
65,56,74,19,278047,79
66,38,48,10,458839,80
67,20,81,5,184696,82
68,43,83,13,184584,84
69,13,85,5,300621,86
70,37,87,8,181929,88
71,41,89,16,476859,90
72,12,91,12,265756,92
73,54,93,21,43079,94
74,27,95,7,117278,96
75,26,97,8,123216,98
76,22,99,5,440627,100
77,61,69,5,303710,61
78,73,69,6,303710,101
79,31,102,8,426745,103
80,54,93,22,43079,84
81,8,83,10,184584,104
82,100,105,23,317282,106
83,24,107,5,122820,108
84,38,109,8,461812,110
85,84,111,9,121232,112
86,18,113,10,438230,114
87,26,65,6,41443,115
88,96,116,9,35762,117
89,35,105,17,317282,118
90,31,119,21,377485,120
91,17,121,8,105220,122
92,22,123,21,113226,124
93,27,125,17,39798,126
94,40,63,10,473227,127
95,20,128,6,317909,129
96,21,93,20,43079,51
97,18,113,11,438230,130
98,29,131,15,45355,132
