ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
1125,22,1125,7,88269,1126
1126,36,1127,7,6967,1128
1127,50,1129,15,63185,1130
1128,29,1131,21,8751,1132
1129,53,1131,24,8751,1133
1130,45,1134,15,20583,1135
1131,24,1136,7,12535,1137
1132,29,1138,13,75825,1139
1133,41,1140,10,12776,1141
1134,24,1142,12,20040,1143
1135,81,1144,18,810,1145
1136,53,1146,14,9291,1147
1137,19,1148,9,93415,1149
1138,14,1150,13,94049,1151
1139,43,1152,13,79286,1153
1140,31,1154,8,117465,1155
1141,29,1156,8,1970,1157
1142,53,1158,12,3210,1159
1143,11,1160,5,75510,1161
1144,33,1162,5,17211,1163
1145,33,1127,7,6967,1164
1146,55,1165,5,116436,1166
1147,68,1167,19,34218,1168
1148,15,1169,7,121082,1170
1149,30,1171,6,35260,1172
1150,37,1173,8,109984,1174
1151,41,1175,14,4679,1176
1152,29,1177,8,30659,1178
1153,23,1179,6,17780,1180
1154,36,1181,15,16449,1182
1155,5,1183,5,115138,1184
1156,47,1185,12,3656,1186
1157,15,1187,16,129920,1188
1158,24,1189,5,15915,1190
1159,30,1131,23,8751,1191
1160,72,1192,11,931,1193
1161,41,1194,8,65114,1195
1162,17,1196,5,9523,1197
1163,53,1177,8,30659,1198
1164,47,1199,17,124559,1200
1165,24,1179,6,17780,1201
1166,41,1202,12,18285,1203
1167,33,1204,12,10519,1205
1168,23,1206,12,21227,1207
1169,39,1208,34,6487,1209
1170,39,1125,7,88269,1210
1171,29,1211,5,72347,1212
1172,98,1213,16,85528,1214
1173,20,1215,21,14199,1216
1174,28,1217,13,44253,1218
1175,60,1219,10,608,1220
1176,22,1221,7,44142,1222
1177,26,1213,8,85528,1223
1178,20,1224,7,53565,1225
1179,35,1226,7,53479,1227
1180,16,1228,6,14794,1229
1181,23,1230,9,18707,1231
1182,14,1232,12,68991,1233
1183,26,1228,7,14794,1234
1184,51,1235,7,735,1236
1185,24,1136,7,12535,1237
1186,63,1228,12,14794,1238
1187,25,1187,17,129920,1239
1188,11,1240,5,401,1241
1189,52,1242,8,105836,1243
1190,30,1244,7,11039,1245
1191,54,1246,15,16040,1247
1192,40,1248,11,12693,1249
1193,10,1250,5,123489,1251
1194,36,1252,7,53527,1253
1195,18,1254,6,72346,1255
1196,11,1256,9,121092,1257
1197,18,1258,8,73736,1259
1198,23,1260,13,66460,1261
1199,30,1254,7,72346,1262
1200,37,1175,12,4679,1263
1201,13,1264,12,18719,1265
1202,24,1266,37,63196,1267
1203,18,1268,5,47912,1269
1204,39,1202,12,18285,1270
1205,58,1271,10,4819,1272
1206,6,1273,6,72348,1274
1207,54,1148,11,93415,1275
1208,33,1276,25,5254,1277
1209,25,1244,6,11039,1278
1210,6,1279,5,72138,1280
1211,24,1281,6,96979,1282
1212,91,1283,10,118609,1284
1213,63,1179,8,17780,1285
1214,25,1286,10,122121,1287
1215,47,1204,13,34578,1288
1216,15,1125,7,88269,1289
1217,27,1290,16,43261,1291
1218,31,1292,7,3242,1293
1219,58,1294,18,129392,1295
1220,46,1156,10,1970,1296
1221,26,1297,18,130154,1298
1222,6,1299,8,73220,1300
1223,24,1301,7,65956,1302
1224,45,1303,8,17750,1304
1225,21,1301,7,65956,1305
1226,47,1228,8,14794,1306
1227,15,1307,8,67848,1308
1228,23,1309,8,81582,1310
1229,67,1125,7,88269,1311
1230,100,1312,28,90001,1313
1231,100,1314,8,30628,1315
1232,37,1177,8,30659,1316
1233,24,1317,26,27366,1318
1234,15,1319,7,1484,1320
1235,15,1321,8,123584,1322
1236,60,1323,17,64214,1324
1237,4,1325,5,115005,1326
1238,13,1160,5,75510,1327
1239,50,1328,28,115886,1329
1240,43,1330,11,38666,1331
1241,30,1332,17,127470,1333
1242,29,1177,8,30659,1334
1243,48,1213,11,85528,1335
1244,66,1336,13,58641,1337
1245,65,1338,7,14796,1339
1246,56,1340,22,39059,1341
1247,21,1342,7,100612,1343
1248,12,1344,5,97827,1345
1249,44,1346,15,123851,1347
1250,58,1348,7,519,1349
1251,42,1350,15,124284,1351
1252,19,1352,5,31715,1353
1253,13,1354,7,96078,1355
1254,6,1356,5,72344,1357
1255,17,1358,6,34427,1359
1256,52,1360,18,38481,1361
1257,46,1175,13,4679,1362
1258,24,1189,5,15915,1363
1259,45,1175,13,4679,1364
1260,26,1365,8,12745,1366
1261,55,1173,10,109984,1367
1262,30,1368,8,667,1369
1263,17,1177,8,30659,1370
1264,16,1371,5,14245,1372
1265,34,1373,23,44244,1374
1266,16,1375,5,58564,1376
1267,34,1377,6,40071,1378
1268,23,1379,8,118209,1380
1269,48,1146,14,9291,1381
1270,45,1382,29,82751,1383
1271,38,1384,8,67203,1385
1272,29,1386,23,65897,1387
1273,25,1388,6,1193,1389
1274,11,1390,8,34636,1391
1275,100,1392,5,78510,1393
1276,14,1394,5,9027,1395
1277,31,1396,7,1495,1397
1278,41,1398,9,29303,1399
1279,12,1400,18,130599,1401
1280,21,1328,27,115886,1402
1281,42,1403,17,95265,1404
1282,49,1156,9,1970,1405
1283,85,1406,20,110798,1407
1284,24,1179,6,17780,1408
1285,29,1409,10,93665,1410
1286,22,1258,8,73736,1411
1287,17,1219,10,608,1412
1288,17,1301,7,65956,1413
1289,46,1414,17,27459,1415
1290,40,1177,8,30659,1416
1291,23,1417,6,101298,1418
1292,50,1419,18,6673,1420
1293,37,1421,11,97374,1422
1294,22,1423,10,119524,1424
1295,40,1204,13,11278,1425
1296,13,1426,6,88295,1427
1297,15,1428,6,710,1429
1298,8,1430,8,76089,1431
1299,24,1432,12,84265,1433
1300,23,1434,6,72513,1435
1301,38,1436,16,125870,1437
1302,15,1438,8,35366,1439
1303,29,1440,8,35264,1441
1304,15,1442,5,86064,1443
1305,23,1444,8,41017,1445
1306,19,1446,6,95819,1447
1307,50,1448,21,117663,1449
1308,9,1450,20,66066,1451
1309,18,1452,5,101411,1453
1310,27,1384,8,67203,1454
1311,29,1455,9,125619,1456
1312,23,1457,5,464,1458
1313,19,1459,15,127140,1460
1314,40,1461,12,102637,1462
1315,26,1131,20,8751,1463
1316,30,1464,6,1192,1465
1317,12,1466,5,26367,1467
1318,13,1468,15,33846,1469
1319,11,1240,6,401,1470
1320,50,1156,9,1970,1471
1321,20,1472,8,72337,1473
1322,15,1319,7,1484,1474
1323,32,1177,8,30659,1475
1324,26,1476,9,72919,1477
1325,23,1328,26,115886,1478
1326,22,1479,14,9374,1480
1327,27,1379,8,118209,1481
1328,58,1131,23,8751,1482
1329,43,1483,32,81754,1484
1330,56,1440,9,35264,1485
1331,29,1486,13,89897,1487
1332,22,1479,13,9374,1488
1333,50,1489,10,119158,1490
1334,16,1423,9,119524,1491
1335,23,1461,11,101174,1492
1336,26,1493,11,4483,1494
1337,86,1495,18,13431,1496
1338,31,1417,7,101298,1497
1339,36,1192,10,931,1498
1340,15,1125,7,88269,1499
1341,58,1440,9,35264,1500
1342,64,1286,14,122121,1501
1343,16,1307,8,67848,1502
1344,8,1307,9,67848,1503
1345,21,1417,6,101298,1504
1346,11,1505,6,41804,1506
1347,15,1507,7,17728,1508
1348,17,1495,11,13431,1509
1349,34,1493,11,4483,1510
1350,15,1511,8,13432,1512
1351,31,1513,10,27580,1514
1352,15,1515,12,27766,1516
1353,10,1517,8,52190,1518
1354,25,1228,7,14794,1519
1355,17,1520,8,56234,1521
1356,100,1522,24,31291,1523
1357,36,1524,15,44105,1525
1358,23,1434,6,72513,1526
1359,16,1527,12,128208,1528
1360,27,1171,6,35260,1529
1361,19,1530,7,89980,1531
1362,36,1532,16,19236,1533
1363,85,1534,17,15701,1535
1364,29,1479,11,9374,1536
1365,35,1299,8,73220,1537
1366,7,1538,5,1276,1539
1367,36,1540,27,20704,1541
1368,41,1542,14,100058,1543
1369,23,1544,11,5621,1545
1370,50,1489,9,119158,1490
1371,48,1546,9,45409,1547
1372,35,1548,14,11760,1549
1373,41,1321,9,123584,1550
1374,47,1228,8,14794,1551
1375,13,1230,8,18707,1552
1376,20,1505,6,41804,1553
1377,23,1468,16,33846,1469
1378,17,1554,5,9680,1555
1379,19,1524,13,44105,1556
1380,22,1557,20,42691,1558
1381,16,1559,8,33143,1560
1382,22,1303,8,17750,1561
1383,18,1328,25,115886,1562
1384,26,1244,6,11039,1563
1385,11,1564,8,16381,1565
1386,37,1566,20,123162,1567
1387,15,1273,6,72348,1568
1388,15,1569,6,114783,1570
1389,15,1301,6,65958,1571
1390,65,1572,20,118717,1573
1391,33,1486,12,89897,1574
1392,66,1575,13,40889,1576
1393,14,1452,5,101411,1577
1394,9,1211,5,72347,1578
1395,53,1131,21,8751,1579
1396,30,1580,8,27667,1581
1397,20,1530,7,89980,1582
1398,67,1511,11,13432,1583
1399,42,1228,9,14794,1584
1400,59,1585,11,1412,1586
1401,23,1587,6,28127,1588
1402,100,1301,7,65956,1589
1403,23,1590,18,1017,1591
