ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
597,17,596,10,33614,597
598,16,598,8,124267,599
599,21,600,16,412376,601
600,17,602,14,135689,603
601,19,604,13,78081,605
602,8,606,11,100930,607
603,21,608,20,32748,609
604,9,610,10,525252,611
605,7,612,16,7863,613
606,19,614,16,2020,615
607,14,616,16,14282,617
608,13,618,16,21146,619
609,12,620,5,128901,621
610,13,622,35,491983,623
611,24,624,12,20550,625
612,20,626,3,90666,627
613,25,628,9,35758,629
614,6,630,9,587209,631
615,5,632,12,87793,633
616,16,634,16,96704,635
617,6,636,7,409119,637
618,15,638,14,55110,639
619,33,640,7,488613,641
620,28,642,20,555399,643
621,16,644,8,496719,645
622,9,646,17,138568,647
623,15,648,16,383246,649
624,20,650,21,32077,651
625,80,652,29,208647,653
626,19,654,16,508413,655
627,13,656,14,148347,657
628,7,658,8,622071,659
629,13,660,5,36707,661
630,25,662,10,301202,663
631,29,650,21,32077,664
632,72,665,29,10249,666
633,15,667,11,526524,668
634,15,669,16,502128,670
635,11,671,16,33720,672
636,14,673,8,565279,674
637,6,675,11,5272,676
638,17,677,23,488625,678
639,100,679,34,543315,680
640,11,681,10,34747,682
641,19,683,3,303160,684
642,15,685,15,33757,686
643,20,687,17,526294,688
644,11,689,8,485709,690
645,18,691,5,90660,692
646,69,693,19,583794,694
647,20,695,17,60373,696
648,14,697,16,21626,698
649,13,699,11,613060,700
650,11,701,13,3800,702
651,10,703,10,24363,704
652,18,705,20,304023,706
653,25,707,11,422379,708
654,6,709,7,38668,710
655,11,711,10,585872,712
656,9,713,12,310525,714
657,26,715,16,35169,716
658,8,717,17,114639,718
659,13,719,22,549078,720
660,26,721,16,28882,722
661,5,723,5,138825,724
662,5,725,8,62628,726
663,6,727,10,109399,728
664,33,729,17,494156,730
665,15,731,12,57262,732
666,25,733,11,275609,734
667,13,735,12,2774,736
668,20,737,14,598658,738
669,8,739,7,79338,740
670,9,741,9,501918,742
671,9,743,12,87884,744
672,15,745,18,169366,746
673,22,747,17,39973,748
674,23,646,18,138568,749
675,11,681,10,34747,750
676,9,751,8,35888,752
677,16,753,9,3328,754
678,8,755,7,5186,756
679,12,757,8,11674,758
680,14,759,19,134906,760
681,11,761,8,86350,762
682,27,763,14,362583,764
683,7,765,6,49603,766
684,24,667,12,526524,767
685,6,768,6,55373,769
686,15,770,13,547938,771
687,26,772,12,145035,773
688,11,774,17,585798,775
689,13,618,16,21146,776
690,33,777,38,112289,778
691,8,779,5,136592,780
692,17,781,12,33919,782
693,23,783,10,310275,784
694,20,785,11,59376,786
695,44,747,23,39973,787
696,8,788,11,485148,789
697,16,790,13,534979,791
698,34,792,15,421218,793
699,14,794,17,41991,795
700,6,796,9,59996,797
701,16,798,10,543425,799
702,11,650,16,32077,800
703,26,801,16,34577,802
704,37,803,14,606406,804
705,18,805,14,6218,806
706,31,807,13,353990,808
707,6,809,9,461126,810
708,40,646,21,138568,811
709,7,812,8,148914,813
710,16,814,8,43899,815
711,34,816,12,569321,817
712,7,814,6,43899,818
713,16,819,10,553048,820
714,14,821,12,531802,822
715,13,823,11,107782,824
716,20,825,16,18896,826
717,22,827,19,377997,828
718,30,829,13,33738,830
719,5,831,8,398755,832
720,11,833,11,9327,834
721,1,835,8,281792,836
722,38,837,18,53975,838
723,16,839,20,393705,840
724,19,841,12,112126,842
725,14,809,9,461126,843
726,12,642,14,555399,844
727,10,845,8,615548,846
728,16,847,9,347225,848
729,9,849,10,32553,850
730,62,683,2,303160,851
731,15,852,10,96982,853
732,30,854,8,489003,855
733,11,743,12,87884,856
734,23,857,19,2835,858
735,12,859,14,581262,860
736,18,705,19,304023,861
737,14,862,13,568446,863
738,15,864,17,18958,865
739,28,866,15,4200,867
740,7,868,12,141312,869
741,4,870,8,34533,871
742,17,872,10,520448,873
743,5,874,6,593031,875
744,20,777,35,112289,876
745,12,877,18,112205,878
746,29,879,12,63220,880
747,14,881,18,91489,882
748,16,883,5,40497,884
749,8,805,12,6218,885
750,13,886,11,88838,887
751,12,888,12,9314,889
752,10,862,13,568446,890
753,7,891,12,404476,892
754,13,671,17,33720,893
755,54,894,17,127506,895
756,10,896,10,313149,897
757,10,898,10,130325,899
758,35,900,15,613800,901
759,48,852,10,96982,902
760,24,656,17,148347,903
761,23,862,15,568446,904
762,6,905,10,99438,906
763,9,658,9,622071,907
764,26,908,11,226412,909
765,18,667,11,526524,910
766,12,911,20,352485,912
767,19,683,3,303160,913
768,11,914,12,144801,915
769,12,916,12,63271,917
770,15,918,18,592496,919
771,23,920,15,79750,921
772,22,922,17,2789,923
773,17,924,10,10736,925
774,9,926,14,9377,927
775,23,677,25,488625,928
776,27,929,9,56526,930
777,9,783,8,310275,931
778,25,932,16,412699,933
779,16,934,13,563444,935
780,21,693,10,583794,936
781,4,937,7,58406,938
782,45,691,7,90660,939
783,14,940,15,37797,941
784,4,942,7,39537,943
785,5,944,8,382675,945
786,1,835,8,281792,946
787,13,947,11,54343,948
788,34,949,37,38437,950
789,6,951,11,3609,952
790,6,953,5,93656,954
791,14,955,9,450223,956
792,28,957,18,586487,958
793,76,276,28,3369,959
794,6,960,13,42406,961
795,18,962,11,31764,963
796,19,864,16,18958,964
797,25,640,5,488613,965
798,12,966,8,36305,967
799,14,968,10,42565,969
800,6,970,6,35618,971
801,10,972,11,1838,973
802,16,974,15,533911,975
803,35,976,12,152800,977
804,5,616,16,14282,978
805,8,783,7,310275,979
806,23,980,19,37210,981
807,17,982,8,429659,983
808,15,976,8,555415,984
809,21,985,21,561362,986
810,15,987,15,544974,988
811,24,852,10,96982,989
812,15,691,8,90660,990
813,7,991,11,487749,992
814,15,993,10,600211,994
815,1,995,8,297454,996
816,7,997,16,56658,998
817,15,999,14,399702,1000
818,10,1001,16,139810,1002
819,9,1003,17,39630,1004
820,43,1005,19,562991,1006
821,100,636,26,409119,1007
822,20,739,9,79338,1008
823,16,1009,10,37882,1010
824,7,1011,13,88128,1012
825,15,1013,14,382925,1014
826,9,1015,6,28646,1016
827,16,1017,13,341973,1018
828,19,1019,12,155847,1020
829,9,1021,13,124002,1022
830,10,1023,9,43428,1024
831,10,1025,10,225463,1026
832,7,1027,7,64340,1028
833,10,1029,9,63314,1030
834,20,1031,16,33298,1032
835,6,1033,6,14541,1034
836,12,1035,10,160764,1036
837,10,1037,9,579035,1038
838,7,785,8,59376,1039
839,19,1040,15,604435,1041
840,61,1042,24,146374,1043
841,18,1044,11,28665,1045
842,11,1023,9,43428,1046
843,14,1047,11,43516,1048
844,26,1049,21,342191,1050
845,16,620,5,128901,1051
846,13,1052,6,93649,1053
847,28,987,17,544974,1054
848,14,1055,11,393484,1056
849,10,1057,9,588301,1058
850,14,1059,7,595276,1060
851,22,1015,7,28646,1061
852,16,801,14,34577,1062
853,19,985,24,566671,1063
854,4,1064,9,99197,1065
855,15,1066,14,63305,1067
856,1,1068,8,441516,1069
857,13,612,17,7863,1070
858,16,1071,21,166546,1072
859,1,1073,8,475753,1074
860,62,1075,7,393815,1076
861,14,1077,8,350395,1078
862,17,862,13,568446,1079
863,12,1080,11,354356,1081
864,8,1082,6,139031,1083
865,35,1084,12,3253,1085
866,49,1086,17,115090,1087
867,13,1088,15,39654,1089
868,14,1090,19,52211,1091
869,8,1092,10,34240,1093
870,12,1094,17,365566,1095
871,14,777,35,112289,1096
872,12,1082,6,139031,1097
873,33,1098,24,506977,1099
874,8,1100,13,465522,1101
875,6,951,12,3609,1102
876,5,1103,7,606263,1104
877,31,1105,10,336165,1106
878,7,1107,9,482210,1108
879,3,1109,8,12129,1110
880,23,1111,15,40459,1112
881,15,985,23,566671,1113
882,27,1114,13,30494,1115
883,93,1116,27,386920,1117
884,27,1118,18,163197,1119
885,19,753,9,3328,1120
886,8,1049,16,342191,1121
887,6,1122,16,378589,1123
888,14,1124,13,576993,1125
889,5,1126,7,7499,1127
890,16,705,17,304023,1128
891,20,620,5,128901,1129
892,7,1130,12,153236,1131
893,12,1132,9,334443,1133
894,23,1134,22,511184,1135
895,6,1136,5,466424,1137
896,12,1138,11,543457,1139
897,5,1140,9,68888,1141
898,13,1142,11,92792,1143
899,22,852,7,96982,1144
900,8,1145,10,41741,1146
901,13,1147,7,611079,1148
902,12,1149,9,91739,1150
903,33,1151,18,34388,1152
904,6,1153,7,57734,1154
905,7,1155,8,39289,1156
906,10,646,16,138568,1157
907,19,1158,19,599501,1159
908,17,1160,22,319978,1161
909,24,1162,14,67566,1163
910,63,1164,23,33142,1165
911,13,1166,8,524770,1167
912,25,1168,15,416656,1169
913,14,1170,10,27860,1171
914,69,1172,40,143101,1173
915,7,1174,9,34604,1175
916,13,1176,10,31949,1177
917,4,1178,8,30796,1179
918,12,1180,5,148217,1181
919,19,1182,7,113639,1183
920,17,1184,17,4170,1185
921,31,1186,10,596163,1187
922,9,1107,9,482210,1188
923,10,1189,6,9065,1190
924,7,658,9,622071,1191
925,7,1017,12,341973,1192
926,20,640,5,488613,1193
927,27,1194,15,47566,1195
928,28,276,11,3369,1196
929,6,1197,12,88119,1198
930,9,1199,10,155062,1200
931,7,1009,9,37882,1201
932,20,646,17,138568,1202
933,14,1203,12,9594,1204
934,88,777,41,112289,1205
935,13,1017,13,341973,1206
936,26,801,16,34577,1207
937,8,1208,11,362584,1209
938,16,1166,9,524770,1210
939,16,1211,16,57895,1212
940,37,1075,6,393815,1213
941,14,1214,8,70073,1215
942,23,1088,18,39654,1216
943,20,1176,11,31949,1217
944,8,911,19,352485,1218
945,11,665,15,10249,1219
946,14,783,8,310275,1220
947,6,1221,5,74691,1222
948,10,1223,8,32070,1224
949,9,1225,8,625951,1226
950,16,1227,17,545163,1228
951,14,864,16,18958,1229
952,15,1230,9,445743,1231
953,22,1088,16,39654,1232
954,21,1151,15,34388,1233
955,8,1234,9,38396,1235
956,2,1236,1,485591,1237
957,16,1238,16,7131,1239
958,18,1211,18,57895,1240
959,9,614,13,2020,1241
960,23,1134,22,511184,1135
961,20,1134,22,511184,1242
962,37,1243,14,32350,1244
963,16,705,17,304023,1245
964,7,1246,6,339480,1247
965,8,1248,6,514659,1249
966,36,1250,16,563658,1251
967,5,942,7,39537,1252
968,13,1253,12,1963,1254
969,16,1255,7,575892,1256
970,23,1257,15,36741,1258
971,9,866,12,4200,1259
972,5,1260,9,64618,1261
973,5,781,10,33919,1262
974,13,1263,14,4781,1264
975,6,1155,7,39289,1265
976,15,1266,9,345956,1267
977,5,796,8,59996,1268
978,5,1269,9,36092,1270
979,2,1271,1,485591,1272
980,16,1273,12,526466,1274
981,23,1275,21,354138,1276
982,22,697,16,21626,1277
983,13,1160,22,319978,1278
984,8,1279,7,592601,1280
985,20,667,12,526524,1281
986,17,1282,9,165773,1283
987,11,1284,11,348660,1285
988,45,1286,8,115598,1287
989,5,1149,7,91739,1288
990,51,691,7,90660,1289
991,9,1290,8,463777,1291
992,6,1292,6,157143,1293
993,8,1294,8,555421,1295
994,14,1296,9,71732,1297
995,10,1298,13,494638,1299
996,5,1015,6,28646,1300
997,34,1301,14,149654,1302
998,7,1303,10,65549,1304
999,17,1305,11,138460,1306
1000,27,1307,13,349483,1308
1001,14,785,10,59376,1309
1002,12,1310,13,134877,1311
1003,12,646,16,138568,1312
1004,1,1073,8,475753,1313
1005,7,1314,6,132777,1315
1006,40,987,20,544974,1316
1007,15,1317,13,474121,1318
1008,42,864,23,18958,1319
1009,32,777,39,112289,1320
1010,12,1321,8,35943,1322
1011,5,1323,7,33668,1324
1012,11,1325,7,80406,1326
1013,12,816,8,569321,1327
1014,7,1328,11,119,1329
1015,8,1330,6,596330,1331
1016,25,745,20,169366,1332
1017,27,1151,17,36552,1333
1018,22,1334,21,548194,1335
1019,13,638,14,55110,1336
1020,41,660,7,36707,1337
1021,2,1338,1,485591,1339
1022,10,628,6,35758,1340
1023,100,1341,28,72956,1342
1024,10,1343,7,521671,1344
1025,19,1092,13,34240,1345
1026,10,1346,8,487169,1347
1027,12,1348,19,166215,1349
1028,5,1350,10,517357,1351
1029,5,1352,5,64230,1353
1030,13,652,11,208647,1354
1031,16,1023,10,43428,1355
1032,10,1356,8,10939,1357
1033,10,1358,8,569619,1359
1034,14,1360,17,146979,1361
1035,4,598,7,124267,1362
1036,13,1363,7,39073,1364
1037,27,650,20,32077,664
1038,15,1365,18,40885,1366
1039,6,1367,11,10250,1368
1040,13,1369,10,521089,1370
1041,65,1371,41,122919,1372
1042,13,1373,15,7542,1374
1043,25,1375,10,494155,1376
1044,28,1377,28,442488,1378
1045,11,1379,22,34379,1380
1046,47,677,29,488625,1381
1047,18,606,14,100930,1382
1048,28,1383,13,501611,1384
1049,64,1385,23,34037,1386
1050,10,695,17,60373,1387
1051,19,852,8,96982,1388
1052,8,1389,7,90739,1390
1053,14,911,21,352485,1391
1054,12,1392,6,565173,1393
1055,6,831,9,398755,1394
1056,15,1027,7,64340,1395
1057,23,1396,16,540737,1397
1058,24,1170,11,27860,1398
1059,6,1021,11,124002,1399
1060,22,604,12,78081,1400
1061,17,1401,10,488335,1402
1062,12,1403,5,474097,1404
1063,17,801,18,34577,1405
1064,9,1182,6,113639,1406
1065,13,1407,6,147684,1408
1066,15,622,35,491983,1409
1067,7,703,10,24363,1410
1068,8,1411,4,139221,1412
1069,22,1413,6,33820,1414
1070,67,626,6,90666,1415
1071,7,1416,5,301961,1417
1072,31,640,6,488613,1418
1073,12,1419,10,114179,1420
1074,5,1421,14,594478,1422
1075,12,1423,9,609176,1424
1076,4,1425,8,107504,1426
1077,18,1427,11,382926,1428
1078,21,1429,11,17084,1430
1079,18,1431,10,28695,1432
1080,8,1433,13,36834,1434
1081,49,1435,20,354,1436
1082,5,1437,6,131945,1438
1083,2,1047,8,43516,1439
1084,12,1440,15,152512,1441
1085,14,1284,11,348660,1442
1086,6,1443,15,67764,1444
1087,12,816,9,569321,1445
1088,12,1446,8,601096,1447
1089,11,1448,10,358356,1449
1090,19,1423,10,609176,1450
1091,26,1227,19,545163,1451
1092,8,1452,8,155057,1453
1093,12,783,8,310275,1454
1094,7,1455,11,530648,1456
1095,19,1001,17,139810,1457
1096,7,1180,5,148217,1458
1097,9,1459,6,378628,1460
1098,13,864,15,18958,1461
1099,8,1462,11,5855,1463
1100,8,1464,15,470095,1465
1101,14,1466,8,154682,1467
1102,17,717,16,114639,1468
1103,15,1469,11,31986,1470
1104,17,1471,13,32679,1472
1105,3,1064,10,99197,1473
1106,18,662,9,301202,1474
1107,17,1279,8,592601,1475
1108,6,616,16,14282,1476
1109,17,1059,8,595276,1477
1110,25,640,6,488613,1478
1111,17,1479,10,170110,1480
1112,11,1481,5,32680,1482
1113,17,1483,9,147298,1484
1114,17,1485,12,494137,1486
1115,15,1487,10,1549,1488
1116,11,1489,6,17970,1490
1117,5,1491,6,305033,1492
1118,21,642,18,555399,1493
1119,20,693,11,583794,1494
1120,70,1495,26,98555,1496
1121,23,1497,11,54825,1498
1122,26,1275,21,354138,1499
1123,20,685,15,33757,1500
1124,8,1501,11,89541,1502
1125,12,1503,12,8980,1504
1126,19,1505,15,597315,1506
1127,16,1507,17,40231,1508
1128,14,1049,17,342191,1509
1129,8,1140,10,68888,1357
1130,12,1166,8,524770,1510
1131,14,1511,18,406138,1512
1132,21,1389,9,90739,1513
1133,13,1514,7,154595,1515
1134,16,1516,14,34378,1517
1135,16,1518,15,332686,1519
1136,17,1443,19,67764,1520
1137,23,1521,10,63514,1522
1138,57,1375,22,494155,1523
1139,15,1524,17,92347,1525
1140,34,1526,39,112206,1527
1141,8,1528,11,622021,1529
1142,37,693,13,583794,1530
1143,17,794,17,41991,1531
1144,10,1532,7,580967,1533
1145,13,1122,15,378589,1534
1146,23,1535,11,308430,1536
1147,13,1040,13,604435,1537
1148,21,1238,16,7131,1538
1149,14,881,18,91489,1539
1150,17,1182,7,113639,1540
1151,16,1541,11,40880,1542
1152,18,1543,14,526434,1544
1153,8,1545,16,483958,1546
1154,52,626,8,90666,1547
1155,10,1145,11,41741,1548
1156,14,1549,8,378622,1550
1157,19,669,18,502128,1551
1158,34,626,6,90666,1552
1159,20,1553,10,33122,1554
1160,15,612,18,7863,1555
1161,15,1556,5,412701,1557
1162,13,1558,6,141581,1559
1163,15,985,20,561362,1560
1164,15,1561,5,155029,1562
1165,17,1563,10,422077,1564
1166,29,709,11,38668,1565
1167,22,1566,10,598589,1567
1168,7,1568,12,72786,1569
1169,9,656,15,148347,1570
1170,46,852,12,96982,1571
1171,24,985,23,566671,1572
1172,40,677,30,488625,1573
1173,11,1574,6,60378,1575
1174,5,1325,6,80406,1576
1175,12,1577,12,522158,1578
1176,23,1158,18,599501,1579
1177,10,1580,7,85571,1581
1178,75,777,40,112289,1582
1179,36,774,21,585798,1583
1180,10,1584,10,32057,1585
1181,8,1586,11,376654,1587
1182,14,1588,11,115538,1589
1183,13,1590,17,581387,1591
1184,6,1592,4,139015,1593
1185,12,759,19,134906,1594
1186,31,691,5,90660,1595
1187,6,1596,12,34772,1597
1188,25,1017,16,341973,1598
1189,14,1168,11,416656,1599
1190,24,1600,8,427737,1601
1191,7,1180,5,148217,1602
1192,4,1401,7,488335,1603
1193,14,1604,9,134196,1605
1194,100,679,34,543315,680
1195,24,1568,16,72786,1606
1196,8,1607,7,22329,1608
1197,8,1003,17,39630,1609
1198,13,1588,11,115538,1610
1199,9,783,7,310275,1611
1200,14,911,20,352485,1612
1201,20,1613,7,51913,1614
1202,6,1615,6,581972,1616
1203,7,1617,8,595767,1618
1204,4,1619,9,79085,1620
1205,17,819,12,553048,1621
1206,38,1084,13,3253,1622
1207,20,985,23,583402,1623
1208,30,1624,18,425173,1625
1209,24,1626,12,615048,1627
1210,17,814,8,43899,1628
1211,5,942,7,39537,1629
1212,16,1017,13,341973,1630
1213,13,987,13,544974,1631
1214,19,777,35,112289,1632
1215,8,1279,8,592601,1633
1216,34,640,5,488613,1634
1217,11,1126,9,7499,1635
1218,14,1452,10,155057,1636
1219,20,1221,5,74691,1637
1220,11,1638,11,41368,1639
1221,7,1640,7,476710,1641
1222,8,1642,7,375644,1643
1223,23,783,10,310275,1644
1224,18,1040,12,604435,1645
1225,17,823,11,107782,1646
1226,34,888,17,9314,1647
1227,13,652,11,208647,1648
1228,15,656,13,148347,1649
1229,12,1126,9,7499,1650
1230,11,1651,11,597068,1652
1231,34,1371,36,122919,1653
1232,16,1654,8,550911,1655
1233,18,833,13,9327,1656
1234,13,1657,15,101135,1658
1235,5,1433,11,36834,1659
1236,8,1660,8,97690,1661
1237,8,1662,5,322074,1663
1238,17,1664,11,339514,1665
1239,17,705,18,304023,1666
1240,7,1667,14,1694,1668
1241,13,1669,7,54193,1670
1242,11,1375,10,494155,1671
1243,20,1672,10,465269,1673
1244,37,1674,15,161150,1675
1245,19,677,20,488625,1676
1246,38,1677,7,426670,1678
1247,10,1147,7,611079,1679
1248,8,1680,8,627795,1681
1249,20,1518,16,332686,1682
1250,17,1664,11,339514,1683
1251,13,1684,14,305474,1685
1252,13,1686,6,489633,1687
1253,13,1688,9,37857,1689
1254,7,1690,6,116807,1691
1255,20,693,11,583794,1692
1256,33,1693,15,4631,1694
1257,14,1695,10,17980,1696
1258,44,1697,20,79177,1698
1259,11,1009,10,37882,1699
1260,15,665,16,10249,1700
1261,7,1701,13,372899,1702
1262,12,1703,35,92475,1704
1263,13,1170,11,27860,1705
1264,22,1706,5,417258,1707
1265,24,1708,12,91528,1709
1266,13,779,5,136592,1710
1267,34,1711,11,476594,1712
1268,50,1713,26,487868,1714
1269,36,705,22,304023,1715
1270,39,1084,14,3253,1716
1271,13,1717,16,144885,1718
1272,13,630,12,587209,1719
1273,15,1211,11,57895,1720
1274,21,276,11,3369,1721
1275,14,1122,16,378589,1722
1276,1,1723,8,229147,1724
1277,11,1725,9,137886,1726
1278,12,1727,13,379451,1728
1279,4,1729,8,152177,1730
1280,20,1731,11,11147,1732
1281,7,785,8,59376,1733
1282,15,1734,12,491915,1735
1283,58,999,24,399702,1736
1284,21,999,16,399702,1737
1285,11,1738,12,307618,1739
1286,15,1740,11,576577,1741
1287,5,695,14,60373,1742
1288,13,1369,10,521089,1743
1289,45,1429,17,17084,1744
1290,25,1745,17,24703,1746
1291,6,1747,8,89694,1748
1292,13,1433,15,36834,1749
1293,9,1750,8,620412,1751
1294,14,1752,16,388936,1753
1295,15,1754,13,33764,1755
1296,12,1756,13,554150,1757
1297,5,1758,15,153424,1759
1298,10,1760,11,39697,1761
1299,23,1080,11,354356,1762
1300,17,886,12,88838,1763
1301,21,1764,11,517891,1765
1302,9,1766,8,89698,1767
1303,16,1768,11,593392,1769
1304,21,1088,18,39654,1770
1305,7,658,8,622071,1771
1306,22,1772,11,573243,1773
1307,99,1713,34,487868,1774
1308,27,1775,7,92414,1776
1309,9,1777,15,530448,1778
1310,15,1779,11,339907,1780
1311,11,1781,14,487030,1782
1312,26,695,19,60373,1783
1313,13,991,12,487749,1784
1314,22,1772,11,573243,1773
1315,5,1785,14,75639,1786
1316,17,648,16,383246,1787
1317,5,991,10,487749,1788
1318,14,1789,17,597303,1144
1319,79,1790,27,447972,1791
1320,12,1040,13,604435,1792
1321,26,1793,14,527731,1794
1322,11,1795,11,1446,1796
1323,15,1797,7,41708,1798
1324,8,1799,11,21341,1800
1325,14,1799,11,21341,1801
1326,20,1802,12,9226,1803
1327,43,1804,16,30409,1805
1328,7,1804,9,30409,1806
1329,10,785,9,59376,1807
1330,14,1799,11,21341,1808
1331,14,1809,8,43146,1810
1332,8,1811,7,569268,1812
1333,22,1813,7,74727,1814
1334,18,624,11,20550,1815
1335,5,1816,7,165712,1817
1336,13,1818,17,5034,1819
1337,33,1820,22,520270,1821
1338,6,608,15,32748,1822
1339,16,1823,13,75588,1824
1340,6,1092,10,34240,1825
1341,28,1122,19,378589,1826
1342,5,1122,12,378589,1827
1343,8,1828,12,58102,1829
1344,29,1830,15,614535,1831
