ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
258,14,257,14,47901,258
259,24,259,12,388400,260
260,23,261,8,101176,262
261,27,263,13,385871,264
262,26,265,18,61192,266
263,33,267,14,33301,268
264,36,269,14,471536,270
265,51,271,9,46277,272
266,19,273,9,186129,274
267,38,275,16,334650,276
268,47,277,7,313309,278
269,31,279,4,38385,280
270,33,281,7,21874,282
271,22,283,6,347872,284
272,37,285,5,332453,286
273,36,287,14,348509,288
274,26,289,13,52514,290
275,20,291,5,82059,292
276,36,293,11,368702,294
277,11,295,8,10960,296
278,77,297,16,10515,298
279,11,299,6,105071,300
280,30,301,8,167019,302
281,47,303,7,9699,304
282,52,275,18,334650,305
283,18,306,7,427181,307
284,30,308,7,392691,309
285,100,310,18,30539,311
286,39,312,15,278829,313
287,22,277,6,313309,314
288,26,315,5,370561,316
289,27,317,15,40638,318
290,21,319,7,80137,320
291,20,321,14,170179,322
292,20,323,9,331527,324
293,20,325,7,29592,326
294,55,327,8,74895,328
295,19,329,10,29630,330
296,23,331,11,67689,332
297,21,333,19,37054,334
298,15,335,8,167156,336
299,89,337,6,278758,338
300,20,339,5,81447,340
301,19,341,7,97377,342
302,18,271,8,46277,343
303,34,344,6,104627,345
304,31,346,9,8161,347
305,18,348,5,244757,349
306,19,350,7,433069,351
307,50,352,18,38674,353
308,56,354,14,390017,355
309,23,356,8,451257,357
310,25,358,15,31511,359
311,21,360,9,444578,361
312,17,362,10,131059,363
313,16,364,19,45119,365
314,20,366,19,437865,367
315,33,368,6,74373,369
316,35,362,14,131059,370
317,33,371,7,80764,372
318,37,373,18,335063,374
319,10,375,5,434648,376
320,39,293,11,368702,377
321,27,378,12,46058,379
322,34,269,14,471536,380
323,16,273,9,186129,381
324,57,382,5,358305,383
325,28,364,18,45119,384
326,22,385,6,45831,386
327,20,387,13,465634,388
328,23,389,7,100163,390
329,39,391,0,396777,392
330,31,393,13,55470,394
331,14,395,10,377471,396
332,36,352,18,38674,397
333,20,398,5,368441,399
334,35,312,15,278829,400
335,21,401,5,46772,402
336,21,403,17,111260,404
337,36,405,20,169102,406
338,38,407,5,114354,408
339,73,409,20,433591,410
340,12,411,5,22290,412
341,100,413,8,303686,414
342,20,415,9,124512,416
343,70,417,16,357308,418
344,21,317,15,40638,419
345,26,420,12,38628,421
346,25,422,7,293690,423
347,18,424,16,395776,425
348,47,426,16,334043,427
349,23,428,8,458311,429
350,54,430,7,29596,431
351,40,432,7,9697,433
352,100,417,23,357308,434
353,20,435,11,119070,436
354,39,437,7,84448,438
355,20,439,8,28612,440
356,26,441,7,301336,442
357,25,443,15,97488,444
