ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
378,9,378,11,7646,379
379,37,380,18,15304,381
380,100,382,5,16867,383
381,7,384,15,178040,385
382,5,386,17,37740,387
383,10,388,15,94058,389
384,5,390,9,7698,391
385,7,392,5,174949,393
386,10,394,15,169766,395
387,11,396,11,181785,397
388,20,398,15,19352,399
389,7,400,9,171308,401
390,2,402,14,34672,403
391,20,404,18,35781,405
392,28,406,16,18293,407
393,15,408,18,38019,409
394,23,410,17,43096,411
395,29,412,13,2407,413
396,15,414,10,155853,415
397,18,416,17,172966,417
398,55,418,11,181191,419
399,7,420,6,800,421
400,17,422,15,4429,423
401,10,390,10,7698,424
402,28,425,12,7333,426
403,20,427,11,183989,428
404,27,429,5,128927,430
405,4,431,13,5622,432
406,12,433,20,189654,434
407,38,435,18,164387,436
408,100,429,4,128927,437
409,7,438,11,176629,439
410,71,440,44,167020,441
411,9,442,15,142420,443
412,9,444,18,34791,445
413,32,446,17,173624,447
414,100,429,4,128927,448
415,30,449,15,164559,450
416,27,451,17,173362,452
417,11,453,7,162977,454
418,23,455,19,64802,456
419,12,457,15,27531,458
420,17,459,15,156792,460
421,10,382,5,16867,461
422,25,440,44,167020,462
423,19,429,5,128927,463
424,9,408,16,38019,464
425,11,465,14,177308,466
426,18,416,17,172966,467
427,9,429,7,128927,468
428,16,469,17,154633,470
429,6,471,11,173482,472
430,6,473,11,41819,474
431,21,475,16,171650,476
432,24,477,16,5366,478
433,19,479,16,186420,480
434,11,481,15,29331,482
435,9,442,16,142420,483
436,8,484,25,38398,485
437,32,451,18,173362,486
438,5,487,11,167832,488
439,13,489,20,129180,490
440,69,382,4,16867,491
441,12,492,15,92967,493
442,17,429,4,128927,494
443,100,495,15,36381,496
444,12,497,15,167095,498
445,6,499,5,133025,500
446,1,501,6,104587,502
447,28,503,13,13030,504
448,7,505,11,181871,506
449,7,384,16,178040,507
450,100,429,4,128927,437
451,100,429,7,128927,508
452,100,382,4,16867,509
453,11,510,11,151593,511
454,64,512,24,1551,513
455,25,514,10,187101,515
456,11,516,19,14620,517
457,43,512,24,1551,518
458,15,519,16,64755,520
459,19,457,15,27531,521
460,8,522,5,164451,523
461,30,524,19,35619,525
462,6,526,25,114599,518
463,12,526,21,114599,527
464,14,528,12,18251,529
465,1,530,10,161235,531
466,10,406,13,18293,532
467,11,526,24,114599,533
468,8,505,11,181871,534
469,7,378,11,13130,535
470,11,536,15,39546,537
471,8,538,15,178463,539
472,4,540,10,251,541
473,19,382,5,16867,542
474,4,465,13,177308,543
475,16,544,19,178538,545
476,18,546,17,39544,547
477,87,548,23,113146,549
478,100,429,7,128927,508
479,100,429,5,128927,550
480,1,551,10,276,552
481,8,553,13,174153,554
482,100,440,44,167020,555
483,12,556,11,1138,557
484,26,512,20,1551,558
485,10,559,11,15933,560
486,6,510,9,151593,561
487,9,536,13,39546,562
488,13,563,11,174850,564
489,2,565,12,154573,566
490,14,567,16,4877,568
491,100,382,5,16867,428
492,100,429,5,128927,569
493,12,570,16,2135,571
494,9,572,14,6595,573
495,2,574,15,120685,575
496,4,576,12,556,577
497,19,406,15,18293,578
498,11,579,15,142057,580
499,22,581,11,37425,582
500,100,548,23,113146,583
501,4,584,9,42800,585
502,10,586,17,161927,587
503,7,588,21,183314,589
504,11,590,9,161421,591
505,84,592,27,175153,593
506,8,594,14,182908,595
507,12,596,15,150247,597
508,10,598,14,42914,599
509,81,600,22,97089,601
510,15,602,14,1681,603
511,12,604,7,114822,399
512,9,479,14,186420,605
513,19,382,4,16867,606
514,4,607,7,186041,608
515,14,609,16,55931,610
516,12,611,9,19167,612
517,5,492,11,92967,613
518,5,530,12,161235,614
519,8,615,11,5282,616
520,19,617,14,6821,618
521,17,408,17,38019,619
522,5,620,11,841,621
523,1,622,10,7952,623
524,10,382,4,16867,624
525,11,408,16,38019,625
526,12,626,13,182026,627
527,5,628,6,156015,424
528,7,629,14,13202,630
529,7,559,11,15933,631
530,25,628,10,156015,632
531,10,633,11,146247,634
532,100,548,23,113146,635
533,15,636,16,18786,637
534,7,576,13,556,638
535,18,410,11,43096,639
536,23,449,17,164559,640
537,100,382,4,16867,641
538,22,642,20,160371,643
539,10,429,5,128927,644
540,19,429,6,128927,645
541,16,440,44,167020,646
542,17,422,16,4429,647
543,30,648,16,169904,649
544,100,382,4,16867,650
545,8,429,5,128927,651
546,20,652,15,143695,653
547,75,514,14,187101,654
548,7,390,9,7698,655
549,4,559,9,15933,656
550,11,457,15,27531,657
551,17,636,16,18786,658
552,75,659,22,118419,660
553,16,661,5,35595,662
554,18,663,21,157807,664
555,18,665,12,193249,666
556,17,440,44,167020,667
557,12,548,23,113146,668
558,10,596,15,150247,669
559,41,670,22,184156,671
560,11,672,5,10211,673
561,4,674,11,87,675
562,1,574,14,120685,676
563,6,677,18,39380,678
564,43,679,22,25730,680
565,10,681,16,158258,682
566,9,683,9,134812,684
567,26,394,19,169766,685
568,65,429,6,128927,686
569,12,528,11,18251,687
570,7,688,20,40651,689
571,15,690,19,183739,691
572,30,540,17,251,692
573,14,693,14,36191,694
574,16,688,22,40651,695
575,18,696,7,175087,697
576,14,698,9,187104,699
577,10,396,9,181785,700
578,7,701,8,151142,702
579,17,659,14,118419,703
580,18,704,12,148394,705
581,21,706,16,171269,707
582,14,477,14,5366,708
583,10,390,12,7698,709
584,4,471,10,173482,710
585,12,711,10,167430,712
586,4,672,5,10211,713
587,8,714,12,180953,715
588,22,442,18,142420,716
589,10,596,15,150247,717
590,100,429,5,128927,569
591,5,442,9,159658,718
592,5,536,14,39546,719
593,25,516,22,14620,720
594,12,642,18,160371,721
595,15,681,17,158258,722
596,20,429,6,128927,723
597,6,724,12,13700,725
598,10,596,15,150247,726
599,10,408,16,38019,727
600,10,728,20,161099,729
601,14,598,16,42914,730
602,12,396,9,181785,731
603,10,724,12,13700,732
604,32,733,20,3281,734
605,21,396,12,181785,735
606,66,429,6,128927,736
607,100,429,5,128927,550
608,1,737,10,14074,738
609,12,572,13,6595,739
610,37,600,17,97089,740
611,11,408,17,38019,741
612,15,442,12,159658,742
613,11,404,16,35781,743
614,4,429,6,128927,744
615,8,745,17,160294,746
616,6,617,11,6823,747
617,9,748,16,166743,749
618,10,750,12,42799,751
619,7,752,8,101443,753
620,13,429,4,128927,754
621,30,755,17,145249,756
622,5,398,11,19352,757
623,100,382,5,16867,383
624,14,758,11,127521,759
625,10,760,13,159469,761
626,18,762,9,169255,763
627,10,764,16,146503,765
628,18,766,17,38460,715
629,7,767,8,190527,768
630,5,565,15,154573,769
631,7,489,17,129180,770
632,8,422,13,4429,771
633,22,435,17,164387,772
634,11,728,20,161099,773
635,100,382,4,16867,641
636,17,512,18,1551,774
637,16,579,16,142057,775
638,17,422,15,4429,647
639,5,776,15,129613,777
640,12,526,25,114599,778
641,8,492,13,92967,779
642,28,536,11,39546,780
643,30,781,18,94062,782
644,14,586,17,161927,783
645,39,429,6,128927,784
646,1,785,9,12175,786
647,12,602,14,1681,787
648,13,526,24,114599,788
649,41,789,16,175857,790
650,11,791,14,12093,792
651,8,793,16,151945,794
652,12,429,5,128927,795
653,8,481,14,29331,796
654,19,797,12,13634,798
655,100,429,6,128927,799
656,22,800,10,42768,801
657,19,802,6,41217,803
658,8,435,12,164387,804
659,100,382,5,16867,428
660,22,590,11,161421,805
661,20,516,21,14620,806
662,11,706,13,171269,646
663,19,807,15,155059,808
664,13,648,12,169904,809
665,3,810,13,119935,811
666,23,429,5,128927,812
667,12,813,19,27530,814
668,5,815,14,148307,816
669,100,817,14,12862,818
670,9,442,11,158257,491
671,7,819,8,122872,820
672,7,821,16,166807,822
673,13,823,10,146249,824
674,1,825,9,90933,826
675,9,396,9,181785,827
676,10,828,10,184927,829
677,26,830,21,427,831
678,9,832,16,183918,833
679,5,396,8,181785,834
680,8,776,17,129613,835
681,35,836,30,146334,837
682,11,838,18,13549,839
683,7,390,10,7698,840
684,11,841,8,122870,842
685,17,536,16,39546,843
686,17,844,20,183023,845
687,68,459,21,156792,846
688,12,847,15,36579,848
689,4,442,14,142420,849
690,14,536,15,39546,850
691,10,600,13,97089,851
692,12,499,6,133025,852
693,67,382,4,16867,853
694,41,489,25,129180,854
695,11,855,14,34805,856
696,100,406,30,18293,857
697,11,858,17,17979,859
698,6,584,10,42800,860
699,10,617,13,6821,861
700,33,836,30,146334,862
701,17,863,23,189153,864
702,10,429,5,128927,865
703,19,866,15,64742,867
704,14,868,15,1312,869
705,21,870,16,20500,871
706,8,617,15,6816,872
707,20,711,12,167430,873
708,100,406,30,18293,857
709,16,874,13,171462,875
710,6,876,13,12121,877
711,6,690,16,183739,878
712,13,879,14,6097,880
713,37,881,11,28619,882
714,100,429,4,128927,883
715,3,884,15,145640,885
716,10,540,13,251,886
717,6,868,12,1312,887
718,10,526,21,114599,463
