ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
1187,63,1186,16,1757,1187
1188,23,1188,14,1245,1189
1189,20,1190,17,109984,1191
1190,20,1192,4,111839,1193
1191,9,1194,5,113147,1195
1192,100,1196,3,16593,1197
1193,18,1198,12,114617,1199
1194,15,1200,15,20202,1201
1195,14,1202,16,114601,1203
1196,17,1204,5,100704,1205
1197,19,1206,15,97783,1207
1198,31,1208,19,112818,1209
1199,64,1210,14,114449,1211
1200,71,1212,7,95450,1213
1201,100,1214,3,16588,1215
1202,8,1216,6,20205,1217
1203,16,1218,22,109519,1219
1204,12,1220,15,22710,1221
1205,78,1214,3,16588,1222
1206,62,1223,3,20211,1224
1207,14,1218,22,109519,1225
1208,81,1226,30,102068,1227
1209,28,1228,19,29059,1229
1210,19,1230,12,108609,1231
1211,37,1232,20,10865,1233
1212,5,1234,26,86859,1235
1213,38,1236,4,105537,1237
1214,14,1232,18,10865,1238
1215,1,1239,17,102729,1240
1216,19,1218,22,109519,1241
1217,17,1242,21,113494,1243
1218,25,1244,14,113044,1245
1219,10,1200,12,20202,1246
1220,28,1247,3,17987,1248
1221,14,1249,26,109911,1250
1222,63,1214,3,16588,1251
1223,7,1252,16,97995,1253
1224,38,1254,16,11288,1255
1225,2,1256,9,110972,1257
1226,48,1258,28,11318,1259
1227,35,1260,6,110335,1261
1228,25,1200,8,20202,1262
1229,50,1263,5,20215,1264
1230,18,1265,6,93036,1266
1231,29,1267,14,109564,1268
1232,11,1269,11,106105,1270
1233,20,1214,3,16588,1271
1234,68,1223,3,20211,1272
1235,24,1273,13,112240,1274
1236,60,1275,27,29119,1276
1237,17,1277,19,1784,1278
1238,21,1279,17,114612,1280
1239,13,1194,5,113147,1281
1240,29,1200,16,20202,1282
1241,50,1283,21,10293,1284
1242,55,1285,7,18394,1286
1243,47,1196,4,16593,1287
1244,27,1288,8,114222,1289
1245,28,1214,3,16588,1290
1246,18,1291,14,26560,1292
1247,15,1293,30,86027,1294
1248,23,1295,16,23065,1296
1249,13,1214,3,16588,1297
1250,69,1298,12,114694,1299
1251,15,1200,15,20202,1300
1252,23,1202,16,114601,1301
1253,23,1302,5,107160,1303
1254,22,1214,3,16588,1304
1255,11,1305,11,90076,1306
1256,16,1307,20,107948,1308
1257,20,1298,12,114694,1309
1258,100,1194,4,113147,1310
1259,16,1214,3,16588,1311
1260,15,1194,5,113147,1312
1261,43,1313,16,19404,1314
1262,23,1315,15,108994,1316
1263,49,1315,15,108994,1317
1264,1,1318,10,28749,1319
1265,34,1320,20,111451,1321
1266,18,1322,16,1280,1323
1267,20,1194,4,113147,1324
1268,49,1194,3,113147,1325
1269,54,1326,15,109291,1327
1270,10,1328,24,114608,1329
1271,8,1330,4,85683,1331
1272,12,1275,25,29119,1332
1273,30,1333,12,27246,1334
1274,45,1335,17,109045,1336
1275,1,1337,15,102888,1338
1276,62,1214,3,16588,1339
1277,21,1340,25,86569,1341
1278,1,1342,14,14941,1343
1279,30,1344,4,103943,1345
1280,49,1223,3,20211,1346
1281,11,1347,18,23069,1348
1282,34,1349,15,1748,1350
1283,31,1194,3,113147,1351
1284,9,1352,5,112283,1353
1285,9,1354,8,113311,1355
1286,39,1293,30,86027,1356
1287,16,1247,3,17987,1357
1288,21,1186,14,1757,1358
1289,22,1359,17,114625,1360
1290,13,1361,8,112985,1362
1291,36,1363,19,97784,1364
1292,1,1365,15,101849,1366
1293,17,1196,3,16593,1367
1294,20,1200,12,20202,1368
