ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
1379,21,1379,15,213403,1380
1380,20,1381,22,15724,1382
1381,12,1383,7,195461,1384
1382,9,1385,5,197814,1386
1383,14,1387,18,80512,1388
1384,8,1389,7,214370,1390
1385,9,1391,16,204261,1392
1386,7,1393,14,210527,1394
1387,6,1395,6,8186,1396
1388,4,1397,25,187174,1398
1389,5,1399,9,209628,1400
1390,22,1391,25,204261,1401
1391,19,1402,23,28270,1403
1392,7,1404,20,185929,1405
1393,9,1406,12,73559,1407
1394,9,1408,15,179302,1409
1395,19,1410,13,199100,1411
1396,5,1412,5,30051,1413
1397,12,1414,16,52460,1415
1398,11,1416,13,27659,1417
1399,12,1418,11,5536,1419
1400,7,1387,13,80512,1420
1401,15,1421,24,183353,1422
1402,10,1423,30,179988,1424
1403,100,1425,15,203390,1426
1404,15,1427,14,41284,1428
1405,8,1429,19,170392,1430
1406,14,1431,21,165415,1432
1407,10,1433,11,202658,1434
1408,7,1435,7,165395,1436
1409,5,1437,18,185191,1438
1410,5,1439,23,180727,1440
1411,28,1441,22,50934,1442
1412,5,1443,5,192834,1444
1413,7,1445,13,13562,1446
1414,32,1447,19,178280,1448
1415,34,1449,14,168924,1450
1416,4,1451,10,77472,1452
1417,12,1453,17,154636,1454
1418,14,1455,13,13720,1456
1419,9,1457,26,205238,1458
1420,9,1459,18,61436,1460
1421,5,1461,14,196668,1462
1422,9,1463,14,161504,1464
1423,5,1465,9,27648,1466
1424,13,1467,9,112994,1468
1425,10,1469,17,157902,1470
1426,3,1471,15,11755,1472
1427,7,1473,16,173324,1474
1428,16,1475,19,80903,1476
1429,16,1477,9,195433,1478
1430,13,1479,15,211198,1480
1431,5,1481,12,45473,1482
1432,16,1391,23,204261,1483
1433,23,1484,14,213577,1485
1434,8,1486,13,80125,1487
1435,24,1488,17,194510,1489
1436,9,1490,35,205412,1491
1437,14,1492,25,189687,1493
1438,42,1494,17,29916,1495
