ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
486,31,486,7,302007,487
487,30,488,16,48850,489
488,20,490,11,418941,491
489,28,488,16,48850,492
490,95,493,21,302797,494
491,15,495,7,330930,496
492,42,497,9,118890,498
493,18,499,11,476710,500
494,28,501,13,480592,502
495,12,503,15,250581,504
496,19,505,5,202590,506
497,31,507,19,243775,508
498,17,509,5,2914,510
499,11,511,6,391188,512
500,20,513,6,339431,514
501,23,515,15,56692,516
502,52,517,7,82101,518
503,32,519,7,38379,520
504,19,521,7,59475,522
505,26,523,7,50318,524
506,29,525,18,429277,526
507,31,527,8,185495,528
508,89,529,14,385500,530
509,36,531,19,390899,532
510,31,533,5,284640,534
511,34,535,11,84613,536
512,19,537,9,355811,538
513,37,539,19,2758,540
514,19,541,7,244205,542
515,31,543,14,347630,544
516,37,545,7,436929,546
517,8,547,8,306345,548
518,22,549,13,446063,550
519,37,551,7,40478,552
520,10,553,6,12181,554
521,25,555,6,357474,556
522,50,557,0,377836,558
523,27,559,14,131932,560
524,28,561,7,45925,562
525,14,563,6,49101,564
526,25,565,9,3711,566
527,45,567,12,453179,568
528,33,569,7,109931,570
529,19,571,5,111637,572
530,19,573,9,464791,574
531,18,575,6,344687,576
532,18,577,6,62278,578
533,20,579,9,79382,580
534,19,581,10,49687,582
535,60,583,15,198230,584
536,26,519,7,38379,585
537,28,586,9,70411,587
538,19,588,5,310361,589
539,39,590,6,295901,591
540,41,592,14,473347,593
541,32,594,11,476662,595
542,28,596,6,74444,597
543,23,598,5,43715,599
544,25,600,11,392307,601
545,100,602,18,99795,603
546,30,604,5,182650,605
547,20,606,9,409868,607
548,21,608,7,166368,609
549,18,610,6,123580,611
550,38,497,7,118890,612
551,38,613,5,105589,614
552,15,615,6,27825,616
553,57,617,6,362182,618
554,47,619,18,436887,620
555,24,621,7,384092,622
556,58,623,17,18631,624
557,10,505,5,202590,625
558,26,626,20,388282,627
559,19,628,7,341573,629
560,24,630,9,49126,631
561,22,632,5,443981,633
562,18,517,6,82101,634
563,30,635,14,458973,636
564,20,637,15,278935,638
565,62,639,15,9454,640
566,19,641,9,110379,642
567,100,643,24,201769,644
568,35,645,15,118086,646
569,18,647,10,290588,648
570,28,649,13,292156,650
571,46,651,14,474890,652
572,18,653,7,47354,654
573,21,655,24,79692,656
574,35,657,13,294903,658
575,19,659,8,396604,660
576,25,555,6,357474,661
577,14,592,10,473347,662
578,36,663,7,246291,664
579,21,665,8,44572,666
580,13,667,5,346325,668
581,31,669,11,483935,670
582,49,525,18,429277,671
583,14,672,8,61265,673
584,25,674,31,358496,675
585,41,676,7,283396,677
586,32,678,16,434864,679
587,25,680,6,331948,681
588,30,682,9,39462,683
589,20,684,16,244878,685
590,15,686,14,5756,687
591,30,688,5,209428,689
592,18,690,6,303356,691
593,40,692,7,39460,693
594,34,694,16,386719,695
595,36,696,18,39498,697
596,74,698,17,24867,552
597,25,699,8,34488,700
598,17,701,7,76564,702
599,11,703,5,433383,704
600,18,705,6,301062,706
601,23,559,13,131932,707
602,100,708,26,371013,709
603,70,710,22,42384,711
604,44,712,12,28248,713
605,30,705,10,301062,714
606,42,715,18,464346,716
607,36,717,7,51766,718
608,34,719,10,63453,720
609,28,721,9,270712,722
610,68,723,8,342184,724
611,26,663,6,246291,725
612,100,726,22,101629,727
613,26,728,30,341296,729
614,18,730,5,49877,731
615,20,732,7,119510,733
616,19,734,19,48090,735
617,43,726,15,101629,736
618,24,737,7,109567,738
619,55,739,15,34396,740
620,59,741,13,12,742
621,28,743,8,327313,744
622,31,745,13,455162,746
623,15,747,6,83800,748
624,49,749,16,373735,750
625,43,647,14,290588,751
626,31,752,9,76144,753
627,22,754,12,106777,755
628,27,756,5,57549,757
629,8,758,10,104640,759
630,25,760,12,479268,761
631,100,643,26,201769,762
632,18,684,16,244878,763
633,100,643,26,201769,764
634,9,765,5,202449,766
635,31,767,10,442353,768
636,48,769,15,74697,770
637,43,771,5,380988,772
638,16,773,6,438843,774
639,28,775,8,338949,776
640,19,777,7,314157,778
641,28,779,8,37474,780
642,25,781,15,4,782
643,19,521,7,59475,783
644,50,784,6,40532,785
645,13,786,6,289765,787
646,20,788,6,10095,789
647,23,790,18,131914,791
648,100,486,12,302007,792
649,73,793,9,6911,794
650,47,795,10,46501,796
651,10,797,5,23101,798
652,21,799,7,31262,800
653,81,801,15,37967,802
654,31,803,10,57772,804
655,24,805,7,382579,806
656,38,807,5,333504,808
657,15,497,7,118890,809
658,47,810,13,295893,811
659,49,812,12,113488,813
660,21,619,13,436887,814
661,40,815,14,426384,816
662,100,817,22,106299,818
663,68,819,7,41164,820
664,73,821,5,449266,822
665,22,823,6,46119,824
666,12,825,5,40199,826
667,21,712,10,28248,827
668,28,573,11,464791,828
669,19,829,5,395057,830
670,38,831,13,8623,832
671,9,833,6,474268,834
672,80,835,14,183050,836
673,17,712,9,28248,837
674,12,838,5,199717,839
675,15,840,9,61310,841
676,99,842,25,110271,843
677,13,844,7,38273,845
678,21,488,16,48850,846
679,49,847,9,44444,848
680,9,849,5,31130,850
681,21,851,5,50170,852
682,13,853,5,114098,854
683,28,855,13,389444,856
684,18,857,7,284979,858
685,64,594,13,476662,859
686,10,860,6,46029,861
687,21,862,16,112089,863
688,26,864,5,199725,865
689,19,866,5,131832,867
690,21,868,5,451990,869
691,38,870,11,462189,871
692,9,872,6,476604,873
693,19,874,9,317893,875
694,67,876,11,113811,824
695,13,719,7,63453,877
696,100,878,17,244141,879
697,100,643,26,201769,880
698,35,881,10,5906,882
699,25,586,9,70411,883
700,20,781,15,4,884
701,33,885,8,10669,886
702,18,486,6,302007,887
703,10,888,14,301441,889
704,32,626,21,388282,890
705,28,891,6,344775,892
706,21,579,8,79382,893
707,8,894,5,51659,895
708,47,896,9,455576,897
709,20,898,6,68611,899
710,100,900,27,394016,901
711,18,902,6,451691,903
712,32,684,18,244878,904
713,25,905,11,104795,906
714,100,907,10,76745,908
715,10,909,0,345335,910
716,24,911,10,476835,912
717,6,913,5,459471,914
718,49,915,13,389723,916
719,45,917,7,111146,918
720,48,919,14,444669,920
721,34,921,9,386204,922
722,49,923,7,332696,924
723,40,925,0,377824,926
724,44,927,11,327284,928
725,14,730,5,49877,929
726,39,930,7,97417,931
727,59,932,10,299194,933
728,37,817,15,106299,934
729,34,935,7,202315,936
730,43,937,9,398074,938
731,13,939,8,115659,940
732,21,721,8,270712,941
733,31,942,7,33942,943
734,33,944,31,59193,945
735,17,519,7,38379,946
736,27,947,5,20498,948
737,19,949,6,289768,950
738,19,541,7,244205,951
739,16,952,5,9826,953
740,45,954,7,394198,955
741,39,547,12,306345,956
742,16,957,6,392267,958
743,39,573,12,464791,959
744,7,960,5,461279,961
745,19,962,5,48729,963
746,19,964,15,450670,965
747,28,966,10,312793,967
748,31,968,23,477013,969
749,15,797,6,23101,970
750,100,971,9,252122,972
751,37,973,7,29709,974
752,22,975,10,101593,976
753,32,977,5,342234,978
754,100,979,0,381774,980
755,28,981,9,348988,982
756,71,983,8,40654,984
757,8,985,6,364431,986
758,10,987,18,354838,988
759,100,643,26,201769,989
760,100,657,16,294903,990
761,41,991,10,293788,992
762,33,993,7,299382,994
763,41,995,8,371980,996
764,69,541,11,244205,997
765,37,663,7,246291,998
766,26,999,7,59621,1000
767,24,1001,10,476205,1002
768,30,775,9,338949,1003
769,14,1004,5,397262,1005
770,27,497,8,118890,1006
771,22,1007,14,478794,1008
772,22,1009,6,303626,1010
773,36,1011,7,84413,1012
774,24,515,13,56692,1013
775,29,1014,6,81712,1015
776,56,1016,23,247333,1017
777,21,1018,7,43757,1019
778,22,939,9,115659,1020
779,30,1021,7,371792,1022
780,27,1023,6,325495,1024
781,18,1025,10,389295,1026
782,29,1027,7,130627,1028
783,19,1029,5,69793,1030
784,22,1031,11,460910,1032
785,32,1033,6,57536,1034
786,22,1035,5,16046,1036
787,18,795,7,46501,1037
788,43,1038,9,437276,1039
789,8,590,5,295901,1040
790,11,1041,5,121722,1042
791,12,553,6,12181,1043
792,33,862,16,112089,1044
793,41,1045,18,81919,1046
794,30,981,10,348988,1047
795,31,767,10,442353,1048
796,19,1049,17,276990,1050
797,7,1051,5,334080,1052
798,37,639,12,9454,1053
799,67,1054,10,120585,1055
800,22,1056,5,468660,1057
801,24,592,12,473347,1058
802,24,1059,6,9524,1060
803,22,1061,5,425833,1062
804,94,1063,18,99821,1064
805,18,1065,7,349380,1066
806,20,1067,7,123345,1068
807,20,719,10,63453,1069
808,28,1070,13,283575,1071
809,20,1072,8,56725,1073
810,22,665,7,44572,1074
811,20,1075,7,289710,1076
812,27,586,9,70411,706
813,18,1077,9,446570,1078
814,15,1079,9,116976,1080
815,34,1081,7,97229,1082
816,44,1031,14,460910,1083
817,33,1084,10,392979,1085
818,60,973,7,29709,1086
819,20,1087,7,44285,1088
820,44,1089,12,337381,1090
821,20,1091,5,54572,1092
822,20,680,6,331948,1093
823,26,1094,5,182639,1095
824,40,1096,9,372427,1097
825,24,1098,5,49753,1099
826,23,1100,7,6515,1101
827,36,1102,8,61017,1103
828,14,1104,6,111036,1105
829,43,1106,7,118575,1107
830,64,1108,13,475942,1109
831,20,1110,10,38496,1111
832,9,499,10,476710,1112
833,28,1113,11,457271,1114
834,46,1115,16,249786,1116
835,37,745,13,455162,1117
836,24,1061,6,425833,1118
837,41,1119,6,121567,1120
838,32,1121,4,289065,1122
839,20,1123,8,38493,1124
840,38,1125,11,2404,1126
841,48,684,18,244878,1127
842,9,1128,5,393440,1129
843,28,1130,13,43945,1131
844,33,779,9,37474,1132
845,18,1133,8,105762,1134
846,33,1135,12,70850,1136
847,35,1137,9,8255,1138
848,16,1139,5,247403,1140
849,24,1141,9,322527,1142
850,19,1143,6,102067,1144
851,12,1145,7,14197,1146
852,12,1147,5,447154,1148
853,100,643,22,201769,1149
854,22,635,14,458973,1150
855,26,1151,8,483616,1152
856,49,1153,6,99991,1154
857,26,561,7,45925,1155
858,36,781,16,4,1156
859,50,712,12,28248,1157
860,17,1158,9,302159,1159
861,30,1160,11,467576,1161
862,22,1162,6,342346,1163
863,30,531,18,390899,1164
864,22,602,11,99795,1165
865,14,1166,5,4919,1167
866,18,1168,5,39469,1169
867,38,1170,7,123579,1171
868,38,1172,9,372862,1173
869,100,643,26,201769,1174
870,18,821,8,341316,1175
871,38,1176,8,341430,1177
872,14,1178,5,46530,1179
873,67,1180,13,353526,1181
874,20,1182,7,101863,1183
875,15,1184,5,378768,1185
876,17,1051,5,334080,1186
877,17,1187,6,388495,1188
