ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
316,14,316,11,2830,317
317,9,318,11,66,319
318,7,320,6,16361,321
319,10,322,8,22597,323
320,24,324,22,14586,325
321,32,326,5,146,327
322,7,328,5,345,329
323,8,330,18,24741,331
324,13,332,9,25423,333
325,18,334,9,296,335
326,14,336,14,5880,337
327,12,338,10,2881,339
328,14,340,13,12646,341
329,32,342,14,20018,343
330,12,344,5,127,345
331,24,346,15,10044,347
332,33,348,13,22592,349
333,89,350,10,999,351
334,7,352,9,22469,353
335,7,354,9,9058,355
336,11,356,10,145,357
337,25,358,5,133,359
338,16,360,11,828,361
339,14,334,10,296,362
340,6,363,13,5143,364
341,9,365,11,13153,366
342,6,367,11,11287,368
343,12,344,5,127,369
344,18,370,19,5009,371
345,12,326,5,146,372
346,82,373,16,15803,374
347,50,348,13,22592,375
348,36,376,10,8143,377
349,8,378,7,638,379
350,14,380,12,22028,381
351,54,344,5,127,382
352,16,383,13,40,384
353,23,385,6,6579,386
354,13,387,6,2499,388
355,33,326,5,146,389
356,6,338,9,2881,390
357,11,391,10,132,392
358,35,393,11,14186,394
359,17,395,11,150,396
360,12,385,6,6579,397
361,21,354,9,9058,398
362,5,399,7,26401,400
363,12,401,11,7103,402
364,12,326,5,146,403
365,21,404,14,631,405
366,14,406,5,23574,407
367,3,408,7,16976,409
368,32,410,18,99,411
369,32,412,11,852,413
370,25,414,13,5338,415
371,28,365,13,13153,416
372,16,417,12,20800,418
373,26,419,7,6212,420
374,14,421,10,851,422
375,12,423,5,113,424
376,8,425,23,19043,426
377,18,427,10,21211,428
378,20,376,9,8143,429
379,28,412,11,852,430
380,12,431,5,10377,432
381,13,360,10,828,433
382,8,434,15,6876,435
383,15,436,15,19737,437
384,14,421,10,851,438
385,24,439,6,25013,440
386,17,441,18,9935,442
387,17,443,10,24381,444
388,23,334,9,296,445
389,5,446,22,20019,447
390,17,448,12,25837,449
391,7,450,10,1657,451
392,15,334,9,296,452
393,15,410,17,99,453
394,14,454,22,2120,455
395,12,456,17,24003,457
396,12,458,13,13787,459
397,13,460,10,4487,461
398,19,462,5,386,463
399,7,464,9,22149,465
400,12,466,21,20248,467
401,14,468,10,1339,469
402,25,470,20,68,471
403,27,472,7,15520,473
404,12,344,5,127,474
405,25,385,6,6579,475
406,17,476,10,22071,477
407,6,332,8,25423,478
408,6,479,6,16786,480
409,8,481,11,20,482
410,46,483,18,128,484
411,12,404,15,631,485
412,10,425,21,19043,486
413,18,487,9,1702,488
414,11,352,8,22469,489
415,11,490,12,211,491
416,25,492,16,27749,493
417,24,441,18,9935,494
418,8,401,8,7103,495
419,18,496,17,78,497
420,7,498,7,27456,499
421,12,436,14,19737,500
422,16,501,10,24677,502
423,20,481,12,20,503
424,35,504,11,17784,505
425,24,446,24,20019,506
426,12,507,21,6905,508
427,12,454,22,2120,509
428,23,510,24,2101,511
429,11,326,5,146,512
430,19,490,14,211,513
431,6,514,11,13994,515
432,12,423,5,113,516
433,12,326,5,146,517
434,14,518,4,6784,519
435,22,476,10,22071,520
436,53,521,15,20472,522
437,35,466,25,20248,523
438,6,370,17,5009,524
439,6,525,7,5946,526
440,7,527,9,15659,528
441,12,370,19,5009,529
442,7,354,9,9058,530
443,32,326,5,146,531
444,6,387,6,2499,532
445,8,533,11,10382,534
446,14,334,10,296,535
447,20,536,29,1464,537
448,15,352,9,22469,538
449,15,483,14,128,539
450,20,540,13,24602,541
451,11,542,13,27598,543
452,6,544,6,20864,545
453,12,328,5,345,546
454,25,406,5,23574,547
455,9,548,8,27193,549
456,6,406,5,23574,550
457,12,551,15,18844,552
458,9,553,11,90,554
459,31,555,11,1251,556
460,14,360,11,828,557
461,12,504,8,17784,558
462,19,385,6,6579,559
463,14,421,10,851,560
464,22,561,16,151,562
465,21,563,5,143,564
466,20,387,6,2499,565
467,18,566,14,82,567
468,8,568,17,4467,569
469,10,570,16,5126,571
470,16,373,11,15803,572
471,30,476,10,22071,573
472,100,574,37,1681,575
473,11,385,6,6579,576
474,17,577,11,13705,578
475,9,504,8,17784,579
476,12,580,12,23545,581
477,7,555,10,1251,582
478,8,450,10,1657,583
479,25,518,4,6784,584
480,13,585,8,23671,586
481,19,358,5,133,587
482,21,421,10,851,588
483,9,589,12,14289,590
484,13,591,21,586,592
485,11,385,6,6579,593
486,39,441,20,9935,594
487,10,387,6,2499,595
488,18,596,14,2232,597
489,22,598,9,15322,599
490,11,600,5,7118,601
491,47,373,13,15803,602
492,17,603,15,2467,604
493,16,344,5,127,605
494,12,326,5,146,606
495,50,462,5,386,607
496,26,385,6,6579,608
497,21,427,10,21211,609
498,7,610,7,3811,611
499,19,425,21,19043,612
500,8,346,12,10044,613
501,19,450,12,1657,614
502,11,615,25,8505,616
503,23,617,15,119,618
504,12,423,5,113,619
505,100,518,4,6784,620
506,8,621,9,27626,622
507,13,623,9,13671,624
508,28,510,25,2101,625
509,7,626,7,25846,627
510,11,501,8,24677,628
511,53,521,15,20472,629
512,19,630,15,24219,631
513,14,632,12,26697,633
514,45,385,6,6579,634
515,12,344,5,127,635
516,10,636,10,18632,637
517,19,425,25,19043,638
518,30,385,6,6579,639
519,12,423,5,113,640
520,5,641,10,27755,642
521,19,462,5,386,643
522,11,644,11,17411,645
523,8,425,22,19043,646
524,7,352,9,22469,647
525,42,510,26,2101,648
526,15,344,5,127,649
527,11,421,10,851,650
528,6,651,5,18528,652
529,9,653,8,27292,654
530,11,354,9,9058,655
531,6,656,6,4576,657
532,32,658,17,24026,659
533,31,370,21,5009,660
534,17,360,12,828,661
535,9,326,5,146,662
536,19,663,27,1323,664
537,25,370,20,5009,665
538,8,385,6,6579,666
539,12,667,7,13273,668
540,18,669,11,22182,670
541,14,589,13,14289,671
542,15,672,11,14582,673
543,23,344,5,127,674
544,27,644,13,17411,675
545,17,425,23,19043,676
546,31,352,11,22469,677
547,20,678,11,617,679
548,30,680,12,19380,681
549,14,421,10,851,682
550,12,423,5,113,683
551,20,423,5,113,684
552,20,358,5,133,685
553,6,431,5,10377,686
554,17,360,12,828,687
555,12,688,5,22492,689
556,13,387,6,2499,690
557,11,476,8,22071,691
558,8,692,7,15387,693
559,8,450,10,1657,694
560,23,695,23,6454,696
561,22,385,6,6579,697
562,12,344,5,127,698
563,18,406,5,23574,699
564,29,700,11,22595,701
565,15,490,13,211,702
566,19,703,14,585,704
567,9,705,15,23294,706
568,12,406,5,23574,707
569,42,708,21,134,709
570,13,360,10,828,710
571,22,378,8,638,711
572,61,600,8,16345,712
573,11,713,16,300,714
574,32,423,5,113,715
575,17,716,10,5441,717
576,18,334,9,296,718
577,33,344,5,127,719
578,17,720,18,10725,721
579,47,722,19,25198,723
580,14,724,10,5594,725
581,6,387,6,2499,726
582,49,727,31,25751,728
583,28,425,23,19043,729
584,11,730,8,24981,731
585,33,385,6,6579,732
586,13,431,5,10377,733
587,18,518,4,6784,734
588,24,713,18,300,735
589,8,328,5,345,736
590,25,651,5,18528,737
591,23,344,5,127,738
592,16,739,11,21175,666
593,14,740,7,24790,741
594,12,695,23,6454,742
595,8,743,11,64,744
596,30,412,11,852,745
597,6,746,6,26250,747
598,25,551,16,18844,748
599,100,385,6,6579,489
600,5,749,6,485,750
601,35,700,11,22595,751
602,10,752,15,5123,753
603,20,589,16,14289,754
604,12,755,9,21987,756
605,18,490,13,211,757
606,32,758,8,22591,759
607,18,370,19,5009,760
608,8,518,4,6784,761
609,49,518,4,6784,762
610,53,763,16,236,764
611,6,765,6,8286,766
612,8,568,18,4467,767
613,49,768,16,17584,769
614,20,483,15,128,770
615,18,360,12,828,771
616,51,555,14,1251,772
617,23,354,10,9058,773
