ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
429,39,428,6,40540,429
430,21,430,6,38405,431
431,18,432,9,4185,433
432,17,434,5,107685,435
433,35,436,10,458614,437
434,33,438,8,371602,439
435,31,440,5,247584,441
436,32,442,6,118410,443
437,29,444,7,302040,445
438,20,446,7,452884,447
439,39,448,15,38674,449
440,23,450,21,324620,451
441,50,452,11,288003,453
442,51,454,6,250243,455
443,33,456,5,184038,457
444,18,458,6,124862,459
445,83,460,7,356921,461
446,41,462,5,38374,463
447,29,464,5,15745,465
448,30,438,7,371602,466
449,39,467,7,74895,468
450,100,469,22,440423,470
451,18,471,6,4632,472
452,19,473,5,53597,474
453,20,475,7,109670,476
454,18,477,5,244762,478
455,32,479,5,368526,480
456,21,481,6,182037,482
457,34,483,7,78960,484
458,66,485,9,204369,486
459,21,487,9,14223,488
460,50,489,4,110570,490
461,30,491,6,40008,492
462,19,493,6,306689,494
463,21,495,8,303740,496
464,15,497,7,342581,498
465,18,499,7,474607,500
466,23,501,6,72571,502
467,5,503,0,345335,504
468,41,505,0,411700,506
469,34,507,8,44790,508
470,24,509,6,384411,510
471,10,511,4,25148,512
472,41,513,6,21706,514
473,24,515,17,372349,516
474,52,517,6,260711,518
475,73,519,15,452167,520
476,18,521,9,471662,522
477,15,523,7,336430,524
478,11,525,5,42990,526
479,53,527,11,184577,528
480,47,529,5,117151,530
481,66,531,15,76618,532
482,19,533,13,31511,534
483,41,535,12,397306,536
484,13,537,5,168070,538
485,19,539,6,291162,540
486,20,541,10,105232,542
487,20,543,6,440519,544
488,16,545,5,47297,546
489,29,547,5,103369,548
490,19,549,5,335126,550
491,31,551,5,355862,552
492,20,553,8,104496,554
493,24,555,14,206509,556
494,79,557,16,37623,558
495,51,559,4,381670,560
496,21,561,6,388535,562
497,55,563,9,168821,564
498,32,565,7,49230,566
499,38,567,20,438650,568
500,16,569,5,363271,570
501,23,483,7,78960,571
502,61,572,7,302028,573
503,42,574,10,41571,575
504,19,576,9,110710,577
505,41,578,11,41044,579
506,19,580,5,53279,581
507,37,582,7,132331,583
508,20,584,5,101837,585
509,18,586,5,109562,587
510,32,588,7,121401,589
511,15,590,5,83211,591
512,76,592,7,303834,593
513,30,594,15,465471,595
514,31,596,7,311551,597
515,38,598,5,99040,599
516,14,600,14,39582,601
517,11,602,8,450702,603
518,16,604,5,123897,605
519,30,606,5,302103,607
520,38,491,6,40008,608
521,46,609,7,80989,610
522,30,611,9,398384,612
523,90,613,8,381668,614
524,36,588,9,121401,615
525,28,616,12,353869,617
526,62,611,9,398384,618
527,38,619,12,294399,620
528,16,621,5,118182,622
529,20,623,18,373101,624
530,60,625,6,41697,626
531,38,627,11,38628,628
532,85,487,14,14223,629
533,38,630,9,38237,631
534,17,632,5,38555,633
535,58,634,7,53171,635
536,31,636,6,37614,637
537,13,638,5,118027,639
538,24,640,10,480681,641
539,34,642,7,8522,643
540,52,644,8,123259,645
541,55,646,18,4344,647
542,20,648,6,437099,649
543,18,650,5,253955,651
544,31,652,8,20577,653
545,32,654,7,78865,655
546,16,656,5,109461,657
547,10,553,6,104496,658
548,19,654,7,78865,659
549,15,660,10,396403,661
550,31,662,5,46245,663
551,23,664,7,80764,665
552,27,582,6,132331,666
553,16,667,9,117990,668
554,19,582,6,132331,669
555,20,670,5,22542,671
556,18,467,7,74895,672
557,34,673,19,363856,674
558,25,675,15,74732,676
559,26,677,8,14007,678
560,50,679,8,380828,680
561,38,681,8,38799,682
562,58,683,9,357169,684
563,29,685,8,458311,686
564,45,687,6,442189,688
565,40,689,8,296635,690
566,23,691,7,104277,692
567,52,648,7,437099,693
568,32,694,8,38492,695
569,26,696,6,469964,697
570,20,698,6,9545,699
571,20,700,7,80140,701
572,23,702,10,441967,703
573,18,704,10,431498,705
574,21,706,8,310629,707
575,40,708,6,297105,709
576,7,710,5,285003,711
577,24,712,5,356493,713
578,23,714,6,15760,715
579,27,716,6,56982,717
580,16,574,8,41571,718
581,21,537,6,168070,719
582,19,720,6,382823,721
583,22,722,6,38371,723
584,9,724,5,296775,725
585,26,726,5,38139,727
586,24,728,5,104269,729
587,32,730,9,448544,731
588,21,732,5,446874,733
589,26,734,6,118606,735
590,24,736,9,393754,737
591,18,549,5,335126,738
592,53,739,12,30214,740
593,46,741,6,40485,742
594,19,743,6,11787,744
595,29,745,9,37186,746
596,19,747,6,39982,748
597,24,749,5,441956,750
598,21,751,11,387554,752
599,20,753,7,33358,754
600,84,755,0,381653,756
601,22,757,5,97472,758
602,17,452,9,288003,759
603,15,760,7,67689,761
604,18,762,5,42410,763
605,40,764,8,13431,765
606,7,736,6,393754,766
607,18,767,15,20241,768
608,33,442,6,118410,769
609,28,770,9,118399,771
610,23,772,6,313119,773
611,20,774,5,447820,516
612,32,636,6,37614,775
613,18,776,5,395667,777
614,22,778,0,345335,779
615,29,780,11,203886,781
616,45,483,7,78960,782
617,11,783,5,184153,784
618,39,785,5,298217,786
619,51,787,10,441881,788
620,100,582,13,132331,789
621,40,790,12,382451,791
622,46,792,0,434371,793
623,36,794,8,360260,795
624,26,535,10,397306,796
625,24,797,7,17153,798
626,34,799,17,84264,800
627,18,801,6,33103,802
628,9,803,5,39683,466
629,27,804,5,100979,805
630,49,806,6,375111,807
631,27,582,6,132331,808
632,35,809,15,37998,810
633,40,811,8,184169,812
634,28,813,11,263145,814
635,27,815,6,37084,816
636,18,817,0,345335,818
637,27,819,10,32816,820
638,100,821,14,425835,822
639,33,823,11,337103,824
640,100,825,14,273086,826
641,33,736,9,393754,766
642,28,656,5,109461,827
643,36,642,7,8522,828
644,100,829,17,42220,830
645,33,831,6,201706,832
646,25,833,8,467272,834
647,40,446,8,452884,835
648,48,836,23,166322,837
649,23,578,10,41044,838
650,100,839,15,447437,840
651,48,841,6,204064,842
652,20,843,22,80968,844
653,19,845,5,11105,846
654,30,847,5,356040,848
655,36,849,11,317767,850
656,38,851,5,46772,852
657,20,853,7,307576,854
658,35,855,12,56001,856
659,21,857,5,389269,858
660,18,859,7,117409,860
661,15,811,6,184169,861
662,41,862,5,116316,863
663,40,864,8,45303,865
664,32,866,6,70197,867
665,18,868,6,66593,869
666,25,539,6,291162,870
667,75,871,19,296893,872
668,100,873,0,279422,874
669,26,875,7,477654,876
670,45,877,7,109642,878
671,15,446,8,452884,879
672,23,430,6,38405,880
673,31,881,7,118412,882
674,21,883,7,44687,884
675,43,430,7,38405,885
676,78,886,8,161813,887
677,13,888,7,383578,889
678,25,890,7,29680,891
679,100,892,25,110506,893
680,23,890,7,29680,894
681,100,895,6,383024,896
682,55,897,11,49570,898
683,26,722,6,38371,899
684,59,900,8,163428,901
685,11,902,11,100933,903
686,19,904,15,40790,905
687,41,906,6,300883,907
688,28,908,10,364085,909
689,100,910,15,82238,911
690,15,515,16,372349,912
691,100,913,10,39563,914
692,19,915,5,359565,916
693,25,444,7,302040,917
694,25,918,7,9699,919
695,44,920,6,45281,921
696,34,922,6,10560,923
697,67,924,13,120285,925
698,14,849,8,317767,926
699,77,927,21,132166,928
700,45,929,14,276173,930
701,52,582,9,132331,931
702,37,932,5,470984,933
703,15,934,4,442679,935
704,32,561,7,388535,936
705,23,937,12,445230,938
706,39,569,5,363271,939
707,22,940,5,324704,941
708,15,942,5,42822,943
709,41,944,17,100039,945
710,44,946,15,313318,947
711,11,948,5,260415,949
712,17,950,6,253558,951
713,18,952,8,37768,953
714,25,954,9,481122,955
715,8,956,9,130632,957
716,88,958,14,439383,959
717,13,960,4,317029,961
718,16,962,5,311172,963
719,50,964,0,164551,965
720,29,966,16,50354,967
721,19,968,17,43893,969
722,19,970,13,40264,971
723,31,972,5,345252,973
724,26,974,5,37599,975
725,24,976,5,317073,977
726,9,978,5,45935,979
727,24,841,5,204064,980
728,44,981,9,167373,982
729,50,983,15,40638,984
730,27,985,13,44405,986
731,100,987,29,378991,988
732,54,989,9,124510,990
733,25,991,7,430605,992
734,21,549,6,335126,993
735,62,436,12,458614,994
736,43,995,13,104041,996
737,20,997,5,329437,998
738,23,999,5,3222,1000
739,67,627,13,38628,1001
740,40,1002,7,80137,1003
741,21,952,7,37768,1004
742,27,1005,5,358307,1006
743,18,1007,8,11949,1008
744,100,1009,8,381695,1010
745,19,1011,24,8583,1012
746,52,799,19,84264,1013
747,19,780,9,203886,1014
748,24,1015,6,46258,1016
749,28,813,11,263145,1017
750,20,734,6,118606,1018
751,26,987,24,378991,1019
752,23,1020,22,469257,1021
753,21,1022,13,97360,1023
754,41,1024,0,381795,1025
755,30,565,8,49230,1026
756,77,1027,8,253757,1028
757,71,1029,8,74373,1030
758,54,1031,13,256841,1032
759,33,989,8,124510,1033
760,41,1034,5,395448,1035
761,24,1036,9,110720,1037
762,21,1038,5,51216,1039
763,64,1040,7,426576,1041
764,33,1042,6,295853,1043
765,60,1044,13,38158,1045
766,24,555,14,206509,1046
767,79,600,19,39582,1047
768,50,627,13,38628,1048
769,42,565,9,49230,1049
770,9,1050,6,46277,1051
771,18,1052,10,14629,1053
772,22,1054,9,443540,1055
773,32,501,7,72571,1056
774,35,646,17,4344,1057
775,89,1058,6,302036,1059
776,26,1060,13,439601,1061
777,14,1062,0,345335,1063
778,11,1064,5,6891,1065
779,8,1066,0,345335,1067
780,38,1068,11,62140,1069
781,18,1070,5,313322,1071
782,11,1072,7,38030,1073
783,44,1074,11,322570,1075
784,35,1076,12,47118,1077
785,100,1078,12,97377,1079
786,16,1080,6,42114,1081
787,40,606,5,302103,1082
788,19,1083,9,340184,1084
789,22,1085,5,453686,1086
790,28,1087,7,16924,725
791,11,1027,5,253757,1088
792,19,847,5,356040,1089
793,22,983,15,40638,1090
794,62,1091,13,58800,1092
795,56,1093,0,347324,1094
796,19,1095,6,364637,1096
797,17,1097,7,185606,1098
798,100,1099,20,71595,1100
799,53,454,6,250243,1101
800,35,825,8,273086,1102
801,41,1103,7,131787,1104
802,11,515,16,372349,1105
803,100,1106,24,12897,1107
804,100,1108,29,201772,1109
805,100,1110,13,257581,1111
806,49,747,7,39982,1112
807,18,950,6,253558,1113
808,15,1114,8,391042,1115
809,13,1116,9,271043,661
810,21,1117,5,354606,1118
811,100,1106,28,12897,1119
812,40,770,10,118399,1120
813,12,1121,5,433881,1122
814,19,1123,30,457019,1124
815,26,1125,6,347467,1126
816,18,1127,5,166590,1128
817,21,1129,8,384875,1130
818,31,1080,7,42114,1131
819,21,1132,5,71460,1133
820,15,1134,5,432744,1135
821,29,621,5,118182,1136
822,69,1137,17,41725,1138
823,17,1139,7,101870,1140
824,34,1141,17,292374,1142
825,22,586,5,109562,1143
826,11,1144,7,116655,1145
827,18,1146,15,250571,1147
828,23,547,5,103369,1148
829,16,1087,7,16924,1149
830,15,1150,5,440821,1151
831,39,1152,9,387165,1153
832,8,1154,5,275090,807
833,38,825,8,273086,1155
834,30,471,6,4632,1156
835,30,1157,5,378894,1158
836,32,1159,11,483429,1135
837,30,616,12,353869,617
838,35,1160,6,118470,1161
839,26,1162,19,369020,1163
840,36,627,11,38628,1164
841,34,1165,8,121434,1166
842,37,1167,18,43073,1168
843,25,559,4,381670,1169
844,34,1011,24,8583,1170
845,22,1171,9,40413,1172
846,40,454,5,250243,1173
847,43,1174,8,37292,1175
848,44,1176,8,31402,1177
849,50,1178,6,184771,1179
850,21,1180,8,41257,1181
851,21,1182,11,36972,1183
852,57,1184,9,61000,1185
853,24,1186,20,310355,1187
854,34,1188,13,130654,1189
855,37,770,8,118399,1190
856,24,582,7,132331,1191
857,25,1192,6,446178,1193
858,39,505,0,411700,1194
859,17,632,5,38555,1195
860,11,948,5,260415,1196
861,48,1197,6,298961,544
862,31,1198,13,99586,1199
863,25,662,6,46245,1200
864,43,1201,11,460410,1202
865,64,1203,9,452987,1204
866,30,1205,9,122803,1206
867,37,991,8,430605,1207
868,28,1165,7,121434,1208
869,42,1209,10,389882,1210
870,48,1211,11,456479,1212
871,22,1213,10,474543,1214
872,28,1215,6,118408,1216
873,21,1217,7,340576,1218
874,36,1219,5,437363,1220
875,60,1221,5,448849,1222
876,40,1223,9,357557,1224
877,99,1225,7,437343,1226
878,36,1227,14,37234,1228
879,27,1229,7,123569,1230
880,19,1231,7,46690,1232
881,27,728,6,104269,1233
882,78,841,7,204064,1234
883,43,1235,7,243678,1236
884,12,1237,5,98132,1208
885,22,1238,9,468377,1239
886,28,1240,5,428903,1241
887,30,1242,8,429607,1243
888,40,1244,6,121350,1245
889,37,549,6,335126,1246
890,31,1247,11,483063,1248
891,22,1249,5,394732,1250
892,15,1251,4,290965,1252
893,50,1253,5,300848,1254
894,26,714,7,15760,1255
895,18,1256,5,293701,1257
896,40,1258,5,171347,1259
897,18,1260,6,272635,1261
898,30,1262,13,40299,1263
899,100,855,20,56001,1264
900,17,749,5,441956,1265
901,20,636,6,37614,1266
902,100,1267,22,131933,1268
903,33,1269,7,253645,1270
904,11,776,5,395667,848
905,17,1271,5,46713,1272
906,19,567,19,438650,1273
907,53,1274,16,2073,1275
908,41,981,10,167373,1276
909,37,611,9,398384,1277
910,32,609,7,80989,1278
911,31,1279,6,383180,1280
912,27,956,11,130632,1281
913,80,1282,16,430942,629
914,27,1283,7,282502,1284
915,18,1285,6,296904,1286
916,46,1287,16,345209,1288
917,68,918,7,9699,1289
918,12,1290,6,438083,1291
