ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
932,22,932,10,22009,933
933,21,934,11,39600,935
934,41,936,9,14546,937
935,1,938,8,54176,939
936,27,940,7,21634,941
937,14,942,9,45490,943
938,47,944,9,38631,945
939,8,946,12,97478,947
940,1,948,12,45384,949
941,26,950,11,22441,951
942,21,952,9,88579,953
943,84,954,9,5514,955
944,100,956,5,34655,957
945,10,958,12,19199,959
946,22,960,16,103971,961
947,38,962,17,2613,963
948,57,964,16,13745,965
949,11,966,8,33691,967
950,22,968,13,78021,969
951,13,970,8,15866,971
952,16,972,20,112658,973
953,72,974,13,36476,975
954,23,976,16,12885,977
955,19,978,16,105167,979
956,12,980,21,102744,981
957,13,982,20,13019,983
958,10,984,11,106944,985
959,12,986,9,93371,987
960,18,988,18,100340,989
961,58,990,11,21621,991
962,17,992,11,96332,993
963,23,994,6,36434,995
964,23,996,11,4268,997
965,16,998,10,96289,999
966,33,1000,17,78019,1001
967,21,1002,8,22190,1003
968,23,1004,9,80937,1005
969,11,1006,6,62416,1007
970,7,1008,7,88577,1009
971,50,1010,26,6716,1011
972,18,1012,17,47341,1013
973,11,1014,7,84173,1015
974,43,1016,18,13543,1017
975,23,1018,9,75114,1019
976,75,1020,11,76488,1021
977,100,1022,32,24068,1023
978,16,1024,9,86193,1025
979,8,1026,12,79886,1027
980,30,1028,20,107740,1029
981,17,1030,12,75934,1031
982,20,1032,7,21878,1033
983,16,1034,11,9809,1035
984,29,1036,21,23240,1037
985,36,1038,15,22507,1039
986,7,1040,7,104870,1041
987,100,1042,32,54634,1043
988,23,1044,20,21950,1045
989,12,1046,7,78810,1047
990,36,1048,13,91009,1049
991,100,1050,17,21916,1051
992,12,1052,23,22517,1053
993,100,1054,59,74683,1055
994,14,1056,18,8281,1057
995,28,1058,7,21203,1059
996,24,1060,8,14551,1061
997,10,1062,16,21225,1063
998,21,1064,8,74659,1065
999,33,1066,10,14686,1067
1000,39,1068,11,76951,1069
1001,69,1070,15,23410,1071
1002,35,1072,12,54189,1073
1003,24,1074,16,88632,1075
1004,22,1076,11,105427,1077
1005,13,1078,16,14186,1079
1006,55,1080,24,13149,1081
1007,48,1082,15,34361,1083
1008,17,1084,13,83318,1085
1009,8,1086,8,103753,1087
1010,24,1088,8,13050,1089
1011,19,1090,8,22627,1091
1012,69,1036,27,23240,1092
1013,37,1093,6,33898,1094
1014,16,1095,11,11095,1096
1015,29,1097,10,22733,1098
1016,23,1099,9,34451,1100
1017,18,1101,13,94075,1102
1018,21,1103,11,93339,1104
1019,15,1105,12,12243,1106
1020,17,1107,8,38885,1108
1021,41,964,12,13745,1109
1022,26,1101,15,94075,1110
1023,33,1111,11,34141,1112
1024,1,1113,8,53666,1114
1025,49,1115,13,97219,1116
1026,64,1117,13,34570,1118
1027,32,1119,10,112222,1120
1028,59,1121,17,109987,1122
1029,25,1123,11,36022,1124
1030,50,1125,13,33899,1126
1031,40,1127,10,46064,1128
