ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
716,10,716,5,27511,717
717,19,718,8,27025,719
718,14,720,14,38920,721
719,41,722,20,34758,723
720,7,724,11,37623,725
721,100,726,27,30913,727
722,22,728,16,2015,729
723,10,730,9,3615,731
724,70,732,9,31521,733
725,18,734,16,39354,735
726,28,736,6,27733,737
727,25,738,6,822,739
728,10,740,6,1485,741
729,21,742,7,2767,743
730,30,744,9,37290,745
731,7,746,12,38711,747
732,57,748,23,27749,749
733,100,750,28,4003,751
734,70,752,13,28356,753
735,32,736,6,27733,754
736,11,755,7,26420,756
737,21,757,11,36565,758
738,50,759,15,28353,760
739,30,761,20,1677,762
740,8,763,7,3114,764
741,30,759,15,28353,765
742,39,766,5,27835,767
743,9,768,5,31712,769
744,25,770,16,34664,771
745,20,772,10,33568,773
746,14,774,10,33778,775
747,20,776,7,28359,777
748,23,778,6,191,779
749,40,780,18,29818,781
750,34,736,6,27733,782
751,15,783,5,29508,784
752,29,785,14,34763,786
753,13,787,7,3387,788
754,26,789,4,30873,790
755,25,791,14,2802,792
756,19,793,18,25991,794
757,10,795,24,37022,796
758,10,797,15,32195,798
759,19,799,16,235,800
760,28,801,15,36607,802
761,19,780,18,29818,803
762,20,804,8,39259,805
763,21,806,9,29550,807
764,17,808,15,40206,809
765,46,780,18,29818,810
766,18,811,9,2902,812
767,21,813,15,307,814
768,13,815,6,29027,816
769,42,817,6,27834,818
770,8,819,8,37147,820
771,9,821,6,225,822
772,33,823,18,39402,824
773,7,825,6,39555,826
774,12,827,15,30083,828
775,19,829,6,35367,830
776,34,831,18,337,832
777,8,833,8,38265,834
778,7,835,10,39965,836
779,11,837,13,338,838
780,11,839,19,34807,840
781,8,841,6,703,842
782,36,843,16,29698,844
783,11,845,13,1787,846
784,30,847,16,29171,848
785,23,849,8,29819,850
786,34,780,18,29818,851
787,22,852,15,37205,853
788,8,837,13,338,854
789,9,855,9,39900,856
790,9,857,15,30391,858
791,8,859,14,36657,860
792,18,759,15,28353,861
793,13,862,13,2093,863
794,11,864,9,161,865
795,55,866,8,3308,867
796,21,868,5,29506,869
797,9,870,4,32286,871
798,24,872,15,35424,873
799,15,852,15,37205,874
800,20,736,6,27733,875
801,25,876,8,36585,877
802,18,878,15,3853,879
803,18,789,4,30873,880
804,20,881,10,3971,882
805,10,883,20,31168,884
806,8,859,14,36657,885
807,70,759,21,28353,886
808,31,736,6,27733,887
809,14,888,7,39750,889
810,11,890,9,35432,891
811,47,752,7,28356,892
812,8,893,17,38068,894
813,9,895,17,39455,896
814,13,897,27,38292,898
815,12,899,17,2197,900
816,9,901,6,34768,902
817,57,776,12,28359,903
818,33,817,6,27834,904
819,24,905,6,190,906
820,30,789,4,30873,907
821,8,908,16,35757,909
822,26,864,13,161,910
823,33,766,5,27835,911
824,16,912,11,36036,913
825,31,914,11,558,915
826,7,916,21,30373,917
827,18,918,15,27928,919
828,13,920,7,36566,921
829,17,922,6,35145,923
830,9,924,8,3968,925
831,9,926,14,39940,927
832,15,928,10,32742,929
833,14,795,25,37022,930
834,15,757,10,36565,931
835,26,932,16,35339,933
836,25,934,23,38227,935
