ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
576,1,576,5,537,577
577,16,578,18,5958,579
578,13,580,20,40776,581
579,1,582,8,3898,583
580,5,584,13,5400,585
581,19,586,21,398,587
582,1,588,5,37228,589
583,1,590,12,35607,591
584,16,582,15,3898,592
585,1,593,11,6374,594
586,6,595,10,7428,596
587,7,597,7,40267,598
588,12,599,21,2085,600
589,2,601,5,2239,602
590,16,603,15,40328,604
591,18,605,8,4279,606
592,13,607,16,634,608
593,20,609,8,30901,610
594,1,611,8,38264,612
595,8,613,17,35444,614
596,1,615,11,2293,616
597,4,617,12,322,618
598,42,619,15,6111,620
599,10,621,7,2485,622
600,20,601,7,2239,623
601,5,624,12,2,625
602,100,626,9,193,627
603,15,628,17,40550,629
604,13,619,15,6111,630
605,9,631,8,7585,632
606,11,633,9,745,634
607,28,635,15,30240,636
608,24,637,18,2415,638
609,14,639,8,652,640
610,49,641,18,4280,642
611,19,643,18,30213,644
612,1,645,10,33385,646
613,12,603,15,40328,647
614,1,648,5,30069,649
615,7,650,9,30604,651
616,1,652,9,5402,653
617,59,654,14,2520,655
618,5,635,11,30240,656
619,15,621,8,2485,657
620,7,658,10,1337,659
621,5,660,22,1861,661
622,5,662,6,40160,663
623,10,664,13,40256,665
624,22,666,16,37611,667
625,10,668,17,30274,669
626,4,670,6,5913,671
627,28,672,15,1789,673
628,8,674,16,55,675
629,10,676,13,33105,677
630,26,595,10,7428,678
631,1,679,15,6285,680
632,13,681,6,33890,682
633,8,683,14,30214,684
634,7,685,5,3788,686
635,14,639,7,652,687
636,21,641,18,4280,688
637,28,689,14,34042,690
638,1,576,5,537,691
639,6,692,11,2631,693
640,8,694,8,7512,695
641,9,696,18,401,697
642,14,698,5,38082,699
643,33,641,18,4280,700
644,9,701,14,36073,702
645,100,703,18,4395,704
646,1,705,9,2410,706
647,18,707,14,36678,708
648,5,709,4,34375,710
649,12,711,10,38206,712
650,19,621,8,2485,713
651,8,714,8,1050,715
652,14,716,5,2341,717
653,1,718,5,7558,719
654,9,720,12,592,721
655,27,711,12,38206,722
656,23,607,12,634,723
657,72,607,23,634,724
658,7,643,18,30213,725
659,20,726,13,40902,727
660,6,681,4,33890,728
661,5,694,7,7512,729
662,10,730,9,3707,731
663,20,732,10,2063,733
664,5,734,4,40926,735
665,36,736,19,36618,737
666,10,738,14,30239,739
667,39,607,18,634,740
668,28,703,18,4395,741
669,12,742,22,38761,743
670,9,676,12,33105,744
671,7,595,10,7428,745
672,30,605,13,4279,746
673,4,635,10,30240,747
674,12,748,6,40271,749
675,100,619,14,6111,750
676,1,588,5,37228,751
677,76,752,20,2491,753
678,1,754,4,1052,755
679,51,641,15,4280,756
680,10,757,10,7967,758
681,6,650,9,30604,759
682,11,760,9,37315,761
683,1,762,4,33293,763
684,12,764,15,37201,765
685,11,703,16,4395,766
686,20,767,15,33916,768
687,20,664,15,40256,769
688,10,770,7,34287,771
689,60,619,15,6111,772
690,5,773,14,34969,774
691,91,619,15,6111,775
692,6,776,9,21198,777
693,1,778,8,373,779
694,25,780,13,4605,781
695,1,782,14,38087,783
696,9,619,15,6111,784
697,21,752,15,2491,785
698,18,786,18,7234,787
699,4,580,18,40776,788
700,1,674,14,55,789
701,100,641,19,4280,790
702,13,791,11,387,792
703,14,582,12,3898,793
704,8,794,15,28838,795
705,22,694,10,7512,796
706,19,696,20,401,797
707,1,674,15,55,798
708,9,799,13,2804,800
709,21,801,13,40173,802
710,4,803,4,181,804
711,20,805,13,2376,806
712,11,807,12,36722,808
713,14,809,8,34467,810
714,6,811,13,6398,812
715,3,738,14,30239,813
716,40,641,15,4280,814
717,7,815,17,2317,816
718,20,817,13,137,818
719,22,819,20,41032,820
720,20,619,12,6111,821
721,9,590,16,35607,822
722,12,805,12,2376,823
723,9,824,10,2067,825
724,1,826,11,39199,827
725,2,826,12,39199,828
726,1,829,13,33165,830
727,39,831,14,2611,832
728,87,619,14,6111,833
729,11,834,12,1693,835
730,1,836,5,6418,837
731,54,838,18,739,839
732,9,840,11,38481,841
733,19,696,21,401,842
734,23,843,16,33121,733
735,15,760,10,37315,844
736,6,658,9,1337,845
737,11,843,12,33121,846
738,18,605,12,4279,847
739,45,848,18,3929,849
740,7,850,10,3522,851
741,32,605,8,4279,852
742,11,730,10,3707,853
743,16,854,15,154,855
744,52,856,20,1810,857
745,1,815,16,2317,858
746,16,859,19,645,860
747,11,861,12,38,862
748,25,863,9,32908,864
749,17,865,16,4003,866
750,23,867,8,6554,868
751,6,869,10,33497,870
752,17,605,11,4279,871
753,8,872,10,2740,873
754,9,815,18,2317,874
755,9,711,9,38206,875
756,100,641,18,4280,876
757,1,877,10,33892,878
758,29,641,18,4280,879
759,12,880,11,27573,881
760,40,882,15,698,883
761,1,884,5,410,885
762,7,886,10,40216,887
763,18,888,20,5845,889
764,7,580,14,40776,890
765,6,891,13,268,892
766,33,893,15,34069,894
767,13,895,8,2701,896
768,72,703,18,4395,897
769,12,898,9,40701,899
770,1,900,14,36988,901
771,29,654,14,2520,902
772,1,891,12,268,903
773,38,904,12,2240,905
774,1,906,6,2131,907
775,23,757,15,7967,908
776,27,701,17,36073,909
777,15,658,10,1337,910
778,13,911,6,31793,912
779,14,776,9,21198,913
780,1,914,12,6375,915
781,9,916,8,40462,835
782,7,597,9,40267,917
783,20,918,8,2562,919
784,12,854,15,154,920
785,7,776,9,21198,921
786,83,605,12,4279,922
787,3,923,5,648,924
788,6,925,11,4508,926
789,54,927,18,30709,928
790,25,893,14,34069,847
791,1,929,5,6527,930
792,9,931,16,31205,932
793,19,933,15,499,934
794,1,738,14,30239,935
795,23,936,10,35230,937
796,10,601,6,2239,938
797,1,939,6,1451,940
798,8,590,15,35607,941
799,24,942,11,1997,943
800,21,944,17,1603,945
801,94,946,25,7638,733
802,13,947,12,40736,627
803,13,948,4,33577,949
804,8,633,7,745,950
805,10,951,9,690,952
806,1,584,12,5400,953
807,7,694,8,7512,954
808,9,838,11,739,955
809,24,859,17,600,956
810,100,619,11,6111,957
811,19,958,20,324,959
812,4,960,11,336,961
813,27,962,23,19836,963
814,9,964,16,30208,965
815,18,966,5,2206,967
816,12,968,5,30701,969
817,12,970,7,38540,971
818,4,726,10,40902,972
819,3,794,13,28838,973
820,6,974,16,33337,975
821,30,605,10,4279,976
822,5,977,5,40190,978
823,21,619,13,6111,979
824,9,980,4,31342,981
825,63,619,15,6111,982
826,6,720,12,592,983
827,1,778,8,373,984
828,8,590,14,35607,985
829,12,986,16,5865,987
830,39,895,12,2701,988
831,19,989,19,674,990
832,100,619,14,6111,991
833,4,992,11,31469,993
834,60,803,7,181,994
835,12,995,11,7536,629
836,28,757,14,7967,996
837,29,819,22,41032,997
838,6,998,10,7968,999
839,11,1000,11,2506,1001
840,2,861,12,38,1002
841,3,1003,6,3404,1004
842,7,1005,20,30162,1006
843,1,1007,17,358,1008
844,1,1009,6,3470,1010
845,20,989,19,674,1011
846,10,641,18,4280,1012
847,5,1013,15,41001,1014
848,7,603,15,40328,1015
849,8,1016,18,40342,733
850,100,619,15,6111,1017
851,11,1018,15,30203,1019
852,1,794,13,28838,1020
853,5,626,8,193,1021
854,14,631,10,7585,1022
855,8,970,7,38540,1023
856,17,1024,12,30354,1025
857,5,1026,19,909,1027
858,99,619,12,6111,1028
859,11,1029,5,35881,1030
860,17,701,15,36073,1031
