ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
874,13,869,4,72441,870
875,15,871,15,82252,872
876,7,873,9,215002,874
877,10,875,22,19681,876
878,14,877,8,72439,878
879,3,879,5,197955,880
880,7,881,5,68338,882
881,11,883,8,189431,884
882,16,885,9,153221,886
883,60,887,10,162986,888
884,5,889,13,196824,890
885,27,891,7,60012,892
886,8,893,7,202361,894
887,8,895,19,114082,896
888,5,897,9,215259,898
889,26,899,15,19467,900
890,13,901,18,206573,902
891,15,903,8,207938,904
892,13,905,6,179163,906
893,24,907,7,193194,908
894,4,877,8,72439,909
895,10,910,5,60011,911
896,21,912,15,164713,913
897,45,914,3,60013,915
898,80,916,23,47228,917
899,38,918,10,29528,919
900,14,920,8,17070,921
901,26,922,15,160363,923
902,4,924,5,194587,925
903,33,926,18,185071,927
904,4,928,8,64940,929
905,32,869,4,72441,930
906,2,931,1,192116,932
907,18,933,8,207403,934
908,2,935,5,165435,936
909,6,937,10,188021,938
910,1,939,7,159721,940
911,31,891,7,60012,941
912,11,922,10,160363,942
913,9,943,7,172465,944
914,9,869,4,72441,945
915,6,946,8,190534,947
916,4,914,4,60013,948
917,4,949,15,205557,950
918,13,951,5,63491,952
919,11,953,27,202905,954
920,13,955,13,163222,956
921,3,957,5,166022,958
922,4,959,7,71704,960
923,4,961,9,188612,962
924,6,963,9,22378,964
925,13,922,12,160363,965
926,24,966,6,63492,967
927,8,968,12,211801,969
928,20,970,18,207216,971
929,5,972,11,177394,973
930,100,974,33,205236,975
931,3,966,7,63492,976
932,15,977,5,72440,978
933,3,979,9,196022,980
934,12,981,10,205337,982
935,23,983,11,172411,984
936,18,985,12,4839,986
937,6,987,14,159376,988
938,19,989,8,208556,990
939,80,891,7,60012,991
940,7,910,7,60011,992
941,4,993,5,45476,994
942,6,995,11,10735,996
943,22,887,9,162986,997
944,13,998,5,174981,999
945,7,1000,4,63493,1001
946,3,887,10,162986,1002
947,5,1003,7,41235,1004
948,16,1005,11,15606,1006
949,2,1007,7,172393,1008
950,6,1009,21,68055,1010
951,12,1011,7,31165,1012
952,4,1013,10,212243,1014
953,19,1015,19,207334,1016
954,45,1017,17,83852,1018
955,4,1019,10,78368,1020
956,67,891,6,60012,1021
957,6,1022,10,74160,1023
958,6,1024,12,15357,1025
959,7,1026,6,17647,1027
960,12,877,7,72439,1028
961,4,1029,5,198376,1030
962,7,1031,9,154980,1032
963,11,1033,9,191977,1034
964,4,869,4,72441,1035
965,18,891,9,60012,1036
966,4,1037,7,17033,1038
967,4,1039,9,79525,1040
968,23,1041,19,70814,1042
969,28,1043,12,172407,1044
970,48,910,10,60011,1045
971,11,1046,5,131073,1047
972,39,966,9,63492,1048
973,6,1049,7,56885,1050
974,4,1051,5,115154,1052
975,100,1053,30,188767,1054
976,11,977,5,72440,1055
977,12,1056,6,30422,1057
978,14,1058,16,15875,1059
979,3,1060,11,207286,1061
980,2,1062,10,15977,1063
981,15,1064,7,178065,1065
982,12,1066,9,23995,1067
983,2,1068,6,15658,1069
984,1,1070,7,114911,1071
985,5,1000,3,63493,1072
986,11,1073,14,195161,1074
987,9,1075,14,17322,1076
988,25,1031,9,154980,1077
989,4,1078,13,211839,1079
990,8,1080,5,196317,1081
991,17,951,5,63491,1082
992,10,1083,7,198595,1084
993,30,869,5,72441,1085
994,8,1086,11,206644,1087
995,12,887,11,162986,1088
996,33,910,6,60011,1089
997,19,1058,17,15875,1090
998,5,922,10,160363,1091
999,2,1092,5,73978,1093
1000,8,1094,9,11243,1095
1001,10,1026,6,17647,1096
1002,20,1097,26,70669,1098
1003,12,922,11,160363,1099
1004,5,951,8,63491,1100
1005,8,1101,15,12208,1102
1006,15,883,10,189431,1103
1007,12,1104,17,162534,1105
1008,7,1106,10,211379,1107
1009,9,1108,7,15661,1109
1010,3,869,4,72441,1110
1011,6,1111,9,50240,1112
1012,6,1113,14,185177,1114
1013,31,1115,9,166227,1116
1014,5,1117,8,9472,1118
1015,10,995,12,10735,1119
1016,7,1120,10,65111,1121
1017,10,977,5,72440,1122
1018,58,914,4,60013,1123
1019,8,1124,6,40244,1125
1020,29,1126,22,188371,1127
1021,42,1128,14,185828,1129
1022,20,1130,12,172415,1131
1023,2,1092,5,73978,1132
1024,4,1133,5,192971,1134
1025,5,1135,11,10346,1136
1026,9,1137,10,188669,1138
1027,6,1139,13,172397,1140
1028,26,951,8,63491,1141
