ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
153,16,153,11,989,154
154,30,155,16,4916,156
155,10,157,15,7161,158
156,35,159,17,11846,160
157,19,161,13,8588,162
158,13,163,5,10003,164
159,21,165,5,11273,166
160,41,167,18,10141,168
161,29,169,15,11438,170
162,44,171,19,12564,172
163,21,173,16,9838,174
164,27,175,15,7160,176
165,26,177,7,8779,178
166,20,175,15,7160,179
167,40,169,14,11438,180
168,32,181,16,8268,182
169,14,183,14,7156,184
170,57,185,24,9836,186
171,34,187,9,8708,188
172,63,175,15,7160,189
173,1,190,1,10170,191
174,17,192,25,11976,193
175,31,194,13,11439,195
176,1,196,6,8281,197
177,28,198,36,445,199
178,30,200,13,7296,201
179,88,202,16,4115,203
180,16,204,11,858,205
181,68,202,13,4115,206
182,20,207,5,6948,208
183,22,171,17,12564,209
184,61,210,15,222,211
185,57,175,15,7160,212
186,25,165,5,11273,213
187,12,175,15,7160,214
188,26,215,11,323,216
189,13,157,15,7161,217
190,39,210,16,222,218
191,28,210,25,354,219
192,87,220,24,9898,221
193,43,222,14,11096,223
194,17,224,7,633,225
195,51,202,13,4115,226
196,36,210,25,354,227
197,21,228,12,3856,229
198,23,163,7,10003,230
199,27,220,18,9898,231
200,30,175,15,7160,232
201,49,233,20,11614,234
202,35,177,8,8779,235
203,56,175,15,7160,236
204,100,202,21,4115,237
205,16,238,11,12692,239
206,60,240,12,11000,241
207,22,242,15,1174,243
208,48,215,13,323,244
209,32,215,14,323,245
210,19,157,15,7161,246
211,100,157,15,7161,247
212,47,177,9,8779,248
213,100,171,32,12564,249
214,28,250,11,8219,251
215,34,252,12,5194,253
216,1,254,3,1271,255
217,31,242,22,1174,256
218,16,257,15,790,258
219,58,259,17,397,260
220,19,157,15,7161,261
221,44,257,19,790,262
222,100,263,15,7160,175
223,16,264,9,846,265
224,1,196,6,8281,266
225,22,264,9,846,267
226,1,196,6,8281,268
227,11,269,15,6223,270
228,17,157,15,7161,271
229,52,272,20,8610,273
230,28,210,26,354,274
231,1,196,6,8281,275
232,62,157,15,7161,276
233,28,161,13,8588,277
234,47,257,19,790,278
235,13,175,15,7160,279
236,100,280,28,7671,281
237,20,282,15,11676,283
238,8,210,23,354,284
239,16,175,15,7160,285
240,22,286,12,10158,287
241,53,288,14,437,289
242,46,290,17,9993,291
243,48,250,13,8219,292
244,29,157,15,7161,293
245,41,280,22,7671,294
246,28,295,10,8716,296
247,30,210,16,222,297
248,16,157,15,7161,298
249,65,259,22,397,299
250,11,175,15,7160,300
251,43,210,16,222,301
252,20,302,19,9735,303
253,1,196,6,8281,304
254,7,264,7,846,305
255,40,306,22,7181,307
256,38,157,15,7161,308
257,31,202,10,4115,309
258,95,220,24,9898,310
259,84,311,16,5006,312
260,81,157,15,7161,313
261,38,314,5,3671,315
262,14,175,15,7160,316
263,24,317,15,11032,318
264,73,194,17,11439,319
265,17,210,12,222,320
266,28,210,26,354,321
267,36,194,14,11439,322
268,68,157,15,7161,323
269,1,196,6,8281,324
270,10,157,15,7161,325
271,14,175,15,7160,326
272,25,327,11,9359,328
273,23,327,11,9359,329
274,22,159,15,11846,330
275,25,331,9,8282,332
276,61,175,15,7160,333
277,37,157,15,7161,334
278,100,175,15,7160,335
279,16,336,8,1595,337
280,47,338,13,11653,339
281,100,202,20,4115,340
282,21,341,18,11663,342
283,23,343,19,9470,344
284,15,345,9,3603,346
285,28,210,28,354,347
286,22,257,19,790,348
287,32,171,22,12564,349
288,91,157,15,7161,350
289,21,169,14,11438,351
290,12,165,5,11273,352
291,32,353,15,5929,354
292,10,157,15,7161,355
293,13,157,15,7161,356
294,55,357,10,3598,358
295,46,177,9,8779,359
296,27,238,11,12692,360
297,18,361,16,1561,362
298,22,157,15,7161,363
299,24,175,15,7160,364
300,44,175,15,7160,365
301,30,194,13,11439,366
302,22,242,26,1174,367
303,18,175,15,7160,368
304,31,200,12,7296,369
305,26,200,13,7296,370
306,11,157,15,7161,371
307,20,215,11,323,372
308,80,257,21,790,373
309,21,202,11,4115,374
310,28,375,12,12235,376
311,36,357,8,3598,377
312,42,378,9,10165,379
313,11,175,15,7160,380
314,70,290,19,9993,381
315,22,382,5,271,383
316,26,259,19,397,384
317,32,385,7,8129,386
318,30,222,14,11096,387
319,18,202,16,4115,388
320,53,181,18,8268,389
321,26,171,18,12564,390
322,29,391,8,8872,392
323,43,167,17,10141,393
324,24,353,13,5929,394
325,31,395,13,8415,396
326,58,357,8,3598,397
327,30,210,14,222,398
328,90,290,20,9993,399
329,25,400,9,2077,401
330,21,171,16,12564,402
331,44,157,15,7161,356
332,27,403,16,3779,404
333,29,286,14,10158,405
334,21,157,15,7161,406
335,16,233,15,11614,407
336,22,408,5,586,409
337,7,264,6,846,410
338,40,302,22,9735,411
339,44,171,18,12564,412
340,52,200,14,7296,413
341,20,165,5,11273,414
342,50,257,16,790,415
343,70,416,15,6525,417
344,45,418,13,9978,419
345,13,185,18,9836,420
346,16,175,15,7160,421
347,18,192,28,11976,422
348,34,157,15,7161,423
349,26,317,15,11032,424
350,43,202,13,4115,425
351,27,426,11,3337,427
352,13,428,15,7240,429
353,19,430,13,9476,431
354,24,432,11,528,433
355,35,175,15,7160,434
356,67,280,25,7671,435
357,21,175,15,7160,436
358,15,175,15,7160,437
359,15,175,15,7160,438
360,20,428,15,7240,439
361,20,175,15,7160,440
362,15,441,14,12123,442
363,14,175,15,7160,443
364,13,175,15,7160,444
365,15,175,15,7160,445
366,15,175,15,7160,446
367,92,169,15,11438,447
368,27,448,48,5022,449
369,51,215,15,323,450
370,46,220,20,9898,451
371,93,175,15,7160,452
372,33,453,5,6576,454
373,86,210,35,354,455
374,20,171,26,12564,456
375,28,171,24,12564,457
376,10,165,5,11273,458
377,23,459,16,11332,460
378,29,461,19,12364,462
379,22,171,24,12564,463
380,24,464,9,10666,465
381,80,466,24,5225,467
382,16,468,5,11708,469
383,31,286,17,10158,470
384,28,210,28,354,471
385,45,171,25,12564,472
386,50,375,15,12235,473
387,13,215,10,323,195
388,15,474,15,11047,475
389,23,476,12,7789,477
390,15,478,9,695,479
391,16,408,5,586,480
392,25,481,15,7242,482
393,20,165,5,11273,483
394,27,391,9,8872,484
395,36,220,19,9898,485
396,38,215,14,323,486
397,44,157,15,7161,487
398,46,171,29,12564,488
399,51,215,14,323,489
400,40,490,30,2509,491
401,42,181,18,8268,492
402,40,327,15,9359,493
403,15,157,15,7161,494
404,32,495,20,1332,496
405,37,286,14,10158,497
406,24,202,16,4115,498
407,34,167,17,10141,499
408,17,157,15,7161,500
409,33,220,19,9898,501
410,54,220,22,9898,502
411,15,503,5,2107,504
412,22,286,15,10158,505
413,38,459,18,11332,506
414,27,474,16,11047,289
415,47,171,29,12564,507
416,33,290,15,9993,508
417,34,290,15,9993,509
418,12,264,11,846,510
419,23,264,12,846,511
420,34,512,21,7645,513
421,69,173,23,9838,514
422,23,157,15,7161,515
423,56,257,24,790,346
424,25,163,7,6370,516
425,21,257,23,790,517
426,30,210,18,222,518
427,17,519,12,10291,520
428,29,521,11,4116,339
429,50,257,26,790,522
430,40,257,25,790,523
431,44,210,30,354,524
432,93,525,20,9854,526
433,16,527,13,9392,528
434,57,210,35,354,529
435,16,527,16,9392,530
436,43,495,23,1332,531
437,44,532,13,12241,533
438,21,495,20,1332,534
439,30,210,18,222,535
440,48,250,14,8219,536
441,25,194,15,11439,537
442,28,210,30,354,538
443,70,290,17,9993,539
444,36,540,15,8689,541
445,13,257,17,790,542
446,26,181,16,8268,543
447,57,544,20,3323,545
448,33,464,10,10666,546
449,26,171,26,12564,547
450,29,169,12,11438,548
451,42,549,8,5019,550
452,47,171,23,12564,551
453,10,157,15,7161,552
454,51,553,19,10917,554
455,56,474,17,11047,555
456,19,556,7,855,557
457,26,353,15,5929,558
458,40,527,16,9392,559
459,27,157,15,7161,560
460,20,171,20,12564,561
461,18,474,15,11047,562
462,50,157,15,7161,563
463,25,157,15,7161,564
464,22,441,14,12123,565
465,7,566,12,5112,567
466,54,194,18,11439,568
467,22,171,20,12564,569
468,47,257,29,790,570
469,65,448,46,5022,571
470,60,375,16,12235,572
471,22,525,14,9854,573
472,24,210,35,354,574
473,26,200,15,7296,575
474,28,286,15,10158,576
475,38,336,10,1596,577
476,12,556,7,855,578
477,55,490,30,2509,579
478,23,290,14,9993,580
479,42,581,14,6585,582
480,67,171,25,12564,583
481,24,584,15,5828,585
482,16,586,9,5002,587
483,70,527,20,9392,588
484,28,589,17,5240,590
485,25,591,7,2349,592
486,18,481,15,7242,593
487,10,474,13,11047,594
488,36,157,15,7161,595
489,70,596,11,3151,597
490,26,163,7,6370,598
491,39,581,14,6585,599
492,74,600,27,5094,601
493,44,157,15,7161,602
494,52,603,19,5315,604
495,28,210,22,354,605
496,38,210,35,354,606
497,40,202,15,4115,607
498,57,167,19,10141,608
499,60,175,15,7160,609
500,45,610,16,9882,611
501,11,157,15,7161,612
502,60,157,15,7161,613
503,57,257,26,790,614
504,32,210,30,354,615
505,59,290,19,9993,616
506,27,167,19,10141,617
507,38,618,16,12595,619
508,43,620,26,5143,621
509,19,202,16,4115,622
510,54,257,24,790,623
511,47,155,24,4916,624
512,47,290,18,9993,625
513,15,549,6,5019,626
514,26,181,16,8268,627
515,21,220,18,9898,628
516,32,157,15,7161,629
517,39,257,22,790,630
518,7,556,6,855,631
519,39,544,20,3323,632
520,28,210,30,354,633
521,68,202,20,4115,634
522,31,202,17,4115,635
523,40,636,18,7754,637
524,51,586,13,5002,638
525,12,264,9,846,639
526,47,640,16,7366,641
527,13,264,8,846,642
528,22,157,15,7161,643
529,32,194,15,11439,644
530,62,525,18,9854,645
531,27,157,15,7161,646
532,26,157,15,7161,647
533,39,257,23,790,648
534,14,250,10,8219,649
535,48,161,16,8588,650
536,21,495,18,1332,648
537,55,584,18,5828,651
538,13,527,12,9392,652
539,32,525,15,9854,653
540,30,527,16,9392,654
541,37,655,14,12179,656
542,25,610,15,9882,657
543,15,566,13,5112,658
544,20,171,21,12564,659
545,18,167,15,10141,660
546,31,220,19,9898,661
547,18,157,15,7161,376
548,26,553,20,10917,662
549,30,200,15,7296,663
550,33,464,11,10666,664
551,48,317,19,11032,665
552,26,317,18,11032,666
553,68,512,25,7645,667
554,19,553,19,10917,668
555,10,175,15,7160,669
556,12,175,15,7160,670
557,16,175,15,7160,671
558,16,317,15,11032,672
559,21,175,15,7160,673
560,40,155,23,4916,674
561,18,175,15,7160,675
