ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
381,22,381,10,989,382
382,31,383,6,3726,384
383,1,385,3,655,386
384,7,387,9,199,388
385,9,381,11,989,389
386,9,390,16,13820,391
387,9,392,28,482,393
388,26,394,10,2759,395
389,6,396,16,4364,397
390,5,398,12,10505,399
391,15,400,13,15323,401
392,18,402,19,68,403
393,15,404,19,184,405
394,7,406,6,2672,407
395,7,408,20,1528,409
396,10,410,7,132,411
397,11,412,17,8869,413
398,12,414,7,988,415
399,31,416,16,15953,417
400,12,418,10,7021,419
401,7,420,14,578,421
402,17,422,39,4335,423
403,8,424,9,21546,425
404,8,426,5,16038,427
405,11,428,20,12163,429
406,8,396,18,4364,430
407,16,431,14,55,432
408,10,433,24,91,434
409,6,396,18,4364,435
410,14,383,6,3726,436
411,10,396,18,4364,437
412,6,438,11,620,439
413,4,440,4,12196,441
414,17,442,21,2088,443
415,8,444,5,16498,445
416,19,392,30,482,446
417,16,447,20,156,448
418,23,381,12,989,449
419,8,450,5,17659,451
420,10,452,29,12162,453
421,10,450,6,17659,454
422,17,455,8,18961,456
423,8,457,15,630,458
424,27,459,19,3459,460
425,31,461,28,2086,462
426,14,463,12,7786,464
427,23,465,16,294,466
428,11,467,20,6119,468
429,14,469,8,549,470
430,5,461,25,2086,471
431,16,472,8,10725,473
432,7,474,18,2637,475
433,5,476,8,20698,477
434,5,478,13,234,479
435,14,480,11,10778,481
436,11,431,15,55,482
437,26,483,9,2655,484
438,14,467,16,6119,485
439,6,486,22,15882,487
440,14,488,9,2836,489
441,44,381,13,989,490
442,12,491,8,275,492
443,12,447,19,156,493
444,9,494,14,2063,495
445,30,496,7,15883,497
446,29,498,20,2148,499
447,38,447,23,156,500
448,9,501,10,149,502
449,10,488,9,2836,503
450,1,504,3,655,505
451,6,398,15,10505,506
452,11,507,13,18110,508
453,9,509,10,18937,510
454,6,511,5,16396,512
455,7,412,19,8869,513
456,19,514,5,16100,515
457,18,410,9,132,516
458,13,517,20,21195,518
459,8,392,25,544,519
460,51,520,20,2591,521
461,21,522,14,809,523
462,9,440,4,12196,524
463,11,525,6,865,526
464,17,469,8,549,527
465,20,428,18,12163,528
466,1,529,3,655,530
467,17,428,21,12163,531
468,12,532,16,2953,533
469,11,392,27,482,534
470,19,383,6,3726,535
471,8,480,8,10778,536
472,13,517,21,21195,537
473,12,538,21,473,539
474,8,540,14,356,541
475,8,542,20,134,543
476,16,544,14,13,545
477,45,392,31,482,546
478,6,387,9,199,547
479,10,548,19,30,549
480,18,396,19,4364,550
481,11,551,10,10703,552
482,20,553,15,10717,554
483,8,555,17,6093,556
484,18,557,12,5184,558
485,11,559,10,5575,560
486,11,561,16,18430,562
487,5,563,6,16734,564
488,9,565,13,1548,566
489,14,392,30,544,567
490,19,480,11,10778,568
491,9,569,5,11220,570
492,7,571,7,3731,572
493,11,412,19,8869,573
494,15,428,20,12163,574
495,16,447,20,156,575
496,7,576,7,19669,577
497,1,578,3,655,579
498,12,452,30,12162,580
499,1,581,3,655,582
500,20,463,13,7786,583
501,20,455,9,18961,584
502,14,585,10,3441,586
503,4,587,7,14914,588
