ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
385,8,385,33,243,386
386,19,387,17,310,388
387,32,389,17,18789,390
388,20,391,24,134,392
389,8,393,13,19667,394
390,6,395,12,20616,396
391,17,397,14,2674,398
392,11,399,10,7846,400
393,34,401,18,19993,402
394,34,403,21,420,404
395,9,405,16,2694,406
396,8,407,8,17807,408
397,12,409,25,1548,410
398,24,411,22,2575,412
399,16,413,18,19404,414
400,19,415,24,299,416
401,18,417,24,214,418
402,20,419,25,9439,420
403,24,421,15,203,422
404,15,423,17,1932,424
405,11,425,12,18429,426
406,47,427,12,22207,428
407,62,429,34,167,430
408,11,431,9,10728,432
409,9,393,12,19667,433
410,12,391,22,134,434
411,10,435,3,3726,436
412,29,437,27,12812,438
413,27,439,23,3459,440
414,7,441,1,4382,442
415,15,443,17,2096,444
416,31,445,13,986,446
417,100,447,28,228,448
418,14,385,34,243,449
419,22,450,16,2806,451
420,25,452,17,14326,453
421,43,454,30,1388,455
422,19,456,11,682,457
423,12,458,12,2648,459
424,18,460,11,18961,461
425,3,456,9,682,462
426,13,463,8,987,464
427,22,429,31,167,465
428,11,466,12,158,467
429,8,468,15,15192,469
430,10,458,12,2648,470
431,23,471,25,188,472
432,50,473,13,14033,474
433,18,475,5,16038,476
434,18,477,4,46,478
435,18,431,11,10728,479
436,25,401,18,19993,480
437,18,481,21,18430,482
438,8,483,11,14687,484
439,8,485,8,183,486
440,13,468,14,15192,487
441,20,488,14,19098,489
442,24,490,13,10711,491
443,12,397,11,2674,492
444,15,493,20,16149,494
445,31,495,11,4282,496
446,6,497,8,853,498
447,17,499,10,56,500
448,30,501,12,2470,502
449,27,429,26,167,503
450,29,504,16,2150,505
451,13,490,14,10711,506
452,8,507,11,10703,508
453,7,509,14,4753,510
454,34,429,22,167,511
455,42,512,22,10763,513
456,30,514,7,155,515
457,7,516,16,14721,517
458,77,441,1,4382,518
459,19,463,11,987,519
460,17,520,8,3032,521
461,26,488,16,19098,522
462,11,523,7,8734,524
463,10,509,11,4753,525
464,34,526,17,11618,527
465,10,528,7,2758,529
466,33,530,13,99,531
467,17,532,21,739,533
468,19,409,25,1548,534
469,15,441,2,4382,535
470,60,536,32,3213,537
471,9,538,22,379,539
472,11,540,9,18168,541
473,11,542,16,189,543
474,7,544,18,1588,545
475,5,441,1,4382,546
476,11,547,10,988,548
477,7,549,5,17090,550
478,25,551,26,6577,552
479,16,553,26,3136,554
480,15,485,9,183,555
481,21,556,18,3935,557
482,27,460,12,18961,558
483,11,559,18,18544,560
484,12,561,14,18110,562
485,48,563,16,1192,564
486,23,565,26,1787,566
487,38,567,20,13414,568
488,8,569,24,2953,570
489,46,571,23,8823,572
490,27,573,20,15984,574
491,8,575,28,10112,576
492,8,577,13,20920,578
493,27,439,23,3459,579
494,13,441,1,4382,580
495,18,581,8,461,582
496,31,415,25,299,583
497,27,429,24,167,584
498,14,419,25,9439,585
499,5,586,25,1283,587
500,15,588,19,10717,589
501,12,447,28,228,590
502,18,591,14,393,592
503,60,403,24,420,593
504,22,594,23,9994,595
505,22,596,19,17605,597
506,24,598,23,230,599
507,11,409,21,1548,600
508,11,389,9,18789,601
509,8,602,7,10712,603
510,34,604,15,15324,605
511,11,606,25,15358,607
512,10,569,23,2953,608
513,45,429,34,167,609
514,59,447,28,228,610
515,50,611,23,233,612
516,21,613,7,3,614
517,36,615,25,1924,616
518,100,617,31,15535,618
519,25,619,8,162,620
520,19,621,14,4124,622
521,27,556,18,3935,623
522,18,624,17,2950,625
523,11,458,12,2648,626
524,7,627,5,204,628
525,24,629,24,123,630
526,67,631,27,751,632
527,16,499,12,56,633
528,9,634,25,11900,635
529,11,415,21,299,636
530,25,637,16,1092,638
531,28,639,19,1957,640
532,13,641,10,3020,642
533,24,559,21,18544,643
534,11,389,10,18789,644
535,9,645,16,234,646
536,17,490,13,10711,647
537,6,648,9,13950,649
538,46,611,23,233,650
539,6,441,1,4382,651
540,13,624,20,2950,652
541,36,629,26,123,653
542,16,514,5,155,654
543,11,542,16,189,655
544,30,463,12,987,656
545,6,565,21,1787,657
546,27,658,27,1141,659
547,22,429,30,167,660
548,1,661,3,655,662
549,12,485,9,183,663
550,11,664,12,13428,665
551,13,666,14,19239,667
552,11,668,8,19086,669
553,35,509,15,4753,670
554,24,387,18,310,671
555,6,672,6,13553,673
556,19,493,20,16149,674
557,28,569,25,2953,675
558,32,547,11,988,676
559,20,677,11,10778,678
560,3,672,7,13553,679
561,15,680,16,663,681
562,23,682,10,1777,683
563,37,684,25,12165,685
564,21,443,19,2096,686
565,5,588,16,10717,687
566,33,415,25,299,688
567,19,689,9,5572,690
568,11,417,22,214,691
569,6,692,11,14771,693
570,13,485,9,183,694
571,28,441,2,4382,695
572,31,387,20,310,696
573,33,421,18,203,697
574,12,559,20,18544,698
575,12,441,2,4382,699
576,28,458,12,2648,700
577,9,645,19,234,701
578,24,702,7,9425,703
579,42,454,28,1388,704
580,18,499,10,56,705
581,26,559,18,18544,706
582,10,707,6,7734,708
583,31,569,26,2953,709
584,8,710,8,7164,711
585,13,588,17,10717,712
586,4,456,9,682,713
587,9,547,8,988,714
588,100,715,31,2157,716
589,11,458,12,2648,717
590,97,718,20,2846,719
591,11,458,12,2648,720
592,22,721,15,27,722
593,85,723,27,789,724
594,16,725,27,1460,726
595,48,617,28,15535,727
596,28,728,15,14821,729
597,11,730,20,1380,731
598,6,648,11,13950,732
599,15,520,9,3032,733
600,47,401,19,19993,734
601,8,499,8,56,735
602,9,604,11,15324,736
603,8,737,14,778,738
604,11,405,16,2694,739
605,17,689,8,5572,740
606,15,637,15,1092,741
607,24,466,12,158,742
608,18,389,14,18789,743
609,13,718,11,2846,744
610,7,668,7,19086,745
611,9,746,22,14931,747
612,24,668,8,19086,748
613,21,490,10,10711,749
614,19,750,14,989,751
615,26,409,27,1548,752
616,18,645,18,234,753
617,12,664,13,13428,754
618,32,755,22,799,756
619,13,629,19,123,757
620,21,594,24,9994,758
621,21,481,23,18430,759
622,38,760,22,5508,761
623,24,441,1,4382,762
624,8,763,7,1095,764
625,14,547,9,988,765
626,13,766,9,949,767
627,36,768,22,278,769
628,14,559,21,18544,770
629,13,501,10,2470,771
630,17,772,10,13434,773
631,11,425,10,18429,774
632,18,775,17,12069,776
633,18,447,28,228,777
634,31,760,19,5508,778
635,22,779,20,990,780
636,24,728,15,14821,781
637,8,648,14,13950,782
638,21,783,26,1386,784
639,5,785,9,549,786
640,55,499,15,56,787
641,35,788,18,138,789
642,38,556,19,3935,790
643,24,559,21,18544,791
644,7,586,25,1283,792
645,19,793,20,2478,794
646,13,795,20,16009,796
647,24,389,14,18789,797
648,33,387,20,310,798
649,13,490,13,10711,799
650,14,800,17,12777,801
651,16,504,15,2150,802
652,29,803,20,1969,804
653,32,604,13,15324,805
654,46,806,29,175,807
655,64,411,28,2575,808
656,8,809,9,10738,810
657,12,481,23,18430,811
658,23,715,27,2157,812
659,50,813,25,15454,814
660,20,507,15,10703,815
661,4,816,5,17911,817
662,64,818,24,2503,819
663,15,441,3,4382,820
664,53,821,24,2017,822
665,26,809,13,10738,823
666,34,520,10,3032,824
667,16,481,22,18430,825
668,36,553,27,3136,826
669,96,514,15,155,827
670,6,828,10,4333,829
671,1,830,3,655,831
672,11,832,11,18626,833
673,3,672,6,13553,834
674,21,835,22,596,836
675,24,746,27,14931,837
676,13,838,11,144,839
677,19,728,13,14821,840
678,26,547,11,988,508
679,17,509,14,4753,841
680,33,415,24,299,842
681,42,684,25,12165,843
682,7,844,29,2677,845
683,28,846,22,1402,847
684,9,848,12,150,465
685,15,849,22,11683,850
686,5,851,8,12355,852
687,37,569,26,2953,853
688,39,429,31,167,854
689,28,684,25,12165,855
690,14,856,15,298,857
691,9,858,21,1955,859
692,36,844,33,2677,860
693,15,509,16,4753,861
694,46,553,29,3136,862
695,30,624,21,2950,863
696,17,602,10,10712,864
697,16,441,2,4382,865
698,7,866,7,17752,867
699,76,806,31,175,868
700,12,869,22,12162,870
701,18,871,22,15176,872
702,59,873,25,6528,874
703,14,559,20,18544,875
704,8,876,7,17183,877
705,24,878,15,2911,879
706,83,481,34,18430,880
707,25,452,17,14326,881
708,16,871,20,15176,882
709,18,883,18,125,884
710,13,885,22,10857,886
711,7,887,12,6615,888
712,10,844,27,2677,889
713,6,421,12,203,890
