ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
150,23,150,7,79638,151
151,22,152,7,112892,153
152,34,154,7,182956,155
153,100,156,0,381616,157
154,72,158,9,121480,159
155,32,160,17,45083,161
156,13,162,7,478012,163
157,30,164,8,44932,165
158,18,166,7,28622,167
159,78,168,13,73708,169
160,53,170,7,78874,171
161,33,172,8,59637,173
162,22,174,15,377207,175
163,29,176,15,250570,177
164,74,178,0,317040,179
165,28,180,7,29607,181
166,46,182,10,45864,183
167,18,184,8,467837,185
168,11,186,5,72841,187
169,28,164,8,44932,188
170,29,189,14,279439,190
171,72,191,7,383016,192
172,100,193,15,336634,194
173,26,195,7,83869,196
174,64,197,0,396789,198
175,37,199,8,441402,200
176,55,201,15,63635,202
177,25,203,9,393163,204
178,53,205,13,123582,206
179,80,207,5,381618,208
180,21,209,7,447822,210
181,40,211,7,70175,212
182,12,213,5,84019,214
183,13,215,5,111051,216
184,49,217,10,345491,218
185,18,219,9,63438,220
186,31,221,9,184335,222
187,32,223,14,115511,224
188,41,225,8,123587,226
189,100,227,21,50802,228
190,24,229,12,68879,230
191,33,231,11,73997,232
192,34,233,11,373282,234
193,73,235,6,393966,236
194,18,237,6,260703,238
195,19,239,7,41941,240
196,18,241,12,409638,242
197,46,243,15,74735,244
198,30,225,7,123587,245
199,23,246,12,67381,247
200,13,248,6,330862,249
201,49,250,5,169556,251
202,26,252,7,70852,253
203,78,254,13,464339,255
204,32,256,7,80751,257
205,26,252,8,70852,258
206,19,231,11,73997,259
207,24,213,5,84019,260
208,31,150,7,79638,261
209,20,262,5,101775,263
210,30,262,5,101775,264
211,22,265,5,40456,266
212,51,267,7,282221,268
213,35,269,9,387532,270
214,30,241,12,409638,271
215,39,272,5,300498,273
216,46,274,8,39078,275
217,39,276,10,108773,277
218,19,278,7,325904,279
219,19,280,10,63821,281
220,100,282,10,345421,283
221,46,284,8,384970,285
222,32,286,14,112311,287
223,18,288,8,17479,289
224,32,290,5,123585,291
225,56,292,17,40328,293
226,100,231,16,73997,151
227,16,294,0,345335,295
228,23,296,12,467296,297
229,27,172,8,59637,298
230,17,299,15,9284,300
231,28,301,19,38065,302
232,24,303,8,355753,304
233,30,305,0,345335,306
234,50,307,6,41184,308
235,12,309,5,383609,310
236,25,201,13,63635,311
237,100,312,31,260551,313
238,40,314,0,381633,315
239,30,316,5,412442,317
240,21,318,7,344827,319
241,47,320,8,171366,321
242,20,322,7,29651,323
243,55,324,7,37358,325
244,93,326,19,431113,327
245,30,328,18,50551,329
246,21,330,6,332445,331
247,21,330,6,332445,289
248,20,332,15,44973,333
249,90,334,8,472438,335
250,31,172,8,59637,336
251,24,337,5,312117,338
252,54,339,9,460185,340
253,23,211,6,70175,341
254,53,342,15,99396,343
255,29,344,8,74664,345
256,60,292,17,40328,346
257,48,347,20,271033,348
258,38,184,9,467837,349
259,100,350,5,307967,351
260,26,352,7,168961,353
261,24,354,7,108761,355
262,100,203,14,393163,356
263,80,357,0,425920,358
264,45,359,13,116929,360
265,32,361,7,4629,362
266,32,241,13,409638,363
267,37,172,8,59637,364
268,25,365,11,10716,366
269,25,367,10,280037,368
270,25,369,5,103798,370
271,34,371,8,382807,372
272,56,373,13,273669,374
273,58,239,10,41941,375
274,43,376,8,97403,377
275,30,307,5,41184,378
276,18,205,8,123582,379
277,33,380,12,384960,381
278,22,382,8,295227,383
279,30,384,7,50595,385
280,83,386,0,134588,387
281,37,267,6,282221,388
282,31,389,10,199600,390
283,13,371,6,382807,391
284,20,392,5,82628,393
285,23,394,4,291158,395
286,85,303,13,355753,396
287,92,397,0,381750,398
288,100,150,14,79638,399
289,42,337,6,312117,400
290,40,324,6,37358,401
291,67,156,0,381616,402
292,24,403,10,472571,404
293,24,328,18,50551,405
294,52,191,5,383016,406
295,15,150,7,79638,407
296,18,262,5,101775,408
297,30,233,10,373282,409
298,22,267,6,282221,383
299,32,410,8,311547,411
