ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
225,38,225,15,12083,226
226,68,227,11,5163,228
227,41,229,21,40199,230
228,20,231,14,109577,232
229,23,233,37,56562,234
230,100,235,29,88558,236
231,36,237,11,38468,238
232,95,239,8,5169,240
233,75,229,22,40199,241
234,41,242,8,18091,243
235,52,244,7,4977,245
236,53,246,22,115639,247
237,100,248,21,118628,249
238,41,242,8,18091,250
239,76,251,24,6426,252
240,58,253,6,75470,254
241,79,255,37,90474,256
242,50,257,20,119642,258
243,51,259,18,77571,260
244,100,261,24,81210,262
245,36,263,17,57817,264
246,41,265,26,82247,266
247,65,267,19,123768,268
248,86,269,29,19063,270
249,100,271,13,7175,272
250,58,273,12,116377,274
251,42,259,19,77571,275
252,21,276,14,5085,277
253,100,278,33,89335,279
254,31,253,6,75470,280
255,45,281,12,72796,282
256,100,227,14,5163,283
257,47,271,10,7175,284
258,36,285,8,26813,286
259,100,273,19,116377,287
260,41,229,21,40199,288
261,55,289,17,75290,290
262,26,291,19,59523,292
263,100,293,12,13866,294
264,44,295,37,54087,296
265,100,255,37,90474,297
266,21,298,12,94347,299
267,42,300,14,7072,301
268,100,267,21,123768,302
269,43,303,10,72794,304
270,20,300,13,7072,305
271,47,281,10,72796,306
272,57,307,10,36419,308
273,80,309,28,60862,310
274,46,273,11,116377,311
275,100,312,21,118339,313
276,100,273,14,116377,314
277,32,303,7,72794,315
278,11,253,6,75470,316
279,19,317,8,12219,318
280,23,253,6,75470,319
281,64,320,14,121543,321
282,80,281,14,72796,322
283,92,323,12,26809,324
284,83,269,32,19063,325
285,42,326,36,47488,327
286,100,328,32,59102,329
287,49,330,13,31483,331
288,22,332,17,76298,333
289,16,253,6,75470,334
290,100,335,19,75263,336
291,19,337,30,32095,338
292,39,273,13,116377,339
293,25,235,25,88558,340
294,50,237,13,38468,341
295,40,251,21,6426,342
296,100,271,16,7175,343
297,26,344,19,24430,345
298,67,346,14,94101,347
299,40,285,6,26813,348
300,100,285,11,26813,349
301,58,350,17,90515,351
302,100,273,13,116377,352
303,74,271,11,7175,353
304,41,303,10,72794,354
305,34,355,24,67416,356
306,51,357,20,51833,358
307,100,359,16,12895,360
308,51,361,18,124467,362
309,72,363,22,28766,364
310,59,303,8,72794,365
311,80,328,32,59102,366
312,19,337,31,32095,367
313,42,244,7,4977,245
314,25,229,20,40199,368
315,80,369,16,111956,370
316,99,371,37,93350,372
317,79,373,8,72795,374
318,30,225,15,12083,375
319,25,253,6,75830,376
320,90,237,14,38468,377
321,31,378,12,96575,379
322,66,253,6,75470,380
323,27,263,16,57817,381
324,40,231,15,109577,382
325,68,227,7,5163,383
326,70,384,22,26647,385
327,62,271,11,7175,386
328,24,244,6,4977,387
329,42,388,20,12170,389
330,25,390,13,103260,391
331,21,392,5,24425,393
332,80,244,9,4977,394
333,40,395,31,9002,396
334,34,335,13,75263,397
335,64,350,17,90515,398
336,25,229,20,40199,399
337,75,400,23,110956,401
338,100,295,37,54087,402
339,37,403,23,98528,404
340,100,269,30,19063,405
341,28,406,11,39963,407
342,80,273,13,116377,408
343,34,276,13,5085,409
344,100,410,22,124424,411
345,100,295,37,54087,412
346,74,413,28,88063,414
347,100,373,11,72795,415
348,41,242,8,18091,416
349,100,239,9,5169,417
350,33,418,13,12246,419
351,58,420,5,96223,421
352,69,422,21,124027,423
353,39,244,9,4977,424
354,36,373,8,72795,425
355,100,285,11,26813,426
356,28,427,5,12278,428
357,39,373,9,72795,429
358,86,373,10,72795,430
359,55,431,16,127924,432
360,36,326,36,47488,433
361,41,434,10,46719,435
362,12,253,6,75830,436
363,18,437,15,12321,438
364,100,246,22,115639,439
365,14,253,6,75470,440
366,20,253,6,75470,441
367,100,267,20,123768,442
368,19,443,10,12573,444
369,32,445,6,110103,446
370,37,273,10,116377,447
371,20,448,5,79878,449
372,45,246,21,115639,450
373,100,451,24,77754,452
374,43,453,11,122148,454
375,43,455,24,92052,456
376,10,253,6,75830,457
377,45,458,21,51594,459
378,35,460,6,87214,461
379,100,437,21,12321,462
380,100,463,29,113985,464
381,38,465,24,75750,466
382,38,225,15,12083,467
383,100,323,15,26809,468
384,29,227,6,5163,469
385,100,470,37,10399,471
386,28,285,6,26813,472
387,74,248,19,118628,473
388,44,474,19,128042,475
389,48,271,9,7175,476
390,62,392,6,24425,477
391,33,437,15,12321,478
392,44,332,17,76298,479
393,56,480,6,76703,481
394,71,337,33,32095,482
395,92,259,20,77571,483
396,22,445,5,110103,484
397,68,384,18,26647,485
398,22,300,13,7072,486
399,21,487,21,42084,488
400,81,273,12,116377,489
401,59,490,14,39530,491
402,53,227,7,5163,492
403,43,373,10,72795,493
404,100,227,15,5163,494
405,40,373,10,72795,495
406,45,496,14,116124,497
407,36,465,24,75750,498
408,26,499,31,27208,500
409,100,269,32,19063,325
410,50,229,22,40199,501
411,44,502,37,94794,503
412,50,487,22,42084,252
413,88,504,17,74035,505
414,36,227,6,5163,506
415,36,507,12,86651,508
416,66,335,14,75263,509
417,34,510,30,40535,511
418,88,237,14,38468,512
419,35,460,6,87214,513
420,61,514,24,126534,515
421,17,516,22,80521,517
422,76,303,9,72794,518
423,43,519,14,6534,520
424,39,253,6,75470,521
425,100,295,37,54087,522
426,14,253,6,75470,523
427,45,259,19,77571,524
428,69,525,37,76834,526
429,30,285,7,26813,527
430,92,273,14,116377,528
431,100,227,14,5163,529
432,32,530,18,9093,531
433,25,285,6,26813,532
434,35,392,5,24425,533
435,100,534,20,41961,535
436,51,390,15,103260,536
437,76,537,23,88084,538
438,23,465,22,75750,539
439,100,369,18,111956,540
440,56,499,31,27208,541
441,23,285,6,26813,542
442,61,251,23,6426,543
443,79,346,14,94101,544
444,100,373,16,72795,545
445,18,546,5,77081,547
446,80,335,15,75263,548
447,100,269,29,19063,549
448,100,273,15,116377,550
449,100,227,12,5163,551
450,35,359,10,12895,552
451,41,242,10,18091,553
452,77,554,35,6046,555
453,28,225,15,12083,556
454,39,300,15,7072,557
455,16,418,10,12246,558
456,45,253,6,75470,559
457,94,373,12,72795,560
458,38,561,25,96049,562
459,81,490,15,39530,563
460,50,239,7,5169,564
461,100,534,20,41961,535
462,100,244,10,4977,565
463,74,227,8,5163,566
464,53,567,12,89707,568
465,100,569,29,60446,570
466,57,371,37,93350,571
467,28,271,8,7175,572
468,35,359,10,12895,573
469,33,574,18,107186,575
470,72,448,5,79878,576
471,90,577,15,123255,578
472,32,291,19,59523,579
473,20,580,11,27048,581
474,28,437,14,12321,582
475,49,300,15,7072,583
476,24,344,17,24430,584
477,52,585,20,9892,586
478,100,519,20,6534,587
479,100,295,37,54087,588
480,36,303,8,72794,589
481,85,312,19,118339,590
482,39,273,11,116377,591
483,52,335,13,75263,592
484,23,332,19,76298,593
485,100,303,13,72794,594
486,100,595,31,21791,596
487,40,251,21,6426,597
488,100,598,25,93212,599
489,47,373,9,72795,600
490,67,601,21,6454,602
491,46,227,7,5163,603
492,100,373,11,72795,415
493,100,244,14,4977,604
494,46,605,16,80982,606
495,61,607,37,6580,608
496,41,242,10,18091,609
497,69,610,12,12012,611
498,56,251,21,6426,612
499,47,281,10,72796,613
500,34,335,13,75263,614
501,100,373,10,72795,615
502,100,229,23,40199,616
503,100,285,10,26813,617
504,65,607,37,6580,618
505,100,619,29,123254,620
506,50,621,31,63454,622
507,100,267,24,123768,623
508,35,239,6,5169,624
509,39,625,26,5851,626
510,100,627,33,18393,628
511,100,242,11,18091,629
512,40,630,17,5089,631
513,14,253,6,75470,632
514,100,295,37,54087,633
515,84,271,12,7175,634
516,34,235,26,88558,635
517,46,281,12,72796,636
518,100,246,22,115639,439
519,42,510,30,40535,637
520,100,253,6,75470,638
521,49,601,19,6454,639
522,69,640,31,77751,641
523,20,285,6,26813,527
524,100,235,29,88558,236
525,54,642,8,68568,643
526,16,644,7,12078,645
527,87,281,14,72796,646
528,30,561,25,96049,647
529,41,242,11,18091,648
530,43,649,5,101621,650
531,30,443,11,12573,651
532,70,278,33,89335,652
533,39,346,11,94101,653
534,75,303,12,72794,654
535,30,655,18,31305,656
536,80,335,15,75263,657
537,74,323,10,26809,658
538,54,659,17,95900,660
539,75,373,11,72795,661
540,100,323,13,26809,662
541,52,663,14,86229,664
542,51,665,5,39729,666
543,32,418,12,12246,667
544,30,458,20,51594,668
545,62,460,8,87214,669
546,31,554,35,6046,670
547,41,307,9,36419,671
548,33,610,13,12012,672
549,27,673,12,27292,674
550,23,675,15,12583,676
551,58,677,8,6700,678
552,21,679,7,125191,680
553,21,681,15,28187,682
554,54,490,13,39530,683
555,100,373,15,72795,684
556,18,458,19,51594,685
557,65,490,14,39530,686
558,66,406,14,39963,687
559,79,273,13,116377,688
560,84,323,11,26809,689
561,21,690,18,130745,691
562,83,355,26,67416,692
563,55,458,21,51594,693
564,94,281,15,72796,694
565,43,502,37,94794,695
566,50,619,26,123254,696
567,47,281,11,72796,697
568,41,242,10,18091,698
569,57,269,26,19063,699
570,31,700,18,100134,701
571,38,525,34,76834,702
572,26,410,14,124424,703
573,34,413,26,88063,704
574,60,259,18,77571,705
575,52,363,21,28766,706
576,57,237,12,38468,707
577,34,490,11,39530,708
578,6,253,6,75463,709
579,23,363,18,28766,710
580,44,711,8,124143,712
581,65,363,22,28766,713
582,91,373,10,72795,714
583,42,715,19,86803,716
584,10,253,6,75830,717
585,96,273,14,116377,718
586,51,516,24,80523,719
587,26,567,10,89707,720
588,49,487,21,42084,721
589,23,681,14,28187,722
590,73,293,11,13866,723
591,17,253,6,75470,724
592,37,355,24,67416,725
593,19,253,6,75470,726
594,42,269,27,19063,727
595,15,728,30,71290,729
596,25,253,6,75830,730
597,15,675,11,12583,731
598,70,359,13,12895,732
599,28,733,17,129055,734
600,96,259,23,77571,735
601,33,675,14,12583,736
602,40,465,21,75750,737
603,32,413,26,88063,723
604,41,269,27,19063,738
605,44,619,24,123254,739
606,60,359,11,12895,462
607,83,244,7,4977,740
608,23,610,10,12012,741
609,38,437,16,12321,742
610,30,743,24,72943,744
611,18,253,6,75470,745
612,35,519,12,6534,746
613,21,747,6,12410,748
614,94,675,16,12583,749
615,63,601,19,6454,750
616,58,751,7,39552,752
617,19,610,11,12012,753
618,78,601,20,6454,754
619,79,373,10,72795,755
