ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
316,24,316,12,1110,317
317,20,318,7,5025,319
318,100,320,15,2184,321
319,45,322,6,2705,323
320,40,324,17,5193,325
321,41,326,16,1021,327
322,15,328,12,2528,329
323,93,330,20,222,331
324,24,332,30,361,333
325,62,334,8,3882,335
326,14,336,26,5065,337
327,34,338,19,954,339
328,13,340,14,916,341
329,14,340,14,916,342
330,40,324,17,5193,343
331,27,344,14,1211,345
332,12,346,12,5431,347
333,1,348,5,2947,349
334,22,350,12,4818,351
335,57,338,19,954,352
336,31,353,6,634,354
337,16,355,20,951,356
338,37,357,19,1191,358
339,42,359,19,933,360
340,27,361,13,1153,362
341,89,363,25,50,364
342,21,365,26,562,366
343,85,367,15,934,368
344,15,369,12,5106,370
345,33,371,21,1677,372
346,21,338,19,954,373
347,19,321,15,2184,374
348,23,375,15,1733,376
349,17,377,11,3061,378
350,28,379,16,3126,380
351,7,321,15,2184,381
352,43,382,23,2640,383
353,23,384,7,1085,385
354,46,386,13,955,387
355,16,386,13,955,388
356,64,389,18,5886,390
357,53,391,24,930,392
358,28,393,6,1624,394
359,9,395,8,4712,396
360,16,338,19,954,397
361,100,367,15,934,398
362,27,399,17,5387,400
363,29,336,26,5065,401
364,16,338,19,954,402
365,54,403,23,504,404
366,29,332,30,361,405
367,36,334,8,3882,406
368,11,321,15,2184,407
369,54,332,30,361,408
370,41,316,12,1110,409
371,100,410,28,2969,411
372,100,412,25,992,413
373,28,414,14,1581,415
374,35,416,26,490,417
375,39,414,14,1581,418
376,1,321,15,2184,419
377,65,420,23,5086,421
378,38,386,13,955,422
379,1,423,16,34,424
380,29,425,25,4054,426
381,16,338,19,954,427
382,72,428,19,1022,429
383,38,430,8,4863,431
384,100,432,32,1173,433
385,35,386,13,955,434
386,45,435,25,194,436
387,16,369,12,5106,437
388,16,438,19,953,439
389,64,355,20,951,440
390,15,441,24,5496,442
391,12,443,16,3787,444
392,25,386,13,955,445
393,26,446,26,105,447
394,21,448,13,5359,449
395,36,416,26,490,450
396,21,451,4,1594,452
397,100,453,28,57,454
398,23,455,35,3206,456
399,16,457,14,2236,458
400,47,459,20,2956,460
401,50,355,20,951,461
402,100,379,16,3126,462
403,46,463,27,221,464
404,16,338,19,954,465
405,28,355,20,951,466
406,100,467,32,3484,468
407,1,469,7,3396,470
408,66,471,7,2645,472
409,15,473,13,1345,474
410,5,321,15,2184,475
411,39,338,19,954,476
412,49,459,20,2956,477
413,35,412,25,992,478
414,28,386,13,955,479
415,20,480,32,492,481
416,21,482,34,1861,483
417,45,326,16,1021,484
418,16,355,20,951,485
419,36,334,8,3882,486
420,54,330,20,222,487
421,21,414,14,1581,488
422,100,489,26,2978,490
423,21,414,14,1581,491
424,21,492,18,5745,493
425,28,494,18,4976,495
426,20,330,20,222,496
427,71,321,15,2184,497
428,22,498,9,1798,499
429,25,500,12,179,501
430,11,502,24,2169,503
431,8,384,7,1085,504
432,36,363,25,50,505
433,20,506,11,5197,507
434,22,435,25,194,508
435,20,509,30,340,510
436,1,511,5,2947,348
437,18,512,27,253,513
438,17,321,15,2184,514
439,35,515,28,45,516
440,30,517,13,177,518
441,34,519,7,378,520
442,16,321,15,2184,521
443,16,522,23,5723,523
444,14,524,12,454,525
445,39,526,25,613,527
446,83,371,21,1677,528
447,24,529,15,4539,530
448,100,531,23,2569,532
449,22,533,13,5701,534
450,18,334,8,3882,449
451,93,403,23,504,535
452,48,536,17,3766,537
453,11,538,8,646,539
454,22,540,18,2548,541
455,1,542,16,34,543
456,88,544,19,53,545
457,14,546,21,3136,547
458,20,548,12,198,549
459,91,550,15,5794,551
460,52,453,28,57,406
461,44,552,25,862,553
462,72,554,22,2270,555
463,56,459,20,2956,556
464,19,334,8,3882,557
465,100,435,25,194,558
466,100,559,22,5578,560
467,8,512,27,253,561
468,41,412,25,992,562
469,34,563,11,1892,564
470,35,565,23,2191,566
471,100,567,16,1016,568
472,16,438,19,953,569
473,40,459,20,2956,570
474,29,355,20,951,571
475,16,572,11,710,573
476,27,574,29,54,575
477,18,576,31,493,577
478,16,578,6,1886,579
479,25,386,13,955,580
480,22,581,18,4585,582
481,21,412,25,992,583
482,21,399,17,5387,584
483,7,316,12,1110,585
484,43,399,17,5387,586
485,62,587,14,922,588
486,13,506,11,5197,589
487,65,500,12,179,590
488,11,321,15,2184,591
489,19,480,32,492,592
490,32,593,12,106,594
491,17,595,33,41,596
492,17,338,19,954,597
493,18,598,6,2654,599
494,20,600,7,3367,553
495,58,517,13,177,601
496,28,602,23,2741,603
497,45,500,12,179,604
498,19,459,20,2956,605
499,31,606,17,3157,607
500,65,608,13,3358,609
501,1,610,29,3191,611
502,25,502,24,2169,612
503,26,565,23,2191,613
504,33,614,9,5400,615
505,16,355,20,951,616
506,40,459,20,2956,617
507,100,412,25,992,618
508,25,355,20,951,619
509,100,620,48,2571,621
510,100,412,25,992,622
511,7,623,4,1729,624
512,54,357,19,1191,625
513,21,626,6,524,627
514,44,334,8,3882,628
515,21,386,13,955,629
516,54,336,26,5065,630
517,18,631,12,178,632
518,35,565,23,2191,633
519,51,420,23,5086,634
520,14,334,8,3882,635
521,27,595,33,41,636
522,30,432,32,1173,637
523,16,338,19,954,638
524,34,639,14,5691,640
525,54,332,30,361,641
526,23,334,8,3882,642
527,32,643,16,5053,644
528,16,338,19,954,645
529,88,646,8,5443,647
530,18,375,15,1733,648
531,17,334,8,3882,649
532,15,650,11,5386,651
533,24,652,17,115,653
534,100,455,35,3206,654
535,29,332,30,361,655
536,10,517,13,177,656
537,18,482,34,1861,657
538,16,338,19,954,658
539,100,659,22,3479,660
540,29,661,20,1013,662
541,18,500,12,179,663
542,17,664,6,111,665
543,17,355,20,951,666
544,100,667,25,56,668
545,25,355,20,951,669
546,28,595,33,41,670
547,50,334,8,3882,671
548,22,672,28,2477,673
549,25,441,24,5496,666
550,42,674,15,5690,675
551,12,443,16,3787,676
552,30,677,13,5821,678
553,24,679,18,4910,680
554,23,500,12,179,681
555,29,403,23,504,682
556,25,683,14,3155,684
557,72,685,32,218,686
558,40,459,20,2956,687
559,78,626,6,524,688
560,48,689,22,3770,690
561,39,399,17,5387,691
562,22,414,14,1581,692
563,7,693,9,5392,694
564,26,369,12,5106,695
565,26,382,23,2640,696
566,40,459,20,2956,697
567,11,321,15,2184,698
568,100,699,35,133,700
569,1,701,29,3191,702
570,24,529,15,4539,703
571,100,371,21,1677,704
572,8,705,18,1239,706
573,21,576,31,493,707
574,16,355,20,951,708
575,30,548,12,198,709
576,9,710,15,2859,711
577,16,451,4,1594,712
578,16,338,19,954,713
579,36,714,22,2739,715
580,29,371,21,1677,716
581,17,717,10,4484,718
582,26,328,12,2528,719
583,26,512,27,253,720
584,28,338,19,954,721
585,100,722,17,2256,723
586,18,334,8,3882,449
587,17,453,28,57,724
588,20,473,13,1345,725
589,46,453,28,57,726
590,41,389,18,5886,727
591,17,538,8,646,728
592,55,420,23,5086,729
593,34,730,34,3640,731
594,25,386,13,955,732
595,100,435,25,194,733
596,33,321,15,2184,734
597,15,316,12,1110,735
598,34,524,12,454,736
599,19,737,7,2379,738
600,29,705,18,1239,739
601,23,740,17,319,741
602,20,742,36,854,743
603,13,744,14,864,745
604,20,746,21,815,747
605,54,414,14,1581,748
606,11,749,6,5729,750
607,25,683,15,3155,751
608,49,494,18,4976,752
609,27,563,11,1892,753
610,6,321,15,2184,754
611,100,667,25,56,755
612,25,500,12,179,756
613,52,757,11,4213,758
614,46,386,13,955,759
615,8,760,23,2851,761
616,51,438,19,953,762
617,39,416,26,490,763
618,24,764,19,39,765
619,29,766,6,5405,767
620,33,386,13,955,768
621,9,769,10,5369,770
622,8,771,16,309,772
623,15,512,27,253,773
624,32,730,34,3640,774
625,24,775,24,40,776
626,46,576,31,493,777
627,40,778,22,38,779
628,17,780,42,913,781
629,38,441,24,5496,782
630,33,355,20,951,783
631,46,784,17,4464,785
632,35,786,28,2809,787
633,81,659,22,3479,381
634,95,428,19,1022,788
635,24,789,22,1504,790
636,50,355,20,951,791
637,27,792,16,601,793
638,77,386,13,955,794
639,70,795,18,3695,796
640,61,336,26,5065,797
641,22,798,12,3716,799
642,41,425,25,4054,800
643,41,412,25,992,801
644,100,453,28,57,802
645,100,803,18,3323,804
646,57,375,15,1733,805
647,46,522,23,5723,806
648,30,807,22,600,808
649,10,705,18,1239,809
650,40,453,28,57,810
651,16,414,14,1581,811
652,100,812,13,2935,813
653,20,443,16,3787,814
654,53,428,19,1022,815
655,44,778,22,38,816
656,16,386,13,955,817
657,56,489,26,2978,818
658,15,819,19,224,820
659,49,807,21,600,821
660,24,500,12,179,822
661,14,823,5,3508,824
662,49,825,15,3910,826
663,41,459,20,2956,827
664,17,828,11,4244,829
665,29,830,8,1991,831
666,28,438,19,953,832
667,39,833,27,3746,834
668,3,321,15,2184,835
669,19,316,12,1110,836
670,16,457,14,2236,458
671,23,608,13,3358,837
672,26,526,25,613,838
673,21,839,11,5399,840
674,54,336,26,5065,841
675,32,689,22,3770,842
676,42,825,15,3910,843
677,6,321,15,2184,842
678,41,689,22,3770,688
679,8,538,8,646,844
680,1,610,29,3191,845
681,16,443,16,3787,846
682,25,438,19,953,847
683,48,672,28,2477,848
684,28,595,33,41,849
685,49,639,14,5691,850
686,63,851,41,1171,852
687,29,332,30,361,853
688,16,338,19,954,854
689,39,855,22,3228,856
690,39,522,23,5723,857
691,34,420,23,5086,682
692,8,760,23,2851,858
693,16,386,13,955,859
694,22,860,11,1725,861
695,18,517,13,177,862
696,28,316,12,1110,863
697,23,795,18,3695,864
698,20,746,21,815,865
699,27,789,22,1504,866
700,22,867,6,2614,868
701,26,565,23,2191,869
702,28,631,12,178,870
703,33,500,12,179,871
704,25,386,13,955,872
705,16,338,19,954,873
706,19,389,18,5886,874
707,24,529,15,4539,530
708,10,519,7,378,875
709,29,336,26,5065,876
710,20,340,14,916,877
711,25,438,19,953,878
712,26,340,14,916,879
713,16,338,19,954,880
714,40,459,20,2956,881
715,78,459,20,2956,882
716,51,334,8,3882,883
717,85,884,24,266,885
718,27,886,9,5693,887
719,33,414,14,1581,888
720,100,661,20,1013,889
721,34,890,18,2570,834
722,23,321,15,2184,891
723,6,321,15,2184,892
724,68,631,12,178,893
725,36,453,28,57,894
726,22,895,13,5468,896
727,33,338,19,954,897
728,12,898,14,4077,899
729,35,595,33,41,900
730,63,608,13,3358,651
731,100,901,26,2286,902
732,13,546,21,3136,903
733,42,819,19,224,904
734,1,905,16,34,906
735,20,907,16,2612,908
736,45,737,7,2379,909
737,26,355,20,951,910
738,22,911,18,4350,912
739,64,913,18,1011,785
740,54,367,15,934,914
