ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
766,6,766,9,162986,767
767,19,768,16,44749,769
768,8,770,15,190809,771
769,4,772,8,8016,773
770,4,774,9,48204,775
771,13,776,8,205260,777
772,48,778,9,63492,779
773,29,780,24,196824,781
774,11,782,23,177801,783
775,16,784,23,175011,785
776,16,786,10,160670,787
777,10,788,7,188964,789
778,5,766,12,162986,790
779,100,791,30,186001,792
780,12,793,20,178802,794
781,9,766,13,162986,795
782,24,796,7,72441,797
783,13,786,8,160670,798
784,8,799,9,191977,800
785,19,801,21,16854,802
786,12,803,8,15374,804
787,8,796,8,72441,805
788,6,806,29,3127,807
789,20,808,11,197842,809
790,11,810,6,18623,811
791,10,812,5,10801,813
792,31,814,15,60012,815
793,12,816,24,80565,817
794,2,818,8,164053,819
795,9,820,5,72440,821
796,12,822,15,196462,823
797,14,768,15,44749,824
798,11,825,9,213152,826
799,7,827,7,30478,828
800,7,829,12,75885,830
801,5,831,11,163093,832
802,5,766,12,162986,833
803,9,834,17,13792,835
804,21,780,22,196824,836
805,25,837,19,6632,838
806,7,839,14,16266,840
807,6,841,9,16863,842
808,15,843,5,17711,844
809,9,845,24,197249,846
810,28,847,27,28220,848
811,5,849,6,174446,850
812,18,851,23,208763,852
813,7,853,13,17107,854
814,24,855,12,16191,856
815,9,857,13,15606,858
816,12,859,13,154716,860
817,15,861,24,41773,862
818,19,863,11,40586,864
819,32,801,24,16854,865
820,3,806,28,3127,866
821,15,867,13,71164,868
822,26,869,25,17108,870
823,2,766,10,162986,871
824,14,778,9,63492,872
825,5,873,10,81257,874
826,7,780,22,196824,875
827,6,876,24,32018,877
828,11,878,5,189347,879
829,7,880,18,149196,881
830,9,768,14,44749,882
831,7,843,5,17711,883
832,9,884,18,12208,885
833,5,886,17,15275,887
834,26,855,12,16191,888
835,6,889,8,18077,890
836,13,891,12,40300,892
837,5,893,14,198699,894
838,6,895,20,164974,896
839,14,897,8,205284,898
840,14,897,8,205284,899
841,5,876,21,32018,900
842,7,901,16,190773,902
843,3,827,6,30478,903
844,3,904,6,138167,905
845,7,891,12,40300,906
846,20,907,16,190379,908
847,35,909,17,17350,910
848,25,806,40,3127,911
849,7,796,8,72441,912
850,7,799,9,191977,913
851,68,778,8,63492,914
852,15,814,11,60012,915
853,3,916,7,205307,917
854,2,918,10,75582,919
855,3,766,11,162986,920
856,6,921,18,209894,922
857,4,923,5,174776,924
858,5,857,14,15606,925
859,7,926,20,16731,927
860,5,928,13,23480,929
861,15,930,7,203778,931
862,10,932,6,194707,933
863,30,778,9,63492,934
864,5,857,14,15606,935
865,9,857,15,15606,936
866,11,937,8,19536,938
867,24,939,5,5112,940
868,15,941,15,80351,942
869,30,943,5,172545,944
870,6,945,6,30046,946
871,18,947,6,11907,948
872,10,949,21,169415,950
873,5,851,19,208763,951
874,9,952,25,16755,953
875,16,954,22,212739,955
