ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
583,17,583,11,16542,584
584,16,585,14,13968,586
585,13,587,18,144406,588
586,7,589,12,172008,590
587,30,279,5,16246,591
588,3,592,5,1507,593
589,9,594,11,174258,595
590,9,596,9,121364,597
591,16,598,15,14666,599
592,10,594,12,174258,600
593,13,601,10,114510,602
594,22,603,8,117458,604
595,1,605,10,1725,606
596,29,607,9,168649,608
597,6,609,7,180075,610
598,16,611,16,37562,612
599,6,279,5,16246,584
600,16,613,9,186079,614
601,22,615,15,42931,616
602,15,617,12,481,618
603,17,619,9,133604,620
604,10,587,16,144406,621
605,13,622,7,17719,623
606,10,624,10,193439,625
607,47,589,20,172008,626
608,40,627,17,122871,628
609,14,629,15,39919,630
610,22,631,21,5229,632
611,6,633,10,157770,634
612,11,635,15,27522,636
613,15,637,14,185323,638
614,8,639,7,16316,640
615,6,598,12,14666,641
616,13,642,17,135176,643
617,15,644,10,187942,645
618,6,646,12,165069,647
619,2,648,8,191137,649
620,12,650,13,145757,651
621,17,652,6,168073,653
622,16,654,18,29745,655
623,13,652,6,168073,656
624,4,657,7,182720,658
625,100,279,5,16246,659
626,9,660,7,3479,661
627,47,662,22,161279,663
628,5,657,7,182720,664
629,6,665,6,156720,666
630,1,667,6,15367,668
631,7,669,8,167505,670
632,9,652,5,168073,671
633,30,672,7,93531,673
634,17,672,6,93531,674
635,15,675,5,35367,676
636,53,677,16,654,678
637,5,679,18,174480,680
638,8,681,11,174555,682
639,14,683,10,42534,684
640,6,685,5,37903,686
641,10,279,5,16246,687
642,8,688,12,184420,689
643,7,690,12,18791,691
644,4,692,8,179008,693
645,10,694,15,161753,695
646,6,669,10,167505,696
647,7,279,5,16246,697
648,16,698,19,37615,699
649,13,700,13,126922,701
650,8,279,4,16246,702
651,100,703,18,162804,704
652,71,279,4,16246,705
653,14,706,11,180260,707
654,17,708,17,126374,709
655,11,613,8,186079,710
656,14,622,6,17719,711
657,25,712,13,190684,713
658,7,633,9,157770,714
659,13,715,12,2018,716
660,15,717,13,186042,718
661,12,622,6,17719,719
662,13,657,9,182720,720
663,1,721,9,159034,722
664,27,723,14,117042,724
665,9,725,14,821,726
666,13,613,8,186079,727
667,13,633,8,157770,728
668,2,601,8,114510,729
669,5,730,11,20346,731
670,35,279,5,16246,732
671,14,733,10,40247,734
672,42,735,17,18882,736
673,26,279,5,16246,737
674,12,738,9,186855,739
675,7,633,9,157770,740
676,3,585,21,13968,741
677,7,635,14,27522,742
678,13,743,11,160607,744
679,7,745,5,177044,746
680,38,747,19,182469,748
681,7,587,16,144406,749
682,9,605,15,1725,750
683,1,751,11,184209,752
684,6,279,5,16246,753
685,9,754,18,178143,755
686,7,756,16,37090,757
687,11,725,14,821,758
688,5,585,21,13968,759
689,10,760,8,127304,761
690,21,644,8,190054,762
691,5,763,14,114805,764
692,9,765,9,35034,766
693,21,767,15,14479,768
694,10,769,11,162966,770
695,11,279,5,16246,687
696,4,771,5,40960,772
697,4,773,12,146866,774
698,12,733,10,40247,775
699,35,776,18,35890,777
700,7,756,16,37090,778
701,12,779,10,7333,780
702,9,677,9,654,781
703,16,782,14,178897,783
704,100,279,3,16246,784
705,9,785,12,20975,786
706,44,787,19,1705,788
707,11,789,8,8865,790
708,6,791,10,15125,792
709,12,793,19,119689,794
710,5,679,16,174480,795
711,5,796,8,1788,797
712,8,798,12,20805,799
713,15,800,16,169135,801
714,5,802,14,19107,803
715,13,804,12,64684,805
716,100,806,19,151397,604
717,30,807,9,59341,808
718,36,622,8,17719,809
719,13,810,21,188926,811
720,13,613,8,186079,710
721,24,812,15,181603,811
722,23,279,5,16246,813
723,8,603,7,117458,814
724,9,815,12,3698,816
725,15,817,15,1726,818
726,4,819,11,28167,820
727,2,747,9,182469,821
728,31,822,21,36943,823
729,10,657,8,182720,824
730,7,825,14,172967,826
731,22,827,22,3022,828
732,11,793,19,119689,829
733,8,279,5,16246,830
734,19,633,11,157770,831
735,100,279,4,16246,832
736,18,833,18,144242,834
737,35,738,12,186855,835
738,16,836,15,13790,837
739,14,619,7,133604,838
740,19,839,16,29959,840
741,16,841,13,16180,842
742,12,843,13,1856,844
743,6,845,9,171647,846
744,36,279,5,16246,847
745,9,629,14,39919,848
