ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
596,16,596,12,841,597
597,8,598,5,3628,599
598,12,600,5,4001,601
599,28,602,12,1700,603
600,3,604,6,451,605
601,4,606,11,589,607
602,7,608,5,237,609
603,8,610,12,12249,611
604,10,612,8,966,613
605,8,614,31,1698,615
606,9,616,9,6623,617
607,10,618,16,568,619
608,12,620,13,166,621
609,11,622,4,4598,623
610,11,624,15,1565,625
611,14,626,22,5761,627
612,12,624,15,1565,628
613,23,614,30,1698,629
614,12,630,22,1057,631
615,15,632,20,10324,633
616,15,634,4,1571,635
617,6,636,5,3042,637
618,5,638,7,1326,639
619,7,640,2,5000,641
620,4,642,10,1758,643
621,4,644,12,449,645
622,20,598,5,3628,646
623,7,647,10,1603,648
624,6,649,5,4606,650
625,25,651,10,9612,652
626,14,653,14,693,654
627,6,642,10,1758,655
628,3,608,6,4192,656
629,12,657,5,3606,658
630,4,659,9,4689,660
631,16,661,22,1613,662
632,9,598,5,3628,663
633,100,600,5,4001,664
634,32,665,29,2960,666
635,6,667,9,4050,668
636,10,669,14,123,670
637,4,671,13,659,672
638,16,673,6,9982,674
639,16,675,10,283,676
640,10,677,10,770,678
641,5,679,15,7014,680
642,4,681,9,23,682
643,6,683,9,577,684
644,15,685,11,10158,686
645,4,653,14,693,687
646,13,688,12,679,689
647,5,690,5,4988,691
648,4,692,7,585,693
649,26,630,22,1057,694
650,4,695,8,11414,696
651,3,697,8,1282,698
652,13,630,22,1057,699
653,4,600,5,4001,700
654,8,701,11,455,702
655,12,703,8,264,704
656,13,705,8,4547,706
657,4,707,9,813,708
658,4,709,7,1723,710
659,8,711,10,645,712
660,5,713,15,500,714
661,7,715,10,8964,716
662,15,717,25,1098,718
663,4,719,8,4548,720
664,4,721,9,2555,722
665,5,723,14,549,724
666,2,725,9,7430,726
667,6,727,8,3541,728
668,9,729,8,22,730
669,28,731,1,3655,732
670,18,733,10,1595,734
671,13,735,9,284,736
672,12,737,15,305,738
673,7,739,11,10639,740
674,10,741,13,936,742
675,3,733,8,1595,743
676,12,744,9,1887,745
677,12,746,11,1676,747
678,1,748,14,1998,749
679,12,750,12,10659,751
680,10,752,8,6483,753
681,8,754,13,9181,755
682,4,756,13,110,757
683,2,758,8,3026,759
684,16,760,9,1692,761
685,22,762,21,3781,763
686,17,764,10,198,765
687,4,766,9,11638,767
688,6,768,10,66,769
689,5,690,5,4988,770
690,9,630,22,1057,771
691,7,772,7,428,773
692,4,774,7,8077,775
693,9,776,10,56,777
694,6,778,10,6820,779
695,5,780,6,2598,781
696,16,665,29,2960,782
697,8,783,9,926,784
698,9,785,8,7114,786
699,6,787,8,611,788
700,17,783,10,926,789
701,5,790,7,1781,791
702,6,735,7,284,792
703,3,793,11,950,794
704,8,795,27,1658,796
705,4,797,8,9319,798
706,9,799,20,6985,800
707,4,801,14,1697,802
708,3,803,13,3612,804
709,4,805,10,1564,806
710,3,807,18,5087,808
711,6,636,5,3042,809
712,5,810,12,11646,811
713,6,812,11,3,813
714,4,703,7,264,814
715,20,697,13,1282,698
716,5,815,9,11121,816
717,34,817,12,629,818
718,5,715,9,8964,819
719,5,820,11,850,821
720,6,822,15,7104,823
721,3,824,7,6195,825
722,8,826,16,10036,827
723,10,828,14,11231,829
724,9,830,6,8108,831
725,28,690,5,4988,832
726,17,833,14,1273,834
727,15,835,28,1907,836
728,13,837,8,1374,838
729,17,783,11,926,839
730,3,840,5,1474,841
731,6,842,8,3954,843
732,13,636,5,3042,844
733,7,681,13,23,845
734,5,846,9,930,847
735,9,848,9,7959,849
736,3,850,24,6593,851
737,4,852,15,7462,853
738,11,854,9,9769,855
739,4,856,13,12830,857
740,7,858,23,7917,859
741,6,860,8,10658,861
742,11,671,14,659,862
743,20,863,21,357,864
744,6,865,6,89,866
745,4,867,6,10207,868
746,24,869,21,1582,870
747,9,871,9,1496,872
748,5,873,9,5047,874
749,8,850,23,6593,875
750,9,876,9,4306,877
751,3,878,6,1622,879
752,6,880,8,63,881
753,6,882,7,708,883
754,2,884,11,182,885
755,1,886,12,1998,887
756,17,817,9,629,888
757,9,889,9,1318,890
758,10,884,11,182,891
759,9,669,14,123,892
760,10,893,28,9054,894
761,10,737,13,305,895
762,4,896,15,7002,897
763,14,690,5,4988,898
764,14,899,16,10854,900
765,27,901,15,304,902
766,3,903,8,448,904
767,1,905,15,1998,906
768,3,907,14,12702,908
769,49,909,18,336,910
770,16,911,18,1020,912
771,56,913,23,840,914
772,12,915,15,12820,916
773,9,917,6,5577,918
774,11,919,17,221,920
775,5,921,14,1823,922
776,5,923,26,3993,924
777,8,600,5,4001,925
778,4,926,10,416,927
779,3,657,5,3606,928
780,4,929,13,4654,930
781,3,931,10,1583,932
782,8,933,12,12680,934
783,7,935,8,1776,936
784,6,937,13,6594,938
785,5,939,8,1793,940
786,5,941,8,197,942
787,12,943,10,269,944
788,22,657,5,3606,945
789,11,772,8,428,946
790,6,947,15,814,948
791,15,949,16,868,950
792,10,817,9,629,951
793,18,952,14,12693,953
794,13,860,9,10658,954
795,5,955,6,77,956
796,19,957,13,296,958
797,4,959,13,647,960
798,9,961,9,11464,962
799,11,614,30,1698,963
800,5,964,8,290,965
801,9,966,4,6490,967
802,2,968,11,64,969
803,6,970,15,6592,971
804,4,972,7,655,973
805,8,711,9,645,974
806,11,873,10,5047,975
807,12,976,16,1819,977
808,4,978,8,1805,979
809,7,957,12,296,980
810,12,981,25,793,982
811,8,983,2,4000,984
812,3,933,11,12680,985
813,9,690,5,4988,986
814,8,987,11,12821,988
815,28,989,15,92,990
816,37,614,30,1698,991
817,7,837,8,1374,992
818,3,941,8,197,993
819,14,994,6,1561,995
820,4,996,9,636,997
821,6,998,9,9405,999
822,24,1000,19,86,1001
823,6,1002,15,12781,1003
824,8,1004,16,517,1005
825,3,824,7,6195,1006
826,7,1007,7,4279,1008
827,19,913,23,840,1009
828,2,959,12,647,1010
829,9,1011,15,6808,1012
830,100,600,5,4001,664
831,1,1013,15,1998,1014
832,9,1015,7,1721,1016
833,26,1017,15,1214,1018
834,9,1019,10,447,1020
835,6,1021,14,10769,1022
836,4,1023,5,6537,1024
837,16,1025,10,1609,1026
838,15,1027,10,462,1028
839,7,1029,7,1669,1030
840,9,1031,9,608,1032
841,25,795,27,1658,1033
842,10,1034,16,2041,1035
843,4,695,8,11414,1036
844,4,657,5,3606,1037
845,14,1038,16,9232,1039
846,24,1040,17,1254,1041
847,7,1042,12,5165,1043
848,22,1044,9,281,1045
849,4,1046,7,1767,1047
850,3,1048,6,12098,1049
851,22,614,30,1698,1050
852,70,795,27,1658,1051
853,10,1052,14,72,1053
854,7,1054,8,169,1055
855,4,1056,14,2098,1057
856,13,1058,13,142,1059
857,11,1060,16,11154,1061
858,23,797,12,9319,1062
859,31,1063,14,11052,1064
860,6,1065,7,9761,1066
861,8,1067,8,880,1068
862,8,1069,17,1168,1070
863,6,642,10,1758,1071
864,9,795,27,1658,1072
865,38,598,5,3628,1073
866,15,1074,6,1725,1075
867,3,647,9,1603,1076
868,6,1077,14,3659,1078
869,5,776,10,56,1079
870,7,690,5,4988,1080
871,11,657,5,3606,1081
872,5,1082,9,206,1083
873,14,1084,17,1696,1085
874,8,1086,10,922,1087
875,3,850,23,6593,1088
876,3,1089,6,9921,1090
877,6,921,16,1823,1091
878,8,1092,23,4377,1093
879,8,1094,13,100,1095
880,15,600,5,4001,1096
881,1,1097,18,1998,1098
882,7,1099,8,5806,1100
883,4,801,14,1697,1101
884,6,729,8,22,1102
885,3,1103,11,8574,1104
886,13,762,18,3781,1105
887,37,795,27,1658,1106
888,6,1107,18,11117,1108
889,23,1109,25,1080,1110
890,3,1111,13,2222,1112
891,13,1113,11,404,1114
892,17,614,30,1698,1115
893,23,1116,12,627,1117
894,7,1118,11,2043,1119
895,4,878,6,1622,1120
896,5,1121,11,560,1122
897,20,1123,19,78,1124
898,8,935,8,1776,1125
899,11,636,5,3042,1126
900,3,1127,8,4707,1128
901,16,1129,9,139,1130
902,11,1131,13,11370,1132
903,3,1133,13,10775,1134
904,7,653,14,693,1135
905,6,1136,8,1319,1137
906,11,1138,25,790,1139
907,6,1140,11,931,1141
908,4,865,6,89,1142
909,13,1143,10,1735,1144
910,8,1145,15,12780,1146
911,3,1147,5,1485,1148
912,5,1149,11,10242,1150
913,7,1151,13,852,1152
914,11,690,5,4988,1153
915,13,1154,15,3971,1155
916,5,1156,14,11549,1157
917,14,1158,10,5855,1159
918,6,1160,7,58,1161
919,7,598,5,3628,1162
920,7,1163,18,876,1164
921,15,665,29,2960,1165
922,4,1166,10,4407,1167
923,6,1168,9,397,1169
924,27,1138,30,790,1170
925,15,1086,12,922,1171
926,7,1172,15,913,1173
927,7,1174,8,6981,1175
928,48,1109,25,1080,1176
929,3,1177,9,11120,1178
930,9,1084,17,1696,1085
931,4,675,8,283,1179
932,11,1180,7,68,1181
933,4,1182,9,1681,1183
934,6,1184,7,2966,1185
935,5,1186,15,104,1187
936,15,596,12,841,1188
937,9,600,5,4001,1189
938,4,711,8,645,1190
939,5,697,9,1282,1191
940,6,1192,13,9806,1193
941,1,1194,9,11596,1195
942,4,1196,9,9577,1197
943,20,630,22,1057,1198
944,8,690,5,4988,1199
945,9,1200,12,1687,1201
946,3,653,14,693,1202
947,3,1182,10,1681,1203
948,4,1204,9,4636,1205
949,7,1206,14,181,1207
950,6,1208,11,1605,1209
951,3,1099,7,5806,1210
952,9,1211,10,1392,1212
953,5,600,5,4001,1213
954,6,1214,15,12529,1215
955,5,1216,17,2301,1217
956,10,1218,23,933,1219
957,25,1220,11,5849,1221
958,9,630,22,1057,1222
959,3,1223,15,302,1224
960,12,1225,14,1574,1226
961,8,659,10,4689,1227
962,17,614,31,1698,1228
963,20,614,30,1698,1229
964,39,1230,20,9924,1231
965,6,1232,8,11,1233
966,6,681,12,23,1234
967,19,1235,15,1510,1236
968,4,683,9,577,1237
969,10,1136,8,1319,1238
970,11,1239,9,1777,1240
971,5,1241,5,7082,1242
972,15,840,5,1474,1243
973,8,690,5,4988,1244
974,10,1245,16,815,1246
975,18,600,5,4001,1247
976,8,957,12,296,1248
977,6,772,8,428,1249
978,16,1086,11,922,1250
979,11,1251,9,1984,1252
980,4,1048,6,9491,1253
981,7,606,11,589,1254
982,4,1255,6,2764,1256
983,3,1257,14,1592,1258
984,14,1259,15,10553,1260
985,16,657,5,3606,1261
986,18,600,5,4001,1262
987,5,1168,8,397,1263
988,6,636,5,3042,1264
989,17,1138,30,790,1265
990,4,1266,8,11422,1267
991,19,1054,10,169,1268
992,14,1269,17,79,1270
993,7,1017,11,1214,770
994,26,636,5,3042,1271
995,13,1272,4,7528,1273
996,16,1274,14,2586,1275
997,4,921,15,1823,1276
998,9,833,12,1273,1277
999,3,970,14,6592,1278
1000,22,1279,7,8091,1280
1001,4,707,10,813,1281
1002,6,681,11,23,1282
1003,9,1283,10,11361,1284
1004,4,772,7,428,1285
1005,9,878,7,1622,1286
1006,1,1287,8,2841,1288
1007,3,1289,7,3459,1290
1008,6,1291,9,956,1292
1009,5,1293,11,11399,1294
1010,8,1295,15,4849,1296
1011,3,1297,11,143,1298
1012,21,1299,20,85,1300
1013,9,824,9,6195,1301
1014,10,1302,11,1600,1303
1015,3,1251,7,1984,1304
1016,18,1305,30,1919,1306
1017,17,1307,15,11458,1308
1018,4,1042,11,5165,1309
1019,18,762,19,3781,1310
1020,10,1311,22,381,1312
1021,13,1302,12,1600,1313
1022,2,1314,11,616,1315
1023,10,1316,10,2320,1317
1024,3,970,14,6592,1318
1025,4,719,7,4548,1319
1026,7,681,12,23,1320
1027,5,634,4,1571,1321
1028,4,1322,14,621,1323
1029,6,1324,11,4682,1325
1030,7,1326,11,12813,1327
1031,3,970,14,6592,1328
1032,70,913,23,840,1329
1033,7,1255,6,2764,1330
1034,4,1331,23,754,1332
1035,3,606,10,589,1333
1036,3,1334,5,4418,1335
1037,9,1336,9,559,1337
1038,16,1338,10,1604,1339
1039,7,987,11,12821,988
1040,7,1340,10,8043,1341
1041,8,1342,9,10634,1343
1042,6,1344,7,10689,1345
1043,3,1127,8,4707,1346
1044,6,1177,9,11120,1347
1045,6,1348,12,11417,1349
1046,100,614,30,1698,1350
1047,3,1351,8,7563,1352
1048,7,807,21,5087,1353
1049,17,1354,20,920,1355
1050,6,848,8,7959,1356
1051,7,1357,10,192,1358
1052,17,1359,9,194,1360
1053,5,1361,14,4267,1362
1054,4,1099,7,5806,1363
1055,6,600,5,4001,1364
1056,17,1365,17,9368,1366
1057,29,795,27,1658,1367
1058,21,1357,12,192,1368
1059,37,614,30,1698,1369
1060,9,1370,10,65,1371
1061,5,1372,11,5038,1373
1062,19,1374,20,7515,1375
1063,3,1376,7,1678,1377
1064,4,683,9,577,1378
1065,9,1379,7,1946,1380
1066,4,949,13,868,1381
1067,1,1382,12,1998,1383
1068,12,1334,6,4418,1384
1069,12,933,13,12680,1385
1070,8,1225,15,1574,1386
1071,4,955,5,77,1387
1072,15,1388,19,2637,1389
1073,7,803,15,3612,1390
1074,9,981,25,793,1391
1075,4,1074,6,1725,1392
1076,7,1174,7,6981,1393
1077,6,1394,15,1505,1395
1078,3,842,7,3954,843
1079,11,604,8,451,1396
1080,4,1397,13,6665,1398
1081,10,1399,17,9109,1400
1082,4,1054,8,169,1401
1083,3,1402,8,5876,1403
1084,10,1404,11,12326,1405
1085,14,1406,16,911,1407
1086,23,1408,9,1375,1409
1087,15,1410,17,11111,1150
1088,5,815,9,11121,1411
1089,8,719,9,4548,1412
1090,3,1413,8,10724,1414
1091,14,665,29,2960,1415
1092,5,1416,15,382,1417
1093,3,1418,6,10979,1419
1094,11,681,13,23,1420
1095,5,614,30,1698,1421
1096,5,1422,4,9552,1423
1097,14,1424,19,886,1425
1098,7,690,5,4988,1426
1099,6,1427,10,67,1428
1100,6,901,15,304,1429
1101,12,1430,13,3066,1431
1102,9,787,9,611,1432
1103,6,1433,7,1283,1434
1104,16,1354,20,920,1435
1105,1,1436,16,1998,1437
1106,9,1438,19,3672,1439
1107,4,1440,10,4118,1441
1108,8,1442,16,8219,1443
1109,11,1444,8,1748,1445
1110,9,1038,14,9232,1446
1111,9,1447,10,8644,1448
1112,15,1370,10,65,1449
1113,12,1450,11,465,1451
1114,30,1452,20,6926,1453
1115,6,1002,16,12781,738
1116,43,737,21,305,932
1117,11,1454,12,1766,1455
1118,4,1456,14,683,1457
1119,7,681,11,23,1458
1120,5,598,5,3628,1459
1121,3,659,10,4689,1227
1122,19,1460,20,4640,623
1123,3,1357,10,192,1461
1124,5,690,5,4988,1462
1125,10,1168,9,397,1463
1126,8,1239,8,1777,1464
1127,10,893,28,9054,1465
1128,8,801,13,1697,1466
1129,24,1467,16,303,1468
1130,21,614,31,1698,1469
1131,8,778,10,6820,1470
1132,100,1471,11,4417,1472
1133,8,799,21,6985,1473
1134,7,632,18,10324,1474
1135,9,685,10,10158,1475
1136,1,1476,12,1998,1477
1137,16,801,15,1697,1478
1138,9,1479,6,10667,1480
1139,10,721,11,2555,1481
1140,11,1482,9,176,1483
1141,8,903,11,448,1484
1142,7,1485,21,326,1486
1143,18,981,25,793,1487
1144,3,1182,10,1681,1488
1145,100,1489,10,9612,651
1146,6,978,9,1805,1490
1147,19,1491,10,626,1492
1148,5,1493,13,98,1494
1149,18,1138,30,790,1495
1150,12,657,5,3606,1496
1151,12,690,5,4988,1497
1152,35,614,30,1698,1498
1153,8,1499,16,4628,1500
1154,9,1501,18,8835,1502
1155,4,602,7,1700,1503
1156,4,1504,8,1992,1505
1157,18,1506,16,219,1507
1158,11,657,5,3606,1508
1159,4,1509,8,4238,1510
1160,16,1511,9,9345,1512
1161,17,1513,10,175,1514
1162,9,1515,15,8715,1516
1163,4,772,7,428,1517
1164,11,1518,6,11036,1519
1165,12,1520,16,9876,1521
1166,64,1522,24,10362,1523
1167,2,1524,7,704,1525
1168,4,1042,11,5165,1526
1169,7,846,10,930,1527
1170,25,1528,12,184,1053
1171,8,1529,22,12819,1530
1172,7,746,9,1676,1531
1173,9,1532,12,5166,1533
1174,1,1534,13,1998,1535
1175,8,1536,9,10365,1537
1176,8,846,10,930,1538
1177,6,1539,4,8147,1540
1178,6,1424,17,886,1541
1179,7,1225,12,1574,1542
1180,53,981,24,793,1543
1181,11,614,30,1698,1544
