ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
1203,17,1203,27,100595,1204
1204,27,1205,17,94267,1206
1205,100,1207,22,93717,1208
1206,24,1209,17,91909,1210
1207,22,1211,10,16723,1212
1208,8,1213,9,16530,1214
1209,18,1215,4,113147,1216
1210,63,1217,2,20211,1218
1211,25,1219,7,21947,1220
1212,17,1221,2,17987,1222
1213,26,1223,25,108322,1224
1214,21,1225,6,109072,1226
1215,10,1227,16,102177,1228
1216,100,1229,17,113847,1230
1217,27,1231,25,86569,1232
1218,31,1233,4,16593,1234
1219,25,1235,11,418,1236
1220,54,1237,9,689,1238
1221,21,1231,25,86569,1239
1222,9,1240,15,22710,1241
1223,13,1215,3,113147,1242
1224,15,1243,9,112551,1244
1225,21,1215,3,113147,1245
1226,27,1207,17,93717,1246
1227,22,1247,16,5532,1248
1228,40,1249,21,111853,1250
1229,1,1227,16,102177,1251
1230,21,1252,18,102103,1253
1231,14,1215,4,113147,1254
1232,17,1255,12,87052,1256
1233,6,1257,5,107294,1258
1234,49,1259,22,112815,1260
1235,1,1261,12,17196,1262
1236,27,1263,20,112112,1264
1237,1,1265,9,114574,1266
1238,48,1267,17,20202,1268
1239,20,1269,12,110949,1270
1240,15,1271,3,20215,1272
1241,13,1273,19,114628,1274
1242,55,1235,12,418,1236
1243,25,1275,16,114601,1276
1244,63,1277,30,86027,1278
1245,23,1213,9,16530,1279
1246,26,1280,7,16604,1281
1247,6,1282,5,2311,1283
1248,22,1215,4,113147,1284
1249,24,1285,4,106116,1286
1250,51,1287,15,106105,1288
1251,28,1289,3,16588,1290
1252,66,1291,17,111055,1292
1253,11,1215,4,113147,1293
1254,1,1294,14,1769,1295
1255,21,1296,8,98922,1297
1256,8,1298,12,22610,1299
1257,21,1271,4,20215,1300
1258,35,1301,20,88013,1302
1259,10,1303,21,112077,1304
1260,33,1305,21,111451,1306
1261,9,1307,13,1304,1308
1262,42,1267,23,20202,1309
1263,38,1310,19,114714,1311
1264,12,1215,4,113147,1312
1265,21,1313,14,1748,1314
1266,10,1271,4,20215,1315
1267,23,1271,5,20215,1316
1268,25,1317,6,19445,1318
