ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
305,19,305,5,1206,306
306,11,307,16,169943,308
307,9,309,16,129613,310
308,5,311,17,119689,312
309,100,313,25,29778,314
310,1,313,22,29778,315
311,8,316,18,27530,317
312,13,318,14,93311,319
313,32,320,9,18288,321
314,5,322,9,181785,323
315,3,324,7,184821,325
316,9,326,18,157807,327
317,30,320,4,18288,328
318,40,329,19,2427,330
319,4,331,12,63884,332
320,21,333,11,157770,334
321,22,335,17,133285,336
322,9,337,6,181635,338
323,6,339,22,2173,340
324,28,341,12,7333,342
325,7,343,14,97946,344
326,100,345,11,39423,346
327,6,309,15,129613,347
328,9,348,14,2209,349
329,21,350,18,2516,351
330,2,352,14,185069,353
331,11,354,8,6522,355
332,9,356,13,539,357
333,11,320,5,18288,358
334,12,320,7,18288,359
335,83,320,5,18288,360
336,11,361,13,183170,362
337,9,363,24,114599,364
338,5,365,17,13947,366
339,9,367,12,173998,368
340,8,369,16,158944,370
341,17,371,20,190807,372
342,18,373,10,440,374
343,6,375,5,3086,376
344,31,377,12,192684,378
345,6,345,8,39423,379
346,35,380,17,193283,381
347,11,382,5,39819,383
348,100,320,4,18288,384
349,7,385,12,175388,386
350,6,387,28,183175,388
351,100,389,24,113138,390
352,1,391,8,114521,392
353,100,150,20,40113,393
354,10,394,10,950,395
355,1,396,10,162437,397
356,100,320,6,18288,398
357,11,399,14,154420,400
358,4,401,5,36970,402
359,7,380,13,193283,403
360,19,320,5,18288,404
361,11,316,19,27530,405
362,21,320,5,18288,406
363,34,407,16,93840,408
364,6,375,5,3086,409
365,17,410,16,158000,411
366,1,412,11,187156,413
367,13,382,5,39819,414
368,45,320,5,18288,415
369,9,354,7,6522,416
370,15,417,6,3208,418
371,9,419,14,157386,420
372,9,421,14,17912,422
373,14,423,12,173072,424
374,7,425,8,9090,426
375,6,427,14,122878,428
376,5,429,15,183111,430
377,21,431,5,13357,432
378,10,316,16,27530,433
379,15,434,14,145249,435
380,8,436,15,117410,437
381,23,438,17,13700,439
382,4,440,4,100846,441
383,14,442,9,142526,443
384,6,444,10,122752,445
385,1,446,10,125180,447
386,6,448,20,2709,449
387,1,450,10,12093,451
388,2,452,9,165462,453
389,13,454,5,37903,455
390,11,456,13,188175,457
391,14,318,14,93311,458
392,13,459,6,3179,460
393,11,461,14,183863,462
394,10,463,17,188928,464
395,10,320,4,18288,465
396,17,425,11,9090,466
397,5,467,7,146667,468
398,21,469,5,15230,470
399,4,471,11,34672,472
400,12,473,22,1147,474
401,12,475,13,123457,476
402,21,320,3,18288,477
403,9,425,9,9090,478
404,1,479,8,17148,480
405,100,320,5,18288,481
406,22,320,5,18288,482
407,57,320,4,18288,483
408,10,484,9,36275,485
409,5,486,10,15191,487
410,6,488,13,159644,489
411,6,490,7,3497,491
412,6,335,11,133289,492
413,22,493,17,90920,494
414,7,495,7,161954,496
415,7,497,11,154595,498
416,10,356,13,539,499
417,16,500,16,125493,501
418,16,502,19,173193,503
419,16,504,18,183739,505
420,8,506,5,37389,507
421,5,508,5,43236,509
422,12,510,20,182696,511
423,31,512,20,95809,513
424,10,514,20,12077,515
425,4,500,12,125493,516
426,9,517,11,115948,518
427,12,519,14,182846,520
428,4,521,9,42799,522
429,19,517,13,116545,523
430,8,524,10,184187,525
431,66,320,5,18288,526
432,6,527,17,180005,528
433,6,375,5,3086,376
434,20,320,5,18288,529
435,10,530,6,148258,531
436,1,532,5,190225,364
437,69,410,21,158000,533
438,12,534,15,3295,535
439,20,536,13,28201,537
440,8,538,8,192576,539
441,5,311,17,119689,540
442,49,389,21,113138,541
443,11,542,11,2923,543
444,4,450,12,12093,544
445,42,320,5,18288,545
446,68,546,20,12164,547
447,15,548,13,14915,549
448,11,490,10,3146,550
449,3,551,12,19225,552
450,8,553,8,28073,554
451,7,497,11,154595,555
452,4,556,11,9088,557
453,20,454,6,37903,558
454,14,559,18,175978,560
455,13,561,16,169940,562
456,68,320,5,18288,563
457,20,564,15,154462,565
458,34,322,14,181785,566
459,100,567,19,187132,568
460,5,569,19,144304,570
461,9,571,13,185010,572
462,4,471,14,34672,573
463,6,448,21,2709,574
464,17,473,23,1147,575
465,8,576,12,183024,577
466,66,345,14,39423,578
467,9,579,7,125010,580
468,10,561,15,169940,581
469,4,582,16,15874,583
470,71,389,21,113138,584
471,7,585,14,135807,586
472,42,587,29,15320,588
473,7,497,10,154595,589
474,26,590,30,146322,591
475,27,592,16,105826,593
476,22,594,22,185182,595
477,9,596,9,176736,597
478,19,598,13,13987,325
479,11,599,10,173765,600
480,14,601,13,190364,602
481,38,603,12,7376,604
482,1,605,11,14313,606
483,5,350,18,2516,607
484,100,608,14,13615,609
485,89,320,5,18288,610
486,7,382,5,39819,611
487,7,612,15,142420,613
488,8,594,20,185182,614
489,8,615,13,179485,616
490,13,617,16,160989,618
491,10,389,18,113138,619
492,11,620,7,5925,621
493,11,622,13,142828,623
494,1,387,26,183175,624
495,5,594,19,185182,625
496,18,626,12,183551,627
497,7,628,11,181871,629
498,17,326,20,157807,630
499,13,394,11,950,395
500,14,631,14,157534,632
501,16,633,22,129180,634
502,40,320,6,18288,635
503,9,322,9,181785,636
504,12,617,15,160989,618
505,19,637,14,164244,638
506,8,639,8,174471,640
507,5,561,13,169940,641
508,100,642,17,7218,643
509,21,345,10,39423,644
510,10,326,18,157807,645
511,30,646,19,122747,647
512,20,648,18,119627,649
513,12,650,11,107,651
514,18,538,10,192576,652
515,6,559,15,175978,653
516,10,654,13,108236,655
517,25,442,10,142526,656
518,23,657,14,90924,658
519,7,382,5,39819,659
520,16,598,14,13987,660
521,4,471,14,34672,661
522,11,662,7,39854,663
523,100,440,7,100846,664
524,10,665,13,182214,666
525,49,667,22,160621,668
526,12,669,21,186854,670
527,1,396,11,162437,671
528,31,448,26,2709,672
529,9,363,21,114599,673
530,20,674,16,182924,675
531,16,309,18,129613,676
532,6,341,8,7333,677
533,6,594,19,185182,678
534,64,320,5,18288,679
535,12,320,8,18288,680
536,7,681,15,180988,682
537,5,519,12,190271,683
538,13,662,8,39854,684
539,7,615,12,179485,685
540,9,517,11,115948,686
541,9,687,18,192245,688
542,9,689,10,475,690
543,4,320,5,18288,691
544,14,438,13,13700,692
545,25,693,10,172151,694
546,13,473,22,1147,695
547,17,542,12,2923,696
548,6,697,11,107626,698
549,30,612,19,142420,699
550,11,448,22,2709,700
551,14,701,12,117042,702
552,5,454,5,37903,703
553,4,454,5,37903,704
554,7,662,6,39854,705
555,1,391,8,114521,706
556,13,320,10,18288,707
557,13,708,5,155950,709
558,1,710,14,172721,711
559,5,382,5,39819,712
560,7,713,18,14433,714
561,18,715,14,6817,716
562,9,717,9,14859,718
563,1,719,8,12175,720
564,20,721,13,15925,722
565,1,352,13,185069,723
566,6,309,16,129613,724
567,10,725,10,1788,726
568,29,320,9,18288,727
569,21,639,10,174471,728
570,9,421,14,17912,729
571,9,603,8,7376,730
572,6,519,13,190271,731
573,2,732,15,179832,733
574,10,316,15,27530,734
575,100,440,15,100846,735
576,4,320,7,18288,736
577,11,737,14,14666,738
578,3,375,5,3086,739
579,17,307,18,169943,740
580,5,488,13,159644,741
581,9,517,11,115948,742
582,100,320,5,18288,743
583,20,421,18,17912,744
584,6,448,21,2709,745
585,9,594,20,185182,746
586,10,442,9,142526,747
587,11,748,8,157766,749
588,11,354,9,6522,750
589,11,751,18,1028,752
590,38,504,22,183739,753
591,6,622,12,142828,754
592,14,339,23,2173,755
593,10,316,16,27530,756
594,18,757,12,1723,758
595,5,759,7,180075,760
596,5,320,6,18288,761
597,23,762,13,20989,763
598,19,764,7,803,765
599,20,766,12,189010,767
600,16,768,46,167020,769
601,6,504,15,183739,770
602,6,454,5,37903,771
603,7,594,21,185182,772
604,5,427,13,122878,773
605,81,748,18,157766,774
606,100,345,11,39423,346
607,8,775,10,121673,776
608,3,777,15,175175,778
609,36,779,15,124189,780
610,8,504,16,183739,781
611,1,782,7,123853,783
612,6,524,10,184187,784
613,1,348,11,2209,785
614,34,502,19,173193,786
615,6,559,16,175978,787
616,39,788,16,43323,789
617,7,689,8,475,790
618,7,791,6,657,792
619,100,320,5,18288,481
620,9,436,15,117410,793
621,4,564,11,154462,794
622,31,795,14,125388,763
623,7,350,18,2516,796
624,9,559,17,175978,787
625,16,490,9,3497,797
626,1,798,9,173482,799
627,6,800,11,182469,801
628,14,766,10,189010,802
629,7,803,15,182170,804
630,37,805,17,36032,806
631,8,807,14,37499,808
632,4,324,8,184821,809
633,6,521,11,42799,810
634,9,811,17,166743,812
635,36,693,11,172151,813
636,4,504,16,183739,814
637,28,454,6,37903,815
638,6,816,10,15933,812
639,17,817,5,133927,818
640,65,320,5,18288,819
641,89,320,5,18288,481
642,1,820,15,182863,821
643,53,320,6,18288,822
644,8,737,13,14666,738
645,8,823,11,146246,824
646,4,732,14,179832,825
647,11,488,16,159644,826
648,84,320,4,18288,827
649,5,309,15,129613,828
650,13,829,14,183086,830
651,6,831,5,13051,832
652,4,823,10,146246,833
653,1,834,16,188996,835
654,31,721,14,15925,836
655,16,442,9,142526,837
656,4,438,10,13700,838
657,6,427,13,122878,839
658,5,471,12,34672,840
659,33,389,24,113138,841
660,6,748,7,157766,842
661,9,689,9,475,843
662,19,757,13,1723,844
663,5,461,12,183863,845
664,9,448,22,2709,846
665,19,847,19,177308,848
666,24,849,6,133466,850
667,37,448,26,2709,851
668,24,356,16,539,852
669,8,853,18,152446,854
670,5,454,5,37903,855
671,4,421,11,17912,856
672,9,857,15,103528,858
673,11,471,15,34672,859
674,8,847,13,177308,860
675,1,782,7,123853,861
676,10,571,13,185010,862
677,7,863,12,13560,864
678,14,865,24,36764,819
679,6,719,10,12175,866
680,1,867,5,12367,868
681,1,488,11,159644,869
682,6,853,17,152446,870
683,7,356,12,539,871
684,6,380,13,193283,872
685,8,504,16,183739,873
686,100,389,24,113138,390
687,7,316,16,27530,874
688,20,875,21,189240,876
689,1,877,13,185833,878
690,26,502,20,173193,879
691,39,410,19,158000,880
692,100,320,8,18288,881
693,1,471,10,34672,882
694,1,877,13,185833,883
695,22,884,19,178040,885
696,11,320,10,18288,886
697,5,887,12,174153,888
698,1,889,12,119935,890
699,13,356,14,539,891
700,1,887,10,174153,892
701,52,512,24,95809,893
702,8,382,6,39819,894
703,1,895,9,5906,896
704,20,897,15,172415,898
705,12,899,12,30110,498
706,7,900,11,127587,901
707,26,902,15,168320,903
708,6,454,5,37903,904
709,5,847,12,177308,905
710,6,438,10,13700,906
711,28,490,12,3497,907
712,8,309,16,129613,908
713,81,320,7,18288,909
714,11,847,14,177308,910
715,9,911,6,179300,912
716,4,913,5,170279,914
717,66,915,22,126596,916
718,16,917,19,36329,918
719,8,919,15,77421,920
720,5,393,14,40113,921
721,32,922,15,33911,923
722,16,316,20,27530,924
723,1,925,7,171994,926
724,7,927,16,90684,928
725,8,561,12,169906,929
726,7,538,8,192576,930
727,37,931,18,162578,932
728,6,933,13,91319,934
729,28,897,18,172415,935
730,11,936,14,172868,937
731,18,938,11,37567,939
732,16,940,16,15583,941
733,6,316,17,27530,528
734,7,942,13,126374,943
735,14,944,18,64802,945
736,19,512,19,95809,946
737,6,942,13,126374,947
738,15,948,18,190345,949
739,9,942,14,126374,950
740,13,551,17,19225,951
741,13,307,18,169943,952
742,10,316,19,27530,953
743,21,954,11,187104,955
744,13,956,13,182607,957
745,32,917,21,36329,958
746,4,959,8,192538,960
747,8,748,8,157766,961
748,12,962,16,95512,963
749,11,427,16,122878,964
750,1,965,5,16228,966
751,12,942,13,126374,967
752,5,968,15,182378,969
753,14,968,17,182378,970
754,1,971,15,129446,972
755,10,316,17,27530,973
756,23,504,20,183739,974
757,9,975,14,19352,976
758,7,977,10,29688,978
759,69,377,16,192684,979
760,9,944,17,64802,980
761,9,981,7,117059,982
762,4,847,13,177308,983
763,96,389,19,113138,984
764,10,339,24,2173,985
765,11,427,17,122878,986
766,10,968,17,182378,987
767,12,927,17,90684,988
768,6,887,12,174153,989
769,1,990,8,190279,991
770,18,992,6,157608,993
771,7,944,16,64802,994
772,6,995,6,3104,996
773,6,488,13,159644,997
774,12,998,7,114822,999
775,12,1000,15,33711,602
776,11,427,17,122878,1001
777,10,339,24,2173,1002
778,17,1003,15,162483,1004
779,11,1005,16,28071,1006
780,32,689,13,475,1007
781,6,382,5,39819,1008
782,1,387,27,183175,1009
783,11,427,17,122878,964
784,5,1010,5,4281,1011
785,11,307,17,169943,1012
786,11,427,16,122878,1013
787,7,1014,13,37904,1015
788,18,326,21,157807,1016
789,18,1017,16,36191,1018
790,59,512,23,95809,1019
791,8,1020,20,43325,1021
792,12,365,20,13947,1022
793,15,504,19,183739,1023
794,10,1024,13,43203,1025
795,3,942,11,126374,1026
796,7,942,13,126374,1027
797,13,1028,21,158477,1029
798,5,1030,5,2752,1031
799,10,425,9,9090,1032
800,37,564,20,154462,1033
801,20,1034,18,156011,1035
802,6,1005,13,28071,1036
803,9,689,9,475,1037
804,16,1038,11,157195,1039
805,4,1040,14,39988,1041
806,11,927,17,90684,1042
807,8,1043,11,5795,1044
808,12,448,23,2709,1045
809,6,542,9,2923,1046
810,9,448,21,2709,1047
811,19,1048,25,183322,1049
812,8,1043,11,5795,1050
813,11,933,16,91319,1051
814,22,662,10,39854,1052
815,16,339,25,2173,1053
816,5,1054,10,35175,1055
817,20,1056,16,36678,1057
818,7,944,17,64802,1058
819,18,1059,12,174745,1060
820,6,942,13,126374,1061
821,27,1062,15,161731,1063
822,3,471,14,34672,1064
823,16,316,20,27530,1065
824,8,1066,12,56034,1067
825,6,438,10,13700,1068
826,13,436,15,117410,1069
827,12,1070,16,182746,1071
828,13,1072,13,90522,1073
829,15,889,18,119935,1074
830,12,900,13,127587,1075
831,1,919,12,77421,1076
832,11,427,15,122878,718
833,12,316,19,27530,1077
834,22,1078,12,34432,1079
835,29,1080,15,184455,1081
836,12,927,17,90684,1082
837,13,899,12,30110,1083
838,1,1054,9,35175,1084
839,11,922,11,33911,1085
840,9,1086,13,150408,1087
841,14,436,15,117410,1088
842,10,1089,12,40982,1090
843,11,425,9,9090,1091
844,94,1092,21,37422,1093
845,10,425,9,9090,1094
846,9,500,15,125493,1095
847,6,427,14,122878,1096
848,10,316,19,27530,1097
849,8,504,17,183739,1098
850,1,925,7,171994,1099
851,6,504,17,183739,1100
852,17,942,14,126374,1101
853,4,622,12,142828,1102
854,6,448,21,2709,1103
855,85,899,22,30110,1104
856,9,1105,17,3310,1106
857,15,454,5,37903,1107
858,17,609,14,13615,1108
859,5,1109,10,185021,1110
860,4,504,15,183739,1111
861,10,316,17,27530,1112
862,15,316,20,27530,1113
863,6,307,15,169943,1114
864,7,500,14,125493,1115
865,5,504,16,183739,1116
866,5,940,12,15583,1117
867,6,471,14,34672,1118
868,12,1040,17,39988,1119
869,18,1120,22,14637,1121
870,7,471,16,34672,1122
871,13,1123,14,119299,1124
872,12,927,17,90684,1125
873,4,1126,8,159025,1127
874,7,1128,15,166092,1129
875,17,944,19,64802,1130
876,50,564,21,154462,509
877,9,1131,14,29331,1132
878,12,1133,15,184238,1134
879,10,307,16,169943,1135
880,41,1136,22,168505,1137
881,14,927,18,90684,1138
882,7,942,14,126374,1139
883,5,307,15,169943,1114
884,17,309,18,129613,1140
885,19,1141,21,133296,1142
886,22,1143,22,119776,1144
887,20,927,19,90684,1145
888,2,1146,7,66,1147
889,18,975,15,19352,1148
890,13,933,16,91319,1149
891,16,1150,17,176334,1151
892,12,927,18,90684,1152
893,4,316,16,27530,1153
894,11,463,17,188928,1154
895,13,1155,12,187100,1156
896,14,1157,16,118664,1158
897,12,1159,14,12425,1160
898,6,1054,10,35175,1161
899,2,944,14,64802,1162
900,19,1163,20,121874,1164
901,7,1165,12,101772,1166
902,13,1167,11,64683,1097
903,13,1168,18,159614,1169
904,4,1170,13,136610,1171
905,2,1172,17,153741,1173
906,19,1174,13,167832,1175
907,33,1176,16,18197,1177
908,12,922,11,33911,1178
909,5,662,6,39854,1179
910,20,517,13,116567,1180
911,17,309,18,129613,1181
912,14,1182,21,125899,1183
913,9,1030,5,2752,1184
914,28,968,20,182378,1185
915,11,1005,16,28071,1186
916,12,1187,10,135805,1188
917,1,925,7,171994,1189
918,13,917,17,36329,1190
919,10,1191,12,186475,1192
920,6,454,5,37903,1193
921,13,1028,21,158477,1194
922,7,922,10,33911,1195
923,25,326,22,157807,1196
924,30,512,20,95809,1197
925,10,927,17,90684,1198
926,15,1078,10,34432,1199
927,6,448,21,2709,1200
928,20,1157,17,118664,1201
929,16,962,17,95512,1202
930,5,1203,11,18311,1204
931,3,1005,14,28071,1205
932,10,438,13,13700,1206
933,43,1207,16,16529,1208
934,30,1176,15,18197,1209
935,12,1210,15,159835,1211
936,8,927,16,90684,1212
937,14,1213,14,504,1214
938,10,316,19,27530,1215
939,28,944,21,64802,1216
940,1,471,13,34672,1217
