ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
238,30,238,7,1192,239
239,21,240,6,72337,241
240,20,242,6,65958,243
241,59,244,21,38335,245
242,42,246,13,13338,247
243,82,248,10,40071,249
244,43,250,17,47639,251
245,34,252,12,18707,253
246,21,254,12,33555,255
247,54,244,17,38335,256
248,69,257,9,1970,258
249,47,252,13,18707,259
250,20,260,9,42642,261
251,100,262,13,624,263
252,31,264,16,9291,265
253,19,266,5,96478,267
254,45,238,8,1192,268
255,21,266,5,96478,269
256,28,270,15,89897,271
257,50,272,18,49753,273
258,29,274,12,9374,275
259,15,276,7,3239,277
260,38,278,13,85528,279
261,26,274,14,9374,280
262,30,281,15,38301,282
263,46,238,7,1192,283
264,22,284,13,76771,285
265,28,286,7,1599,287
266,5,288,5,113506,289
267,18,290,8,30628,291
268,11,292,18,130363,293
269,51,294,12,9674,295
270,28,296,8,34383,297
271,18,284,14,76771,298
272,67,299,18,44323,300
273,39,301,15,28595,302
274,29,303,8,30390,297
275,28,304,10,37436,305
276,100,290,8,30628,306
277,40,307,17,27766,308
278,35,309,20,72189,310
279,49,311,10,7227,312
280,28,313,17,66910,314
281,73,315,24,35003,316
282,30,317,25,10344,318
283,100,290,8,30628,319
284,47,242,7,65956,320
285,41,321,19,78930,322
286,34,323,21,40803,324
287,35,270,15,89897,325
288,17,326,14,38481,327
289,21,328,7,108869,329
290,11,330,11,11936,331
291,39,326,16,38481,332
292,64,307,17,27766,333
293,16,328,5,108869,334
294,48,311,13,7227,335
295,25,336,14,3884,337
296,16,278,8,85528,338
297,50,339,23,127505,340
298,71,248,9,40071,341
299,23,342,5,72513,343
300,19,344,6,41745,345
301,39,346,6,75510,347
302,30,348,8,73736,349
303,28,350,16,1084,351
304,10,292,18,130363,352
305,23,242,7,65956,353
306,36,354,15,52368,355
307,13,290,8,30628,356
308,14,357,11,103098,358
309,22,328,7,108869,359
310,28,328,7,108869,360
311,60,361,21,129096,362
312,18,346,5,75510,363
313,52,278,15,85528,364
314,100,244,24,38335,365
315,57,299,14,44323,366
316,24,250,14,47639,367
317,31,301,14,28595,368
318,49,369,9,8437,370
319,40,307,16,27766,371
320,24,372,9,112391,373
321,53,374,12,31429,375
322,26,274,14,9374,376
323,100,242,7,65956,377
324,20,378,5,32916,379
325,42,380,13,3210,381
326,32,278,14,85528,382
327,72,383,20,44105,384
328,68,385,18,90582,386
329,19,387,7,613,388
330,18,380,11,3210,389
331,39,390,21,42691,391
332,40,348,8,73736,392
333,60,238,9,1192,393
334,32,264,14,9291,394
335,23,395,5,859,396
336,42,328,7,108869,397
337,15,398,5,1799,399
338,24,248,6,40071,400
339,25,299,14,44323,401
340,22,387,9,613,402
341,100,403,26,45488,404
342,59,405,33,14684,406
343,31,407,12,1412,408
344,13,409,8,56234,410
345,15,411,15,17013,412
346,26,270,12,89897,413
347,34,414,14,124920,415
348,49,270,14,89897,416
349,26,417,22,34035,418
350,27,419,5,44683,420
351,12,421,25,72572,422
352,31,423,9,115084,424
353,23,425,6,17780,426
354,31,323,20,40803,427
355,19,428,7,62750,429
356,55,430,25,58855,431
357,55,303,8,30390,432
358,45,433,13,90369,434
359,20,398,5,1799,435
360,38,436,15,66638,437
361,16,348,8,73736,438
362,47,439,16,13256,440
363,15,330,13,11936,441
364,100,442,12,123966,443
365,32,294,11,9674,444
366,57,278,15,85528,445
367,18,446,15,118964,447
368,43,448,12,20583,449
369,68,450,20,123162,451
370,100,452,24,66460,453
371,67,454,8,81961,455
372,13,456,10,27801,457
373,16,458,8,90845,459
374,9,246,8,25306,460
375,51,274,15,9374,461
376,9,462,12,35005,463
377,10,390,19,42691,464
378,38,465,14,674,466
379,16,467,7,100612,468
380,63,469,16,44103,470
381,19,346,5,75510,471
382,19,472,13,46540,473
383,20,474,22,63198,475
384,18,476,6,29572,477
385,100,290,8,30628,319
386,13,467,6,100612,478
387,24,290,8,30628,479
388,19,480,7,88269,481
389,28,421,25,72572,482
390,39,483,18,33846,484
391,19,485,12,96651,486
392,44,487,14,36140,488
393,67,270,18,89897,489
394,21,490,12,82817,491
395,26,492,19,68878,493
396,51,301,17,28595,494
397,25,425,6,17780,495
398,22,348,8,73736,496
399,32,242,7,65956,497
400,34,498,25,10231,499
401,41,378,5,32916,500
402,16,474,21,63198,501
403,57,380,14,3210,502
404,21,467,8,100612,503
405,32,350,17,1084,504
406,14,505,5,27082,506
407,28,507,6,9182,508
408,20,284,11,76771,509
409,65,442,12,123966,510
410,34,411,17,17013,511
411,39,307,16,27766,512
412,44,513,17,19912,514
413,17,507,5,9182,515
414,56,446,18,118964,516
415,38,465,15,674,517
416,11,518,16,15064,519
417,40,520,15,70808,521
418,100,442,12,123966,522
419,14,523,6,108606,524
420,41,513,20,19912,525
421,22,240,6,72337,526
422,42,436,16,66638,527
423,71,448,15,20583,528
424,19,346,5,75510,529
425,6,288,5,113506,530
426,37,531,10,59760,532
427,60,533,18,13324,534
428,34,535,13,18285,536
429,32,244,19,38335,537
430,58,383,19,44105,538
431,19,387,6,613,539
432,38,433,12,90369,540
433,23,348,8,73736,541
434,28,357,12,103098,542
435,72,385,18,90582,543
436,100,321,24,78930,544
437,67,407,14,1412,545
438,28,380,12,3210,546
439,46,454,7,81961,547
440,39,290,8,30628,548
441,80,290,8,30628,549
442,19,550,11,93251,551
443,68,552,11,931,553
444,100,244,18,38335,554
445,21,266,5,96478,555
446,34,290,8,30628,556
447,58,557,12,105554,558
448,100,559,20,118717,560
449,30,238,8,1192,561
450,59,270,14,89897,562
451,52,563,9,118609,564
452,27,242,7,65956,565
453,6,485,10,96651,566
454,52,454,8,81961,567
455,52,244,19,38335,568
456,34,244,17,38335,569
457,100,307,21,27766,570
458,45,433,16,90369,571
459,41,244,17,38335,572
460,31,346,5,75510,573
461,44,574,16,19236,575
462,51,244,17,38335,576
463,34,307,17,27766,577
464,48,425,8,17780,578
465,24,579,7,1787,580
466,53,264,14,9291,581
467,47,301,15,28595,582
468,38,465,14,674,583
469,13,584,4,75534,585
470,62,304,13,37436,586
471,10,587,5,115054,588
472,23,290,8,30628,589
473,38,387,6,613,590
474,43,498,25,10231,591
475,24,592,12,101562,593
476,26,433,13,90369,594
477,1,595,5,75125,596
478,30,403,21,45488,597
479,31,598,15,93769,599
480,55,262,8,624,600
481,20,290,8,30628,601
482,66,403,24,45488,602
483,52,603,17,94553,604
484,47,290,8,30628,605
485,18,467,7,100612,606
486,32,244,18,38335,607
487,13,608,5,107063,609
488,82,552,15,931,610
489,6,346,5,75510,611
490,22,387,6,613,612
491,26,264,14,9291,613
492,49,614,5,3122,615
493,19,240,6,72337,616
494,31,617,10,66250,618
495,29,274,13,9374,619
496,100,242,7,65956,620
497,46,238,7,1192,621
498,43,622,20,38770,573
499,70,336,16,3884,623
500,50,436,17,66638,624
501,60,262,9,624,625
502,39,626,17,94049,627
503,26,290,8,30628,628
504,15,307,12,27766,629
505,62,380,14,3210,630
506,86,430,27,58855,631
507,27,632,9,25937,633
508,34,557,11,105554,634
509,22,498,25,10231,635
510,29,617,10,66250,636
511,18,574,14,19236,637
512,17,342,6,72513,638
513,21,639,6,71116,640
514,16,290,8,30628,641
515,66,348,8,73736,642
516,13,456,10,27801,643
517,18,644,8,44643,645
518,82,446,18,118964,646
519,28,244,17,38335,647
520,70,284,19,76771,648
521,13,442,7,123966,649
522,21,584,4,75534,650
523,58,342,6,72513,651
524,41,652,11,12736,653
525,24,654,13,31482,655
526,18,656,12,117613,657
527,39,658,10,4679,356
528,10,288,5,113506,659
529,65,660,22,101239,661
530,49,662,13,102527,663
531,42,380,12,3210,664
532,18,344,6,41745,665
533,31,666,15,122423,667
534,100,668,20,13807,669
535,34,670,13,12864,671
536,18,242,7,65956,672
537,14,523,6,108606,673
538,19,348,8,73736,674
539,38,563,10,118609,675
540,34,498,24,10231,676
541,49,677,18,34218,678
542,32,246,14,68991,679
543,15,290,8,30628,680
544,40,421,29,72572,681
545,29,274,14,9374,682
546,25,411,16,17013,683
547,31,307,14,27766,684
548,27,385,15,90582,685
549,65,244,21,38335,686
550,39,687,15,128721,688
551,11,656,11,117613,689
552,25,533,15,13324,690
553,11,411,16,17013,691
554,36,383,16,44105,692
555,34,693,28,96855,694
556,16,695,16,115192,696
557,20,531,7,59760,697
558,15,698,15,129920,699
559,48,278,13,85528,700
560,28,290,8,30628,701
561,29,474,22,63198,702
562,27,262,7,624,703
563,23,704,18,129944,705
564,59,706,27,115886,707
565,13,708,9,1162,709
566,36,383,16,44105,710
567,25,264,16,9291,711
568,12,299,10,44323,712
569,23,342,5,72513,713
570,52,262,7,624,714
571,80,290,8,30628,715
572,22,328,5,108869,716
573,38,498,24,10231,717
574,33,498,23,10231,718
575,18,433,13,90369,719
576,24,436,14,66638,720
577,25,454,6,81961,721
578,24,454,6,81961,722
579,27,290,8,30628,723
580,84,552,15,931,724
581,19,439,13,13256,725
582,24,550,11,93251,726
583,26,264,16,9291,727
584,21,662,10,102527,728
585,100,729,26,83557,730
586,24,677,16,34218,731
587,53,264,15,9291,732
588,21,733,5,34007,734
589,18,656,12,117613,735
590,25,290,8,30628,736
591,39,737,19,15490,738
592,14,421,26,72572,739
593,39,328,6,108869,567
594,22,328,5,108869,740
595,61,387,9,613,741
596,75,264,15,9291,742
597,53,264,19,9291,743
598,40,252,10,18707,744
599,69,559,20,118717,745
600,15,746,4,110578,747
601,100,270,23,89897,748
602,79,454,10,81961,749
603,12,750,5,1302,751
604,10,288,5,113506,752
605,80,552,15,931,753
606,65,278,16,85528,754
607,24,250,18,47639,755
608,16,756,15,73657,757
609,32,244,19,38335,758
610,53,264,19,9291,759
611,14,421,26,72572,760
612,8,296,8,34383,761
613,34,762,27,120033,763
614,11,764,9,19981,765
615,28,278,12,85528,766
616,70,290,8,30628,767
617,23,768,10,74725,769
618,24,454,7,81961,770
619,82,390,24,42691,771
620,24,290,6,34421,772
621,23,454,7,81961,773
622,79,756,20,73657,774
623,62,290,8,30628,775
624,47,403,23,45488,776
625,33,777,37,43158,778
626,46,779,32,100507,780
627,17,403,20,45488,781
628,40,252,10,18707,782
629,14,783,5,48125,784
630,24,785,13,85070,786
631,10,787,5,115350,788
632,49,405,33,14684,789
633,84,552,15,931,790
634,38,791,19,78446,792
635,15,793,18,237,794
636,10,342,8,75871,795
637,85,294,15,9674,796
638,10,787,5,115350,797
639,9,290,6,34421,798
640,47,317,27,10344,799
641,31,800,16,120286,801
642,57,802,19,53323,803
643,50,272,17,49753,804
644,24,805,7,9082,806
645,52,559,20,118717,807
646,30,421,28,72572,808
647,30,342,6,72513,809
648,30,403,21,45488,810
649,21,403,20,45488,811
650,6,812,5,113679,813
651,100,294,18,9674,814
652,10,787,5,115350,815
653,12,411,18,17013,816
654,42,817,29,66066,818
655,14,357,10,103098,819
656,30,820,16,10205,821
657,27,820,17,10205,822
658,41,535,15,18285,823
659,45,535,15,18285,824
660,37,411,20,17013,825
661,53,301,20,28595,826
662,21,827,15,94547,828
663,13,829,11,16040,830
664,31,829,14,16040,831
665,48,274,15,9374,832
666,26,274,13,9374,833
667,26,274,14,9374,834
668,11,411,16,17013,835
669,15,836,8,67848,837
670,14,783,5,48125,838
671,21,290,8,30628,839
672,34,840,17,122946,841
673,23,436,16,66638,842
674,18,290,8,30628,843
675,18,793,18,237,844
676,30,845,26,123631,846
677,24,708,9,1162,847
678,16,421,29,72572,848
679,32,729,12,83557,849
680,50,454,8,81961,850
681,29,851,14,64214,852
682,59,403,23,45488,853
683,40,246,12,13338,854
684,53,264,14,9291,855
685,28,421,28,72572,856
686,81,244,24,38335,857
687,41,858,29,87996,859
688,39,326,18,38481,860
689,39,861,9,98055,862
690,91,863,12,2233,864
691,51,342,6,72513,865
692,53,270,14,89897,866
693,50,867,31,1812,868
694,52,425,8,17780,869
695,60,870,16,89896,871
696,39,872,5,50451,873
697,27,874,18,120980,875
698,13,346,5,75510,876
699,16,877,7,3724,878
700,26,264,16,9291,879
701,62,880,9,120899,881
702,19,383,17,44105,882
703,21,817,26,66066,883
704,27,442,9,123966,884
705,35,250,16,47639,885
706,55,886,11,12745,887
707,31,870,15,89896,888
708,44,483,22,33846,889
709,13,793,18,237,890
710,8,891,10,96225,892
711,24,817,24,66066,893
712,22,894,10,106348,895
713,66,262,9,624,896
714,11,307,15,27766,897
715,72,898,13,123584,899
716,25,900,5,65113,901
717,68,791,22,78446,902
718,14,903,5,43843,904
719,54,294,13,9674,905
720,46,380,16,3210,906
721,39,446,18,118964,907
722,21,908,9,81459,909
723,29,851,15,64214,910
724,14,421,29,72572,911
725,28,877,18,129775,912
726,15,913,7,7283,914
727,16,498,22,10231,915
728,19,916,7,92068,917
729,19,698,9,93547,918
730,66,632,14,25937,919
731,44,274,18,9374,920
732,21,442,10,123966,921
733,26,326,17,38481,922
734,75,923,16,106018,924
735,36,307,14,27766,925
736,49,262,8,624,926
737,52,244,22,38335,927
738,28,928,19,62368,929
739,42,520,14,70808,930
740,1,931,10,16595,932
741,65,244,22,38335,933
742,75,270,18,89897,934
743,72,281,19,38301,935
744,16,278,13,85528,936
745,25,937,9,124842,938
746,31,939,8,109984,940
747,48,442,11,123966,941
748,16,942,10,76459,943
749,32,323,19,40803,944
750,65,244,23,38335,945
751,35,307,18,27766,946
752,32,260,11,42642,947
753,12,383,16,44105,948
754,35,474,24,63198,949
755,30,777,34,43158,950
756,51,274,18,9374,951
757,35,299,14,44323,952
758,52,244,16,38335,953
759,43,954,9,1247,955
760,33,383,18,44105,956
761,8,458,8,90845,957
762,17,290,8,30628,958
763,40,959,11,125147,960
764,25,421,29,72572,961
765,25,962,17,43416,963
766,29,550,13,93251,964
767,34,278,14,85528,965
768,59,966,27,62382,967
769,23,454,7,81961,968
770,45,969,17,99384,970
771,16,971,21,17375,972
772,19,973,9,74139,974
773,13,975,5,115138,477
774,15,976,15,26935,977
775,32,978,15,102850,979
776,27,244,23,38335,980
777,54,981,6,115755,982
778,37,983,22,12160,955
779,91,403,26,45488,984
780,39,985,6,114468,986
781,27,467,9,100612,987
782,29,988,13,20040,989
783,71,976,20,26935,990
784,87,407,15,1412,991
785,76,498,27,10231,992
786,32,244,19,38335,993
787,11,409,8,56234,994
788,44,483,22,33846,995
789,52,262,8,624,996
790,45,997,15,40285,998
791,9,380,10,3210,999
792,76,326,21,38481,1000
793,22,421,31,72572,1001
794,17,698,9,93547,1002
795,42,1003,16,34994,1004
796,18,421,29,72572,1005
797,25,425,7,17780,1006
798,53,281,17,38301,1007
799,54,446,19,118964,1008
800,28,301,18,28595,1009
801,23,425,6,17780,1010
802,46,425,7,17780,1011
803,21,380,13,3210,1012
804,24,550,13,93251,1013
805,42,829,15,16040,1014
806,29,851,14,64214,1015
807,30,281,14,38301,1016
808,27,1017,13,123330,1018
809,31,1019,12,77076,1020
810,62,592,17,101562,1021
811,45,997,14,40285,1022
812,65,244,23,38335,1023
813,57,272,17,49753,1024
814,17,867,29,1812,1025
815,31,1026,13,91899,1027
816,69,354,12,52368,1028
817,13,988,11,20040,1029
818,54,250,19,47639,1030
819,43,339,23,127505,1031
820,34,498,24,10231,1032
821,30,278,13,85528,1033
822,45,281,16,38301,1034
823,96,262,11,624,1035
824,50,274,15,9374,905
825,26,250,16,47639,1036
826,69,448,15,20583,701
827,58,425,8,17780,1037
828,31,307,17,27766,1038
829,61,328,8,108869,1039
830,21,937,9,124842,1040
831,16,299,14,44323,1041
832,52,290,8,30628,1042
833,36,729,13,83557,1043
834,30,246,12,13338,1044
835,66,250,21,47639,1045
836,24,303,8,30390,1046
837,12,708,8,1162,1047
838,44,307,14,27766,1048
839,26,1049,16,38193,1050
840,23,1051,19,85635,1052
841,13,793,18,237,1053
842,31,1054,7,41804,1055
843,33,1056,10,93555,1057
844,50,278,15,85528,1058
845,63,793,24,237,1059
846,31,851,15,64214,1060
847,7,1061,7,41603,1062
848,47,1063,22,72426,1064
849,26,666,15,122423,1065
850,57,446,19,118964,1066
851,43,403,22,45488,712
852,28,1067,10,122190,1068
853,19,1069,17,12419,1070
854,52,244,19,38335,1071
855,69,284,17,76771,1072
856,77,278,16,85528,1073
857,38,916,7,92068,1074
858,19,978,12,102850,1075
859,30,1076,14,9183,1077
860,26,244,19,38335,1078
861,94,290,8,30628,1079
862,24,309,20,72189,1080
863,45,446,18,118964,1081
864,18,346,5,75510,1082
865,43,442,10,123966,1083
866,26,380,12,3210,1084
867,28,290,8,30628,1085
868,60,385,19,90582,1086
869,15,1063,19,72426,1087
870,26,1088,7,108172,1089
871,38,428,10,62750,1090
872,38,307,19,27766,1091
873,40,487,14,36140,1092
874,26,383,17,44105,1093
875,40,417,22,34035,1094
876,40,390,23,42691,1095
877,41,1096,13,14394,1097
878,46,387,9,613,1098
879,54,446,18,118964,1099
880,45,1100,27,4025,1101
881,15,520,12,70808,1102
882,33,380,14,3210,1103
883,44,626,18,94049,1104
884,39,336,17,3884,1105
885,26,677,16,34218,1106
886,32,266,7,96478,1009
887,24,851,15,64214,1107
888,33,1108,16,116725,1109
889,21,1110,8,29395,1111
890,15,1112,9,76089,1113
891,23,436,17,66638,1114
892,45,284,18,76771,1115
893,32,387,8,613,1116
894,38,278,14,85528,1117
895,28,729,12,83557,1118
896,42,791,20,78446,1119
897,25,1120,10,102171,1121
898,31,660,19,101239,1122
899,18,383,16,44105,384
900,50,405,33,14684,1123
901,24,817,26,66066,798
902,26,1124,11,17666,1125
903,32,323,19,40803,1126
904,43,436,18,66638,1127
905,56,425,8,17780,1128
906,43,923,14,106018,1129
907,32,954,8,1247,1130
908,18,284,13,76771,1131
909,35,374,12,31429,1132
910,95,1133,30,1865,1134
911,24,250,15,47639,1135
912,32,1136,13,44636,1137
913,53,264,20,9291,1138
914,29,851,15,64214,1139
915,63,339,24,127505,1140
916,27,632,10,25937,1141
917,26,939,8,109984,1142
918,36,498,24,10231,1143
919,51,307,14,27766,1144
920,18,380,12,3210,884
921,67,294,14,9674,1145
922,34,805,8,9082,1146
923,47,791,22,78446,1147
924,46,520,15,70808,1148
925,29,851,15,64214,1149
926,46,552,12,931,1150
927,14,520,12,70808,1151
928,24,550,11,93251,1152
929,77,552,14,931,1153
930,14,290,8,30628,1154
931,27,467,8,100612,1155
932,36,278,14,85528,1156
933,28,777,34,43158,1157
934,13,1158,5,5789,1159
935,34,442,8,123966,1160
936,25,1112,11,76089,1161
937,48,380,16,3210,1162
938,63,1163,13,81582,1164
939,9,1165,37,67316,1166
940,19,820,18,10205,1167
941,30,336,17,3884,1168
942,57,632,13,25937,1169
943,28,687,15,128721,1170
944,33,817,25,66066,1171
945,38,1172,9,28247,1173
