ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
392,46,392,11,482197,393
393,18,394,8,313957,395
394,13,396,16,358564,397
395,25,398,9,339418,399
396,11,400,5,324274,401
397,19,402,6,182244,403
398,18,404,11,27463,405
399,8,406,9,58899,407
400,41,408,11,313722,409
401,10,410,16,68058,411
402,30,412,13,197991,413
403,30,414,11,39408,415
404,31,416,7,41004,417
405,19,418,10,464426,419
406,28,420,10,361600,421
407,13,422,5,110255,423
408,56,424,11,470811,425
409,13,426,5,107431,427
410,20,428,5,459259,429
411,27,430,11,432707,431
412,44,432,13,104039,433
413,68,434,8,288927,435
414,15,436,13,247382,437
415,36,438,4,202016,439
416,34,394,10,313957,440
417,44,441,8,45286,442
418,19,443,7,101528,444
419,42,445,13,105047,446
420,13,447,7,301682,448
421,9,449,6,61529,450
422,19,451,10,437571,452
423,22,453,6,36903,454
424,19,455,13,477352,456
425,30,457,10,132028,458
426,19,459,9,446391,460
427,28,461,8,17585,462
428,31,463,7,131075,464
429,37,465,9,70105,466
430,18,467,9,36879,468
431,43,469,9,468235,470
432,20,471,11,245572,472
433,30,473,7,109873,474
434,33,475,8,260513,476
435,22,477,5,56912,478
436,35,479,8,427939,480
437,30,481,9,452195,482
438,14,483,8,335899,484
439,21,485,7,287861,486
440,25,457,8,132028,487
441,13,488,7,54559,489
442,45,455,15,477352,490
443,11,491,5,98740,492
444,21,493,6,131422,494
445,13,495,5,50860,496
446,26,497,5,384465,498
447,33,420,10,361600,499
448,43,500,12,395967,501
449,38,414,11,39408,502
450,23,503,7,131561,504
451,19,505,7,334088,506
452,41,507,15,478353,508
453,18,509,5,303818,510
454,33,511,10,434530,512
455,60,513,15,355623,514
456,20,515,11,482860,516
457,20,517,11,327426,518
458,69,519,16,466866,520
459,19,521,12,243912,522
460,50,523,9,277211,524
461,41,525,9,365331,526
462,30,527,5,441979,528
463,20,529,6,39889,530
464,12,531,5,121530,532
465,23,533,13,72120,534
466,20,535,6,314914,536
467,33,457,9,132028,537
468,20,538,8,108523,539
469,28,457,7,132028,540
470,17,541,9,446393,542
471,31,543,8,84084,544
472,41,545,6,45301,546
473,77,547,12,131894,548
474,11,549,18,104120,550
475,36,551,11,43308,552
476,18,535,5,314914,553
477,18,554,8,184852,555
478,37,477,5,56912,556
479,49,422,7,110255,557
480,21,558,11,480559,559
481,16,560,5,342238,561
482,19,562,7,426047,563
483,10,564,7,70801,565
484,53,566,8,104256,567
485,16,488,7,54559,568
486,34,569,6,333653,570
487,8,571,5,294849,572
488,9,573,5,360635,574
489,31,575,11,42044,576
490,57,577,7,115385,578
491,23,579,8,103653,580
492,25,581,6,338297,582
493,13,583,9,377428,584
494,14,585,5,106529,586
495,16,587,6,376710,588
496,49,589,9,371962,590
497,25,591,9,122864,592
498,33,447,9,301682,593
499,20,594,6,51615,595
500,7,596,6,396447,597
501,24,538,8,108523,598
502,20,599,11,395702,600
503,24,601,9,16978,602
504,35,535,9,314914,603
505,17,604,9,394780,605
506,17,606,7,369410,607
507,60,608,12,440359,609
508,5,535,5,314914,610
509,20,611,9,469613,612
510,21,613,5,311980,614
511,90,615,13,308807,616
512,34,481,9,452195,617
513,20,577,7,115385,618
514,30,619,7,125210,620
515,19,621,10,74927,622
516,32,623,6,120008,624
517,11,625,14,102304,626
518,100,481,15,452195,627
519,19,628,5,287322,629
520,11,630,8,358025,631
521,86,632,11,181492,633
522,39,634,14,378549,635
523,30,558,14,480559,636
524,14,436,12,247382,637
525,32,638,11,384938,639
526,53,640,8,106635,641
527,14,642,10,313937,643
528,42,644,8,390797,645
529,54,646,9,446145,647
530,29,648,9,68493,649
531,56,650,14,465386,651
532,23,652,12,27769,653
533,42,654,12,394774,655
534,30,577,7,115385,656
535,19,657,8,107438,658
536,22,659,9,343162,508
537,8,660,8,453472,661
538,30,625,14,102304,662
539,16,663,7,115396,664
