ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
260,17,260,10,1995,261
261,10,262,21,7011,263
262,22,264,14,340,265
263,13,266,11,6283,267
264,10,268,10,6105,269
265,7,270,9,3644,271
266,39,272,13,1920,273
267,17,274,15,5426,275
268,21,276,5,2162,277
269,8,278,12,1015,279
270,18,280,14,1893,281
271,22,282,14,1857,283
272,15,284,13,1922,285
273,8,270,11,3644,286
274,7,287,8,808,288
275,21,289,5,184,290
276,11,291,15,343,292
277,12,293,14,1962,294
278,14,295,14,1892,296
279,38,297,12,6264,298
280,24,299,7,3359,300
281,15,301,10,8726,302
282,16,303,16,1689,304
283,76,305,24,6272,306
284,34,291,16,343,307
285,8,308,15,791,309
286,26,310,20,5424,311
287,100,312,2,2192,313
288,8,314,8,807,315
289,36,305,20,6272,316
290,14,317,15,1894,318
291,9,270,9,3644,319
292,11,320,16,1981,321
293,12,322,19,6541,323
294,18,324,14,9440,325
295,9,326,17,1996,327
296,100,328,28,1895,329
297,21,330,12,271,331
298,16,332,10,4459,333
299,21,334,15,44,335
300,11,336,9,167,337
301,10,299,6,3359,338
302,11,339,10,339,340
303,21,341,9,8446,342
304,7,278,10,1015,343
305,44,297,13,6264,344
306,16,301,10,8726,345
307,29,270,10,3644,346
308,42,324,14,9440,267
309,11,301,11,8726,347
310,8,326,17,1996,348
311,14,349,12,6295,350
312,13,351,17,6193,352
313,20,284,13,1922,353
314,16,354,18,6341,355
315,15,356,13,6275,357
316,54,358,22,6023,359
317,31,360,23,849,361
318,15,362,7,6810,277
319,20,363,13,678,364
320,100,324,20,9440,365
321,12,293,13,1962,366
322,14,367,10,165,368
323,45,369,13,2000,370
324,21,334,15,44,371
325,84,312,2,2192,372
326,36,373,12,6279,374
327,22,375,12,6277,376
328,26,377,13,149,378
329,11,362,7,6810,379
330,41,380,17,8537,381
331,10,382,8,3357,383
332,15,287,9,808,384
333,15,312,2,2192,385
334,63,375,15,6277,386
335,26,387,13,5668,388
336,40,389,8,2762,390
337,23,375,13,6277,391
338,46,392,18,1585,393
339,17,339,10,339,394
340,9,395,9,7572,396
341,34,397,17,1896,398
342,59,399,12,3337,400
343,57,401,5,6788,402
344,21,403,13,1654,404
345,12,405,13,276,406
346,27,351,22,6193,407
347,30,408,8,3474,409
348,16,410,6,5223,411
349,33,310,21,5424,412
350,14,410,6,5223,413
351,10,284,12,1922,414
352,44,272,12,1920,415
