ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
388,20,388,15,39968,389
389,100,390,17,109310,391
390,60,392,8,316280,393
391,34,394,9,270832,395
392,14,396,6,61422,397
393,100,398,8,437613,399
394,30,400,5,377726,401
395,12,402,9,469844,403
396,11,404,6,449561,405
397,19,406,5,381933,407
398,22,408,18,198605,409
399,21,410,11,23437,411
400,67,412,8,121595,413
401,19,414,5,333515,415
402,24,416,14,42126,417
403,16,418,5,100446,419
404,28,420,10,461024,421
405,43,422,12,325949,423
406,79,424,14,202774,425
407,11,426,7,475084,427
408,22,428,10,7488,429
409,29,428,11,7488,430
410,25,431,7,315305,432
411,55,433,6,186669,434
412,30,435,5,100451,436
413,38,437,6,394371,438
414,19,439,16,245844,440
415,18,441,5,7618,442
416,35,412,8,121595,443
417,30,444,6,181667,445
418,22,446,8,42070,447
419,29,448,7,324700,449
420,24,450,6,36284,451
421,13,452,5,304914,453
422,34,454,7,337859,455
423,60,456,7,16941,457
424,54,458,12,198321,459
425,44,460,7,253647,461
426,45,462,0,434295,463
427,24,414,5,333515,464
428,56,465,11,116370,466
429,30,444,6,181667,467
430,6,468,5,327042,469
431,62,470,20,341988,471
432,26,472,6,61337,473
433,18,474,10,61793,475
434,34,476,11,452197,477
435,79,418,7,100446,478
436,8,479,7,38205,480
437,9,481,6,366543,482
438,100,483,12,29555,484
439,21,485,9,444854,486
440,47,487,7,115387,488
441,51,489,5,331163,490
442,35,491,11,198209,492
443,51,493,8,250292,494
444,18,495,18,50663,496
445,40,497,8,121980,498
446,38,499,7,454479,500
447,31,501,8,428225,502
448,36,503,10,42244,504
449,8,408,16,198605,505
450,11,491,10,198209,506
451,24,507,6,44214,478
452,24,508,8,105239,509
453,14,510,8,37922,511
454,100,512,20,452852,513
455,33,514,12,182895,515
456,37,516,7,84583,517
457,14,518,6,101279,519
458,24,520,4,102268,521
459,50,522,12,42783,523
460,39,524,9,45126,525
461,62,526,7,302580,527
462,66,528,19,396306,529
463,62,530,7,66589,531
464,26,532,5,45552,533
465,15,534,5,197817,535
466,53,536,5,437112,537
467,57,538,6,426595,539
468,75,540,12,426547,541
469,30,542,7,29588,543
470,17,544,8,38064,545
471,33,546,7,112981,547
472,23,548,7,255242,549
473,29,550,12,181615,551
474,18,546,6,112981,552
