ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
624,48,624,9,46005,625
625,30,626,8,36496,627
626,30,628,17,37318,629
627,44,624,9,46005,630
628,35,631,6,23586,632
629,39,633,12,2594,634
630,23,635,9,22453,636
631,38,637,10,22201,638
632,30,639,8,14444,640
633,18,641,7,85862,642
634,13,643,7,8759,644
635,29,645,19,109951,646
636,19,647,11,39600,648
637,21,649,11,109806,650
638,100,651,7,33899,652
639,18,653,14,9808,654
640,34,655,12,40403,656
641,9,657,13,23172,658
642,29,659,19,33931,660
643,82,661,26,23788,662
644,41,663,10,46034,664
645,44,665,7,46010,666
646,14,667,12,97217,668
647,79,669,13,34683,670
648,20,671,19,23240,672
649,10,673,8,89726,674
650,26,675,20,78013,676
651,21,677,10,112256,678
652,20,679,11,36182,680
653,19,681,8,36102,682
654,31,683,9,46088,684
655,10,685,18,33555,686
656,46,687,10,11825,688
657,40,689,7,19985,690
658,25,691,17,28895,692
659,59,633,12,2594,693
660,30,694,8,21638,695
661,54,696,8,20538,697
662,40,698,7,20535,699
663,17,700,12,76465,701
664,100,651,7,33899,652
665,12,702,14,16160,703
666,31,704,8,21643,705
667,28,706,9,36134,707
668,36,708,19,25007,709
669,12,710,10,106262,711
670,18,712,15,92744,713
671,36,714,11,3541,715
672,19,716,16,80530,717
673,26,718,9,22195,719
674,25,720,12,35013,721
675,24,722,15,102378,723
676,36,724,9,14489,725
677,27,726,13,77746,727
678,18,728,11,15891,729
679,15,730,7,21384,731
680,35,732,13,34314,733
681,30,734,20,34032,735
682,36,736,9,432,737
683,48,738,10,36495,739
684,31,740,18,92388,741
685,19,742,12,38731,743
686,16,744,7,89728,745
687,13,746,7,15902,747
688,16,748,14,16604,749
689,13,750,12,62578,751
690,35,752,6,21606,753
691,44,754,9,36077,755
692,16,756,9,106380,757
693,72,758,11,23594,759
694,20,760,11,34536,761
695,16,762,11,8120,763
696,16,764,19,20635,765
697,30,766,15,20887,767
698,40,768,10,46081,769
699,15,647,12,39600,770
700,26,771,17,21921,772
701,30,773,6,14618,774
702,18,775,8,19505,776
703,16,777,9,106518,778
704,24,779,15,13266,780
705,46,781,10,11817,782
706,86,783,5,34563,784
707,19,785,15,80461,786
708,15,787,10,13774,788
709,50,789,9,10724,790
710,29,791,12,22025,792
711,16,793,11,82538,794
712,27,795,9,1815,796
713,32,797,6,14104,798
714,23,799,13,38848,800
715,28,801,7,33898,802
716,19,803,15,47625,804
717,21,748,16,16604,805
718,30,700,13,76465,806
719,25,807,18,38857,808
720,32,809,15,22507,810
721,22,811,6,80939,812
722,33,647,13,39600,813
723,30,700,13,76465,814
724,98,815,11,36126,816
725,28,817,12,15842,818
726,57,801,7,33898,819
727,16,820,5,85951,821
728,18,803,16,47625,822
729,37,823,13,102652,824
730,49,825,12,36090,826
731,16,827,10,14008,828
732,99,669,7,34683,829
733,20,830,12,101652,831
734,35,830,13,101652,832
735,53,833,8,46023,834
736,49,835,17,24068,836
737,20,837,23,100096,838
738,100,783,7,34563,839
739,26,840,8,3057,841
740,40,842,8,14162,843
741,20,844,16,45862,845
742,20,846,15,110021,847
743,22,779,16,13266,848
744,16,849,13,90444,850
745,20,851,20,108046,852
746,90,853,7,34570,854
747,28,855,15,21329,856
748,33,857,8,21625,858
749,14,764,18,20635,859
750,18,712,15,92744,860
751,52,861,13,36477,862
752,19,863,17,78990,864
753,32,809,15,22507,865
754,23,866,14,88226,867
755,22,868,12,12593,869
756,25,870,7,46072,871
757,32,872,8,21889,873
758,18,874,5,95507,875
759,26,876,6,21530,877
760,21,878,13,96903,879
761,16,694,7,21638,880
762,42,881,9,21908,882
763,17,712,15,92744,883
764,35,884,24,82472,885
765,18,807,17,38857,886
766,29,887,10,36139,888
767,37,889,8,11733,890
768,6,891,8,84165,892
769,20,893,8,34280,894
770,17,895,8,90029,896
771,28,897,19,105516,898
772,54,899,8,20528,900
773,44,901,10,11819,902
774,19,903,8,22210,904
775,40,905,15,78387,906
776,34,639,8,14444,907
777,15,908,6,21702,909
778,22,910,12,61577,911
779,17,912,12,39605,913
780,37,732,13,34314,914
781,19,915,13,84508,916
782,35,917,8,36074,918
783,16,919,8,36130,920
784,46,921,18,36190,922
785,11,923,11,40135,632
786,12,924,8,30287,925
787,18,926,6,20109,927
788,47,928,13,23060,929
789,20,930,11,98996,931
790,31,823,13,102652,932
791,40,815,7,36126,933
792,28,783,5,34563,934
793,27,691,17,28895,935
794,24,936,12,75934,937
795,33,938,9,13224,939
796,25,940,13,19807,941
797,42,942,9,47109,943
798,17,944,7,104870,945
799,39,825,12,36090,946
800,73,738,12,36495,947
801,39,948,9,36136,949
802,30,950,13,78356,951
803,44,942,9,47109,952
804,38,726,14,77746,953
805,37,954,20,40494,955
806,23,803,16,47625,956
807,16,912,12,39605,957
808,32,915,14,84508,958
809,40,768,11,46081,959
810,65,960,12,14610,961
811,61,962,10,46033,963
812,21,803,16,47625,964
813,16,965,12,92295,966
814,22,967,13,39723,968
815,13,748,14,16604,969
816,39,970,9,38631,971
817,42,972,11,33957,973
818,20,974,14,112246,975
819,100,976,7,36140,977
820,19,978,13,39663,979
821,16,980,10,34599,981
822,20,720,11,35013,982
823,51,983,24,108285,984
824,54,985,10,56859,986
825,16,987,15,102375,988
826,33,989,17,21315,990
827,25,700,14,76465,991
828,19,992,15,47553,993
829,28,994,8,975,995
830,20,996,20,82733,997
831,18,998,12,19368,999
832,44,1000,12,35799,1001
833,37,1002,15,36207,1003
834,28,732,13,34314,1004
835,18,1005,8,108374,1006
836,35,1007,14,36127,1008
837,18,930,11,98996,1009
838,40,1010,7,46014,1011
839,20,897,18,105516,1012
840,30,809,16,22507,1013
841,13,1014,12,9661,1015
842,36,1016,8,46087,1017
843,34,899,7,20528,1018
844,17,1019,8,90336,1020
845,39,1021,19,92515,1022
846,23,1023,12,107911,1024
847,12,1025,9,38832,1026
848,38,1027,9,15062,1028
849,27,1029,8,22320,1030
850,50,1031,10,14682,1032
851,22,1033,18,99495,1034
852,19,1035,6,105545,1036
853,36,1037,19,96214,1038
854,31,1039,15,11899,1040
855,100,651,16,33899,1041
856,16,1042,7,16015,1043
857,18,1044,18,106975,1045
858,38,1046,8,40411,1047
859,11,1048,11,1418,1049
860,36,1050,15,16181,1051
861,28,1052,12,11930,1053
862,47,1054,8,1949,1055
863,72,1056,10,12960,1057
864,36,1058,12,36113,1059
865,41,1060,6,22410,1061
866,23,1062,20,10809,1063
867,47,1064,9,14348,1065
868,20,1066,14,39780,1067
869,30,1068,16,20497,1069
870,15,1070,18,80212,1071
871,19,1072,11,39210,1073
872,33,1074,11,2318,1075
873,28,1076,19,99899,1077
874,27,1078,9,47531,1079
875,67,1080,9,45994,1081
876,24,1082,9,22712,1083
877,40,1084,8,36088,1085
878,49,1086,8,46007,1087
879,17,1088,19,91153,1089
880,19,691,14,28895,1090
881,10,1091,12,106297,1092
882,60,1093,22,21319,1094
883,61,1095,16,76488,1096
884,25,1097,8,22456,1098
885,20,1099,12,35494,1100
886,46,1101,10,46078,1102
887,28,671,20,23240,1103
888,30,1104,11,19957,1105
889,22,1106,18,108015,1107
890,20,1108,12,104375,1109
891,65,1110,15,76492,1111
892,22,1112,11,93339,1109
893,16,1113,7,77791,1114
894,29,698,6,20535,1115
895,37,960,9,14610,1116
896,34,1117,6,8074,1118
897,38,1119,10,22527,1120
898,31,663,10,46034,1121
899,42,1122,9,46021,1123
900,24,1014,13,9661,1124
901,16,1021,16,92515,1125
902,27,1126,24,80599,1127
903,26,1128,11,74929,1129
904,35,1130,9,13496,1131
905,40,1132,13,97069,1133
906,17,849,14,90444,1134
907,31,1135,8,14494,1136
908,28,785,16,80461,1137
909,17,1138,6,15681,1139
910,24,1140,11,13626,1141
911,25,1128,11,74929,1142
912,18,1143,10,103753,1144
913,47,1145,10,37803,1146
914,28,1147,14,106631,1148
915,21,1149,14,45503,1150
916,20,1151,13,87202,1152
917,26,1153,7,81248,1154
918,25,1155,9,81813,1156
919,53,1157,17,109997,1158
920,22,1056,7,12960,1159
921,37,689,8,19985,1160
922,28,1161,18,2613,1162
923,32,1163,7,12876,1164
924,57,655,12,40403,1165
925,19,830,12,101652,1166
926,18,1167,11,106227,1168
927,15,1169,13,111897,1170
928,35,825,11,36090,1171
929,30,1135,8,14494,1172
930,28,1173,7,21892,1174
