ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
446,46,444,12,374429,445
447,18,446,16,38025,447
448,65,448,7,344923,449
449,44,450,12,465296,451
450,15,452,9,377471,453
451,17,454,13,312819,455
452,24,456,10,454463,457
453,23,458,5,74176,459
454,33,460,15,20241,461
455,23,462,16,101905,463
456,19,464,32,372125,465
457,27,452,11,377471,466
458,36,467,5,388572,468
459,53,469,16,108082,470
460,45,471,8,10060,472
461,28,473,5,347836,474
462,18,475,5,339076,476
463,53,477,12,38628,478
464,51,479,7,38139,480
465,21,481,11,476925,482
466,16,483,7,33934,484
467,66,485,5,381659,486
468,33,487,12,264993,488
469,21,489,5,441601,490
470,14,491,6,338155,492
471,77,493,26,283154,494
472,92,495,15,377237,496
473,43,497,7,123259,498
474,27,499,17,367280,500
475,20,501,11,43959,502
476,77,503,13,43254,504
477,36,505,8,123503,506
478,26,507,6,23248,508
479,45,450,15,465296,509
480,55,510,18,283615,511
481,100,512,23,38055,513
482,31,514,9,42039,515
483,30,516,5,39542,517
484,100,518,24,43423,519
485,100,520,12,29600,521
486,93,522,11,425899,523
487,23,524,4,331725,525
488,21,526,11,458005,527
489,11,528,9,41276,529
490,38,530,14,132476,531
491,46,532,10,252633,533
492,20,534,5,171347,535
493,21,536,6,39882,537
494,28,538,12,40229,539
495,100,540,19,366986,541
496,19,542,5,131100,543
497,27,544,5,117958,545
498,27,546,7,451257,547
499,43,548,10,14223,549
500,45,550,5,363062,551
501,39,552,12,279197,553
502,33,554,9,466319,555
503,19,556,15,37259,557
504,45,558,6,347349,559
505,20,560,11,38364,561
506,100,562,17,25817,563
507,19,564,10,57647,565
508,31,566,7,31402,567
509,17,568,8,431045,569
510,20,570,14,396529,571
511,100,572,14,99050,573
512,77,574,10,63705,575
513,24,576,22,341801,577
514,70,578,11,6114,579
515,19,580,7,327783,581
516,28,582,7,37292,583
517,53,584,21,130733,585
518,38,586,7,132331,587
519,22,588,7,397944,589
520,34,590,5,38374,591
521,37,546,7,451257,592
522,31,593,14,348938,594
523,100,595,25,463217,596
524,66,597,8,454552,598
525,26,599,11,472223,600
526,23,601,7,16924,602
527,22,603,5,453686,604
528,39,605,9,39018,606
529,48,607,13,107917,608
530,36,609,15,110714,610
531,30,611,10,41640,612
532,100,613,20,40481,614
533,26,615,6,71776,616
534,100,617,13,426576,618
535,28,619,11,398008,620
536,18,621,5,305960,622
537,37,623,0,434309,624
538,31,458,5,74176,625
539,23,477,10,38628,626
540,20,627,8,41199,628
541,44,629,9,282502,630
542,28,631,11,14629,632
543,23,633,7,9699,634
544,30,635,7,452987,636
545,20,516,5,39542,637
546,31,638,5,10113,639
547,45,640,5,321236,641
548,15,642,9,11128,643
549,64,644,21,20935,645
550,27,646,8,123590,647
551,18,648,5,11105,649
552,16,650,4,110570,651
553,17,652,7,116575,653
554,33,654,13,10950,655
555,33,656,14,36789,657
556,15,658,7,6430,659
557,36,660,6,39310,661
558,32,662,13,443436,663
559,41,664,13,335046,665
560,47,532,11,252633,666
561,53,667,7,74373,668
562,18,669,6,185059,670
563,39,487,13,264993,671
564,28,477,10,38628,672
565,27,673,19,184505,674
566,31,605,9,39018,675
567,18,676,6,43052,677
568,21,678,7,80131,679
569,24,680,7,306662,681
570,14,682,8,455081,683
571,35,684,18,82277,685
572,100,686,10,393722,687
573,63,688,14,322570,689
574,28,690,7,80156,691
575,51,692,9,101870,693
576,25,694,5,38061,695
