ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
446,8,446,11,1367,447
447,10,448,7,2361,449
448,12,450,10,11083,451
449,31,452,32,13586,453
450,11,454,5,2362,455
451,6,456,11,3152,457
452,10,458,10,12663,459
453,7,460,6,5190,461
454,34,462,30,465,463
455,7,464,9,1061,465
456,29,466,17,16802,467
457,11,468,8,1057,469
458,8,470,5,344,471
459,13,472,13,12314,473
460,10,448,7,2361,474
461,29,454,5,2362,475
462,12,476,16,2568,477
463,10,448,7,2361,478
464,12,454,5,2362,479
465,26,480,22,1443,481
466,29,482,22,12479,483
467,3,484,8,16240,485
468,15,486,21,2740,487
469,7,488,14,6377,489
470,6,486,16,2740,490
471,6,491,15,11067,492
472,20,493,22,10394,494
473,77,448,7,2361,495
474,7,496,7,1368,497
475,7,498,6,1059,499
476,25,488,18,6377,500
477,7,501,8,16855,502
478,30,448,7,2361,503
479,16,504,18,9440,505
480,4,506,5,16196,507
481,25,508,19,386,509
482,7,510,12,12545,511
483,19,448,7,2361,512
484,10,513,9,637,514
485,28,498,8,1059,515
486,14,516,7,1060,517
487,15,518,23,609,519
488,15,520,16,8148,521
489,24,518,24,609,522
490,11,523,19,3175,524
491,22,525,22,3018,526
492,38,527,29,15379,528
493,9,498,5,1059,529
494,23,530,13,4054,531
495,15,532,20,16078,533
496,16,534,29,4793,535
497,6,536,13,824,537
498,18,538,19,11733,539
499,8,540,19,12262,541
500,15,542,7,1065,543
501,6,544,9,9427,545
502,30,546,29,16864,547
503,11,548,7,1041,549
504,6,498,6,1059,550
505,7,551,16,15017,552
506,17,553,20,393,554
507,10,555,17,8732,556
508,15,557,15,5197,558
509,8,559,10,17057,560
510,22,561,22,1085,562
511,7,563,16,395,564
512,17,448,7,2361,565
513,25,566,13,12028,567
514,15,516,7,1060,568
515,10,569,6,1066,570
516,6,571,11,11966,572
517,14,573,19,11845,574
518,4,575,8,13701,576
519,7,577,11,1056,578
520,24,464,8,1061,579
521,7,580,14,4894,581
522,41,454,5,2362,582
523,7,583,11,14451,584
524,3,448,7,2361,585
525,10,586,8,1366,587
526,8,588,14,2888,589
527,16,590,11,558,591
528,7,498,6,1059,592
529,10,593,25,8424,594
530,26,595,19,6032,596
531,9,534,25,4793,597
532,4,598,10,7883,599
533,6,600,8,7328,601
534,8,602,18,13868,603
535,10,604,15,5836,605
536,25,606,8,9529,607
537,7,608,15,2446,609
538,18,610,23,8574,611
539,4,612,10,4769,613
540,29,614,20,16150,615
541,80,616,37,2774,617
542,12,534,26,4793,618
543,7,454,5,2362,619
544,8,620,13,14073,621
545,2,622,6,13403,623
546,12,516,10,1060,624
547,28,516,10,1060,625
548,11,626,12,16251,627
