ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
338,24,337,7,294011,338
339,31,339,16,277443,340
340,17,341,9,185361,342
341,28,343,11,438310,344
342,23,345,7,50478,346
343,9,347,5,332982,348
344,33,349,5,74087,350
345,53,351,13,433396,352
346,41,353,11,356559,354
347,48,355,9,38658,356
348,32,357,9,12976,358
349,37,359,7,84447,360
350,62,361,22,359821,362
351,100,363,15,277381,364
352,100,365,18,102837,366
353,56,367,13,468175,368
354,35,369,10,330542,370
355,14,371,5,50438,372
356,10,373,5,13636,374
357,17,375,9,481355,376
358,45,377,7,118749,378
359,13,379,8,74729,380
360,73,381,10,50515,382
361,57,383,9,37963,384
362,81,385,8,456385,386
363,23,387,13,478059,388
364,48,389,6,452130,390
365,28,391,8,262738,392
366,12,393,5,427277,394
367,32,395,11,166202,396
368,25,397,6,393926,398
369,39,393,6,427277,399
370,46,400,14,264591,401
371,20,402,6,258499,403
372,50,404,11,329069,405
373,25,406,19,69891,407
374,15,408,6,427823,409
375,30,410,8,300952,411
376,30,412,9,18506,413
377,27,414,6,373743,415
378,37,416,13,124202,417
379,39,418,5,40232,419
380,35,420,9,317853,421
381,27,422,15,110948,423
382,28,424,6,4582,425
383,16,349,5,74087,426
384,21,427,7,436842,428
385,63,429,8,344353,430
386,18,431,8,339989,432
387,14,433,6,185365,434
388,21,435,14,312637,436
389,50,437,9,333415,438
390,59,439,7,435035,440
391,48,441,8,101859,442
392,26,443,5,82895,444
393,45,445,11,24435,446
394,16,447,5,412227,448
395,39,449,7,447415,450
396,26,451,12,480332,452
397,40,355,9,38658,453
398,14,454,16,375212,455
399,26,456,7,123589,457
400,46,458,14,46399,459
401,29,460,8,118517,461
402,56,462,9,332677,463
403,21,445,10,24435,464
404,30,465,14,82009,466
405,100,424,14,4582,467
406,23,468,8,6156,469
407,73,470,11,275519,471
408,95,472,7,378028,473
409,21,474,5,82151,475
410,53,476,10,118439,477
411,12,478,5,40157,479
412,41,480,8,270603,481
413,58,482,7,29629,483
414,49,484,6,26040,485
415,22,486,12,77061,487
416,65,456,8,123589,488
417,46,489,16,325346,490
418,62,491,15,427998,492
419,52,447,6,412227,493
420,26,412,7,18506,494
421,56,495,14,14646,496
422,46,497,20,389410,498
423,32,499,14,318253,500
424,19,501,31,339056,502
425,19,503,16,299111,504
426,14,371,5,50438,505
427,21,482,7,29629,506
428,20,507,8,455843,508
429,51,509,16,343795,510
430,21,511,6,460472,419
431,100,512,13,202386,513
432,42,514,7,311529,515
433,37,357,9,12976,516
434,50,517,9,470401,518
435,17,519,7,41873,520
436,25,521,12,276925,522
437,100,523,9,331675,524
438,30,474,5,82151,525
439,19,526,6,246006,527
440,21,528,7,378925,529
441,48,530,9,136570,531
442,24,532,6,44707,533
443,47,486,15,77061,534
444,23,535,8,412288,536
445,51,512,10,202386,537
446,49,538,17,365952,539
447,10,540,7,42684,541
448,19,542,8,45874,543
449,46,517,9,476324,544
450,32,545,14,120767,546
451,17,422,14,110948,547
452,31,548,9,426569,549
453,21,550,5,261139,551
454,74,552,30,365681,553
455,45,554,11,480479,555
456,33,556,14,464089,557
457,60,558,8,130867,559
458,49,560,11,470011,561
459,22,562,10,460952,563
460,18,564,7,465943,565
461,30,566,7,51022,567
462,9,568,14,406746,569
463,100,570,25,202389,571
464,26,572,7,169598,573
465,48,574,10,110650,536
466,43,554,10,480479,575
467,36,482,7,29629,576
468,82,577,12,458106,578
469,25,579,7,367573,580
470,19,379,7,74729,581
471,50,418,5,40232,582
472,21,550,5,261139,583
473,19,584,14,280466,585
474,13,586,9,476054,587
475,12,588,15,183146,589
476,33,590,5,439545,591
477,22,592,8,124384,593
478,25,594,6,84334,595
479,32,414,6,373743,596
480,10,594,5,84334,597
481,27,598,11,2308,599
482,90,600,18,68694,601
483,39,602,17,434310,603
484,14,604,7,480032,605
485,19,606,9,70209,607
486,18,343,10,438310,608
487,36,609,20,432604,610
488,20,611,6,297438,612
489,28,613,6,365231,614
490,24,615,5,37684,616
491,100,617,24,38156,618
492,93,512,14,202386,619
493,32,620,9,3457,621
494,68,622,14,371951,623
495,37,624,17,457647,625
496,25,626,17,39607,627
497,92,400,15,264591,628
498,31,629,5,201714,630
499,19,412,7,18506,631
500,45,632,15,9256,633
501,23,634,9,474045,635
502,35,636,9,429842,637
503,66,355,9,38658,638
504,18,454,16,375212,639
505,37,640,10,475115,641
506,63,642,11,289507,643
507,100,570,25,202389,644
508,20,645,7,97355,646
509,16,647,5,44545,648
510,52,649,16,323069,650
511,23,651,6,186500,652
512,56,653,9,460574,654
513,17,451,9,480332,655
514,41,431,11,339989,656
515,60,427,8,436842,657
516,75,658,8,41227,659
517,100,660,25,132144,661
518,100,662,13,325864,663
519,36,489,17,325346,664
520,68,665,14,249779,666
521,48,431,10,339989,667
522,23,668,5,444162,669
523,26,375,12,481355,670
524,34,512,11,202386,671
525,20,484,5,26040,672
526,6,673,5,290531,674
527,22,359,7,84447,675
528,31,676,4,303578,677
529,41,662,9,325864,678
530,19,679,7,361594,680
531,40,681,5,437375,682
532,86,497,24,389410,683
533,39,684,9,377453,685
534,47,406,21,69891,686
535,26,687,6,287927,688
536,19,689,19,201703,690
537,54,691,5,199426,692
538,19,460,7,118517,693
539,53,694,31,334156,695
540,32,645,7,97355,696
541,41,697,9,326947,698
542,14,699,5,456475,700
543,29,489,15,325346,701
544,100,570,25,202389,644
545,86,615,7,37684,702
546,12,373,5,13636,703
547,14,704,9,282499,705
548,100,706,15,311951,707
549,25,708,10,22721,709
550,18,634,10,474045,710
551,65,711,15,325039,712
552,22,389,5,452130,713
553,47,564,9,465943,714
554,33,711,13,325039,715
555,29,716,6,79135,693
556,53,412,7,18506,717
557,18,357,6,12976,539
558,23,718,9,375362,719
559,43,720,0,380923,721
560,29,722,15,14870,723
561,23,684,7,377453,724
562,18,725,8,77242,726
563,10,727,6,131065,728
564,74,729,17,37852,730
565,37,592,11,124384,731
566,37,379,7,74729,732
567,20,733,5,463901,734
568,26,735,8,43358,736
569,18,437,7,333415,737
570,16,738,10,210604,739
571,100,660,24,132144,740
572,14,741,5,274512,742
573,23,743,15,278924,744
574,22,729,14,37852,745
575,10,746,5,199832,747
576,35,748,9,310136,749
577,8,673,5,290531,750
578,22,751,13,19261,752
579,42,753,7,84397,754
580,30,755,8,113516,756
581,30,757,14,123191,758
582,18,759,5,72614,760
583,37,761,10,425648,762
584,18,741,5,274512,763
585,23,764,8,278336,765
586,29,620,10,3457,766
587,33,767,0,380915,768
588,20,769,7,32564,770
589,74,771,12,112810,772
590,10,773,7,185388,774
591,23,775,5,198191,776
592,17,777,11,482637,778
593,32,779,13,58628,780
594,9,676,4,303578,781
595,20,782,5,314385,783
596,13,784,6,124365,785
597,23,786,18,102741,787
598,22,412,7,18506,788
599,44,789,13,36862,790
600,100,570,21,202389,791
601,17,779,13,58628,792
602,41,793,7,84511,794
603,23,606,8,70209,795
604,50,796,10,435566,797
605,72,798,8,335022,799
606,63,456,8,123589,800
607,34,801,7,170370,802
608,44,579,9,367573,803
609,34,512,9,202386,804
610,13,412,6,18506,805
611,21,339,16,277443,806
612,35,807,10,304332,808
613,21,809,13,37244,810
614,32,811,5,387855,812
615,20,391,7,262738,813
616,56,662,10,325864,814
617,23,706,9,311951,815
618,43,647,6,44545,816
619,36,817,8,19888,818
620,11,819,6,57835,820
621,18,821,13,333564,822
622,13,412,6,18506,823
623,53,482,7,29629,824
624,30,341,9,185361,825
625,100,826,9,7671,827
626,27,828,8,356053,829
627,57,830,8,122838,831
628,36,832,8,454488,833
629,28,834,5,166988,835
630,44,836,9,286993,837
631,62,365,13,102837,838
632,19,839,6,393934,840
633,100,570,22,202389,644
634,78,841,18,34093,842
635,80,843,9,247190,844
636,21,845,6,425454,846
637,31,509,14,343795,847
638,38,848,10,63679,849
639,87,634,15,474045,850
640,23,729,14,37852,851
641,24,852,14,391422,853
642,34,854,8,444536,855
643,17,856,6,169646,857
644,35,560,9,470011,858
645,28,793,7,84511,859
646,17,860,5,333574,861
647,31,357,9,12976,862
648,52,371,5,50438,863
649,16,416,9,124202,864
650,28,478,8,40157,865
