ID,Capacity,Pickup Loc,Time Window Start,Pickup Stacking_Id,Dropoff Loc
461,5,461,10,137828,462
462,1,463,8,501542,464
463,13,465,17,47122,466
464,39,467,15,6712,468
465,6,469,13,36657,470
466,21,471,14,87220,472
467,16,473,19,12094,474
468,15,475,6,162606,476
469,20,477,15,494145,478
470,22,479,15,17714,480
471,28,481,11,56243,482
472,6,483,19,43039,484
473,100,485,27,467624,486
474,12,487,5,34549,488
475,21,489,10,90664,490
476,8,491,9,144623,492
477,11,493,15,588974,494
478,12,495,12,111301,496
479,11,497,12,31838,498
480,25,499,17,540840,500
481,17,501,11,75245,502
482,22,503,13,35314,504
483,6,505,6,619301,506
484,17,507,7,37654,508
485,18,509,12,408673,510
486,37,511,13,45728,512
487,11,513,12,435865,514
488,22,515,11,518294,516
489,34,517,18,581172,518
490,7,519,8,372799,520
491,21,473,17,12094,521
492,27,522,10,47417,523
493,15,524,20,34198,525
494,9,526,13,522034,527
495,16,528,10,74994,529
496,12,530,21,110428,531
497,15,532,14,100935,533
498,31,489,9,90664,534
499,11,535,8,612536,536
500,13,537,13,35005,538
501,100,539,40,112210,540
502,6,541,12,32587,542
503,86,489,9,90664,543
504,13,544,15,42449,545
505,8,546,18,426875,547
506,7,548,12,115602,549
507,100,489,10,90664,550
508,17,551,2,301154,552
509,7,553,13,98662,554
510,12,555,12,587622,556
511,29,557,8,229235,558
512,17,559,18,551381,560
513,24,561,6,33887,562
514,10,563,8,439991,564
515,8,565,10,35243,566
516,17,567,14,47621,568
517,10,569,11,585577,570
518,18,571,10,55770,572
519,13,573,11,598722,574
520,30,575,21,578469,576
521,15,577,13,470564,578
522,17,579,12,314596,580
523,16,581,14,518910,582
524,21,575,19,578469,583
525,23,584,13,87500,585
526,3,586,12,255518,587
527,13,541,12,32587,588
528,12,589,9,34651,590
529,15,591,2,96980,592
530,12,593,16,34428,594
531,12,595,9,388536,596
532,19,597,10,147611,598
533,9,599,12,2266,600
534,35,601,36,488674,602
535,26,603,17,379640,604
536,5,605,9,35861,606
537,20,607,14,530650,608
538,9,609,11,6261,610
539,8,591,2,96980,611
540,21,612,12,302250,613
541,18,614,12,492834,615
542,30,616,4,102146,617
543,11,618,12,209363,619
544,26,620,12,364035,621
545,23,622,12,40709,623
546,5,624,14,21978,625
547,14,626,12,80330,627
548,19,628,23,512082,629
549,49,630,24,579291,631
550,23,577,13,470564,632
551,16,633,11,499041,634
552,13,635,13,8741,636
553,19,637,15,57256,638
554,14,639,10,68600,640
555,8,641,10,333525,642
556,12,643,10,36669,644
557,44,645,20,5545,646
558,12,647,11,121614,648
559,5,497,10,31838,649
560,23,650,10,597662,651
561,12,652,11,28638,653
562,15,654,8,142605,655
563,18,656,14,483785,657
564,19,658,19,339912,659
565,23,660,23,147623,661
566,12,662,11,145524,663
567,14,664,12,589002,665
568,19,666,9,319813,667
569,22,528,10,74994,668
570,14,669,8,7018,670
571,15,671,12,66557,672
572,6,673,12,34807,674
573,6,616,3,102146,675
574,13,676,13,410005,677
575,23,678,18,507926,679
576,5,680,7,41708,681
577,59,682,23,209969,683
578,18,684,8,207791,685
579,32,686,18,80096,687
580,9,565,10,35243,688
581,27,689,15,7800,690
582,37,691,21,432145,692
583,10,591,3,96980,693
584,6,694,8,352582,695
585,62,696,21,606044,697
586,14,698,5,375650,699
587,6,573,8,598722,700
588,6,701,7,97756,702
589,9,703,16,101273,704
590,12,705,5,58935,706
591,8,641,8,333525,707
592,9,708,10,354204,709
593,10,710,14,123228,711
594,12,712,10,32778,713
595,16,714,8,8438,715
596,21,716,13,473833,717
597,8,718,12,495349,719
598,5,720,10,36792,721
599,11,609,12,6261,722
600,27,511,12,45728,723
601,100,489,10,90664,724
602,20,725,9,86293,726
603,17,727,8,626435,728
604,16,729,14,622033,730
605,13,637,12,57256,731
606,14,732,11,144430,733
607,13,544,14,42449,734
608,9,735,10,9096,736
609,33,737,38,143101,738
610,22,739,19,583288,740
611,40,601,39,488674,741
612,67,616,4,102146,742
613,14,630,23,579291,743
614,9,744,10,146328,745
615,15,630,21,579291,746
616,18,637,14,57256,747
617,13,748,7,40549,749
618,29,750,12,139796,751
619,13,752,12,35808,753
620,19,716,13,473833,754
621,23,755,15,454085,756
622,41,757,14,627893,758
623,13,759,11,438641,760
624,16,761,14,2760,762
625,8,673,15,34807,763
626,15,764,13,486906,765
627,28,622,13,40709,766
628,10,181,14,34644,767
629,8,768,6,472835,769
630,36,770,8,62873,771
631,9,772,13,541189,773
632,10,774,12,399816,775
633,21,691,18,432145,776
634,31,777,10,205919,778
635,19,779,16,561325,780
636,15,750,11,139796,781
637,52,782,23,7065,783
638,23,784,19,30546,785
639,23,786,19,354156,787
640,21,788,5,308227,789
641,12,790,9,341652,791
642,7,792,7,526372,793
643,10,794,12,75785,795
644,45,737,39,143101,796
645,12,797,17,6379,798
646,7,799,8,554900,800
647,19,801,16,67143,802
648,28,803,16,485689,804
649,12,805,11,3350,806
650,15,541,13,32587,807
651,15,752,14,35808,808
652,23,479,14,17714,809
653,21,810,11,78739,811
654,15,812,9,56697,813
655,7,814,15,25905,815
656,15,483,22,43039,816
657,13,817,7,513198,818
658,13,819,19,108906,820
659,34,821,15,80155,822
660,16,823,13,139958,824
661,11,511,9,45728,825
662,10,826,9,530680,827
663,26,828,8,210165,829
664,75,830,27,298,831
665,19,595,10,388536,832
666,22,678,17,507926,679
667,41,833,20,88836,834
668,9,835,7,34624,836
669,8,641,9,333525,837
670,3,838,12,179126,839
671,17,840,23,566247,841
672,12,842,6,86834,843
673,17,844,14,56144,845
674,34,539,35,112210,846
675,20,603,14,379640,847
676,15,848,13,43878,849
677,18,581,15,518910,850
678,18,851,8,555423,852
679,7,853,11,35063,854
680,76,489,10,90664,855
681,51,856,18,342876,857
682,36,858,24,541766,859
683,14,860,12,470745,861
684,28,630,24,579291,862
685,21,863,13,588752,864
686,23,865,12,56954,866
687,19,867,8,32946,868
688,1,869,8,595260,870
689,15,515,10,518294,871
690,6,872,12,596654,873
691,9,874,12,217608,875
692,9,616,4,102146,876
693,11,877,12,35143,878
694,7,879,7,481711,880
695,29,616,4,102146,881
696,21,786,18,354156,882
697,44,883,21,54016,884
698,15,541,12,32587,885
699,12,481,9,56243,886
700,23,755,16,454085,887
701,14,888,16,404372,889
702,22,890,9,31945,891
703,17,630,21,579291,892
704,6,893,14,461684,894
705,12,895,17,30946,896
706,13,897,12,598390,898
707,23,897,15,598390,899
708,13,739,17,583288,900
709,17,901,11,11147,902
710,32,903,13,489017,904
711,15,905,12,32580,906
712,13,907,11,35620,908
713,28,909,19,590278,871
714,21,910,13,114293,911
715,21,467,11,6712,912
716,7,913,8,598522,914
717,11,915,11,237658,916
718,13,701,8,97756,917
719,20,848,11,43878,918
720,33,919,19,156948,920
721,38,921,9,380944,922
722,33,599,17,2266,923
723,82,616,4,102146,924
724,15,925,14,549318,926
725,18,927,11,34771,928
726,43,929,19,386251,930
727,60,691,26,432145,931
728,19,932,12,256971,933
729,11,934,8,625233,935
730,37,936,24,599467,937
731,100,938,31,11637,939
732,11,940,20,530240,941
733,20,942,13,589460,943
734,51,944,28,502169,945
735,42,946,15,597911,947
736,24,495,14,111301,948
737,12,949,16,501961,950
738,10,519,8,372799,951
739,32,952,17,555191,953
740,13,954,20,503564,955
741,15,956,13,57363,957
742,22,958,12,16625,959
743,16,624,18,21978,960
744,17,961,10,31914,962
745,40,963,30,429781,699
746,14,964,16,31961,965
747,17,966,12,116899,967
748,14,901,11,11147,968
749,24,628,25,512082,969
750,29,479,15,17714,970
751,23,971,17,471403,972
752,20,973,17,603752,974
753,15,975,14,35453,976
754,7,770,5,62873,977
755,26,620,12,364035,978
756,13,979,10,541183,980
757,12,981,13,11122,982
758,6,732,10,144430,983
759,36,984,17,71225,985
760,20,986,11,450176,987
761,97,979,25,541183,988
762,8,720,11,36792,989
763,6,990,11,138478,991
764,23,992,11,162266,993
765,20,994,14,338021,995
766,9,996,10,574252,997
767,25,616,2,102146,998
768,18,999,15,518064,1000
769,23,678,16,507926,679
770,14,1001,12,449033,1002
771,3,1003,12,241596,1004
772,16,739,18,583288,1005
773,16,1006,11,495379,1007
774,29,735,14,9096,1008
775,19,469,16,36657,1009
776,7,996,9,574252,1010
777,17,1011,10,600387,1012
778,15,630,22,579291,1013
779,6,1014,9,623973,1015
780,11,1016,10,34693,1017
781,17,1018,11,4000,1019
782,48,616,4,102146,1020
783,47,591,4,96980,1021
784,15,1022,17,29042,1023
785,17,473,16,12094,1024
786,43,1025,19,445787,523
787,9,686,13,80096,1026
788,17,848,12,43878,1027
789,5,1028,10,33227,1029
790,12,1030,10,54825,1031
791,14,1032,14,21424,1033
792,15,883,14,54016,1034
793,21,664,14,589002,1035
794,10,181,14,34644,1036
795,26,759,14,438641,871
796,5,483,19,43039,1037
797,14,1038,17,563803,1039
798,55,539,40,112210,1040
799,31,691,20,432145,1041
800,18,1042,17,581246,1043
801,30,616,5,102146,1044
802,14,732,11,144430,1045
803,37,489,10,90664,1046
804,16,1047,8,573860,1048
805,31,1049,15,1729,1050
806,5,1051,9,15607,1052
807,9,489,7,90664,1053
808,15,1054,10,39126,1055
809,5,1056,13,384979,1057
810,7,624,13,21978,1058
811,13,1059,14,310803,1060
812,10,1061,18,41587,1062
813,61,1063,28,115518,1064
814,15,1065,13,521969,1066
815,14,1059,14,310803,1067
816,28,1068,19,103031,1069
817,17,1070,11,620705,1071
818,12,1072,13,100930,1073
819,15,1074,8,36626,1075
820,16,1076,11,78735,1077
821,6,794,10,75785,1078
822,27,1074,8,36626,1079
823,14,1080,11,93001,1081
824,7,181,14,34644,1082
825,42,591,2,96980,1083
826,23,1084,18,41376,1085
827,23,1086,18,33643,832
828,11,1087,8,63228,1088
829,8,952,10,555191,1089
830,25,1090,16,455864,1091
